Product code,Product label,China's imports from Russian Federation-Value in 2012,China's imports from Russian Federation-Value in 2013,China's imports from Russian Federation-Value in 2014,China's imports from Russian Federation-Value in 2015,China's imports from Russian Federation-Value in 2016,China's imports from Russian Federation-Value in 2017,China's imports from Russian Federation-Value in 2018,China's imports from Russian Federation-Value in 2019,China's imports from Russian Federation-Value in 2020,China's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
620211,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",1,4,0,0,0,0,0,0,21,12,,18878,7379,5063,3575,2181,1469,2976,9620,25870,22740,,63193,74916,87403,119858,105762,115474,134483,144886,188773,249911
252020,"Plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or ...",0,0,0,0,0,0,5,7,5,12,,4439,6028,4534,5744,3877,4518,4523,5670,5762,5819,,8995,8867,10207,9086,9359,11178,18184,20288,18571,22383
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",0,0,0,0,5,0,0,8,2,12,,1273,1651,1158,1197,2415,3679,3444,4488,6009,7197,,6581,4411,4511,6290,6177,7031,6472,6730,6929,5677
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",12,7,2,0,2,0,1,4,13,12,,1171,1820,3315,3142,3064,5806,5775,3340,2814,6174,,34101,35016,38763,41219,46891,44006,51869,51419,52676,64613
848230,Spherical roller bearings,0,0,60,11,1,1,34,0,0,12,,12696,12133,7135,5106,7318,7781,9653,9694,11052,11715,,298844,274121,276298,249129,190514,212852,260937,250941,332180,291012
290519,"Saturated monohydric acyclic alcohols (excluding methanol """"methyl alcohol"""", propan-1-ol ...""",0,0,4,0,0,1,3,13,60,12,,210,427,488,396,405,1162,771,513,351,346,,477473,457653,497000,292634,258366,305832,287253,257256,219844,365099
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",0,1,0,0,0,45,84,3,2,12,,15830,17750,23199,20268,25057,30819,37428,38819,36652,46706,,140522,155679,162247,126468,121040,141552,151334,125264,124090,137988
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",0,0,0,0,1,0,0,13,0,12,,3065,5992,6146,3652,4559,5293,7169,8165,8876,14564,,26228,32854,39232,35638,40219,58542,76371,89922,87501,109482
721119,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not ...""",0,0,0,0,0,0,10,0,0,12,,15830,19797,26226,17174,20977,11072,21893,23676,17240,37083,,39555,30551,22331,14403,14331,20846,18915,13646,8657,12982
721621,"L sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or extruded, ...",0,0,0,216,766,1,0,0,1,12,,4767,4808,4673,3704,3884,3800,5213,5903,3779,8575,,5905,4925,7438,4975,3837,3430,1942,2357,2847,2538
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,0,0,0,0,0,1,19,11,,275,421,750,925,1122,1434,1486,2244,2326,3099,,5617,7847,14948,26198,25701,32577,28320,26074,40086,51069
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),0,7,21,0,21,126,0,4,6,11,,10152,10781,6173,5541,8115,6547,11955,15933,5319,10380,,42392,37786,39248,36058,36097,73904,44805,46529,50145,40321
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,0,0,0,0,0,0,0,0,0,11,,1845,3478,4359,3328,3270,4469,4112,5433,5409,6207,,113379,128391,166412,106456,93077,71606,59429,110047,111216,197276
848079,Moulds for rubber or plastics (other than injection or compression types),2,0,6,0,0,62,56,3,13,11,,547,740,1274,265,944,215,517,249,554,775,,126542,116538,119603,122475,112439,119485,125018,107045,88978,65980
850432,"Transformers, having a power handling capacity > 1 kVA but <= 16 kVA (excluding liquid dielectric ...",9,2,338,30,675,295,0,827,5,11,,3798,3065,4202,9755,3598,5077,7809,5995,6999,8578,,55060,40219,35875,32680,35049,35860,36042,33695,40417,62584
960321,"Tooth brushes, incl. dental-plate brushes",0,0,0,0,0,43,36,3,50,11,,1780,2978,3394,3014,7179,11055,10999,12290,14823,16639,,23340,29518,36877,46275,54525,63055,80017,95948,93278,85405
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, ...""",0,0,6,0,7,6,8,7,3,11,,56,768,669,826,2275,1459,35,27,176,302,,18255,23442,18623,23849,19785,13071,13037,11207,11140,12131
800300,"Tin bars, rods, profiles and wire, n.e.s.",3,0,0,0,0,0,0,0,1,11,,580,1228,1417,443,334,454,558,669,504,815,,216280,182032,184615,102291,86975,82330,77320,60818,64599,67110
848050,Moulds for glass (excluding moulds of graphite or other carbons and ceramic moulds),0,0,0,0,0,0,0,0,13,11,,736,944,835,523,680,682,935,2089,1687,1212,,9085,9707,5971,8285,5969,8380,9235,9434,15701,16141
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ...",0,0,3,3,1,0,0,0,1,11,,7454,5419,7960,7564,10291,9997,11392,11555,10433,11051,,729,994,794,920,377,1303,1614,40795,92284,6627
321511,"Black printing ink, whether or not concentrated or solid",0,0,0,0,0,0,0,0,6,11,,241,232,306,597,509,774,879,947,1024,1279,,50610,48201,47769,42876,46104,55089,65896,56932,66111,59445
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",2,0,255,2,2,181,20,1,11,11,,5122,5831,3956,5990,4310,4573,6082,7365,6724,7688,,528383,582337,627541,578228,595719,703828,824749,892113,957518,1033878
370390,"Photographic paper, paperboard and textiles, sensitised, unexposed, for monochrome photography ...",0,0,0,0,0,0,0,0,0,11,,291,236,411,258,144,406,155,182,132,216,,44,39,49,44,54,52,41,79,70,125
800120,Unwrought tin alloys,0,0,0,85,0,0,0,0,4,11,,2397,2282,2577,1578,1671,1025,1620,1670,3231,4836,,25976,25002,22156,16667,13021,12528,14298,11634,15289,20480
850450,Inductors (excluding inductors for discharge lamps or tubes),30,287,122,90,80,98,62,24,62,11,,6676,5847,4390,4237,3676,5003,5860,8141,6080,7036,,3109174,3782063,3578989,2973574,2817303,2727370,2719111,2752253,2709725,3580392
560229,"Felt, not impregnated, coated, covered or laminated (excluding that of wool or fine animal ...",0,0,0,0,0,1,0,0,0,10,,178,92,81,27,57,62,71,82,86,97,,6556,8577,7836,6926,5745,5703,4049,3500,2984,2320
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",1,0,9,0,0,1,43,35,23,10,,9081,11177,10249,9305,9552,11117,10471,11045,11785,17310,,195979,220324,259600,256633,277700,305846,320829,372043,383740,437551
900590,"Parts and accessories, incl. mountings, for binoculars, monoculars, astronomical and other ...",1,164,323,416,401,34,0,25,0,10,,1992,2284,1809,2108,1161,718,1241,1609,1529,1750,,2955,3140,3237,4290,5734,3770,5038,6210,5977,6588
790120,Unwrought zinc alloys,58,79,0,0,0,49,8927,434,0,10,,175,415,722,480,697,1200,1386,1668,1209,1875,,296252,283928,261511,255004,233435,313730,323884,243707,186204,237311
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",0,0,4843,7767,3883,2,0,0,1,10,,3180,15913,7412,8102,4151,5181,11483,9537,8316,9302,,33199,15283,35874,17558,13174,6855,19989,12270,8479,9794
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",0,0,0,0,0,5,23,11,43,10,,367851,290696,292977,263202,319182,348496,358492,398116,523583,581604,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",0,3,0,0,0,0,0,9,15,10,,2703,5732,8125,5102,5110,6086,7562,8294,6878,9403,,55120,81957,88522,105101,131074,155552,133938,159811,148330,196545
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,1,1,0,1,0,3,0,1,10,,49308,41429,13789,15659,10942,13961,22940,18665,14713,29161,,59920,65440,40074,24726,13678,16167,14680,13228,12020,13139
540252,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 ...",0,0,0,0,0,0,0,6,66,10,,0,0,0,0,0,0,0,0,0,9,,13875,16097,14049,15892,25557,25178,22294,16869,10078,10539
841451,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an ...",0,1,3,0,1,0,0,0,0,10,,964,1000,1036,1264,1409,1536,2088,2987,3962,5417,,120043,97332,114209,107761,133330,149614,195752,154064,134022,105832
381300,Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ...,4,1,0,0,3,0,200,223,0,10,,3632,4743,3526,2555,3256,2913,2654,3494,1878,2247,,5362,5595,6372,5659,5181,6652,8369,8061,7808,7176
90411,"Pepper of the genus Piper, neither crushed nor ground",0,0,0,0,0,0,0,0,0,10,,821,1400,1658,1277,1193,1463,1312,1106,1392,2199,,19584,16542,41467,41461,39940,20747,23256,38363,60786,44789
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",4,51,0,6,7,12,27,11,85,10,,11663,10680,10490,8573,5800,8824,12586,12604,11614,13903,,290024,328070,311011,250548,210452,234312,259340,257222,273523,258252
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",1,6,0,0,0,0,0,2,26,10,,14400,13556,9383,10782,63650,5313,8342,7453,6777,19316,,13007,15317,19694,29725,44743,21465,21831,32503,24147,35875
732599,"Cast articles of iron or steel, n.e.s. (excluding articles of non-malleable cast iron, and ...",0,0,1,0,0,0,0,0,0,10,,19327,19306,12255,9694,9893,14247,17617,18152,11796,13944,,37648,37644,37323,33752,28764,38405,36858,41815,25721,29424
620322,"Men's or boys' ensembles of cotton (excluding knitted or crocheted, ski ensembles and swimwear)",0,0,0,6,8,0,0,0,0,10,,1598,3504,1779,1275,1106,1477,1109,1835,1918,2208,,2198,3588,2968,2236,1433,1170,499,810,811,631
730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",0,0,1245,123778,60808,75,0,4,5,10,,5560,6391,20665,26165,10744,7266,12175,14509,34863,62295,,130383,69066,82875,171526,90104,51310,86835,57603,66801,80456
430390,"Articles of furskin (excluding articles of apparel, clothing accessories and goods of chapter ...",0,6,0,0,0,0,36,69,0,10,,18460,11547,16413,25309,8909,2986,861,840,581,389,,3267,4683,5077,5662,5302,7882,8832,6386,9087,10538
960110,"Worked ivory and articles of ivory, n.e.s.",0,0,0,49,0,0,5,20,5,10,,0,0,0,35,17,31,10,77,10,0,,99,157,208,282,159,0,9,74,5,12
340510,"Polishes, creams and similar preparations, for footwear or leather, whether or not in the form ...",0,0,0,0,0,0,0,7,1,10,,2161,2265,1379,1123,1808,2389,2739,3002,2506,2716,,10963,11673,11792,11435,10215,12197,9493,8556,7457,9484
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",151,183,327,196,47,7,6,17,2,10,,35582,38194,28743,24254,30124,45107,50742,58401,53489,73932,,1075753,1125656,1142968,928468,958822,1080438,1215058,1282791,1188641,1186044
482110,"Paper or paperboard labels of all kinds, printed",25,72,12,79,32,55,116,70,19,9,,7633,10277,11475,7936,11503,12808,14572,14358,17072,18782,,248295,237632,224862,196308,175442,172285,164025,135603,115837,118882
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",72,49,7,41,50,13,0,52,17,9,,60486,57665,52193,47760,49430,59676,73240,64160,61257,98405,,285310,274174,293961,263950,243576,219234,213456,217530,223945,243739
160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, ...""",0,0,0,30,72,0,0,2,0,9,,6774,6322,5682,3426,5045,7912,10370,8602,6536,5944,,1542,676,1105,892,1733,2635,940,6256,7880,1004
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",0,0,0,0,0,0,0,15,10,9,,515,552,508,554,916,1002,1141,1658,1467,2082,,86173,94049,122749,135374,205595,314024,381667,410028,387160,507591
481039,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, ...",417,0,523,135,0,36,362,195,1876,9,,46,3,1,0,0,8,0,3,4,7,,38811,45653,55140,51977,52717,53584,54366,64294,85142,76107
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,0,0,0,0,0,0,0,9,,1005708,991777,897451,901347,680332,750366,966891,771406,682879,1562680,,41,89,23,22,2916,10119,1119,5140,2930,19
391731,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa",1,0,1,1,1,2,3,19,21,9,,13247,13763,12591,5271,407,1209,883,2180,600,723,,89193,104737,100803,86076,91085,106473,112602,103615,109347,117937
851150,Generators of a kind used for internal combustion engines (excluding magneto dynamos and dual ...,0,6,1,0,82,2,62,2,175,9,,7354,5855,6342,4413,4111,5616,6543,7277,6060,9888,,187481,223946,220775,220371,276725,243245,306708,322469,320007,337278
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",1,0,1,0,0,0,2,35,22,9,,936,2022,3656,2887,2380,3607,4289,3917,2671,3661,,37312,54335,49835,64903,73710,74321,63063,67588,57478,79942
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",1496,171,12,57,0,158,0,0,5387,9,,408910,394475,421005,297287,246907,406729,339030,214357,169202,335852,,1142613,1013899,797693,562587,475409,534498,550136,483296,737459,594338
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),8,7,15,4,7,4,10,6,17,9,,529,570,403,239,330,266,267,442,282,432,,2844069,2926965,3384073,2356237,2305809,2166596,2642445,2456842,1828592,2052537
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",0,0,33,0,0,0,0,19,0,9,,30352,54370,414187,15925,20008,21009,23081,30615,31398,52343,,700850,750599,612414,639162,698558,765563,1492554,670700,217659,382222
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",0,103,2,4,2,3,5,1,120,9,,4502,2654,2280,2101,1176,3717,3861,3191,2595,4180,,786759,635745,850927,666812,598480,777111,837044,643155,688776,890463
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",0,0,0,0,0,0,47,0,0,9,,13721,18776,27996,22719,23367,19907,41144,26167,18174,17575,,759450,781792,810442,744689,612606,586798,641338,564707,545924,700027
611300,"Garments, knitted or crocheted, rubberised or impregnated, coated or covered with plastics ...",0,0,0,0,0,13,16,4,26,9,,176,104,28,1135,153,217,641,781,1603,2222,,652,521,1472,2570,3043,4796,5237,8111,6841,7112
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",0,0,0,0,0,0,92,6,7,9,,1290,1304,1289,1137,1243,1222,2735,1275,1618,2464,,47750,54234,55709,53857,59766,64132,81115,73387,67639,75273
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",0,0,921,17,58,14,3,2,21,9,,15688,27815,15706,16727,13303,16117,14195,23459,31251,24021,,73843,71542,76301,110849,73076,58396,77376,85349,79026,77056
701590,"Clock or watch glasses and similar glasses, glasses for non-corrective spectacles, curved, ...",0,0,0,0,0,0,0,0,0,8,,32,11,28,7,11,190,2,217,10,46,,10862,9152,18293,31901,36371,36066,26115,29516,20232,28657
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other ...",1,0,0,5,7,9,0,0,1,8,,69,89,97,113,106,132,456,76,35,14,,294121,308183,258594,234885,193744,185800,187432,255816,272069,840874
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",0,0,476,142,2,6,96,25,16,8,,19916,19468,22584,16170,15808,17523,19764,20973,27417,26256,,509860,555573,635652,814092,664854,530841,486104,406711,327595,315117
420212,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...",0,0,214,0,1,0,1,6,3,8,,1742,2603,1847,1625,1659,4268,2735,2653,5508,4194,,111860,108829,138837,164500,171189,193280,237861,247572,159928,185364
850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,166,74,5,0,8,59,2,2,147,8,,1008,1456,1390,908,637,1602,2414,1601,1048,1485,,935297,632957,569923,441482,383508,425340,381758,291290,264892,264515
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",21,8,74,10,1,0,14,5,12,8,,48027,43517,33597,20291,24336,27283,27518,28160,25590,34032,,247550,311940,367506,347690,319505,310215,346677,297769,295066,286231
721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ...""",0,0,0,5,0,19,0,9,2,8,,139147,117053,87068,66956,27168,31198,32333,18974,16466,33236,,62335,56160,61945,44928,39942,46816,44058,35780,33112,36860
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",0,0,0,0,0,8,2,1,1,8,,684,677,557,341,1086,1346,857,956,1528,2144,,1786315,1809528,1764978,1502034,1468301,1591564,1727249,1451229,1592530,1726325
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",0,0,0,8,16,2,0,0,2,8,,7,16,103,184,187,325,401,2116,564,2357,,525935,569786,627450,570560,659893,637609,627527,544807,541032,532623
150910,Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,0,0,0,0,0,0,0,0,1,8,,50,92,648,409,474,589,542,673,801,1139,,151948,171930,131320,144837,160137,170694,140237,144278,124513,119882
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",0,0,0,0,91,0,0,0,0,8,,272,280,2855,443,2604,17578,26704,4086,352,492,,35887,46997,54816,33372,59655,42824,52771,101912,64027,110163
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),1,0,7,1,0,0,11,15,16,8,,1073,1693,5211,2004,2445,2709,3607,3741,3668,5033,,39810,47575,42532,35996,30591,35112,33450,27269,34123,26083
720229,"Ferro-silicon, containing by weight <= 55% silicon",0,0,0,0,0,1,0,2,29,8,,15367,13956,18981,12324,11089,12567,13186,13307,7601,15456,,6902,6908,4935,4132,4415,2318,4679,3287,2162,2100
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",0,0,0,0,0,0,0,2,4,8,,965,991,1580,1679,1541,1749,1690,1677,1670,2187,,64784,83121,118457,111653,136171,184494,206209,213745,257005,373473
701391,"Glassware, of lead crystal, of a kind used for toilet, office, indoor decoration or similar ...",14,3,0,3,0,0,21,0,18,8,,1032,1289,595,341,204,91,223,181,46,58,,15880,14871,13684,11465,13108,11909,13035,12239,8545,10183
560290,"Felt, impregnated, coated, covered or laminated (excluding needleloom felt and stitch-bonded ...",0,0,0,0,0,0,1,0,1,8,,39,179,213,131,79,183,156,165,144,225,,17900,20673,22945,20490,22965,25884,26559,21177,21504,22824
731512,Articulated link chain of iron or steel (excluding roller chain),0,1,0,0,0,0,33,0,178,8,,1262,2207,931,526,562,2018,1143,1408,799,1588,,57392,58042,57107,46002,52251,55549,54555,47122,43181,38720
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",0,2,1,0,0,1,42,34,79,8,,3022,3953,6913,4038,3419,4196,5170,5886,5065,5863,,36463,47674,58826,62022,67417,82028,97392,99995,107787,126691
820559,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",9,1,34,2,7,14,27,180,51,8,,7787,7701,9785,6242,5554,8931,9660,7657,8473,12667,,65071,65508,72931,59400,55226,50792,64841,66800,54421,51821
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",21,3,3,2,1,2,9,4,4,8,,26998,54013,24025,47674,56696,49573,41635,42062,53185,74819,,83781,54709,61718,62315,63977,73008,96614,95031,88930,100642
900220,"Filters, optical, being parts of or fittings for instruments, apparatus and appliances, framed ...",0,0,0,0,0,3,0,0,0,8,,785,764,439,342,231,414,371,999,1351,2181,,77717,94747,30231,15349,20147,30355,25807,25488,19272,20930
847170,Storage units for automatic data-processing machines,386,0,1,0,10,4,36,61,73,8,,51478,17889,472770,243334,10578,18275,25611,18132,15652,22356,,25590038,19062401,18732128,17373461,18323375,18393616,22513570,22783544,25638968,26704498
392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",4,3,1,7,5,6,3,43,17,8,,27575,36082,40188,32503,39622,52258,59880,61493,58271,84073,,70326,78765,79391,77607,80429,88693,103471,96753,81386,75870
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",0,0,0,0,0,0,0,2,0,7,,1485,2825,5188,4165,5895,5977,5463,6208,5434,5504,,590863,651625,733881,720371,839564,1027389,1306179,1602567,1985227,2809804
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,7,,256,6672,921,257,390,825,1426,1610,1719,2055,,8546,17669,12919,11513,11441,13300,15364,15207,17621,13097
731819,"Threaded articles, of iron or steel, n.e.s.",1,0,0,0,45,0,5,4,55,7,,15052,16876,12491,10693,11863,17230,20714,20554,18376,21678,,70272,63730,79297,77033,73542,72807,76642,82630,83342,95137
841581,"Air conditioning machines incorporating a refrigerating unit and a valve for reversal of the ...""",0,0,0,0,0,0,0,1,0,7,,4841,5285,2201,5071,1762,4175,8332,5125,3268,4156,,36039,35982,26833,33888,19198,10298,8402,7284,5278,8618
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",0,0,0,0,5,2,0,0,0,7,,1617,2385,2541,1691,1535,2544,3560,2329,2595,3354,,18509,21792,18771,17297,16207,18393,24093,21079,18663,21855
850434,Transformers having a power handling capacity > 500 kVA (excluding liquid dielectric transformers),0,3,0,0,0,0,0,6,0,7,,8104,3660,5654,3712,4572,5886,5806,9902,14146,17181,,44122,81317,81300,52934,29869,34551,50793,48597,35121,24181
853670,"Connectors for optical fibres, optical fibre bundles or cables",13,1,0,6,99,0,1,5,3,7,,941,770,1204,757,638,931,1118,947,1581,1749,,87726,107487,108162,98375,115739,152155,156529,118415,112398,114173
611212,"Track-suits of synthetic fibres, knitted or crocheted",0,0,0,0,0,0,10,0,1,7,,1413,2255,1391,542,793,612,640,766,963,1355,,14276,19957,19826,13619,6863,6222,5410,4552,8414,4928
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",0,1,0,0,0,0,0,3,7,7,,4038,5413,7600,4336,5221,6921,6210,7126,9594,9104,,75302,117932,146099,185695,200117,223335,234222,235781,222672,243441
681291,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",0,0,0,2,0,6,14,13,16,7,,23,37,126,85,67,84,176,403,223,72,,825,655,532,713,1615,683,623,521,261,171
640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",0,0,0,3,0,1,16,10,2,7,,441,714,1452,1159,2035,2869,2930,6994,11876,5769,,11978,11137,16723,36307,86429,126765,156194,253094,444536,405445
430310,Articles of apparel and clothing accessories of furskin (excluding gloves made of leather and ...,3,7,0,0,0,0,0,0,13,7,,6922,16379,2653,1894,5274,4357,5802,4259,2604,2127,,39674,45811,43275,41951,31549,38898,44904,43968,41883,71588
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",2,0,0,0,4,5,2,1,0,7,,6258,9484,10895,9824,14445,18426,26394,31952,31430,46056,,351512,289773,295262,301135,282272,299651,285358,290472,288628,303383
283321,Sulphate of magnesium,0,0,0,0,0,0,0,0,0,7,,507,382,429,433,501,576,477,630,959,2759,,1315,1302,1333,1412,2114,2208,2136,2294,2032,2746
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",0,0,0,3,13,1,15,23,5,7,,29,17,11,30,95,45,59,76,161,137,,19133,18705,19889,22043,19766,22977,27965,23338,30324,40044
270810,Pitch obtained from coal tar or from other mineral tars,0,0,0,0,0,0,0,0,0,7,,8069,19289,12775,13187,666,6425,16108,8399,9063,10894,,1534,4517,4953,4814,4613,8293,12861,9846,8665,8820
940120,Seats for motor vehicles,8,10,46,35,0,2,5,47,0,7,,4957,3590,2042,1101,1660,2994,3772,3647,5042,9954,,68500,68374,50950,48188,74603,80262,72920,32580,34201,29223
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",1996,13,5169,116478,42949,1765,22,559,237,7,,126217,184874,179258,272535,138222,419366,434933,309500,331547,289193,,1192389,747286,817382,706154,543473,423399,589006,784486,699103,890006
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",0,0,0,0,0,0,13,6,1,7,,252,296,406,303,466,504,457,572,804,1007,,2747,3279,2859,4720,3977,4162,5178,5932,5422,6337
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,5,9,0,7,21,10,45,42,169,7,,17877,17492,12278,12198,12294,25937,17827,14784,19654,16031,,33002,38390,36567,39039,38382,53709,64775,58964,72283,79019
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",645,2495,0,5,7,0,167,5,27,7,,1105492,1114812,1397501,601041,27022,36658,39151,47077,51610,129737,,450066,315258,254086,215841,230842,309611,223438,328006,331134,444794
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",0,0,52,0,1,0,6,64,10,7,,8721,7562,5781,3646,4508,5003,8124,7256,7358,8761,,83260,82494,87247,86373,83857,109229,123500,131234,117322,148890
841850,"Furniture """"chests, cabinets, display counters, show-cases and the like"""" for storage and ...""",0,0,0,0,0,0,0,0,1,7,,46252,47752,34612,41955,50833,77520,90065,95918,108620,149259,,17756,16942,18299,16838,19913,23327,19015,16576,18376,16016
846719,"Pneumatic tools for working in the hand, non-rotary type",0,0,1,0,0,0,0,0,0,7,,2999,2764,1535,878,1166,1245,1473,1660,1281,1670,,38153,37371,38792,32048,31690,35807,35682,28568,25497,32873
200811,"Groundnuts, prepared or preserved (excluding preserved with sugar)",0,0,0,0,0,0,0,1,4,7,,1960,2323,2152,3024,3816,5410,6004,9805,11151,15426,,10652,9689,9762,12190,15919,12159,10767,11855,10796,7388
843810,"Bakery machinery and machinery for the industrial preparation or manufacture of macaroni, spaghetti ...",121,0,0,3,8,0,0,0,1,6,,4972,7444,5241,8356,5529,6803,7643,5936,6190,6608,,84026,96770,88689,71174,71644,84728,85968,75464,83613,84883
810590,"Articles of cobalt, n.e.s.",1,0,0,4,3,1,11,12,11,6,,624,474,246,193,199,518,506,941,835,1116,,36533,43824,55774,61215,54722,43805,50290,58734,53513,60880
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",2,5,5,0,0,13,0,24,7,6,,1077,1327,2213,1307,1492,1535,2150,1701,3791,1844,,15449,17916,24747,20416,24642,37592,89477,74128,75274,70385
970600,Antiques of > 100 years old,0,5,38,63,54,56,149,0,0,6,,0,938,0,0,0,0,0,0,0,0,,51326,63379,100600,208450,46978,14706,54286,242079,128600,376519
