Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
848079,Moulds for rubber or plastics (other than injection or compression types),11110,21261,14636,14601,15775,13767,10850,15320,6790,5902,,108481,97658,98736,87745,86657,91588,108739,81465,65967,75132,,173795,207916,196308,208129,214741,216179,246101,264349,219078,232545
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,1623,2939,3607,2620,5829,,0,0,0,0,0,8457,3906,4801,3718,4621,,0,0,0,0,0,35318,51088,55369,57179,63474
720299,"Ferro-alloys (excluding ferro-manganese, ferro-silicon, ferro-silico-manganese, ferro-chromium, ...",75,1626,19,100,37,33,33,218,1940,5809,,21429,14718,17857,14068,8020,13964,9674,4200,8409,12196,,59378,40211,35663,38046,25394,22399,36150,21970,20184,50490
901210,"Electron microscopes, proton microscopes and diffraction apparatus",4344,7657,6182,4855,8039,8413,3426,3900,3360,5797,,570625,382321,360840,345174,288868,449633,466456,339986,442895,443942,,32531,43877,34150,25432,30580,32812,43259,34896,23361,29482
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",14062,14034,13569,14046,16217,14923,8246,8695,10105,5711,,135245,113073,108044,104066,121603,126966,127715,120090,125619,150450,,150878,150848,133695,141445,139684,162548,175102,162763,156239,145637
281820,Aluminium oxide (excluding artificial corundum),1364,820,1463,2194,4483,3305,3857,3916,2843,5655,,157894,152590,162831,145555,138544,155684,178453,175592,174339,212498,,329061,532607,347900,355363,415616,821394,1416845,959739,633199,1034897
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",4244,3989,4855,5271,5174,5744,5471,5460,5046,5616,,160310,151607,144081,123299,139675,152520,180630,184191,169195,212484,,194961,184768,191207,142167,115889,166775,379438,252524,153634,245693
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",2787,7033,1716,2533,4527,5102,7160,5644,3833,5614,,487109,459831,480599,432771,443903,470792,511908,484857,473965,574618,,83076,44451,33434,41498,76612,55204,64433,66519,36066,51384
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",26854,896,1613,11341,1748,2085,3047,3442,4838,5586,,560004,479637,468171,422736,501412,485040,502653,536568,445519,537663,,116181,83569,205452,279239,174993,90599,134317,175861,174093,184377
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",1960,2545,2555,2837,2662,3858,4884,4060,3562,5558,,34404,30371,31420,40015,34119,40218,41636,27556,20938,22341,,22147,24465,24681,27407,29963,30286,40159,35806,32051,49700
820720,Interchangeable dies for drawing or extruding metal,52569,45995,15031,19499,9541,10301,22574,26341,14950,5519,,119774,99286,87745,76033,90087,108453,89318,87765,77971,56705,,128622,78639,87419,74556,60198,51826,49655,73302,43609,59515
400942,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",12227,3128,12400,3341,4900,7147,5988,6742,6944,5510,,107445,79300,102433,97429,84759,100659,109020,93093,80816,101957,,47313,30692,42843,32975,32214,36026,48259,42539,39789,35942
720219,"Ferro-manganese, containing by weight <= 2% carbon",16,68,2,2,0,1987,7217,1490,1761,5485,,3179,2551,4852,3706,5819,8029,9926,7993,14736,25616,,39660,38611,74098,46870,40046,73754,54460,41259,32512,63181
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,3271,1180,2667,6357,5479,,0,0,0,0,0,703,1215,1036,1006,509,,0,0,0,0,0,8487,6270,7497,7217,7406
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",3258,4497,3754,4635,4859,4286,4427,6983,3062,5445,,79628,81623,78117,65964,71598,74679,71607,74906,49517,69247,,37723,34499,36876,34927,36083,37525,56156,55821,51924,67427
843390,"Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting ...",1665,3558,5512,4168,2875,1980,4217,2215,3686,5441,,85994,78799,72255,59802,69256,61505,65620,57588,56186,70716,,11029,13551,17506,18928,13990,15888,25823,23555,27709,29728
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",1427,568,764,2440,4992,4241,7189,9674,5487,5438,,174899,141395,127347,120758,137229,155887,159885,137272,150945,174521,,49104,58998,66821,67188,74545,84382,102813,116100,92220,138939
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",1905,1472,3447,2518,1663,1462,3712,2321,3152,5419,,51157,41528,59871,36995,43445,37338,43411,32756,41194,50578,,156605,155794,152467,145358,109324,127816,169048,169844,146863,158966
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, ...",2611,4895,5502,4833,3615,4886,5236,5502,3577,5412,,115955,112326,89015,77592,88000,106646,111484,107553,90556,107917,,43453,59854,65590,71586,70841,77464,162220,232318,157309,168338
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",5515,4885,5550,4265,4642,5770,7175,7090,3683,5409,,153621,156241,162377,149810,176087,182365,195334,174219,140919,184830,,53975,51328,54994,44418,40336,46113,60409,90444,77757,83335
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",10201,5807,7256,3760,3388,6000,3445,3458,3207,5404,,166511,162723,138321,118293,98432,96674,103929,140631,150285,171803,,149904,160779,239198,307703,203604,427334,212963,231510,239198,293326
481099,"Paper and paperboard, coated on one or both sides with kaolin """"China clay"""" or other inorganic ...""",594,114,229,564,414,937,958,9786,8465,5402,,12653,9926,8426,8111,7414,7035,7138,5940,8453,11062,,28607,23462,27522,31930,33873,35106,22692,19814,13291,12830
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",13751,5879,5783,3852,6624,2885,4917,4549,3580,5386,,452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011,,70107,56744,60726,48513,59341,74239,92622,79680,80016,95956
820220,Bandsaw blades of base metal,4310,3907,4658,4114,3903,4146,5251,4987,2535,5375,,33266,35815,37146,32204,29840,33198,33589,31367,24770,31428,,16908,17037,17332,16000,16995,20420,26778,24359,18337,27993
721050,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",5451,10451,16626,22645,9565,11508,12542,16586,11498,5338,,225240,195621,229068,204557,194096,224203,257088,246032,246234,270779,,19814,25983,35873,41663,17798,31438,47055,52792,32033,16059
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",36783,18866,9311,10759,14436,11735,12241,17468,9173,5314,,194390,201624,265787,190986,203216,230795,264142,253217,225389,378166,,319311,389779,310285,317445,296887,256339,338661,320447,207250,183151
282300,Titanium oxides,4221,3747,4235,3565,2875,4300,3864,2752,2650,5268,,78234,75420,66865,57132,60963,72645,83764,66796,62287,85140,,63551,53462,49323,44016,36125,37181,43497,44956,32601,43738
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",1465,4054,4577,680,337,295,715,2934,6744,5267,,124999,119582,127486,113178,94178,85266,86579,94929,80060,84196,,106785,121494,122269,113450,87119,99122,93636,98930,72168,81896
730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other ...""",16560,13403,21686,8411,4158,1723,4621,4624,5500,5207,,309475,271441,300461,246859,141161,149174,156086,149684,130658,147457,,183935,108463,181676,76074,50147,43955,101745,74912,71267,143887
810890,"Articles of titanium, n.e.s.",449,1029,2942,2272,2071,3558,13777,15532,7812,5180,,473540,330115,300793,269233,268496,279433,313769,297918,248679,226381,,41758,46544,45035,50742,34709,55784,77757,95058,54717,78825
720529,"Powders, of pig iron, spiegeleisen, iron or non-alloy steel (excluding powders of ferro-alloys ...""",2142,3014,3531,3987,4603,4928,3357,2973,2672,5065,,61585,63743,60180,50563,49220,49851,54208,58360,42935,56539,,26507,28553,31616,31392,30673,34522,41909,33896,24539,42912
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",6485,4168,2218,1408,1461,2193,3419,5329,4753,5053,,235089,231137,133453,90094,103239,130346,116345,130539,104389,103821,,109811,114074,108083,103667,159420,200857,161312,121766,88553,137072
846022,"Centreless grinding machines for finishing metal, numerically controlled (other than gear finishing ...",0,0,0,0,0,3279,3133,8909,2915,5049,,0,0,0,0,0,57702,58397,55250,50289,49996,,0,0,0,0,0,3586,7104,12351,8067,13086
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",10296,7113,4162,2092,4203,3823,3308,3627,2188,5041,,89748,69930,70952,55851,58715,55794,63948,56816,42505,56058,,149126,112736,96419,80370,62051,64150,89320,80118,67237,69490
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",12923,11278,9662,9220,6213,4198,4668,5329,3040,5033,,47807,41427,42958,39452,36685,36437,43648,41734,32586,35006,,116442,108786,112517,101197,104164,121556,138518,127393,95230,140731
