Product code,Product label,"Korea, Republic of's imports from Taipei, Chinese-Value in 2012","Korea, Republic of's imports from Taipei, Chinese-Value in 2013","Korea, Republic of's imports from Taipei, Chinese-Value in 2014","Korea, Republic of's imports from Taipei, Chinese-Value in 2015","Korea, Republic of's imports from Taipei, Chinese-Value in 2016","Korea, Republic of's imports from Taipei, Chinese-Value in 2017","Korea, Republic of's imports from Taipei, Chinese-Value in 2018","Korea, Republic of's imports from Taipei, Chinese-Value in 2019","Korea, Republic of's imports from Taipei, Chinese-Value in 2020","Korea, Republic of's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021","Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,14011958,14630837,15690458,16653729,16402117,18072075,16736993,15716145,17836179,23483116,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",5354578,5756908,6814161,8327430,7936135,6990826,6737410,6486379,8264259,10545639,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1548635,1543998,1421879,1532799,1626843,1964807,1796968,1482729,1972452,3133343,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
854232,Electronic integrated circuits as memories,297692,661062,655402,743270,631216,1063246,824016,637302,684097,891827,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
853400,Printed circuits,727606,838572,652854,534565,576912,528558,495846,530202,609379,794702,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,2696679,2818361,2583840,2375745,2173989,2397242,2228141,2255671,2361354,3098227
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",428534,436017,395211,295720,172514,259335,357388,347150,303205,417270,,5619155,5849332,6778516,5929628,5082893,4412014,3115613,2058540,1833356,2609199,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
854150,"Semiconductor devices, n.e.s.",58365,88536,148371,133408,158013,180772,238110,337904,319235,331961,,482385,462070,417754,194691,17009,12545,15322,18708,35288,38792,,141035,167248,245126,255473,291487,300609,325047,399112,395217,418026
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",3440,3505,17641,89428,247852,421497,259975,248807,206888,236228,,451306,314792,254892,232673,202997,222612,201752,186423,185631,217940,,583540,765255,824736,842389,678114,960746,722305,609377,557569,653778
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",20047,52141,50061,28226,34846,34938,135635,51477,143028,236036,,317142,298085,283393,249296,245456,281647,280335,333351,329354,344633,,524832,429476,451222,435431,369351,442254,558733,419400,496910,565059
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,15675,3545,40948,24354,20944,74088,53907,39765,139625,187882,,32861,54591,43287,42671,85813,128242,118484,133175,146970,166780,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,90102,110135,120427,100833,103935,139781,132489,139859,146146,187864,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",132593,116791,102241,118922,115333,169097,196980,158008,155694,160052,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",41650,60372,90426,86140,38672,27862,39064,43623,61012,152545,,593033,491992,464776,349534,235294,229918,376906,295305,328888,677461,,86998,111026,165517,139640,109599,129125,160562,150112,167726,316808
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",32212,35728,30153,29855,47483,62022,118476,162371,126278,146230,,1234047,1192436,1192664,1152038,1122593,1209901,1262074,1172580,1066760,1292023,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",0,0,0,0,204,27589,44625,55520,14554,144466,,35826,49111,64497,56765,89330,82380,105551,75369,52349,102362,,304183,240571,290031,398128,441672,518038,307598,376909,215717,716192
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",36282,43267,63947,58850,43759,31302,44202,325121,156014,141403,,864143,835223,1417700,2707637,5765368,6929297,6391577,5195345,5348401,6922292,,645810,674780,737450,733166,777728,1363169,2064663,4827993,3576043,3535942
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",94,861,3265,5637,5454,6457,6599,3552,7020,121285,,69171,87558,70019,59366,76175,27698,97728,62003,149161,206854,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",392732,122527,36242,47450,69464,66732,86438,92614,94125,118391,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,544187,296300,160466,186581,241865,340951,860048,1152982,1914221,2396090
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",32620,39473,53400,56986,68192,79433,119400,95522,84887,116902,,829309,814274,803381,806753,905747,1226943,1276043,1073046,1105366,1798030,,173939,203818,206193,215208,237285,292259,353255,339094,375148,495843
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",46837,16652,7038,11094,9534,34631,41670,31161,46051,111306,,91264,54378,59925,44817,39617,65998,64419,63691,52230,136963,,660065,407353,455808,380039,214525,348904,377027,302429,335252,574672
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",28683,24679,31706,34488,38910,39245,63496,59556,85288,106227,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",27909,29122,49412,36329,24128,28201,30847,44944,59225,105884,,228796,204116,206673,183478,176815,289144,364977,374996,409168,639946,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
292610,Acrylonitrile,7396,7543,0,15515,43371,24808,14678,63806,31837,98986,,284611,304999,346356,245782,184071,235697,408299,326259,181032,336355,,211031,175651,172740,141710,146746,219649,330595,265385,211328,457489
290230,Toluene,6406,10255,59434,44120,12126,69672,104802,67133,51634,97101,,22473,78099,287986,202452,141652,194316,215895,232861,152116,240161,,105099,126013,468806,434421,284536,457271,573154,389556,183942,412576
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",33997,40625,46397,37271,25936,36419,39066,39155,42536,92965,,62212,76300,88257,70040,66196,85429,132843,133700,104406,234558,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",129393,140810,90526,99757,118288,83382,94495,103951,58008,90764,,998783,1087341,1290700,1284055,1147897,1145357,1278153,1142348,1175146,1475320,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,8813,10125,9624,12578,23986,53281,67021,61867,60278,89206,,375306,430743,538692,515211,750482,949003,1268345,1265667,1526325,1837047,,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",3704,8949,29875,21206,14484,29045,34949,21726,23418,87079,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,104636,137370,185740,229315,250286,295106,319336,259039,204249,341610
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),41445,58685,124895,58749,49383,82143,52331,57112,48059,85318,,678281,587778,557425,456122,517557,574098,732764,709532,826088,972120,,365239,346281,430807,329069,312863,384130,419434,459655,498772,635367
854110,Diodes (excluding photosensitive or light emitting diodes),144928,103139,49259,51003,51161,50392,52405,80426,66661,77806,,1018627,1040065,1101594,1171704,1208012,1128489,1094323,939437,956400,1183139,,526629,510948,440989,394357,405503,485468,476005,488709,457847,599726
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",2456,6182,5359,8324,31377,30281,43568,16849,27620,74239,,122817,115486,135145,96239,129776,291098,292684,220037,186793,641058,,111262,115612,131680,117527,136573,168519,214404,174893,144524,272198
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",13462,15908,14952,15503,22857,21444,41962,37342,47913,73664,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
848630,Machines and apparatus for the manufacture of flat panel displays,1704,65,15490,142493,365608,849188,24612,32610,168969,72941,,168470,217027,256625,332785,409211,655232,658859,563384,665019,664511,,689090,778214,565614,428216,2021765,2917328,510369,292960,847088,273984
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",42323,67,38158,51396,48531,54123,77712,63098,65122,72237,,242266,212805,316259,158371,162392,169486,193767,199170,138402,329287,,220786,133795,122012,125740,124127,132459,142051,126130,106141,106216
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",54982,54422,45064,34990,33937,47861,55286,37957,39958,72201,,730507,757341,708651,569498,545532,702827,788968,662091,627872,1225572,,277346,284713,289760,271182,274917,316500,326290,287027,253060,424586
847170,Storage units for automatic data-processing machines,27896,29349,61632,67082,80306,60217,53982,48520,51581,69264,,1670752,1217667,985511,998526,932257,772659,711907,645158,731405,824544,,1286252,1312733,1409346,1397474,1682080,2487168,2873605,1012692,875437,967569
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",72862,105238,103773,71690,73719,86970,64077,59070,50384,68561,,698158,759133,765267,688115,730513,915211,941719,970107,1002505,1190522,,414899,416170,406755,356444,394377,482347,450358,422769,431357,603367
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",43832,33889,28904,48622,93702,42908,26073,33424,56121,67947,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,25047,4049,16071,6027,5723,16617,27335,33680,29808,65871,,290562,430447,247515,269806,369808,921011,888122,1068687,1106574,1998520,,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,41449,40176,41075,29039,65447,,0,0,0,0,0,91199,119169,128942,79879,95027,,0,0,0,0,0,46225,58006,65789,44411,91721
722100,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",54692,51352,60369,46667,42503,49034,56479,52115,51689,62047,,305098,244888,278891,292705,274164,372028,376517,299591,263824,345881,,179634,170954,192061,146390,128258,141430,158709,151677,142046,184609
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",196555,94345,40901,44938,46147,91113,70043,77920,58974,61174,,1258809,1352928,1253973,1054202,902341,1173334,1422704,1518404,1522444,1624655,,1388326,1173436,1029047,859060,873887,1160699,976675,1001801,745608,1329228
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",29580,31515,32329,38337,33573,45071,54748,43646,43136,55551,,644886,658172,801859,745274,721008,995402,1368697,964232,1067195,1554675,,596674,552817,553108,498961,441326,455498,506948,418345,388445,488086
290531,"Ethylene glycol """"ethanediol""""""""",11422,19064,2660,2204,1890,24,36,2051,22687,54618,,1257992,1395906,1389118,1099380,853967,1235503,1252756,832134,646016,889550,,497911,516481,426356,273542,192507,237935,237266,203556,198222,261186
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",5254,7172,9004,12409,14002,20118,20208,27589,37849,53768,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,84639,77087,91777,96530,95137,602011,545335,470442,543763,852757
210690,"Food preparations, n.e.s.",3932,6446,9941,8523,8733,15157,22629,43745,45263,47026,,245717,278021,325763,371072,406688,460192,604534,700475,679984,828703,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
848640,Machines and apparatus specified in Note?9 C to chapter 84,26572,11842,25889,21430,39573,33832,26238,18400,34869,44714,,91680,67674,109506,110864,170699,199244,256569,288653,216093,310422,,920874,572702,686491,690889,810300,1216962,1006746,1018038,1294136,1361691
847989,"Machines and mechanical appliances, n.e.s.",45951,42684,24676,24925,16500,18417,17016,25369,31994,44480,,739621,639352,602997,561314,542396,699909,774121,678237,703675,767295,,1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",36913,32953,32550,30523,22224,25488,32086,25613,28017,42210,,110913,98274,99891,85588,78504,93040,117767,91798,91081,143325,,107394,106845,113134,111264,98848,116286,142672,118913,122459,217114
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",1428,937,461,527,246,171,189,158,138,42188,,46277,55409,57736,63703,90558,120307,131151,149706,160294,216872,,182950,178252,156000,197308,257583,290008,313058,427076,516765,441239
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,22258,23517,21409,17168,39970,,0,0,0,0,0,852052,913075,768975,760682,996590,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",54715,54569,50294,48197,43871,40929,38859,42455,34172,39353,,603399,637229,574401,463335,444379,432868,461299,499600,510224,557526,,322038,333148,319476,329270,354380,383524,375902,389682,409218,471108
390740,"Polycarbonates, in primary forms",5764,2324,5516,5890,16221,25571,30370,17009,11265,38522,,616360,674293,730584,727236,693239,971708,1121821,828877,753553,1421293,,261783,275204,297742,246152,223591,229304,258699,200926,181986,224695
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",40887,47340,47324,64899,55039,37886,37287,27035,39183,37948,,1884531,1744130,1746902,1914016,1501173,1349423,1499031,1365712,1125368,1340391,,175519,189141,207169,247224,208224,154745,144039,110832,172873,199973
290124,"Buta-1,3-diene and isoprene",75474,80491,64687,55292,66235,76016,79620,63904,42755,36361,,209248,136660,141780,99047,133203,209693,191057,136887,81193,107875,,943576,586085,627324,426997,463334,684975,627462,450336,343467,386056
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",2648,1701,3051,3995,5681,6695,6536,7169,48141,34274,,301680,316696,333150,331233,374039,435514,528796,468131,677673,755771,,281946,290391,268562,259273,225217,242821,317252,240727,311122,461632
850440,Static converters,19506,23220,25572,33913,24130,21226,24109,23624,26846,32046,,962241,967063,986908,923664,907896,938815,964531,1088818,1299650,1667392,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
291532,Vinyl acetate,0,417,19101,19475,25092,42429,35904,25343,25344,31395,,273165,225493,287062,202066,224056,286052,304569,251818,172049,448268,,25278,30604,62903,40289,41326,75524,80917,64589,58322,86185
392410,"Tableware and kitchenware, of plastics",15657,20191,23689,22220,26116,26195,28802,24654,26397,28746,,212975,248251,272275,267313,261185,278585,292700,324811,312056,362739,,73915,101873,125656,126836,124133,127793,136584,126161,123891,161704
854233,Electronic integrated circuits as amplifiers,4604,5343,13713,13237,13794,20084,21962,14552,20655,28278,,18390,27267,33897,53224,139657,74392,95749,53158,68736,62659,,86292,87926,91481,123646,124937,214303,259537,222446,277546,408858
293211,Tetrahydrofuran,2629,36357,9332,14288,16250,15677,25022,722,5440,26863,,70895,109364,79742,65558,45265,55842,57683,33713,49836,168108,,110520,108547,80255,61396,51441,64306,63275,52592,40503,109248
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",964,2492,8859,9869,5348,6253,9952,6678,11594,26105,,17662,28201,46159,45952,38210,62485,88727,52062,62141,83228,,58999,66942,68817,54193,58179,59450,72428,66028,65216,97011
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",2795,2233,1675,617,67,305,13204,21778,27034,26061,,18758,15459,13593,10623,11115,16597,38460,49144,58201,61819,,1573126,1085913,987223,699503,572566,492129,435919,396353,351172,432950
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",1252,1286,1581,2277,2069,2025,2589,2558,8126,25937,,247641,266003,254707,268779,283603,304119,341623,343411,418313,468743,,497021,516769,541761,563461,618648,653948,677554,617130,760720,886054
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,5377,6409,9806,10054,10137,9180,13378,12981,20224,25863,,199787,201488,222179,326463,337033,367401,447024,522347,736288,852591,,455595,416134,418351,464384,387847,455803,466003,554397,591007,642698
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",23224,25496,25653,27151,30411,40001,31459,34154,31646,25688,,27870,25076,25283,25364,25173,31092,39345,34662,36910,57677,,80629,83780,80676,74985,79795,91220,83423,94080,91742,95497
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",4370,5592,6468,7224,9442,16021,15572,17014,17673,23683,,230641,230692,241457,232961,242379,316447,328582,285767,315530,396488,,200589,177844,161531,153654,149690,147309,166897,158961,142727,173089
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),8841,11832,15569,19059,16045,20337,22309,14475,20023,23537,,21422,22378,21414,19731,19584,15427,22567,20769,19308,18673,,36988,46076,48692,47912,49308,80415,99909,76914,88500,108843
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",20571,28970,33961,26817,11682,13160,14151,13598,20076,22708,,2492,3149,1767,2661,2467,1283,3792,4612,7709,5736,,94638,103151,105837,97129,89892,126080,197840,191341,213600,303102
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",16375,19588,20248,25108,23375,36172,33566,28363,23031,21432,,58467,65012,80077,71449,74428,91188,90171,75600,71502,88347,,86775,83940,79720,84571,82837,90976,88185,92968,101656,124665
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",22868,21667,15902,18641,20136,24031,27391,11498,10946,20615,,1978,1964,1498,1881,1439,4115,2027,1361,692,1721,,60984,59886,48416,53834,79831,99268,88074,54506,40841,69442
740990,"Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excluding copper-zinc ...""",6168,4240,7368,5089,5485,5584,8844,12088,14386,20552,,38376,43694,44248,34545,32817,32285,34415,26633,27022,30649,,56862,56440,56456,51914,37243,41153,44838,39710,36887,56107
854160,Mounted piezoelectric crystals,9915,9250,8219,8447,8972,10058,10965,10339,14428,20487,,13764,13268,24165,210715,564346,615186,585002,536813,697109,982874,,258181,265970,329468,390786,338661,299979,271509,211351,251905,464123
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",19575,22779,19507,14641,14407,23861,28503,25851,20064,20404,,658094,677425,687909,472295,520811,661971,662742,524117,436452,778384,,96357,136029,162912,136221,148904,179895,215448,205874,220823,243985
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),18627,14605,9498,9804,8250,7715,15389,11288,13493,19796,,232790,228993,238580,246940,301556,346598,482874,362643,493008,677041,,89142,92920,94612,90235,88530,106789,143276,140051,160243,192989
290513,"Butan-1-ol """"n-butyl alcohol""""""""",10352,6774,13216,7034,1610,0,11879,14282,16188,19740,,218006,201007,135534,122682,103823,132382,141154,120385,107927,145437,,79949,82051,65067,54651,55223,60555,76939,57547,35104,95044
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",11805,16276,14148,10605,13881,11440,11290,9165,12265,19589,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,1811183,1791005,1848781,1706756,1852511,2314068,2390393,2705992,3470964,4365444
845710,Machining centres for working metal,29804,29101,31073,37992,41204,63654,42724,28949,19601,19469,,1403744,1107965,1264923,1111634,1062312,1205321,1369773,1006522,700861,936213,,246874,251779,359933,290615,249703,261465,201939,171278,139813,138577
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),18860,16645,19220,17625,18804,16130,16551,16426,14285,19165,,277658,294950,324382,333960,348849,403789,422066,409034,440676,578821,,1095526,1256297,1080085,886082,831610,867574,874826,885453,858896,988447
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",7465,11940,7598,3822,2314,6422,9553,16061,36257,18596,,113810,118349,123959,148375,141814,150064,192312,140370,204185,219169,,470198,405817,370218,378923,303471,316787,340569,302370,339681,414233
871499,"Parts and accessories, for bicycles, n.e.s.",20835,18324,23465,23007,18682,14124,11462,10009,13462,18102,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,63649,58326,69340,73868,58576,46042,40067,37418,56551,67293
700529,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...""",45646,37252,29790,20116,11266,14559,17475,9455,20718,18002,,139715,107521,67627,43263,49056,97204,108894,106317,140599,96740,,195689,186537,150674,144195,83899,85276,118030,113905,128604,177942
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",20881,56514,46080,25663,40564,17759,20440,17596,19248,17940,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",11631,10120,13652,14044,12283,14840,13930,14698,15198,17849,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,88387,98501,117917,123649,125338,149915,197109,206677,286795,381752
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,0,0,0,9699,14766,17846,18641,17665,,0,0,0,0,0,160582,244126,249174,287804,319762,,0,0,0,0,0,92815,111534,148304,147040,159942
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",13273,12050,44758,49029,47074,34842,71642,15415,15081,16833,,148099,146502,264539,285792,416033,345012,340500,313888,327199,483655,,909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",9777,11227,12585,16058,15354,19644,19604,15699,14499,16789,,1993113,2015107,2204364,2114206,1918616,2195880,2481850,2290296,2017628,2610363,,193611,249990,260742,323385,212495,231379,221293,230632,185623,237736
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or ...",10885,12591,13537,12751,13359,14287,16961,18431,15958,16371,,75521,75409,87158,84365,89726,97635,110719,112440,108372,110190,,36374,39188,35635,32889,30428,30256,39299,36316,38052,36528
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,4565,3329,3896,4013,5139,13160,11677,13108,16352,16333,,0,14474,149779,153379,176128,160068,175354,173577,150487,145481,,485737,546906,723366,424269,385881,475356,295028,240139,229565,250289
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",34740,38797,40021,17741,16366,28364,18882,20838,19397,16235,,749055,708956,828559,501733,502131,616373,616153,490308,389134,882179,,160906,248801,337566,256447,245454,328398,364580,389896,394296,349993
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",977,500,621,6123,11174,18710,16606,10495,8134,16150,,33508,24510,33796,38349,31014,40697,43796,36797,41647,50351,,40912,42072,45775,51088,54768,65488,69861,56505,45654,63563
30192,"Live eels """"Anguilla spp.""""""""",0,0,476,7,0,0,12534,2297,972,15892,,58851,34019,28009,56857,62014,44135,82942,64676,34031,45972,,84419,120762,96900,58999,114774,89651,156841,67551,140111,82656
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",13847,21240,29868,21324,13098,17262,15219,9710,7473,15583,,1082308,1146282,1014617,711312,576136,685290,776158,512919,353912,524630,,434941,462162,659003,589716,521274,567597,582423,460726,303551,537636
30357,"Frozen swordfish """"Xiphias gladius""""""""",5742,8734,10762,14057,14431,15688,18530,21213,11932,15512,,0,1684,24094,24363,26740,32301,39181,35088,31336,26548,,10313,15129,19714,27132,31634,37592,42115,55836,34632,41319
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",11939,12634,15316,12572,11853,11725,15065,13031,12494,15318,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
850450,Inductors (excluding inductors for discharge lamps or tubes),7705,8346,9333,9456,9016,8703,9893,9535,11967,15177,,335147,319361,344541,339672,444052,477623,506980,424934,503202,682403,,282080,337664,370870,314200,377763,513698,458933,499205,556111,748299
852580,"Television cameras, digital cameras and video camera recorders",26532,45976,34228,21905,11665,13895,19848,19619,12568,15145,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,722038,557513,572680,1151415,1489670,954209,798644,807988,862723,952411
281111,"Hydrogen fluoride """"hydrofluoric acid""""""""",93,0,9,0,2,778,9062,21073,9143,15083,,7821,7789,10415,11291,11587,14621,26669,41549,33288,45291,,122778,114620,119564,107394,113370,149931,228221,199755,152110,191654
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",3912,5763,7384,27822,7429,20256,15394,14391,11230,14842,,206618,177641,212041,206424,260756,345070,432091,427962,451737,573588,,174571,187533,224411,274202,229192,326891,465416,472306,552826,659894
740100,Copper mattes; cement copper (precipitated copper),0,0,0,0,104,2768,4396,5757,7164,14799,,10760,8065,6016,3709,2845,3215,12436,10073,9621,18046,,48676,63217,141044,166004,103018,128804,155982,151665,180395,358051
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",23220,17759,14838,7810,7724,24683,4993,2840,4114,14669,,311776,271380,289960,261373,230681,285064,274647,270546,288564,341648,,859569,692855,557172,468901,494365,502961,458767,506491,492461,573479
