Product code,Product label,India's imports from Russian Federation-Value in 2012,India's imports from Russian Federation-Value in 2013,India's imports from Russian Federation-Value in 2014,India's imports from Russian Federation-Value in 2015,India's imports from Russian Federation-Value in 2016,India's imports from Russian Federation-Value in 2017,India's imports from Russian Federation-Value in 2018,India's imports from Russian Federation-Value in 2019,India's imports from Russian Federation-Value in 2020,India's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",13975,20802,26802,26652,21263,27478,23068,30345,28679,37303,,387510,447064,407812,285777,253700,273524,323471,335486,245672,308217,,149396,131109,124942,99051,104505,106864,137825,131927,115994,160354
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",5489,939,3751,5281,7681,18145,34928,16009,17021,35560,,589257,610355,598875,359671,294265,465629,680663,688998,438106,677814,,194961,184768,191207,142167,115889,166775,379438,252524,153634,245693
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",339102,338836,361676,318399,188837,184849,140645,128629,185076,33316,,3591204,2137881,2656594,2872015,1831783,2110631,2005024,2314287,1756407,3296125,,1164798,1163057,1329788,1187076,983371,1033083,1136559,1217180,1259327,892006
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",16377,21953,21139,15754,15566,26318,42939,24009,14338,31187,,511376,476000,359630,286624,253222,387762,443292,341558,254538,327684,,32627,57280,70789,69945,69234,103955,142567,112932,63909,143538
271111,"Natural gas, liquefied",0,0,0,0,0,0,30563,23603,11650,30418,,4679063,5510958,5243511,4545762,2899797,3173802,5285983,7920048,6745828,7320221,,7795965,8311492,9888690,7133087,5425188,7204333,10912584,9550077,7908672,12078526
760110,"Aluminium, not alloyed, unwrought",14004,12781,31196,95634,12150,0,695,14508,35102,30250,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,324786,420542,332979,346519,318270,205803,142017,108257,172665,153202
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",107272,100793,98636,60581,56855,78950,76883,44242,25533,29596,,309205,324501,262427,173365,179421,206957,232079,191589,181856,192882,,183626,169761,147036,103113,97130,110720,140631,103610,59700,67857
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",28533,17588,10296,3212,5116,7622,6637,1692,3701,28680,,361703,288960,204116,192206,190659,288480,269376,239338,246581,441122,,609597,463567,479076,271696,218916,270632,245438,178138,166532,352538
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",19374,29981,20050,12917,15947,15484,9893,3409,8435,26944,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,219778,191099,149039,98531,114067,186667,202432,158625,125549,232944
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",161750,27819,46904,14507,18328,45378,67681,114889,31713,26409,,580023,506149,411748,348127,262101,592302,679152,651450,487977,1066614,,1144566,846980,851768,521710,695612,1169841,1797951,1051002,625036,896859
280470,Phosphorus,0,0,0,0,0,0,13539,43104,21372,24063,,2,22,14,14,105,149,116,176,223,228,,63135,82843,82374,69176,77681,77083,106144,105511,95374,161343
283531,"Sodium triphosphate """"sodium tripolyphosphate"""", whether or not chemically defined""""",14977,32976,29953,27688,27162,22770,29292,20923,26391,20552,,99608,111002,109259,84799,53610,36386,62017,54951,47076,51131,,61819,79486,79306,81646,63045,53649,68436,44147,56116,41305
840690,"Parts of steam and other vapour turbines, n.e.s.",3526,262,733,5007,693,274,66,3401,367,20082,,68445,63507,106145,113269,56011,35693,83414,30095,54563,176970,,495878,304059,131300,153693,126873,85621,90398,99537,125216,131423
400260,"Isoprene rubber """"IR"""", in primary forms or in plates, sheets or strip""""",2670,4079,5463,941,2644,6598,11449,7234,8728,17046,,846420,707341,493631,366182,354651,492527,413715,385981,294818,449591,,5225,7731,10211,5777,6109,12232,19492,13860,15452,31033
310230,"Ammonium nitrate, whether or not in aqueous solution (excluding that in pellet or similar forms, ...",39504,14142,12454,24728,47720,37594,0,9103,5026,16361,,1000166,968532,962005,759377,589498,633164,686800,728568,625383,1171625,,86389,27057,20730,48116,83100,69816,56383,89497,54487,93859
283620,Disodium carbonate,9546,0,1605,2264,2740,4322,12525,5093,10938,15875,,153520,124581,104129,125088,142470,164622,181546,163706,134154,130701,,161796,141525,165374,172440,149779,158905,207231,227864,152854,134362
720241,"Ferro-chromium, containing by weight > 4% of carbon",10791,14633,16477,15715,3131,15212,14465,1975,4177,15514,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,26926,26315,44386,89649,61838,53617,41405,27825,36843,56168
720221,"Ferro-silicon, containing by weight > 55% of silicon",15245,15687,16776,10019,14006,13439,5503,1107,10468,15090,,558901,509652,543939,475495,397874,320100,555232,445535,347713,624485,,144937,135435,132590,142279,155369,184768,249872,216754,181568,282970
760120,Unwrought aluminium alloys,1506,0,3119,661,1411,1239,148,2386,2378,15083,,1961162,2100064,2112002,2283458,2046337,2455331,2028781,1493269,1320676,2989431,,339242,341504,432695,440335,472518,596382,628881,429438,291073,451183
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",0,0,0,2256,4655,4711,46868,96460,58031,14333,,2853,2592,10759,37055,68239,92856,126854,161991,151293,269172,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),44983,0,0,20981,0,0,0,0,0,13540,,20818,305679,303531,0,0,0,0,0,0,0,,157119,37691,45790,52725,25148,56502,16078,53977,11147,137113
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,206,0,8,96,1086,5383,2676,10039,5707,12466,,980,794,1061,96911,56518,85515,83664,91130,76597,71469,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ...""",2874,2788,3576,3728,4169,5128,3891,4824,4430,11998,,31617,38988,40968,33715,28439,25945,18803,18506,19472,41217,,24188,24760,29194,31507,32142,31053,31049,31725,32830,49241
290514,"Butanols (excluding butan-1-ol """"n-butyl alcohol"""")""""",844,147,0,0,0,324,2097,3413,48,11991,,85598,71284,42097,25054,12483,14085,24771,20242,14360,51770,,63400,66832,69267,55467,48482,49314,80703,62264,54947,104386
847989,"Machines and mechanical appliances, n.e.s.",1157,3431,1993,102,1436,20399,143,1609,1454,11948,,117742,105902,70004,65243,108086,165675,176876,132679,133721,129037,,884745,912343,750696,734773,748000,761348,1245827,1251942,1025424,1227482
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",10216,10530,13639,8675,8667,10740,12166,9721,3684,11939,,9459,10814,10676,8538,8305,9689,14279,8441,4095,15487,,273757,232681,237733,181768,155309,185659,227308,184492,119326,250245
284920,"Carbides of silicon, whether or not chemically defined",8617,1463,3640,4407,3937,5252,10394,7289,10214,11471,,49199,45041,34126,29634,23918,33614,39569,40026,44330,49232,,30698,27208,37787,34929,35073,38306,52153,41656,37482,56647
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",373,249,14523,12826,24711,15553,14605,6033,601,11197,,885774,768000,689787,490580,482338,430209,564773,447757,332773,404345,,6300566,7136329,4211932,2824254,2453509,7749452,9857779,8308820,6297469,8501189
901390,"Parts and accessories for liquid crystal devices """"LCD"""", lasers and other appliances and ...""",11,68,1970,714,154,1,62,80,157,11158,,22818,31836,24343,76770,104626,152975,138106,93124,74629,112230,,63752,169321,132720,123672,85545,60312,125118,26766,8517,79974
310559,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excluding ...""",0,0,0,27743,15557,0,0,36653,82157,10687,,184950,246439,167294,121483,212986,120951,170010,200666,206116,232793,,76844,61091,39827,48498,49031,28468,8877,46197,166695,106807
400259,"Acrylonitrile-butadiene rubber """"NBR"""", in primary forms or in plates, sheets or strip (excluding ...""",6941,4757,3614,3466,3268,7200,8530,3942,1990,10629,,86727,70855,44610,43841,38361,53945,69691,57833,43355,84489,,90545,77042,74664,68469,59944,92097,108527,87632,61793,100694
710221,"Industrial diamonds unworked or simply sawn, cleaved or bruted",0,0,2475,3033,4718,4811,10994,8914,5994,10601,,106297,95864,141974,100503,83725,85939,89458,62780,60877,78521,,1462,114994,4143,6671,14094,12517,34579,91923,50632,122661
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",1336,846,4164,1212,793,5007,942,661,4467,10502,,875,1366,4424,658,804,1986,1003,2045,1553,5545,,288326,153528,90576,82759,93607,133139,214497,176250,82029,87077
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",0,0,0,0,0,0,24,0,27,10303,,116500,164122,226020,200039,196175,372519,238344,236974,244419,297333,,0,48825,60718,45730,44901,49392,103784,66265,74517,123493
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",7,2872,27,42,10,4,0,3045,1606,10058,,44779,47256,53167,38979,16263,25461,27367,24175,17645,29820,,49473,48498,35784,44136,21520,5433,8278,8624,6828,17125
720249,"Ferro-chromium, containing by weight <= 4% of carbon",19677,12203,12032,7939,12816,24754,10132,6598,5697,9914,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,49641,44438,55925,44777,48191,47616,39464,31548,27655,43391
282520,Lithium oxide and hydroxide,4614,2625,2783,4237,14178,23510,11640,4642,2971,8900,,13027,7679,14805,12259,43992,62752,67276,78342,67990,79428,,10256,17842,11945,14200,30930,35913,34861,23152,12485,24116
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",6283,2817,5349,4984,7282,6138,3148,3577,3568,8602,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,13212,11831,15241,13286,13920,16641,21826,23047,11911,22569
281410,Anhydrous ammonia,17358,34733,24575,2617,19866,14003,0,0,0,8557,,1494197,1581047,1565281,1320495,828173,723498,1135309,1114020,839811,1668267,,1196815,986341,1121186,1043171,753261,706256,914984,775440,636993,1316086
291735,Phthalic anhydride,7826,17039,32633,13879,5908,6921,12715,5314,5218,8089,,74654,95244,75326,38047,26361,43170,50402,49942,45243,68960,,61701,75054,84085,64547,72804,111739,159032,156835,97146,154530
890800,Vessels and other floating structures for breaking up,3521,0,0,1883,2113,1610,20565,2737,10809,7702,,360,1270,796,1520,220,1720,1708,2224,4570,6540,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",672,2130,738,2480,2900,3318,1794,1475,3218,7698,,183095,177720,167849,149412,191947,196779,219582,274339,305053,286741,,538722,493167,518370,520021,549866,598351,791610,881376,788337,816128
711029,Palladium in semi-manufactured forms,0,1514,76,130,0,988,365,0,14687,7695,,406,422,530,507,2066,3358,838,1050,283,674,,2492,14990,42515,37758,17612,22242,44305,74673,209653,207963
261710,Antimony ores and concentrates,0,0,0,0,80,3724,9535,16582,6880,7412,,65591,48068,32756,28789,23040,44726,70546,52476,43460,51864,,25349,18494,15524,14330,10911,14248,23778,18790,13003,16846
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",12083,16024,14684,10165,4167,3937,998,3171,6530,7109,,122304,69617,99995,83102,89396,106888,121179,117222,139818,237501,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances ...,0,0,0,0,0,0,0,0,0,6910,,123258,109855,154638,135503,98082,103913,95513,75521,53412,102922,,12,0,140,0,0,0,0,3,10,13186
845530,Rolls for metal-rolling mills,4185,4785,2552,4115,5153,3101,10354,7657,7146,6906,,27969,23924,16451,21121,16960,18180,24711,21949,24327,27493,,115069,97550,88731,85581,92497,104157,158180,218027,143040,153004
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",56,215,1034,657,0,48,1550,694,524,6263,,27012,44356,51933,49636,46371,44475,25548,53621,32882,33862,,140442,61270,70243,114137,167371,100462,126333,111974,120112,170596
271311,"Petroleum coke, non-calcined",0,0,0,0,0,0,6023,0,4314,6247,,654,2951,871,3194,9806,61341,136815,103408,100046,176017,,460647,486532,540242,720127,842240,1324556,857267,1066864,794701,840353
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",0,0,45,6,3,0,179,26,12,5901,,3231,3487,3393,4465,4333,4382,4786,10236,36983,23431,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
901320,Lasers (excluding laser diodes),58,110,81,0,457,1028,2168,3149,3144,5285,,67350,54674,74995,106717,128800,311359,200993,159328,112973,136968,,22749,19681,22394,19593,21705,34739,34202,38506,35764,42046
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",2090,0,0,5204,6434,1653,0,0,87,5258,,261614,183909,151196,116195,101473,152038,162128,179145,165072,193258,,28968,45563,47718,54477,40119,37035,55085,72531,68141,57036
390210,"Polypropylene, in primary forms",426,12,0,1517,624,1011,1,5192,10308,5208,,90579,173613,262084,381032,323110,378023,378139,318244,616223,1050963,,538774,578755,693897,647332,575399,701202,801428,785900,567698,1127056
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",855,515,10,97,151,2490,420,131,13,5199,,138502,217230,181586,88415,147452,138340,105939,84346,77608,103717,,349173,353781,396320,432806,477390,536364,599976,624635,553969,639599
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,2287,4367,3472,3227,5144,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,4511,9535,13109,13553,18381
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",18377,5688,0,0,162,4866,1862,6088,362,5131,,3180,15913,7412,8102,4151,5181,11483,9537,8316,9302,,230364,220229,219215,183369,141734,123183,136719,170918,73801,141810
440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...""",0,0,527,289,840,3437,2972,4678,3243,5079,,41232,53209,65608,48372,51266,67115,92640,99810,118979,213866,,7355,6804,8111,9860,8621,13558,11362,13818,11836,15332
811221,Unwrought chromium; chromium powders,3083,3169,6808,3895,5406,5224,5249,4349,4199,5006,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,6661,7050,9579,6133,7419,7099,10677,12084,10435,8375
290513,"Butan-1-ol """"n-butyl alcohol""""""""",1619,417,0,0,0,0,1623,3541,288,4819,,87987,95089,66994,57110,17958,15322,37429,17450,11603,26489,,50336,60467,68228,49131,40668,44727,52163,46084,37423,52771
720229,"Ferro-silicon, containing by weight <= 55% silicon",3350,2613,6516,3894,10109,6812,5220,3664,2343,4773,,15367,13956,18981,12324,11089,12567,13186,13307,7601,15456,,19703,20975,25105,23238,33259,35908,44255,28358,25771,40570
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",105,0,0,0,0,175,677,1278,2037,4745,,2091,1492,2157,2295,1897,2498,5290,8970,5660,7633,,118183,100906,105696,108185,96212,103030,179167,248325,240946,262043
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",0,0,0,0,0,0,0,2649,9924,4634,,118345,151037,161651,73560,179381,213284,280810,149867,143550,201537,,3249179,3046409,4061438,2516647,2113546,2824551,4113189,3945509,3876079,6376946
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,1733,2697,2853,6725,4576,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,70268,113292,120697,79703,66701
711039,Rhodium in semi-manufactured forms,8,117,0,0,0,270,0,0,2594,4499,,64,113,70,30,74,122,0,253,222,248,,518,1166,3618,3189,706,2123,6860,6754,44747,47386
710310,"Precious stones and semi-precious stones, unworked or simply sawn or roughly shaped, whether ...",196,1048,12,4429,2457,11834,19399,778,706,4465,,8602,11940,10358,16827,13539,13122,20730,10360,8349,16795,,296498,106307,190283,353270,586971,837853,606046,435042,144225,337013
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,0,0,0,0,0,0,0,0,0,4398,,84826,50781,31550,0,0,0,0,0,0,0,,371363,765207,68442,66042,307560,136721,95892,0,0,11074
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",58514,37018,57854,107394,52980,8307,832,28708,38320,4356,,101522,68096,108526,136420,170138,132790,66188,165283,116252,166615,,355551,324199,200483,430367,688332,1310745,127869,203613,162239,164654
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",10723,332,634,2070,42,4709,588,10723,1943,4200,,193925,231500,216347,165473,216763,231029,255151,255216,181169,272681,,405083,436792,492907,551389,523383,549503,719176,787054,568643,699529
294000,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",0,0,0,0,0,0,0,0,0,4081,,13,9,88,28,134,248,334,764,635,689,,19657,26125,30408,29643,29196,26007,26767,28661,26402,82339
440799,"Wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...""",59,0,0,209,643,144,230,23,314,4068,,73967,69724,106870,138963,142231,43975,46559,44409,34642,35490,,22163,26924,36145,58974,67436,85875,92266,81165,59970,79276
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes,9762,8510,19993,14964,6970,5916,7862,3839,2717,3908,,79227,77439,79401,58654,55677,63764,76369,58333,59308,65578,,71143,43365,81855,60870,62238,125518,188687,162618,138883,295134
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",404,473,1499,233,885,437,356,859,1465,3595,,860,1118,1274,1244,953,1584,1332,1033,566,848,,39799,42208,53660,48941,54929,54890,79950,69725,60546,95658
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",16,24,82,0,63,177,248,1335,34,3549,,18979,17523,17080,7943,15639,21748,14977,23793,16564,16752,,966227,773666,885435,1057056,1262358,1368533,1044114,961005,489694,382505
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",13,0,0,0,0,0,0,0,1678,3526,,49308,41429,13789,15659,10942,13961,22940,18665,14713,29161,,103204,83098,116620,97570,120228,115116,122740,130790,74544,70219
90921,"Coriander seeds, neither crushed nor ground",0,56,551,3954,23874,9782,6250,3756,3940,3399,,389,4027,7209,19808,26903,17055,15906,16959,20131,33157,,0,7559,16291,19066,40076,20769,10633,6145,12430,12888
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",1123,181,362,600,1445,2468,3784,5485,1213,3333,,841,1055,2099,976,276,1395,2908,3155,4656,11279,,50215,42738,41666,38566,29312,41464,49431,41751,31214,30483
