Product code,Product label,Saudi Arabia's imports from Singapore-Value in 2012,Saudi Arabia's imports from Singapore-Value in 2013,Saudi Arabia's imports from Singapore-Value in 2014,Saudi Arabia's imports from Singapore-Value in 2015,Saudi Arabia's imports from Singapore-Value in 2016,Saudi Arabia's imports from Singapore-Value in 2017,Saudi Arabia's imports from Singapore-Value in 2018,Saudi Arabia's imports from Singapore-Value in 2019,Saudi Arabia's imports from Singapore-Value in 2020,Saudi Arabia's imports from Singapore-Value in 2021,Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",99,674,3040,2839,13510,10338,15506,16626,26267,13181,,263709,288004,292060,219874,130788,89916,148186,142462,111282,112889,,122980,118779,155613,131398,213099,186612,195358,249768,226604,148277
390230,"Propylene copolymers, in primary forms",4812,6123,7535,3839,1942,5854,7849,8806,8069,12834,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,35328,31515,36351,36142,37373,38780,48243,45505,45979,64163
847989,"Machines and mechanical appliances, n.e.s.",381,6041,4294,4765,8493,9750,10457,7801,9584,10414,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,68358,103650,88395,98997,100242,111585,172682,257199,245326,159530
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,1372,6961,2737,614,2862,1501,4524,3896,2047,9650,,399439,455096,482369,508232,440110,538469,508777,556516,680033,660384,,41227,30393,20512,30531,12084,18569,30081,23253,24303,41607
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",0,0,213,152,1116,1997,2097,11386,4095,8264,,159517,181724,185646,143537,174423,181283,164581,162841,179394,234550,,170647,192234,211575,272699,149127,160617,148323,200297,135612,167214
291570,"Palmitic acid, stearic acid, their salts and esters",8743,6379,8061,5978,5049,6730,4183,4238,4192,8151,,58610,58226,62279,59382,57432,62496,71330,71898,81736,99979,,29080,24465,42066,25619,33485,44838,46176,41175,44999,55108
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",452,2863,2038,3389,3191,6298,5647,9695,4766,8041,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
390940,"Phenolic resins, in primary forms",0,0,0,0,0,0,137,1173,4371,7258,,54940,55069,59045,60939,70601,88392,75327,76411,74891,96153,,7218,5931,8989,17204,8866,9604,9234,11587,16070,20455
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",0,0,0,0,0,0,0,0,0,7141,,650903,955469,742922,293225,229622,150958,1107820,2048694,351395,274349,,518200,870664,1025752,1194724,897680,775038,421783,734760,524652,618194
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",5404,5110,4821,6739,2349,5523,4131,5855,11443,6283,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",0,0,0,879,163,582,425,2601,3730,5393,,225687,187702,216291,182077,196950,248569,243531,225850,253263,308115,,26082,29407,31822,24416,31138,30312,45092,30425,68174,93202
151110,Crude palm oil,418,0,0,0,57,0,93,135,9385,5376,,5765,28,56,237,88,93,296,306,18,5140,,243928,210812,270110,177872,93515,181326,225095,226688,184220,459452
848110,Pressure-reducing valves,679,1704,6285,810,392,362,389,161,1118,5296,,40354,45702,55929,42580,37641,39286,37540,40906,40100,46116,,150375,143684,92863,58260,95880,131709,84273,81055,105360,147364
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",8184,7073,9131,7714,2507,11356,15011,2973,1378,5151,,261676,325883,354204,365285,294123,295228,339558,329389,341486,323883,,211814,247330,234308,260205,206929,300976,344304,266289,121955,178563
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",92,8443,0,0,69,0,0,807,21605,4316,,86852,72767,70734,54600,42332,37030,44564,28916,26455,29462,,193288,228718,257936,212640,141265,137231,96250,105032,138495,139857
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",911,731,915,731,669,446,797,473,199,4284,,472328,704269,743994,334830,250271,220836,235488,251406,197211,188797,,88170,94643,90369,87587,63075,65538,85334,81805,84453,96512
730719,Cast tube or pipe fittings of iron or steel (excluding products of non-malleable cast iron),538,257,0,0,0,0,0,6,10,4094,,79840,68596,59469,32736,25802,20222,23980,26350,18703,13086,,32092,48132,33587,37387,33862,26272,36482,36333,43837,53010
390130,"Ethylene-vinyl acetate copolymers, in primary forms",0,0,7151,10258,13002,13353,4152,6282,5271,4030,,151160,150309,165226,150558,131685,152575,174896,161814,150084,235815,,42721,26152,33532,51423,44747,45183,40368,40080,43912,65643
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",709,367,13726,2613,1902,9137,6667,14557,7246,4024,,3163790,3370850,3275285,2767887,2864052,2201906,2349922,2435629,1734035,2867460,,539833,477774,344294,434997,597073,818852,781010,1028825,583550,1408225
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",1645,2134,2270,1504,3833,2981,1998,3472,3000,3897,,579211,667658,660338,559988,498371,478746,500900,500150,424304,510761,,194546,216485,212511,187429,122535,145974,182512,323236,230773,279466
842121,Machinery and apparatus for filtering or purifying water,107,191,151,0,18033,1377,166,39,11,3848,,53003,58718,59338,76381,76225,86138,56718,62615,69170,82612,,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",4896,1839,4766,2957,1266,741,1593,2767,3042,3838,,146821,197336,186347,115956,98861,124721,103966,120234,106764,112062,,371640,403117,469713,407901,305345,311480,275248,364756,490012,356548
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,233,479,459,67,0,644,2071,1384,3719,3752,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,35614,37686,45947,49785,53836,48561,73766,98031,72137,104176
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",39656,2143,452,100,265,371,1412,530,5299,3711,,35976,30606,25075,36584,43257,54792,41918,31745,33675,36705,,160114,125856,98373,96389,80934,100501,111812,120923,219437,199661
903010,Instruments and apparatus for measuring or detecting ionising radiations,401,248,496,676,105,0,152,477,1093,3697,,45656,46217,39704,44247,30994,34642,38383,48290,41489,45915,,16039,16422,26169,17827,11501,16730,21568,26007,27964,27019
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2401,1192,1211,5619,1629,2358,3813,2361,4808,3606,,30265681,30754038,32528513,31067810,30028051,30717816,25520497,21203799,26221004,39605010,,32575,42972,30584,27455,15003,15708,23109,30083,66045,71626
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",643,345,609,5218,751,2358,0,234,1510,3555,,74487,74791,80636,77097,76409,88663,98131,91582,94778,114606,,31910,51340,70979,111050,127060,133582,105688,102161,93983,80801
730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",0,0,0,0,0,0,0,0,3721,3528,,8564,16267,2873,4968,1482,2165,2517,4408,2917,2275,,22449,11747,13483,5607,8289,16763,21273,26977,66340,84609
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",186,0,0,0,0,0,1989,2477,1092,3523,,5479015,6048253,5405262,5927719,6249812,6196489,6346641,6408468,4402411,3933248,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",3861,17970,72901,41070,14475,39650,10526,15527,4827,3456,,130439,132082,138217,131917,96159,72016,70162,94020,87325,108443,,308288,343203,341987,265006,197853,175093,189649,141654,77577,77986
848140,Safety or relief valves,4396,1781,400,705,215,578,1049,5618,6040,3403,,72585,99422,143371,181124,109697,82593,93736,140797,142376,112208,,333281,392182,363289,169724,114473,126895,133240,186467,232452,183398
999999,Commodities not elsewhere specified,0,77,48,0,0,0,3734,4031,1697,3324,,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",9354,10916,3348,7886,3606,2151,7875,9394,5288,3134,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,263969,302788,343169,391304,310939,235780,203239,239217,202429,197026
291612,Esters of acrylic acid,632,835,80,0,0,457,2245,1578,1111,3054,,99339,100094,94577,86120,41734,43719,32462,17764,9667,18214,,28398,26361,9471,4409,5845,5039,7162,5687,6227,10293
841430,Compressors for refrigerating equipment,1161,2109,1229,0,545,699,988,1385,682,3011,,486112,475989,458327,388754,382753,399373,221679,239361,204983,239092,,311355,327086,261330,314589,185543,190938,127180,124429,121926,113151
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",576,2029,2125,1889,709,1557,967,2104,1281,2833,,198587,331173,311066,256872,241364,238426,291542,329090,295639,344763,,192291,251897,266912,259673,219973,204800,217377,179267,215519,191672
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",3447,1882,2637,1900,1275,3121,1366,2336,1337,2760,,48609846,46130341,42668050,27219489,23654667,31195996,33977162,29297643,17208867,25298192,,215396,266082,321968,274817,312767,294031,236853,315425,253993,311004
382490,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",3123,923,856,3647,3498,1615,2866,2502,4500,2560,,407041,480506,571575,705740,696105,705155,0,0,0,0,,308729,333684,367136,350719,303647,243546,174065,276255,148458,88855
731819,"Threaded articles, of iron or steel, n.e.s.",31,455,42,278,44,74,31,327,1691,2432,,21855,33768,42109,40857,42564,50229,68843,69192,58639,68171,,38719,43130,46107,37340,25381,25689,28835,18928,14379,22978
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",668,1160,1732,1671,22649,3577,3080,1072,1306,2428,,173439,141472,188382,187203,115976,77554,74996,83304,79793,69873,,25561,39703,39307,32948,57896,35127,58914,42940,61972,47497
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",0,0,0,2627,5723,3856,2095,1749,0,2423,,45438,53137,46921,49514,41231,66679,73069,70134,68763,82932,,13440,13397,11069,14585,15685,13383,13594,13379,7485,14624
151710,Margarine (excluding liquid),951,338,625,0,0,152,1771,263,2448,2391,,24989,21827,25190,21701,17399,24831,35492,26848,26355,30275,,67419,58544,58869,57852,47845,42138,44526,16951,15898,31547
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",689,0,241,451,0,0,282,25,104,2377,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,433758,68527,330174,301974,327659,486227,322537,195422,118169,136372
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",1880,6995,2196,2228,2813,1574,2319,2653,4407,2373,,709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402,,49704,69821,82835,77955,57637,57512,100009,105838,114069,122080
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",359,601,614,691,819,870,5247,4638,434,2365,,6107660,5670055,4693435,4632247,3954257,4283840,4195562,3812250,4550108,6217790,,44232,62119,51675,55707,33595,58100,161936,164394,36829,101699
180610,"Cocoa powder, sweetened",158,64,0,0,0,0,36,0,242,2345,,20546,22206,27224,18077,10784,9579,10788,26915,7733,11200,,5975,8915,11381,20771,32545,24102,20258,11115,5732,8055
854232,Electronic integrated circuits as memories,852,936,1952,2030,1339,1147,172,267,1155,2249,,6121221,7887599,8885988,8811101,7726246,13654452,19637140,16602538,17741513,23117527,,10241,8822,7077,37321,3140,24553,3753,2768,13395,11398
292145,"1-Naphthylamine """"alpha-naphthylamine"""", 2-naphthylamine """"beta-naphthylamine"""" and their ...""",0,0,0,0,0,0,0,0,240,2226,,130,9361,13155,2503,53,63,543,23,1580,11,,1788,1341,2194,3332,1340,1160,1349,2457,3404,2230
902720,Chromatographs and electrophoresis instruments,1651,1758,2375,1927,1740,1057,573,608,866,2219,,239045,230211,228740,249255,301119,347328,406423,453422,397632,494386,,14957,23661,30381,19607,12207,14809,15358,13807,16051,18317
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,0,0,0,2198,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,0,0,0,0,99533
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,3914,4358,5026,3653,3811,3212,2438,1725,4482,2197,,130943,137340,131944,111042,74351,87060,120494,98569,98977,87112,,15791,12623,14972,10708,9672,8463,7821,6738,12618,5992
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",84,1094,4010,4508,1237,2361,462,357,3475,2186,,158912,168622,202205,199657,208658,231933,257575,270035,181042,182976,,33525,43215,100080,83742,54235,49424,31904,49398,147401,107603
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,0,0,2156,,0,0,0,0,0,0,605887,202018,475992,298545,,0,0,0,0,0,0,0,0,0,306772
40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",0,0,399,0,0,0,0,0,0,2062,,3989,3369,3445,3339,11586,2186,2083,15410,15308,16068,,3531,4779,9753,8123,7436,9148,7053,8391,13032,10993
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,1636,1975,4982,1684,1680,666,332,537,235,1995,,193477,281985,286443,281891,307749,272787,279940,320421,249545,322887,,65902,73084,91864,74705,62054,69376,68912,79017,85338,78333
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",0,0,0,1350,413,324,556,1497,2234,1984,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
180500,"Cocoa powder, not containing added sugar or other sweetening matter",2858,1298,1038,1177,3061,2658,803,1272,1586,1984,,148568,122202,103694,87893,129585,127143,135069,100873,111930,128705,,23881,20194,15839,14633,16957,14823,13842,13719,14544,21023
730721,Flanges of stainless steel (excluding cast products),0,2454,5375,2282,1898,375,1977,1294,1995,1960,,16986,13316,12893,12032,10212,8292,12896,17127,16013,10665,,44037,59048,55099,45531,42815,39335,46317,39567,30966,28762
848120,Valves for oleohydraulic or pneumatic transmission,968,50,391,0,107,321,613,1609,554,1957,,53189,56882,80809,69820,69837,75929,97680,104427,96594,96239,,27458,17148,24614,33678,23406,18605,26289,32066,30200,23428
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,143,1343,1365,1547,3160,10019,6986,1681,4775,1911,,131281,150541,148633,173873,141528,152750,177374,205136,259570,226903,,78289,98727,114450,99460,83499,73937,96944,83193,86597,87105
540500,Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ...,1741,2458,2347,2503,2118,1949,2045,2214,2015,1795,,44,26,23,13,18,6,12,4,5,0,,2592,2969,2603,3127,2742,2297,2795,3135,3211,3213
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",113,590,375,509,141,416,662,936,1004,1761,,1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",204,1098,968,1164,1359,1021,638,936,2921,1624,,167299,161655,174669,148676,132858,133908,152268,143081,143337,148171,,153420,194799,148355,151554,119617,112038,128385,123294,129977,143282
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",3280,23339,19256,8746,11602,4399,1547,3038,556,1616,,38837,32369,36034,27409,23250,22292,28414,25119,39056,53535,,102910,135442,176821,82550,60456,51253,48327,36162,34122,68328
731700,"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",0,130,0,0,0,205,0,16,118,1535,,9542,9344,9932,13426,19636,20619,20455,14150,11758,13569,,26882,29694,28128,22460,15673,10776,11584,13783,14980,14692
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",214,0,0,74,0,27,151,765,1081,1523,,184644,129300,346038,242509,393230,600176,257155,344478,941520,1563061,,4919,5899,7942,7911,4643,4463,5683,11738,10829,11214
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,591,0,0,0,0,0,68,27,1320,1511,,70074,70335,72457,82210,74952,68454,75779,71922,68917,91074,,11299,9476,11923,14841,31273,36841,22662,14871,13515,13077
731021,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping ...",97,0,0,0,0,0,11,11,2325,1490,,19040,24336,9734,2901,1566,1679,1327,1596,3019,2091,,18142,19593,17819,13241,11115,11133,15378,27975,24596,29388
151321,Crude palm kernel and babassu oil,0,0,0,0,0,0,0,0,0,1458,,340,0,0,0,0,0,1,0,0,0,,1711,629,371,919,383,616,213,2261,4809,13732
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,786,461,0,1241,953,1017,914,1423,,33505,35396,35197,37216,41859,38137,28476,38337,36958,49616,,5618,5581,6915,15116,6356,6280,8623,9734,14812,12578
180400,"Cocoa butter, fat and oil",0,323,841,873,0,1026,2291,2959,2006,1400,,102552,115880,190527,166808,167678,151647,144861,149912,172643,145424,,5396,6056,13502,10399,9440,11772,11943,13964,13410,12196
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",0,153,244,518,496,144,873,1206,1548,1372,,94356,110653,122247,120721,114648,132036,164894,162911,154538,196727,,34315,45331,48184,56434,44759,47365,57687,72161,86961,103128
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",1955,6276,7702,5634,2908,5498,1561,1249,2653,1302,,1770723,2894345,3161155,4026552,3634707,3474473,3650442,2560947,2393866,3453632,,227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,178,61,0,71,80,67,63,366,835,1279,,45082,29192,26089,29619,31834,35176,37650,32780,32584,36349,,38091,47211,46021,50869,51563,37801,35202,48500,50081,43617
730791,Flanges of iron or steel (excluding cast or stainless products),0,872,149,0,59,216,608,267,243,1228,,36099,46803,42514,34407,22722,33107,30778,42275,33413,25807,,90604,103594,68248,61063,85281,91566,83057,60345,67517,97520
290110,Saturated acyclic hydrocarbons,3766,3782,9811,2462,709,0,145,0,76,1189,,70536,43344,25672,21533,47689,67711,3648,2325,2824,3400,,33944,40240,49651,42462,43694,53370,99259,84877,61968,94572
750712,Tubes and pipes of nickel alloys,0,166,1163,0,0,0,0,41,0,1176,,4793,6285,3416,5003,2875,2279,3635,26497,18543,12245,,165766,15811,16023,6577,5001,6574,11107,24151,41872,7497
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",0,0,0,262,0,115,29,0,402,1154,,18569,22149,18896,15403,22025,18406,18214,26014,27560,31540,,11161,12159,37471,43142,33261,29973,36107,49103,34361,37070
847890,"Parts of machinery for preparing or making up tobacco, n.e.s.",0,0,0,0,0,0,14,850,479,1117,,20481,28124,27088,20858,19150,22098,16382,15030,11854,17332,,0,1619,681,866,1227,2424,1006,25427,99407,87685
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",5154,3136,7375,4421,4233,2010,2082,947,2861,1113,,674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693,,207155,236066,238577,186981,124622,136475,169160,107137,94371,97974
902150,Pacemakers for stimulating heart muscles (excluding parts and accessories),0,0,0,0,272,306,1274,707,708,1087,,54300,60586,105521,218010,218893,212770,114934,112162,60386,139422,,13047,16783,26075,16299,7178,7032,15816,24705,12756,14785
900130,Contact lenses,39,68,82,69,45,117,114,459,321,1077,,438896,591776,527599,526355,589547,593365,580110,726015,737888,605398,,22067,26745,24377,29961,24523,28286,29969,30432,19962,30476
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",1452,3529,2157,2331,463,1865,1338,2485,1105,1045,,293562,195961,264468,319269,257690,285402,306525,296758,258609,268234,,76719,84559,107013,79378,40615,53079,94943,162715,189941,138167
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",221,2322,141,0,1019,0,10,242,2097,1021,,68191,63609,77516,60725,58151,52839,64333,79703,58542,51987,,28990,32437,22875,22347,22946,21383,27310,19770,28944,20800
