Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
TOTAL,All products,18797191,16970270,16358691,13395985,11748712,16333354,18850037,17970065,20857605,26278993,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,1818199200,1949992300,1959234625,1681670816,1588695867,1840957060,2134987265,2068950255,2055590612,2438686293
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),3676324,1358369,715257,79683,525339,840459,391550,1093226,2610071,3099707,,2407949,1397507,683397,118390,537211,763492,356465,1020338,2390703,2109250,,90393655,102080390,90751176,55691375,55927221,74278723,72674453,95884545,113324502,168938362
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",1239102,1703089,2224798,1919491,2470658,2585048,2855273,1559298,1230274,2380072,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,4226239,5679913,7764428,6693533,7106304,7212350,8136090,7350291,5627046,8705045
760110,"Aluminium, not alloyed, unwrought",92841,65848,43812,18079,42269,25566,13846,17225,540458,2132972,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,1121464,762582,538044,299920,360676,240015,276232,151580,1934052,3833274
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,109561,116864,22753,323939,907394,816121,1129607,1403319,1545046,,17380,237678,191006,96717,467979,887730,899455,1337903,1483900,2050003,,5220066,4083717,2687971,2179141,1161234,1886699,2336602,3958507,5619788,4661382
520100,"Cotton, neither carded nor combed",3030110,2239550,1528648,364391,189668,192907,321406,376072,387171,763116,,3647065,4513411,2821651,1860425,1345732,1673933,2203316,1075032,1448516,2682048,,11804012,8440549,4990039,2564094,1561008,2185781,3165657,3567225,3562312,3798245
740311,"Copper, refined, in the form of cathodes and sections of cathodes",2165630,1801128,2332416,1648079,992830,2144525,1538868,214687,212853,743503,,2221632,2334134,2578064,1925826,1493714,2426301,827503,223913,132944,850759,,27304515,23583058,25183254,20737772,17811085,20243992,24874257,21259050,28175550,28316717
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,91330,919948,697200,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,52832,53450,22532,19120,19310,44317,63107,630887,3927294,5626865
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",22305,46736,34197,59725,38915,68889,206679,903747,607017,642692,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,152749,194261,308840,440605,444814,472710,1355605,3973351,3103671,3188432
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",414174,453176,738997,629970,552811,676820,675058,651568,646108,630787,,547371,575998,585162,450282,379114,443063,440409,423948,449353,460480,,798823,890918,1116860,895319,806896,900241,945095,853345,821285,763201
290243,P-Xylene,76286,23665,69599,236562,116433,673172,1162299,1192664,749498,614560,,965850,1067923,1027789,501116,473272,1255655,2655358,2556793,1755582,2077611,,9562943,13785830,12221567,9828192,9681700,12170062,16942443,13935831,8148951,10574429
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",63519,44789,79659,32616,49533,116206,56131,67659,105819,522165,,590332,704771,501940,332156,475657,370703,232614,293552,337999,854100,,32459896,39797995,36708354,39919868,38242517,41295399,42389087,35434224,35722443,40243950
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",330079,307677,237857,283562,272526,378450,384000,385513,357558,461048,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,333960,315579,247738,291829,275026,384506,388317,400242,362313,465918
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other ...",226609,251072,204220,176088,133244,125593,130446,198244,228971,457602,,282199,362296,271432,280933,236780,234304,212788,267325,300665,604352,,294121,308183,258594,234885,193744,185800,187432,255816,272069,840874
90421,"Fruits of the genus Capsicum or of the genus Pimenta, dried, neither crushed nor ground",25918,4272,4193,4070,2605,8365,37481,291617,360880,439113,,0,159291,342225,392393,496953,609667,539659,694055,900520,974913,,25954,4294,4391,4139,3050,8693,108703,308293,385672,457666
720241,"Ferro-chromium, containing by weight > 4% of carbon",236048,306943,174927,129209,135231,456095,272945,394668,302016,367948,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,1761420,2019010,2048902,2418218,2278728,3184579,2685570,2958161,2631219,2948201
100640,Broken rice,0,10,21,0,0,0,0,87,1149,340398,,286401,318620,279817,320960,202845,370257,422117,90600,348671,1037236,,109855,193613,187200,278885,217160,325879,258953,195675,424397,851232
150810,Crude groundnut oil,49960,6452,29583,20089,19360,18189,21909,15694,184468,335090,,4500,4,6204,4384,12532,8291,12225,20010,266098,193593,,147391,108270,116461,167521,150596,147685,154515,225174,432186,530709
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",226157,553089,451258,437297,279367,307950,378863,232508,184488,320546,,294478,666232,564968,501738,427478,439165,574252,364645,328248,643826,,1888094,2805305,2547089,2376235,2144081,2312719,2477363,2085378,1958541,2529982
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",327780,87713,212345,340370,142943,271690,840186,336537,116720,239082,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,3363029,3759632,3740186,3994815,3477904,4161497,5834302,4271919,3480420,4812584
760120,Unwrought aluminium alloys,2,0,0,0,0,1,188,7492,97840,228705,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,278899,247462,206327,160410,128586,156833,173291,368426,1879017,2253116
290611,Menthol,296367,253800,187036,125529,137983,161588,227975,300565,198305,227394,,374960,322597,212642,138633,179493,239264,362064,397410,311296,317297,,327646,292752,230700,163626,164761,189518,255436,345911,250249,283473
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",53903,42384,63599,57705,89396,124192,157453,179931,170649,224048,,377420,268935,311924,282147,352137,384319,619851,616411,554729,723054,,1981602,1963515,1948579,1362226,1340574,1988801,2458491,2409939,2776526,2641465
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",0,6339,3796,8116,0,0,0,30506,180746,185436,,172806,425394,313685,139646,52578,208269,123538,93934,134491,464839,,266838,118770,71766,45241,31474,37800,22518,324613,1852501,864175
850440,Static converters,35377,44179,65038,65538,141067,154049,212976,459016,329325,183605,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,6267474,7495797,7393272,6591898,5919760,6179231,7292692,7106455,6965111,7355383
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",253,3929,0,0,0,2638,2322,7489,106989,151565,,7995,6085,5773,4670,1475,25218,1450,15754,114082,144857,,205761,214404,164861,129808,140240,218016,282262,360082,902493,1171459
520523,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",105518,156474,132799,132670,105516,147535,178503,175027,122109,150342,,847839,1078205,862607,675959,672507,787557,920568,792327,814370,1374932,,221587,277779,272999,280219,248059,310414,341123,356679,249061,309971
90931,"Cumin seeds, neither crushed nor ground",221,485,392,138,245,74,85,99865,151342,143201,,0,248493,288353,220316,274773,336139,416654,450079,504935,448845,,328,569,398,249,358,321,223,100149,151481,143230
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,20687,18599,22009,20491,21357,27584,44966,92836,93313,137605,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,249206,246640,271487,266251,280336,318273,353642,394347,324041,390988
520524,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",289749,451678,355316,604015,297125,311428,303090,200581,129163,137285,,669693,898250,809666,917590,718499,796427,830951,598338,566457,887054,,500013,674050,601369,950919,638486,711764,695011,504507,341943,317389
520522,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",90531,163157,68775,111668,83804,82905,129776,116400,86761,128920,,317457,398776,284298,287553,272981,322945,379667,354722,327559,612943,,341550,423190,290365,329271,260911,269691,295291,267441,196931,324664
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,5179,51072,41789,116764,127595,,757,2504,3908,3343,4662,10523,72172,76073,154755,320899,,45783,24288,15296,28796,27417,245453,479255,533893,1362723,1295347
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",28876,49704,77152,61290,42864,41298,58883,85527,94000,126484,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,3707456,4260444,4092613,3816719,3526460,3484867,4219117,4324619,4467964,4860809
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",3183,5288,9110,12065,10364,14755,30085,37720,52429,125531,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,6523806,6955448,8693723,8779886,9750962,11911435,12034664,14782255,14963999,15582922
740313,"Copper, refined, in the form of billets",0,0,0,0,0,0,0,2550,44835,122220,,318,16,272,452,392,151,1435,25579,200442,270155,,32553,16737,26125,54445,22788,37107,112181,175567,245741,399779
520514,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",213539,531602,543600,505038,225052,177545,209248,56586,20405,121334,,195404,591221,573818,518417,283498,211992,253596,91085,53997,206177,,523102,1010473,1203297,1183938,778820,797364,881988,717679,578072,827736
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",12246,4812,15602,20007,48299,72762,60955,96146,97107,120391,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,311243,340489,399352,394048,396794,504272,494064,606132,579603,590995
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,0,1,0,3,0,0,641,26552,113447,,2106,2558,5861,5186,6304,6085,8493,5867,10304,62908,,5476,6029,5596,5026,4443,5386,9433,4554,77588,152822
480593,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",0,0,0,11,11,194,4132,919,19817,112438,,2108,2635,2242,1983,3058,5069,7178,7165,19749,68702,,25121,24742,17174,16004,17186,26987,31784,19591,177866,258779
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2244,1480,1170,1415,2770,1801,5732,42579,51476,107852,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,4758702,5179842,5142229,5293867,4989382,5599475,6044007,6382310,6732181,8284432
740200,"Copper, unrefined; copper anodes for electrolytic refining",0,900,0,0,0,0,0,426,48659,104777,,722,1293,1375,32,8363,111,16,68,7081,49002,,4174417,4562816,4035684,3028510,3450466,4815089,5867658,4551669,6279175,7620345
290220,Benzene,10615,25413,3946,28591,9781,62921,237028,95169,52656,95877,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,531825,1191650,765076,867079,996403,2098409,2191237,1215598,978566,2531846
530500,"Coconut, abaca Manila hemp or Musa textilis Nee"""", ramie, agave and other vegetable textile ...""",58229,67118,82136,71151,75375,108552,86367,77259,75179,91970,,114462,136907,156834,164317,226821,248187,253396,271430,321678,436340,,206221,197466,266675,239158,206246,240435,232982,227673,206678,225147
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",50022,47533,54224,69602,56989,58233,60339,64401,53228,88784,,36075,93218,68419,79491,57192,59321,66804,62632,52882,177172,,2248683,1418904,1582579,1778057,1158139,1235025,1650923,1311140,604419,1468596
30389,"Frozen fish, n.e.s.",89054,76868,49636,27797,17365,8156,110588,200988,140646,83834,,0,512813,499533,392621,409739,476880,412819,355897,265496,193895,,497989,466369,514618,449128,482037,442065,600675,881678,824804,594696
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,67527,311829,267501,229827,83220,,0,0,0,0,0,0,82,174,199439,257687,,0,0,0,0,0,4057607,5792488,6136819,6240773,6517305
292800,Organic derivatives of hydrazine or of hydroxylamine,181,174,334,129,138,4909,16256,36603,19109,78105,,28266,41105,36121,40247,42681,53111,94291,152981,164837,177169,,15709,18860,14320,76301,133549,68415,53102,47225,31550,93537
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",22770,24495,26402,32220,37983,47589,57673,69181,62523,78102,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,160027,307247,454469,436985,469930,553797,785190,680998,681373,639449
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",18598,17374,15136,12908,11729,14763,21063,39388,50756,75173,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,813670,825713,1029781,1311173,753900,1088952,1695302,1575060,1380097,1169930
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",32227,99202,94617,75540,63585,162663,209051,155380,103164,70765,,99547,133213,122538,129070,121091,174311,227160,236840,195431,180202,,258031,356415,340690,243656,189189,315698,360203,299293,255338,249060
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",1,0,0,0,0,0,1,1,162848,67712,,16,8427,70942,12,12912,78,12434,75335,141413,162515,,33761,104920,26719,27674,14826,13784,63620,346512,2489777,771308
390210,"Polypropylene, in primary forms",459282,431916,353144,218188,103782,85098,163878,137928,317343,67483,,853399,1538483,1209475,734643,561282,484029,867715,549367,672834,630502,,5801001,5595865,5821826,4439846,3523446,3843963,4191398,4044476,4542092,3707061
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",103364,57665,28494,36019,50278,152686,235481,421675,265664,67234,,227382,172877,57912,96742,117682,211792,377725,504463,327770,215344,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
740319,"Copper, refined, unwrought (excluding copper in the form of billets, wire-bars, cathodes and ...",0,0,0,0,0,0,0,7264,84107,66497,,2148,3170,1090,1226,17,982,226,3463,12869,32630,,13757,44030,34572,66397,72413,47303,169693,266908,642168,966295
292690,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine """"dicyandiamide"""", fenproporex ...""",20016,23911,22795,24405,25007,36215,47356,56923,66890,63429,,33170,38072,41758,44057,37709,61162,65878,64905,76304,96400,,354515,364524,379204,263994,358801,572403,647751,773669,657034,630090
902230,X-ray tubes,19159,26452,40478,43365,48750,47549,51606,49353,57409,63333,,35280,29317,34857,61556,78867,76914,123848,129743,128058,164512,,236831,264281,313436,322031,370110,432579,481574,511716,569827,656325
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",84,64,269,5,22,4833,184528,91891,84391,60622,,46695,53701,53996,56848,73575,242645,794088,526141,291916,244813,,2247816,2662177,3321554,2864059,2514333,3021641,3501080,3488733,3361086,3947756
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",1467,3909,1716,1788,1198,1234,1420,17774,60893,57565,,14052,32316,66080,21343,21166,30220,26525,53398,91842,60577,,1319050,1343719,1295071,1184224,1086622,1276863,1555725,1391186,1363248,1774694
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",12540,23371,13086,814,1275,1178,1735,17221,20178,55589,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,39263,58442,48357,48728,48467,52376,59999,80832,82470,126622
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",20140,25198,33091,28352,29220,34763,38805,46090,44718,53876,,165341,223035,201544,187682,202980,219232,264940,295998,266948,376945,,7993983,8363404,9062124,8814924,8865881,9736922,9979021,9280817,9453312,10092382
261400,Titanium ores and concentrates,176746,109522,59565,62182,73393,57151,64034,15284,22105,52454,,322936,207117,119904,109695,83810,87804,105142,67969,72408,78219,,1003209,642834,417763,273986,295817,551382,546120,467378,642983,1090863
252510,Crude mica and mica rifted into sheets or splittings,31704,34392,38405,40192,37371,43870,58672,42769,39769,51914,,5702,6113,9127,7710,7615,10304,12766,12121,13365,15370,,35986,37959,41339,45554,42754,51429,77438,55015,57238,74433
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",18642,18775,22056,24927,34294,31423,34971,47169,29679,49932,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,650952,715251,820206,957123,869492,901603,1167781,1472032,1550095,1673979
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",12239,14868,20599,21928,24412,30921,44046,47981,39611,49798,,170457,246004,317786,215954,204584,227578,285309,277930,202544,285792,,98672,100673,113002,110291,105999,119750,130271,113767,96482,121305
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",13952,34832,51323,17463,20978,22405,23866,26337,33130,48866,,89393,123817,154962,170587,189313,278318,433300,512914,484275,756096,,1869321,1845157,2056694,1629064,1290542,1614968,1904928,1638931,1685094,1927473
330125,"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excluding those ...""",59644,95179,63004,49841,25671,19490,32078,27900,49544,48474,,243343,286816,199784,142122,159597,216269,315065,679752,211148,176030,,86796,125855,79656,60225,38234,28450,39729,34335,56941,54041
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,19849,29652,30892,30036,30580,45363,52169,50087,38322,47014,,359323,541046,683609,529671,524663,605662,721474,734016,544405,774044,,122174,128391,122439,120033,112161,121932,147891,138297,106082,134787
260300,Copper ores and concentrates,2206,716,510,193,29020,45597,79753,78283,88432,46091,,61,36445,18668,0,26469,42623,117415,409408,92475,61042,,16925876,19508977,21463925,19404284,20568643,26107243,32727689,34080603,34297835,50576073
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",10485,7546,14219,15134,9145,11211,11924,7437,7800,45405,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,2364010,2329394,2301548,1957394,2162616,2618622,2994705,2827224,2905082,3568179
848120,Valves for oleohydraulic or pneumatic transmission,7256,10354,11482,8844,9440,20459,28165,26523,36709,44174,,16627,21564,22531,26691,27828,41758,52845,54790,51901,79233,,1438794,1309718,1355494,1121668,1203114,1677133,2024350,1793516,1888872,2100813
280130,Fluorine; bromine,0,0,1492,5802,8762,14844,17042,22887,20526,44066,,438,212,1961,6135,8419,14167,16712,21374,23958,47213,,71425,77533,80518,59203,110220,170651,173049,239358,192609,248881
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,30554,36595,34456,31951,42435,,0,0,0,0,0,151211,241959,262517,204578,240503,,0,0,0,0,0,6080289,6202408,5677307,6511671,7561917
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",2488,3252,1339,2148,69,305,581,18207,4618,40970,,35976,36183,31925,20965,15969,22186,25661,57688,32750,100008,,14840883,13732988,10913497,8450144,6182737,9152484,9370722,7478913,4535923,11421536
71390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",216212,194583,73820,55004,16893,22323,50002,83094,22174,40322,,3511,4844,13662,10667,6353,8066,4542,23190,13727,68644,,259676,214485,94112,62683,21075,30352,56923,97364,35165,57567
550410,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning",9667,15701,31576,27596,35894,43298,26651,33674,9586,40020,,208077,224008,208682,268213,296776,310457,172340,164347,109359,181735,,303493,287612,268250,287594,265180,316327,312566,330710,162432,253432
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",2619,3145,1861,0,1943,1933,9659,10931,34823,39351,,980226,671346,693280,1008717,1322619,885248,866079,1238285,1816969,2341936,,219780,198889,182576,314396,221754,245437,237948,190742,264143,288942
120242,"Groundnuts, shelled, whether or not broken (excluding seed for sowing, roasted or otherwise ...",18806,4952,10203,33121,19064,14753,0,11176,61636,39126,,0,478010,657530,622190,700782,651997,448274,606118,739523,680417,,23257,11919,28961,110331,169786,134717,64152,285196,653463,911491
292142,Aniline derivatives and their salts,13506,22423,36552,35439,25883,33879,33535,36490,37563,38088,,106009,136540,127500,99961,92295,119615,152354,143833,150169,186661,,19080,27256,41605,38233,27566,35414,36340,40963,41610,40500
847989,"Machines and mechanical appliances, n.e.s.",5883,6726,3558,10265,5862,8455,9921,18232,15936,37750,,202966,234999,344141,305051,284646,367260,347547,376967,376694,560697,,6516450,6034424,6969823,6132252,6577054,8645564,9273758,8578715,8341837,8774627
410441,"Full grains leather, unsplit and grain splits leather, in the dry state """"crust"""", of hides ...""",5628,9574,18892,13940,21090,18557,17533,14378,12983,36454,,7,0,87,15,19,0,89,195,32,0,,228943,255942,347209,326241,379699,328326,347985,367800,264730,397126
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",7195,9197,11807,14974,18161,28617,34538,26817,24069,35647,,201847,329174,331215,355368,272139,317352,394036,416016,353087,524169,,9137229,10356311,11982248,9792059,11404481,12528979,13246706,10493568,10439470,11020251
290399,"Halogenated derivatives of aromatic hydrocarbons (excluding chlorobenzene, o-dichlorobenzene, ...""",1826,2984,4355,5717,6211,13173,14343,23236,20429,34412,,0,17948,20400,23006,28501,32326,40627,56308,60708,88347,,47481,45048,43514,50986,81462,87694,117675,104982,83200,107437
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated ...",3626,5563,15392,13660,11782,18433,25481,41783,29471,33995,,38767,49706,59508,50821,58499,74070,108912,118617,119676,131479,,20751,23383,35216,29563,33069,32601,50875,67878,59928,60494
290241,O-Xylene,258530,253710,202822,133365,68484,39832,73829,32450,53245,33293,,313029,340386,242188,170405,118673,94675,202934,134335,182290,182535,,1052850,834083,609981,287200,215277,282762,224303,71048,100386,115951
140490,Vegetable products n.e.s,2289,3615,3923,8200,11584,20125,16949,22664,24692,32610,,25885,27449,28957,26616,35476,30064,31501,32853,31260,36108,,84357,88970,111584,95254,79688,92716,100759,94488,85836,106896
440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ...""",268,0,4,65382,21243,42652,57792,65165,17085,31377,,1365,999,3985,81424,19909,69898,54099,55499,6313,32754,,2575022,3162036,5100933,3446764,3058031,1270508,1322798,897743,599850,661030
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,15862,21437,21453,12686,31289,,0,0,0,0,0,23362,61772,54077,31571,38143,,0,0,0,0,0,478118,793969,777980,803085,1125260
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...""",1404,1299,1643,632,1859,1398,860,30676,42311,30168,,16526,21050,13841,14783,20502,22272,35766,25944,30174,35502,,135141,105188,104115,111678,92433,107284,133327,130724,121508,101476
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",41032,22833,30049,29927,15065,20297,20573,24426,17987,29144,,560941,628704,581836,565713,501827,497836,528281,556512,543591,490131,,327153,553783,497814,324913,425430,441576,455777,671256,376141,245415
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,448,991,8974,19231,28838,,100,529,1559,1907,737,6312,26801,19375,26421,98416,,6078,7016,5426,4207,2496,61180,123524,189879,563727,595610
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",9520,12924,6214,5953,6269,7494,14975,12217,23074,28608,,196331,207685,238705,237786,259300,291736,307845,285779,347313,414425,,91651,165838,170825,96719,66593,50483,72744,72511,96624,102497
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",2997,6137,3594,4695,6206,13035,27116,36945,16548,28302,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,264132,313842,251032,327441,359146,379905,269442,368981,301467,273103
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,736,8086,32773,30497,27263,,0,0,0,0,0,396931,632190,605179,467575,600464,,0,0,0,0,0,502014,528155,861623,662848,899133
293349,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing in the structure a quinoline ...""",6347,5204,5379,21366,12132,21654,13262,12163,22743,26930,,67735,146877,101126,95373,106564,148700,145917,134595,168061,169679,,11790,12191,10314,28365,17604,32610,21367,22579,33003,44132
291429,"Cyclanic, cyclenic or cycloterpenic ketones, without other oxygen function (excluding cyclohexanone, ...",9457,12687,15652,18984,24387,30028,39364,36705,34244,26889,,36416,51734,45581,51972,54157,90890,141024,169048,144473,157141,,68936,65116,56464,51964,63272,66179,79542,74679,68429,68775
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",7107,20068,14653,7509,13800,11263,12823,13571,11729,26283,,367952,398701,327180,305891,244175,270916,301816,262002,273088,421512,,1819924,1986494,1745528,1217842,1139343,934093,1272703,1347202,1352029,1592214
281820,Aluminium oxide (excluding artificial corundum),43610,22665,191016,232652,60123,84730,13014,41427,30649,26062,,341677,458612,521613,439283,389582,481601,686760,485854,373075,567973,,1816083,1404513,1924499,1632216,871882,1101033,321909,672906,1224972,1183789
500300,"Silk waste, incl. cocoons unsuitable for reeling, yarn waste and garnetted stock",4746,4677,5331,4394,4751,5423,9328,10845,14261,25561,,10813,19908,16673,14205,14938,13809,19160,14850,18423,30211,,7893,7745,7991,6533,8633,10428,15602,18552,24124,51683
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",15711,14100,18920,19410,18635,13866,57719,26415,17357,25521,,47168,69479,59930,75673,44023,80641,101309,133003,190998,238570,,417345,376047,315321,310773,293686,306191,350622,332742,318718,349861
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",3585,4460,6866,5781,6981,10558,14247,20810,28666,24076,,48618,99830,109477,123064,93425,132928,185919,242677,378065,300063,,369291,501894,551517,622120,697554,640560,746343,945634,783682,983101
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",25477,29217,30256,22577,22647,28569,26383,24053,23344,23881,,308609,367423,337138,294956,287336,378416,476973,456390,394650,517727,,3992538,3977812,4206885,3560272,3447573,3935676,4405664,3975503,3922347,4344953
290121,Ethylene,0,0,0,0,0,36975,138338,52580,15555,23757,,5,6,10,5912,3,101085,226722,139026,65623,113139,,1794984,2267324,2197066,1624999,1757739,2531628,3302372,2384146,1450953,1997378
841290,"Parts of non-electrical engines and motors, n.e.s.",1081,1544,2313,7745,4423,5240,4478,17447,26575,23667,,39020,41952,48444,52576,52710,62016,86356,96397,237212,432758,,264705,239022,261554,220428,213147,280733,348129,348534,418368,438141
730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",13973,13864,22010,7507,7023,7443,8002,13863,9049,23651,,2713,1975,4416,7023,7823,24963,40965,46630,256,0,,130383,69066,82875,171526,90104,51310,86835,57603,66801,80456
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",0,0,0,0,0,0,1,1709,1328,23607,,0,27994,21150,23759,42194,43063,32780,30282,34343,60132,,96,30,26,38,84,65,166,1928,1372,24534
