Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,20254190,21493599,21384315,22066609,17342441,14636694,18041075,17097398,14103515,15546257,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
999999,Commodities not elsewhere specified,6210,9313,8249,8232,6618,6375,2808028,2431051,1311158,2045344,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",107341,92636,73158,96320,55367,45860,580619,955601,852406,1154707,,1265895,1123781,1180598,902783,723171,734620,735576,607467,608815,916980,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
880220,"Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters, ...",34095,1701,61,192764,0,866,498,60,248108,785540,,32454,29291,3342,15952,6049,44300,20856,25452,7829,24355,,34637,4287,11933,192797,1,876,3227,512,248952,795976
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",618901,746380,961961,1878309,1860980,1595368,1495818,1687453,1155043,609503,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",151446,290060,280470,358580,377680,383783,443583,441742,518241,502204,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",532432,471402,229064,220766,91181,54348,67367,320962,355749,449348,,640547,777393,934599,702918,554414,1432247,2277358,1634442,871110,1075353,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",457080,845354,992986,1155769,838959,773218,392184,301318,294385,415164,,66334,157132,187930,147862,119158,218276,232179,248719,115187,161399,,518200,870664,1025752,1194724,897680,775038,421783,734760,524652,618194
300220,Vaccines for human medicine,36365,99121,81941,61771,58417,26673,69938,46991,42289,372840,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,136743,206694,277120,236926,203506,189636,315665,280845,213469,1310957
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",167,650,516,753,103,0,145,0,69,310347,,168725,211542,189885,178845,173089,233430,235069,257242,300370,300157,,167,914,5359,758,205,2,178,189,292,910172
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",149759,170737,206255,202148,183521,225672,278210,272189,283119,281327,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
841199,"Parts of gas turbines, n.e.s.",377718,360222,349682,469895,305862,387779,336266,224993,135881,255256,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,807159,730129,583510,804203,545457,634998,572983,363410,239314,395754
100590,Maize (excluding seed for sowing),127967,124656,260840,232298,136162,238617,317042,121760,155550,228359,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,622580,678242,677903,531069,314824,524586,639848,715094,653865,799417
120190,"Soya beans, whether or not broken (excluding seed for sowing)",143528,79545,153064,93679,89948,126459,85558,101277,114068,123536,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,337938,332456,355442,311722,234917,282031,222452,261607,259604,426972
281820,Aluminium oxide (excluding artificial corundum),3177,29162,17004,48972,42637,19880,30177,37618,71070,109637,,764384,889509,883857,842684,502761,350128,324526,317777,292909,273081,,32890,202205,493246,250845,88063,76936,63400,106695,116921,150724
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",135705,153131,185415,218506,136434,139828,201080,126742,94836,109036,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",105381,94723,69740,63268,45359,47792,60800,128178,73092,103763,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,194546,216485,212511,187429,122535,145974,182512,323236,230773,279466
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",54237,27,52275,87921,22141,142,1209,74639,48187,103625,,539726,389596,359121,271381,354020,348123,280726,247306,261164,410633,,78094,400,131645,108369,32299,15121,1793,75351,122617,113943
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",2183,2683,55,151,58630,136721,242148,188555,131471,99706,,1284448,1355925,1194538,1300344,1351261,1397707,1361480,1498891,1529936,1713267,,75548,94829,32625,20878,72733,156074,265149,275162,243925,214724
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",137077,180919,193979,163959,146068,124736,114350,106711,129195,97907,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",107610,120954,97620,86884,92733,99727,72101,97945,116562,92711,,1304322,1349590,1306547,1331551,1131622,1118360,1123902,1201356,1187672,1250993,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2060495,2840782,2453671,2439962,1787107,704802,571429,54300,166797,85580,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,6159843,7133006,7289675,7592075,5465671,3661032,2555471,289655,598300,393983
880390,"Parts of aircraft and spacecraft, n.e.s.",142823,93772,63137,102904,300409,65682,88932,91336,211209,84578,,413521,535688,581963,523383,353204,345209,696276,603784,500633,522919,,222565,226267,64593,129116,305857,73378,109784,105648,255471,159156
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",53332,94377,94778,140689,134120,62797,79221,92425,97530,84135,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",371115,310939,408199,375478,262470,197611,255282,314469,118184,82373,,6854847,6292146,6424973,4615603,2268912,1838672,2068254,2647622,1483018,1437649,,763273,753503,1080059,871226,639281,615730,751344,772633,322220,376479
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),202329,345760,116660,215725,111789,30157,20335,1523,28362,80023,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,543393,393320,141064,251642,122837,30794,29239,3863,32381,80040
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",26206,43088,47535,39073,39144,31611,40541,60708,62821,78275,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,95164,48396,40269,36648,24509,15853,17419,12424,54017,77795,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
890520,Floating or submersible drilling or production platforms,204854,412281,260609,76,44100,53365,12000,184086,13423,70000,,911959,39840,230221,716025,482826,40028,80600,111706,65413,15600,,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
841391,"Parts of pumps for liquids, n.e.s.",46362,70584,69813,72036,61063,63882,73046,107183,99597,68310,,2619207,2617795,2654607,2334753,1997924,2172426,2341483,2257765,1984758,2083347,,256933,311179,331309,333002,279838,261359,299797,363901,365105,259167
890400,Tugs and pusher craft,0,77878,8529,17500,0,0,15645,48960,10000,65780,,8796,26075,43574,1411,1372,44452,3896,4328,1548,24598,,53606,276552,51905,104767,184044,16249,719683,987473,395739,707135
300390,Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic ...,8244,6482,6484,2317,916,1663,671,9881,1898,64563,,638894,912751,920846,984147,1197184,1253675,1113761,1064707,1295396,1032301,,102281,135180,122669,16087,11524,14199,19732,58678,25255,138815
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",243632,108776,151051,104172,85889,133163,143932,152618,91795,62573,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,435440,349040,388366,322283,140716,217780,258357,303534,174922,168005
842121,Machinery and apparatus for filtering or purifying water,24251,26337,30201,35816,26061,18479,24804,23590,20848,61834,,1160669,1206652,1332589,1329083,1084275,1051395,1066896,1071144,1034171,1151603,,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",59379,63280,56197,64703,56324,78283,73848,91999,92144,58765,,1164900,1069270,887867,635652,433115,349531,368269,409735,321492,321039,,122980,118779,155613,131398,213099,186612,195358,249768,226604,148277
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",46745,60694,110355,98891,91540,84248,81535,104359,63410,54455,,1143180,1134138,1079373,691846,522818,589948,614988,613109,450413,499632,,102553,127397,205543,193962,163962,128412,163304,176698,116035,112094
847890,"Parts of machinery for preparing or making up tobacco, n.e.s.",0,611,193,168,154,249,262,14304,69595,51994,,23557,32411,26960,36649,40249,30109,22071,24920,20246,21420,,0,1619,681,866,1227,2424,1006,25427,99407,87685
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",2449776,1583756,880093,1053526,931033,892889,527481,322304,96979,50620,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,8520238,7332116,7255985,7870267,6131567,4450822,3071811,834901,681421,288436
80212,"Fresh or dried almonds, shelled",32628,36507,45196,63927,33760,35530,33191,36774,43257,50591,,2493864,3209227,3554181,3771130,3229075,3266450,3375650,3687769,3425593,3381706,,33830,40924,47188,69260,36857,37704,35800,39339,48585,53539
80252,"Fresh or dried pistachios, shelled",965,403,167,144,671,4639,5033,9663,5578,49428,,69439,48217,47142,40612,40867,65396,69842,106638,68177,103678,,3886,3038,5479,7636,5678,9715,14565,23733,24931,64957
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",41967,133266,138818,106490,104128,93541,56968,97185,43238,49277,,7780010,9023051,8208307,7640309,8727099,9997029,9113860,11504202,8301872,9938208,,1368411,1540257,1311081,1279916,1015575,756460,521795,562338,342794,318776
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,32639,39052,38071,44103,41760,43924,38735,47773,46119,49029,,849115,963291,1073192,1165409,1175492,1252811,1297150,1341197,1267870,1472985,,85273,100551,99333,114229,102341,115175,104454,117179,144967,169043
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",15722,18628,28405,38120,34721,27513,38301,45711,43606,47382,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",23636,21056,43886,24444,16158,13755,13414,15261,18650,46432,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,193611,130148,186708,142047,80962,65274,58780,71346,144526,246036
292610,Acrylonitrile,0,0,0,0,0,0,884,3219,18496,45487,,1131716,814808,847555,626057,340481,475411,953739,510325,551016,851630,,0,30,147,7511,7967,24120,51479,34943,18496,51430
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",4409,8559,3060,7155,3934,28416,8882,23260,24086,45282,,701263,598580,516978,696515,639692,1108227,1380550,1713444,2142169,3205328,,27050,66280,29231,48139,84265,240906,231412,244876,110878,93838
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",60409,63725,70781,63205,63994,77225,87713,80533,22030,44783,,2058512,2411807,2789016,2536668,2021059,2159948,2387750,2494386,1988670,2090047,,211814,247330,234308,260205,206929,300976,344304,266289,121955,178563
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,16620,23040,23659,22607,25560,21177,24883,34012,26562,43967,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,35614,37686,45947,49785,53836,48561,73766,98031,72137,104176
840910,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",217354,159923,66839,17470,59860,52434,76654,37141,26810,43914,,47688,43630,76625,67263,56596,65440,85694,81872,59935,69428,,246309,188151,103255,41231,86863,81723,114098,65626,37042,50261
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",11693,12711,11614,11639,2158,3235,15040,20352,25118,43740,,2269665,2438430,2409341,2373036,2140680,1341900,1091195,1007262,851093,1005712,,71683,71307,75834,76090,73553,91538,112320,113485,84853,113554
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",64897,46081,43838,56556,53336,48078,38593,31158,41152,43157,,2835566,2819417,2653322,2172586,2129973,2417791,2589460,2480124,2043789,2973359,,102246,81679,75200,106154,76306,82547,59450,52245,68577,88033
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,72188,54632,54227,29677,71231,7326,8724,13286,13628,42942,,1604304,1659449,1413189,1246130,1195345,1009430,1206749,1191415,945787,1179674,,129987,147614,140082,171065,210790,79091,173036,121566,96589,158660
841290,"Parts of non-electrical engines and motors, n.e.s.",4952,6981,17121,10597,13023,29793,37717,32655,41451,42852,,1118982,1395503,1086048,971132,841942,798085,958360,893757,669082,866763,,28882,39742,55597,43170,34452,65374,90295,79531,164695,139049
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",0,29,50,201,10018,3083,39929,35610,27411,42560,,589996,591174,907679,840075,1059335,1493329,1486487,1319168,1173457,1143862,,2492,3128,3017,29562,31488,23410,44033,43637,59063,50918
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",16866,32650,21297,29599,22074,19298,38073,34668,39857,41890,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,49704,69821,82835,77955,57637,57512,100009,105838,114069,122080
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",24483,19691,37830,82026,73686,44413,37693,23716,28532,40075,,104775,43427,38202,45624,85729,90828,89900,77664,75331,58384,,847745,749160,648947,868928,496556,463302,204251,181896,184958,212133
741110,Tubes and pipes of refined copper,19457,29672,17201,24896,19421,23370,18060,22688,31044,37601,,200298,179252,139456,129333,110171,129563,140764,116441,115880,221141,,95840,105172,83992,97956,36793,58171,48845,54708,58708,75423
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",988,62450,7035,3278,2488,30929,42335,4030,51306,36889,,31069045,34460448,36761402,25774152,24348431,29700090,39486748,34569480,23924151,41893979,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",1487,9161,23639,30835,115742,88000,71546,62056,43524,36491,,6526930,8511810,11089182,13230419,15859552,0,0,0,0,0,,41770,79769,117916,147056,212828,191997,236404,263364,505756,338164
847989,"Machines and mechanical appliances, n.e.s.",23241,40952,23599,29311,40540,33103,52455,57058,54614,35042,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,68358,103650,88395,98997,100242,111585,172682,257199,245326,159530
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,0,0,35019,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,0,0,0,0,306772
210690,"Food preparations, n.e.s.",31774,35865,30882,29851,29138,24471,25681,24006,27644,34237,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,979780,1022823,1035126,1084896,930372,873837,736570,719038,745399,855310
901310,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, ...",3757,1562,14340,32287,93531,53759,62952,10633,647,34166,,144692,98195,97460,134973,119252,97007,99278,97197,100196,108404,,13651,2788,23841,60912,134791,130649,84579,89631,17361,37614
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",49171,56944,80206,63107,76136,44339,33669,38338,44231,33887,,71362058,77494233,73182815,47499586,37787038,48220810,55991243,53121693,33730560,42946188,,215396,266082,321968,274817,312767,294031,236853,315425,253993,311004
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",63771,158094,100342,74536,39175,59005,54528,24537,9824,33870,,3226614,3266652,3345799,2608749,2050316,2421704,2324485,2139354,1918943,1927895,,331077,472403,463666,347946,275770,303528,222546,161312,53052,88559
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",58786,65285,80841,69416,55820,41059,42657,51102,35339,33555,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,263969,302788,343169,391304,310939,235780,203239,239217,202429,197026
848140,Safety or relief valves,42867,61160,89522,58291,25510,24086,26034,58953,43986,33026,,792643,1111813,1329709,1308535,1034612,957714,879988,779487,844230,810464,,333281,392182,363289,169724,114473,126895,133240,186467,232452,183398
842911,"Self-propelled bulldozers and angledozers, track laying",191034,120632,181470,115006,25614,2066,18744,44860,33671,32962,,859837,556676,614575,371982,310625,381485,556809,415679,294408,393035,,402247,295025,439728,259478,59330,21768,42915,123143,89750,65484
151521,Crude maize oil,99920,92337,58644,34006,4283,0,25559,28838,14455,32656,,382105,301679,210671,249564,291301,310328,140811,133424,111153,135494,,108274,92337,58729,34019,6005,3573,26990,30131,15687,39498
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",47696,44837,41289,38146,35830,34779,31438,31428,26083,32424,,581756,547020,548056,545913,467274,432833,433439,408945,317428,367583,,53142,59486,55451,52648,50062,48791,48962,47148,39700,58810
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",29801,10680,13992,16661,22328,64218,4547,3751,31415,32078,,3984462,3801839,3580562,3964869,3595958,3038576,2695696,2475717,2207332,2065727,,433758,68527,330174,301974,327659,486227,322537,195422,118169,136372
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",25300,34295,34382,35148,38252,33992,30800,51145,32119,30837,,1039829,1058545,1079321,1051467,1116487,1140888,1137771,1241872,1012168,1189986,,172517,185288,192111,188934,201887,225644,184007,243365,224418,266280
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",19126,21710,25984,25836,19424,22691,29196,31220,26024,30602,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
401693,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",10340,15552,15722,16773,14898,18730,18493,26631,29629,30266,,1373669,1448763,1595460,1537828,1449956,1596738,1634990,1676588,1430698,1445748,,34315,45331,48184,56434,44759,47365,57687,72161,86961,103128
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",21986,26153,32134,33872,28393,17636,22606,31055,33854,29892,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,142133,166161,153771,155709,130353,128698,127995,137012,117168,111804
81010,Fresh strawberries,7027,8446,10698,17148,21481,28536,34501,33008,32218,29775,,429645,467814,467690,435581,445868,473481,475214,451387,477233,573901,,27590,24534,28066,42100,50116,50354,49804,55595,56782,53335
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",170839,123853,106550,148330,61628,25356,41912,58555,35336,29284,,975516,891348,1075596,990998,522963,399904,445762,540489,490020,445871,,465787,331157,296179,350741,143879,120125,149668,182228,180780,107443
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",42593,41143,34601,30337,39619,32900,25705,31795,44887,28863,,1476070,1627926,1705325,1675723,1642274,1619875,1675488,1765406,1736771,1780722,,152028,175925,174224,223682,218577,213226,259250,282400,292913,348652
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",88382,94619,116457,77192,50732,59612,58661,43159,22673,28217,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,207155,236066,238577,186981,124622,136475,169160,107137,94371,97974
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",22051,21352,26922,28906,17989,18269,28446,17193,24551,27391,,2411750,2359291,2287894,2187321,2153282,2147133,2096295,2058956,1759908,1937075,,88170,94643,90369,87587,63075,65538,85334,81805,84453,96512
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",25555,11638,16122,13843,18146,14818,9750,6127,12997,27023,,313759,319540,336744,329616,329506,319805,331337,343203,315249,359463,,90561,96953,108507,91204,89253,101903,125396,82838,91737,125302
860900,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",17415,27924,54772,46564,81203,93167,139037,81342,47774,26751,,336734,394541,519875,535054,445200,384035,410540,418797,394720,444425,,69566,84644,108695,78167,159454,175282,227416,142936,108384,152332
210500,"Ice cream and other edible ice, whether or not containing cocoa",3202,23892,26024,27568,27249,24563,26169,24140,24325,26258,,132858,183905,195570,205571,196747,211148,248790,250031,254378,260816,,63814,66258,79084,92466,97576,88748,89002,83390,82860,92233
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",28319,70064,30068,71448,36534,41483,27793,36622,29455,26061,,1828479,1873237,1876284,1711446,1617107,1588539,1511840,1410456,1285495,1407248,,154114,196938,152806,272339,179144,160282,152716,207621,129864,121567
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,0,0,0,24978,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,0,0,0,0,99533
847990,"Parts of machines and mechanical appliances, n.e.s.",6926,28804,20432,22559,27822,21451,29271,31487,41377,24885,,1771923,2003150,2579924,2101466,1917400,2510973,2749692,2614615,2458093,2248487,,28740,59867,50570,47647,59359,60745,92302,123444,120031,114482
390130,"Ethylene-vinyl acetate copolymers, in primary forms",1262,755,803,321,937,210,8566,6468,12775,24755,,426159,420705,440339,400489,384682,394313,419572,351233,341121,380514,,42721,26152,33532,51423,44747,45183,40368,40080,43912,65643
120921,Alfalfa seed for sowing,52498,41272,41156,63120,42891,31542,12223,26728,23052,24717,,104972,95762,112449,119399,120095,108427,68306,68177,76201,96014,,76946,71617,58157,94370,78349,43605,18992,40125,41370,44657
841191,"Parts of turbojets or turbopropellers, n.e.s.",4341,7104,3838,37079,43226,33882,59913,63249,68155,24519,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,8254,9229,47007,96440,74586,62570,72325,122236,205983,107055
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",9735,15478,12080,14002,12571,15531,12912,20085,19894,23739,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,22215,34675,37515,32985,26942,30207,28411,55129,62522,58950
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",7715,13176,17976,21406,22243,20637,15201,23162,19723,23508,,2391603,2476962,2504314,2558847,2380338,2335404,2363518,2325250,1869939,2025301,,73571,87072,95022,105829,108281,105579,96284,160027,154297,210273
120729,Cotton seeds (excluding for sowing),13922,16174,23766,21266,22914,29167,26759,25934,17971,23314,,53142,74229,73231,46607,66284,104098,96775,76831,79297,85866,,38287,38459,53992,44846,47912,41292,33168,40255,31437,44601
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",3885,6393,23651,26549,18573,19177,21986,31798,25679,23071,,574152,625070,494012,405720,453210,640054,767235,796849,838147,848860,,11161,12159,37471,43142,33261,29973,36107,49103,34361,37070
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",27218,47636,25251,27658,35576,23874,21249,20520,20173,23005,,1604657,1667764,1712509,1491941,1549666,1274848,1303446,1297495,1200436,1339112,,184683,167307,149455,272795,193942,181531,164111,135420,96130,108550
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",33859,26562,42875,33765,28001,24085,28104,43336,21813,22829,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,100034,100029,111519,111504,89380,74227,83929,95710,68744,75328
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,27147,36389,32802,28475,28560,29400,31155,38237,21997,22518,,2062257,2387136,2753017,2792403,2455399,2826500,3496437,3549507,3178733,3414676,,185868,231447,235182,162499,100975,114092,114705,130627,75092,83336
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",8537,9114,8645,7179,5826,5082,9244,10900,18972,22216,,5794347,6698628,6347103,6432894,6883929,7831725,8562310,8057202,6237398,6483538,,68185,72877,84656,104269,67255,48430,58436,58774,109306,302359
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,17371,28050,31521,27767,23129,23249,22605,22971,29921,21741,,1205692,1263818,1429334,1353794,1362522,1419056,1608166,1491078,1361259,1583310,,65902,73084,91864,74705,62054,69376,68912,79017,85338,78333
271312,"Petroleum coke, calcined",18153,45333,92144,68949,35105,60810,34476,37479,30944,21635,,1702513,1344256,1165293,1052906,884550,1127691,1901377,1675174,975438,1359672,,49114,126242,134686,120939,76844,100111,166281,136124,119262,185386
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",2525,2750,511,543,286,310,5836,37999,3251,21315,,942072,919777,1018582,966437,950827,1016105,1007745,922224,842089,1009832,,14396,20306,24392,19831,12184,8953,15689,49604,11764,32720
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",38519,34850,42312,34243,20403,16758,30373,49191,45606,21201,,3564242,3426212,3535393,3301146,3290556,3261618,3332519,3355080,3546856,4015339,,76719,84559,107013,79378,40615,53079,94943,162715,189941,138167
