Product code,Product label,"Taipei, Chinese's imports from Australia-Value in 2012","Taipei, Chinese's imports from Australia-Value in 2013","Taipei, Chinese's imports from Australia-Value in 2014","Taipei, Chinese's imports from Australia-Value in 2015","Taipei, Chinese's imports from Australia-Value in 2016","Taipei, Chinese's imports from Australia-Value in 2017","Taipei, Chinese's imports from Australia-Value in 2018","Taipei, Chinese's imports from Australia-Value in 2019","Taipei, Chinese's imports from Australia-Value in 2020","Taipei, Chinese's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
250510,"Silica sands and quartz sands, whether or not coloured",33930,39138,40752,43467,35320,36962,37089,40835,40588,50243,,83717,4307,0,70362,74309,87279,100522,96827,50987,0,,51711,62287,64278,64833,57576,62045,64132,64293,61306,81451
440122,Wood in chips or particles (excluding those of a kind used principally for dying or tanning ...,39136,59428,66024,61951,64898,63629,55019,45928,28848,41957,,599274,561048,671459,700052,820061,846733,981211,929593,599699,659762,,112025,118644,119657,119627,85516,82094,81735,75571,68798,89745
40291,"Milk and cream, concentrated but unsweetened (excluding in solid forms)",2383,1759,5660,16637,29955,37754,32307,38229,41414,36995,,9945,12498,17299,24790,38378,45799,46051,64319,73508,78103,,3947,3173,7351,18585,31955,42656,38373,45515,48874,51736
281410,Anhydrous ammonia,37450,22071,36913,33752,35899,38542,29756,29923,15703,34505,,244902,344051,265625,215785,98258,85347,70622,74023,45627,165116,,399510,369288,329805,298330,220497,205669,239429,177654,143292,363290
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",12296,16962,17404,18983,20213,23215,26999,29054,30804,32540,,566372,380077,284586,327143,307621,343665,339362,366254,389166,522731,,47621,54598,52576,56972,58197,63153,71145,81096,79937,84497
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,6941,0,5872,0,6237,0,15267,0,29646,,0,0,0,13212,46,5847,52290,29516,55,84803,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",30600,31512,35430,37953,30196,25476,26878,26545,24037,28949,,211873,256399,252714,209840,151112,165444,213922,175569,151467,161363,,34917,37337,43771,43546,33552,29538,30388,30370,29532,32816
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",38135,10753,15114,22653,18348,16916,14175,25522,21111,27127,,89067,52018,66427,58053,40475,51199,63649,81149,69474,80671,,558158,365433,373367,328791,244501,330681,351116,510852,321819,283811
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",8242,9141,8701,9822,13256,10820,15826,14014,12002,22906,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,117057,131093,129581,135791,150017,167886,189667,182127,184598,228632
20443,Frozen boneless cuts of sheep,17438,12995,26583,23246,16230,17084,25663,17986,19701,19333,,242409,277985,384186,339963,323058,440236,454425,403083,403969,470575,,28368,19783,33795,32964,28807,27871,46355,36193,41663,41412
520100,"Cotton, neither carded nor combed",12333,7869,8069,937,3859,15965,5766,1159,0,19101,,2723425,2511612,1810804,819538,1175908,1580300,1809247,1099575,310408,1500804,,363987,383913,326497,280388,211250,222069,253486,184926,98694,117651
30631,"Rock lobster and other sea crawfish """"Palinurus spp., Panulirus spp. and Jasus spp."""", whether ...""",0,0,0,0,0,84,491,567,3332,19079,,0,0,0,0,0,527473,570364,526907,327021,239748,,0,0,0,0,0,10810,13131,13219,14799,23171
20442,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)",6056,9103,11473,7672,2718,5441,9412,7260,7160,18988,,625049,822870,1044738,759880,687072,995968,1177708,1418754,1208444,1518543,,30276,25965,28906,26322,18620,29275,40203,30155,32374,39406
280429,Rare gases (excluding argon),6165,7883,8920,11998,8282,8078,4230,7280,13151,18204,,3433,2534,1324,1218,2815,8340,1941,14341,39619,43515,,38130,46257,57126,61356,58497,66817,64281,81574,131913,156597
220710,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",0,1364,2662,5900,6856,9368,6133,6042,12228,17738,,3135,2735,2039,6436,28685,55800,20367,35505,53388,66565,,60492,72306,62385,37651,33410,32500,34921,32516,49964,61395
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",7855,0,2806,7765,12740,9934,10909,10411,12137,17007,,91380,97009,78774,63316,47933,70261,43576,68166,91997,119948,,27180,24459,21722,19845,23790,18483,19085,19167,19717,32599
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",0,0,35956,13432,35122,28663,9888,1,41,16994,,0,0,0,0,0,0,0,0,0,0,,0,20265,191333,151639,153526,198905,145672,118204,138172,163804
110422,"Hulled, pearled, sliced, kibbled or otherwise worked oat grains (excluding rolled, flaked, ...",11850,12214,11181,9182,11998,10702,10436,11324,11308,15408,,12460,14611,12775,8517,11876,10439,15570,15426,19182,32246,,12053,12335,11709,11274,12641,11166,11250,12223,12034,15718
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",0,0,0,0,0,0,0,1282,13172,15342,,304233,192383,214549,78553,0,0,0,1,1,0,,83038,52463,44518,39783,44640,80862,107643,78246,63239,78308
20450,"Fresh, chilled or frozen meat of goats",12497,12326,16877,12568,11568,15897,11404,12264,12174,15285,,141159,159217,221822,186193,150395,200787,138855,166188,102847,191590,,12497,12326,16877,12677,11676,15997,11490,12427,12242,15354
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",4913,5513,4360,4610,6771,7907,9940,10448,10462,15136,,199015,228651,225310,219951,283126,371090,421873,485240,477092,492473,,602868,606523,624555,635325,773767,743211,867852,850633,719443,731481
150210,"Tallow of bovine animals, sheep or goats (excluding oil and oleostearin)",0,3887,24916,26257,19447,17933,15538,14233,12886,14043,,340995,367211,364394,264399,299871,288035,262754,234277,296713,473978,,0,4066,26887,26257,19448,17936,15538,14233,12886,14043
100790,Grain sorghum (excluding for sowing),0,0,1217,1368,4647,1738,1646,2078,1558,13893,,51827,270432,106114,419236,157298,60111,111736,28484,52435,499808,,0,4905,27264,18614,21423,21028,25869,20355,11924,21445
230910,"Dog or cat food, put up for retail sale",13313,12497,12496,12346,10643,12741,10820,11552,10904,12698,,188639,167862,143846,125236,137219,138814,139009,136745,118288,213469,,109742,120288,123998,140358,140977,161407,179830,184853,194006,226420
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",0,0,2566,5309,3138,3602,3269,8129,6149,12049,,6711806,5832548,5270968,4352815,3557764,4560185,3028659,2513816,2710166,7097704,,0,3660,50254,48918,38623,41801,42850,55177,53198,62001
711890,Coin of legal tender,15772,21616,14052,12352,14438,6684,12398,6497,10127,11957,,755562,1009486,640719,630877,735766,518517,609248,600536,1032862,1939936,,21490,27315,20651,23466,21847,15684,19994,10383,13611,19509
261510,Zirconium ores and concentrates,8037,10223,10723,6047,9197,8743,12554,6403,12921,11751,,105739,81296,76850,69289,52527,52748,86145,58350,76834,120152,,26302,24191,19452,15101,16236,16758,24326,14243,19830,19630
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",96,242,92,210,609,1766,940,2758,3021,10771,,12233,8157,9338,10505,16071,16642,15287,16282,18601,32796,,27149,28110,27224,26271,27754,33981,30861,29635,36097,43718
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,5643,7725,8529,7423,9772,11613,10294,8741,8405,10647,,463747,438658,493941,447531,419769,542391,579628,523266,474352,651346,,123934,115239,116054,113685,122757,139872,136130,125014,118052,161984
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",23295,9173,67206,58388,29049,39822,18511,5453,23496,10394,,688796,652080,631728,273962,236235,312011,375726,474610,475970,844046,,223626,430197,627900,284338,254209,186006,267621,127039,145769,156845
80262,"Fresh or dried macadamia nuts, shelled",0,689,6731,6611,4739,6151,6639,7886,7719,10111,,59783,75926,81123,90239,96601,106979,145085,167529,166986,163495,,0,689,13104,14269,10498,12253,13764,15399,13778,16313
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,16188,13705,12542,16166,9699,,0,0,0,0,0,46744,42265,40620,38110,31932,,0,0,0,0,0,103787,117522,90948,90647,148542
210690,"Food preparations, n.e.s.",3326,4991,7558,6287,9146,10081,20038,14408,11781,9687,,226406,277176,388229,731539,1024245,1318490,1068136,821079,782213,712995,,487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
151499,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""", ...""",857,426,49,2804,4607,6076,6940,7542,6650,9064,,1773,1027,2022,4125,2591,3487,7254,7526,4130,5334,,1112,789,784,3480,5228,7066,8022,8581,8005,10617
780110,"Unwrought lead, refined",19193,25648,12819,13660,20840,28250,37829,10485,9885,9058,,419894,476089,495781,419131,436966,503799,436709,231150,258377,263785,,183435,201077,138675,141142,146063,197535,167846,210524,151109,131904
842620,Tower cranes,3673,4547,3628,7162,3677,4708,724,2231,1135,9028,,276,5904,3050,4288,11450,4769,4745,2184,2626,6780,,11022,13831,21731,18131,13265,9968,6679,3595,9802,21726
300212,Antisera and other blood fractions,0,0,0,0,0,6812,7431,12065,11353,8911,,0,0,0,0,0,522465,837114,1467178,1465852,675615,,0,0,0,0,0,133390,121228,139200,112813,95349
30214,"Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",0,0,58,3176,501,7302,9947,3962,24085,8862,,21119,15243,14414,64010,27869,107811,86356,85310,191106,283497,,0,3466,99710,111382,105178,129519,139168,145514,147123,174727
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",30622,17728,14744,10573,6278,5819,2926,2691,6199,8753,,381842,362918,370661,382407,341947,397956,448478,383745,358873,651186,,221356,193866,181404,116256,87002,112162,129096,123246,112832,207243
40630,"Processed cheese, not grated or powdered",8106,7015,7107,7321,7486,8130,7558,7415,7573,8137,,121450,112154,95686,82575,90713,95861,104811,90624,82499,80634,,39237,42291,47487,50961,56796,64135,62838,61528,61139,68894
100390,Barley (excluding seed for sowing),0,456,10783,8615,9030,10130,7081,6823,9110,7235,,1358431,1484784,1597948,1306758,1124787,1620624,1371855,726624,913124,1983793,,0,628,15155,13749,10383,10927,8971,8650,10290,8297
20629,Frozen edible bovine offal (excluding tongues and livers),6464,7988,8999,8326,6738,12113,9205,11158,9726,7120,,317058,343897,400898,335838,296298,321085,363842,392964,372827,471322,,9920,12543,15954,16864,16538,23632,21194,21435,18766,22897
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",5821,3746,6189,12389,10620,14744,10276,6519,6729,6688,,3901,49,154,119,91,2,27,69,300,232,,83757,85031,110523,106334,92469,152764,128109,100515,90941,147126
80929,Fresh cherries (excluding sour cherries),0,0,6779,4220,6917,3624,3910,4832,4306,6389,,17655,34057,43763,43807,44463,41219,59951,59954,58372,53696,,0,2334,91909,74968,89839,109904,104879,100636,93206,111283
110811,Wheat starch,1535,929,830,804,1985,5480,2169,1395,2161,6257,,29467,31292,26690,24756,22483,47680,69786,57682,48550,54414,,1574,1025,2185,2181,2858,5655,2518,2264,3083,7273
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",14311,24191,21313,17100,15705,21187,30855,25668,16969,5927,,402831,460470,307190,246069,288024,329678,284461,350395,363141,299466,,138693,169674,197443,176179,162579,170520,179428,163854,131865,124989
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",5704,9402,6812,4993,3518,4414,3841,8383,6454,5765,,12836,46468,46351,54413,46527,43710,64494,62231,61910,69067,,22656,21618,15099,11879,9682,21512,13740,24476,25586,35449
50400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",6612,3487,8618,7024,7147,4931,6385,10684,10603,5758,,89964,85597,110423,162742,141389,170110,226517,172620,133770,168264,,29585,30067,31292,30305,26718,30457,45204,51266,49545,36432
271112,"Propane, liquefied",39765,9184,32962,28509,6366,17013,5881,5253,21262,5658,,429620,429145,469344,186935,172934,244379,299734,522886,539698,169406,,468082,691307,838376,353801,369965,388819,701594,661060,396362,183962
40210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",19031,17620,10232,3863,3613,4936,4106,4323,6291,5623,,538507,484432,675054,484448,349434,379837,346720,336760,394565,648061,,70949,93788,106097,65584,48316,59541,49953,59609,70580,84414
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",78328,78831,51938,52638,53449,30036,12353,9253,9190,5595,,3378372,2403733,1821197,1098626,1398958,1337323,1403690,1535557,1184945,778112,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",2234,2004,2646,2304,2247,2116,3806,3507,4825,5074,,498136,514572,577887,601850,643442,670865,600955,620908,514200,697923,,16920,19392,23570,19708,20019,19513,23155,25188,33237,39180
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",1744,1347,2696,1941,973,1758,1224,2297,1950,5021,,0,0,0,0,0,0,0,2162,38669,1304,,472654,343568,351321,210916,167655,166453,225457,284133,268592,326754
40510,Butter (excluding dehydrated butter and ghee),7003,6997,6273,7915,6147,4573,5410,5480,3689,4822,,151159,169190,157692,87241,74235,59229,61884,61521,54619,93671,,51308,56524,70347,67284,66058,95843,102829,95743,79851,95452
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",1457,1555,1892,2044,2115,2782,2673,2930,3330,4707,,353441,390211,443252,409501,398503,429216,493262,522994,547385,692770,,1457,1727,2007,2073,2125,2786,2917,2930,3340,4742
20610,Fresh or chilled edible offal of bovine animals,347,463,591,820,968,1308,2338,2921,3839,4547,,58679,47320,46110,62752,75526,81577,90891,102235,89344,106949,,347,463,591,820,968,1308,2338,2922,3960,4787
20423,Fresh or chilled boneless cuts of sheep,1622,1591,2016,2525,2823,3310,3115,3576,3891,4357,,120423,128532,152387,143987,155891,166082,170645,173861,178265,262809,,1622,1598,2019,2525,2847,3336,3115,3576,3891,4392
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",1948,3898,7869,13854,7602,10671,5306,3646,2500,4176,,353695,400515,299278,235445,178289,247728,286184,252749,267791,494266,,632697,646690,591060,493063,495070,653439,823173,669883,613105,977130
151491,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""" ...""",3300,0,1123,0,259,0,0,0,2371,4159,,727,1056,26,0,1360,3078,1356,643,1387,731,,5075,65,1478,115,286,97,36,46,2411,4203
340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",621,805,814,809,781,957,1172,1549,2367,3904,,11906,11560,7899,16775,27956,41739,66968,76478,53801,80625,,86727,90249,89031,86530,100596,102521,109817,104702,107746,118102
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",6184,5023,3848,4613,5625,5466,4230,3541,3674,3873,,312046,274646,274728,276877,243993,314637,343796,327227,343306,398003,,19884,22553,26784,25822,28341,31646,28933,32681,41463,50949
281830,Aluminium hydroxide,3044,4464,4502,2998,5978,4048,5790,3266,4186,3869,,173225,150814,169372,142670,139828,155505,247373,164761,116546,106210,,17322,21820,20446,20884,25056,26162,30139,27815,24101,25310
70310,Fresh or chilled onions and shallots,893,455,276,736,577,1006,1920,2150,2152,3608,,28687,27727,23447,20084,21385,14976,17832,27993,23058,27365,,21081,21025,17061,22465,32605,28567,20929,28485,29453,26941
999999,Commodities not elsewhere specified,2678,3223,2858,2713,2219,2276,2442,2643,2984,3607,,10044824,8777678,8032952,7321442,7391488,8467782,7940698,7904342,8017722,11432602,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
290121,Ethylene,0,0,0,0,3143,0,0,0,0,3428,,2014,179,299,25,42,334,56,8,58,21,,435974,332158,192346,236378,315600,527715,463879,325480,282132,373672
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",7277,5394,5648,4492,4800,2336,2178,2910,4418,3390,,0,3,0,2,0,13,1,5156,22003,27291,,16965,12788,13460,12929,11961,13431,14459,13623,16985,16920
720430,"Waste and scrap of tinned iron or steel (excluding radioactive, and waste and scrap of batteries ...",0,0,921,431,434,1779,1684,1486,1177,3315,,85108,71204,66628,39998,21933,9866,7360,5629,6276,9581,,325,505,4041,1026,1094,4685,2353,2150,1533,3574
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",35,42732,75424,2241,4533,11082,13600,14755,3468,3198,,856588,475882,150880,15695,26504,85553,143538,123102,1464776,2493025,,714714,870063,899217,898025,671416,642346,772799,389164,775887,924304
790390,"Zinc powders and flakes (excluding grains of zinc, and spangles of heading 8308, and zinc dust)",779,2510,82,480,670,724,996,1409,2113,3134,,58,1,98,195,171,2487,2602,970,475,444,,5472,5823,5697,4711,5088,6438,5918,8618,8533,13457
720211,"Ferro-manganese, containing by weight > 2% of carbon",26269,22516,33927,18166,17884,34524,25200,13945,0,3120,,0,0,0,0,0,0,0,0,0,0,,74945,75060,82680,62944,59164,114795,113493,91790,60939,102577
80610,Fresh grapes,237,374,2072,1820,4709,2730,2925,3679,7058,3105,,107444,188314,212977,188041,325701,299432,295920,406353,457188,374168,,37886,49474,57975,55651,72656,70768,71309,68960,79898,83587
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",249,210,187,109,79,67,176,358,848,2960,,15706,20289,16894,15807,24370,27495,33169,36090,46954,76233,,46367,42567,43321,39323,90910,91319,103474,108380,84959,114877
750220,Unwrought nickel alloys,0,96,335,833,1487,323,663,491,568,2713,,0,0,0,0,0,0,0,0,0,0,,67866,51411,11791,67261,39883,115290,4629,5315,7850,5090
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),22,2,3,49,0,14,54,959,1147,2645,,6735,19775,8098,18262,21638,19090,15457,10642,14425,24907,,116689,133616,110683,109549,134414,118128,148590,165467,175571,200181
902140,Hearing aids (excluding parts and accessories),247,705,798,1459,710,2223,3877,2897,2759,2617,,234353,185055,173636,176791,108941,30536,28076,21565,13668,24489,,7780,10253,10536,11834,10386,14728,18423,17193,16365,18311
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",636,961,1049,662,587,906,805,894,1640,2453,,77861,68363,69276,75848,81316,79175,78460,82162,114924,125515,,19571,19187,27182,37061,33772,33305,33580,31052,32404,40483
330510,Shampoos,555,669,903,1093,990,1804,1785,1556,1738,2380,,22993,22741,21252,23495,22981,25020,33874,39376,39241,57563,,100144,93693,95618,90970,90739,95147,95542,91096,91933,100806
