Product code,Product label,"Taipei, Chinese's imports from India-Value in 2012","Taipei, Chinese's imports from India-Value in 2013","Taipei, Chinese's imports from India-Value in 2014","Taipei, Chinese's imports from India-Value in 2015","Taipei, Chinese's imports from India-Value in 2016","Taipei, Chinese's imports from India-Value in 2017","Taipei, Chinese's imports from India-Value in 2018","Taipei, Chinese's imports from India-Value in 2019","Taipei, Chinese's imports from India-Value in 2020","Taipei, Chinese's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,2629582,2749837,2482333,1871132,2180433,3064512,3268214,2514258,2215590,3184394,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1318913,1313258,1005774,538686,878497,1150900,1542281,840969,531525,785970,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
760110,"Aluminium, not alloyed, unwrought",7179,29854,79564,76912,70087,69387,163870,176626,235603,192705,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,8768,14487,6301,1721,11490,5309,2947,7857,139395,,29397,99118,81503,44852,65110,154355,174379,153699,168006,568794,,174096,155679,132133,84057,100069,134306,172193,166697,165908,387306
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",60849,73809,71180,65784,57417,88173,85378,81816,80542,128299,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,312978,331802,413274,393646,332864,520074,484619,467847,371017,512250
720241,"Ferro-chromium, containing by weight > 4% of carbon",667,21592,15169,40204,83688,159517,118890,56342,44346,111098,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,307637,295563,250631,236051,259943,383789,317478,149910,106188,226917
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",15904,70849,21564,11841,57,47500,2606,802,200,81630,,172806,425394,313685,139646,52578,208269,123538,93934,134491,464839,,368423,330966,219933,161668,94449,149878,261734,160721,64242,238590
720230,Ferro-silico-manganese,98869,93988,90417,63951,47077,75238,62591,46106,49596,77251,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,128610,121450,131474,88628,90878,146482,117399,93442,81964,134536
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",27,193,24,34,32,67,30,49102,82155,71862,,14052,32316,66080,21343,21166,30220,26525,53398,91842,60577,,155235,144614,155405,132190,140223,166046,186903,212780,239118,302085
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,0,0,55266,,273412,519421,647153,155640,400984,961563,976436,786791,1520855,1995423,,34445,38231,49860,5040,28516,34592,55082,20624,32516,180968
760120,Unwrought aluminium alloys,8806,16499,16375,2086,9183,15824,19641,17083,19662,49248,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",49390,54411,69917,63938,50499,41816,38277,29686,39582,42151,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,108979,123623,129108,116083,93122,83112,78423,71728,63988,65548
290241,O-Xylene,0,0,0,9463,20242,23880,35266,31323,35374,39727,,313029,340386,242188,170405,118673,94675,202934,134335,182290,182535,,79,2889,29145,27552,40157,62350,72054,80701,53430,57800
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,11084,18957,28901,29940,39536,,0,0,0,0,0,269251,529049,803311,981909,1239851,,0,0,0,0,0,90765,103221,106116,119990,140334
720211,"Ferro-manganese, containing by weight > 2% of carbon",18999,19525,22137,11635,4641,13936,13047,9822,14353,38902,,127317,141160,194292,108284,90512,257547,253504,229933,200651,627313,,74945,75060,82680,62944,59164,114795,113493,91790,60939,102577
30499,Frozen fish meat n.e.s. (excluding fillets),33945,23621,24985,29711,30696,33402,43447,37096,35312,34298,,141482,139949,125959,146130,150282,213329,249896,223780,199509,250646,,65765,55766,57591,60872,56848,54744,70228,68882,70134,81234
290124,"Buta-1,3-diene and isoprene",57569,24832,0,0,9781,13214,18142,25163,11019,33161,,300459,166966,104099,92834,106033,144853,155369,146453,100184,128867,,455866,218264,194914,110436,118929,214429,224094,196058,138208,196934
290220,Benzene,3491,4297,15392,2103,12236,18166,5244,0,3859,29291,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
520299,"Cotton waste (excluding yarn waste, thread waste and garnetted stock)",9343,5011,614,413,3225,8425,15712,6965,12137,28718,,58619,85856,35709,32135,54822,116634,107743,42015,79830,93510,,43790,41831,24132,16333,16781,20808,29209,28197,18328,33473
251612,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular ...",15108,38789,38582,26467,9519,10501,4481,5899,11524,26948,,64431,78064,64844,81737,91693,118323,131509,119530,114203,150823,,47383,126410,106939,69535,38552,34662,35054,22500,33462,57037
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2968,627,173,597,350,1016,1492,8564,20906,26687,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,6410,28377,12492,37952,25886,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,156740,117961,215909,79808,130579,154130,230415,204270,232936,549445
261400,Titanium ores and concentrates,48,48,26,4,4,0,4845,0,2,24150,,322936,207117,119904,109695,83810,87804,105142,67969,72408,78219,,125974,114579,99973,74015,80006,101971,90887,76106,62059,123296
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",6002,7320,11079,9133,10624,8030,10945,12466,13679,21204,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,1734434,1946118,1915615,1996596,2024074,2216463,2412718,2668381,2735461,2883589
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,0,0,8563,21160,,16,8427,70942,12,12912,78,12434,75335,141413,162515,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",2170,7124,5848,4434,6086,9786,16136,18733,24204,19235,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,58095,48553,45321,47270,50028,55044,73045,72250,86501,87452
520300,"Cotton, carded or combed",3260,3517,917,709,4129,6696,13226,7663,9780,18523,,602,823,826,637,688,2501,3891,11169,16473,52172,,10345,14840,12871,9440,10813,16863,33291,29353,22617,25240
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",1519,1314,8476,1590,3656,8876,5131,1442,4071,18177,,48881,45508,45401,42412,22813,41969,44438,38232,28286,115863,,132443,139056,173788,136457,122181,189510,267642,144732,137030,276747
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",80,72,11,12,27,1601,10745,22522,22643,18144,,129504,203101,184644,192400,183289,312965,379929,388897,340166,587343,,153958,133086,129242,120287,110568,105934,135250,145705,135282,152879
120740,"Sesamum seeds, whether or not broken",17376,17690,37031,26516,19824,16897,21561,18181,19122,17975,,517673,632196,813602,476645,415152,435302,531449,528715,447843,421536,,39925,45522,70504,55693,49138,48962,52535,52797,64071,62779
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",0,0,4210,0,1332,5921,2345,0,1642,17856,,26924,20634,23569,21342,15239,31341,24321,33604,50389,136007,,20342,18772,10606,9119,7402,15096,38933,22697,17297,42285
850440,Static converters,1171,1658,3868,6977,5678,11363,13771,14798,12070,16836,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,844372,799085,849081,753315,797978,867324,981745,1148165,1341871,1644391
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,7574,11973,0,0,2349,14,66453,15911,16714,,212935,366953,303679,128595,339193,1263700,826915,1476157,2024034,2761309,,250888,259217,267559,191077,162814,180396,139422,233439,137072,204964
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",12215,15703,15081,10778,16121,15320,16861,13797,11818,14762,,47168,69479,59930,75673,44023,80641,101309,133003,190998,238570,,87803,86986,94951,90078,93240,106532,114057,113833,107127,142582
721899,Semi-finished products of stainless steel (excluding of rectangular [other than square] cr ...,46,42,2640,3940,7369,17350,15183,8111,5819,14613,,18657,6329,10004,4913,19359,42013,25340,17037,14112,31043,,32330,43148,64834,31098,28006,49010,44569,25166,20244,66286
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",11927,16996,10098,9729,12052,9801,11332,9039,12487,13851,,294478,666232,564968,501738,427478,439165,574252,364645,328248,643826,,37425,32692,25551,23583,23756,24393,26790,21460,20976,22443
262099,"Slag, ash and residues, containing metals or metal compounds (excluding those from the manufacture ...",0,0,0,7,0,0,0,434,699,13553,,251,2148,2298,2142,1338,1329,8412,19550,7430,16853,,5973,30019,33590,31407,24351,31554,28213,27685,33497,46574
281820,Aluminium oxide (excluding artificial corundum),1381,1504,1090,897,3612,5847,12974,15175,12758,12867,,341677,458612,521613,439283,389582,481601,686760,485854,373075,567973,,82189,79647,80496,69434,71339,74975,81577,77519,72653,86590
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",5608,7933,13204,8883,6603,8979,13080,11905,7368,12249,,170457,246004,317786,215954,204584,227578,285309,277930,202544,285792,,30355,37527,47822,36593,29727,32982,40463,35474,26649,38512
290243,P-Xylene,14415,0,0,25509,22690,78854,45022,13063,13010,12101,,965850,1067923,1027789,501116,473272,1255655,2655358,2556793,1755582,2077611,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",0,1435,1802,21,186,3405,3366,6840,7676,11379,,99547,133213,122538,129070,121091,174311,227160,236840,195431,180202,,158833,155354,139211,147900,122876,112473,123591,118528,110616,124063
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,3808,2417,1584,822,1083,737,3620,4962,4863,10904,,164124,105288,115876,117666,119224,123580,105925,107375,95826,131175,,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",0,7,314,203,202,209,1142,337,6077,10400,,0,41169,116192,153108,157354,220126,335421,394964,381583,683391,,0,4166,70511,61959,70422,84843,100810,139271,164794,188646
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",11,95,132,151,7,327,958,4414,9663,10391,,1284825,1608862,1753424,1676359,1519260,1700269,1940026,1870129,1581134,2516596,,9359,8683,10771,17330,22319,19245,35622,39519,47145,55857
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",139,0,0,171,1564,3246,3540,3888,6183,10229,,35559,51221,71924,65975,85691,96308,137495,167423,159883,218592,,23790,27060,28938,28195,32304,41804,45327,45418,51782,63232
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",646,537,965,640,277,376,491,778,1364,10040,,133745,144882,147168,150180,180294,195618,236362,279344,290057,400913,,15169,24090,29188,19102,9699,13315,22705,21436,17319,41990
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",4727,6719,6245,6116,4288,5781,6631,6057,4190,9815,,3996,4990,7880,9923,9641,11580,11266,12608,12853,16618,,9908,12844,14210,9935,9626,9535,11133,9364,10537,13217
730511,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",0,0,0,0,0,0,0,0,0,9480,,1291417,710702,534420,552772,497569,609704,349560,472111,563787,298724,,239,546,232,1289,351,78,35,63,34,12788
520100,"Cotton, neither carded nor combed",31419,38403,43610,33271,14680,25618,19320,3946,2971,9319,,3647065,4513411,2821651,1860425,1345732,1673933,2203316,1075032,1448516,2682048,,363987,383913,326497,280388,211250,222069,253486,184926,98694,117651
780110,"Unwrought lead, refined",12883,2508,1474,4039,9357,32345,24246,20942,32810,8900,,60274,145202,126084,120868,101937,283992,344468,279446,236998,303480,,183435,201077,138675,141142,146063,197535,167846,210524,151109,131904
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",2465,820,4163,2280,1037,3248,5023,5678,5291,8868,,377420,268935,311924,282147,352137,384319,619851,616411,554729,723054,,57363,58109,52965,54394,57520,61692,62860,55956,52843,64490
853620,Automatic circuit breakers for a voltage <= 1.000 V,2103,3221,4755,3092,4134,4590,6302,7875,5012,8619,,56307,77873,108255,118982,114239,131968,156692,155249,147468,217324,,50418,51611,56721,54322,49063,53589,61023,56940,59040,84522
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",77,109,742,414,128,1497,2817,1760,3047,8570,,27510,36464,73863,69041,59866,169075,169858,139540,192052,354262,,1777,3925,8262,13364,15622,23449,23840,22471,30057,49808
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",1208,1369,2180,2289,2839,2294,3963,4540,6815,8357,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,22886,31914,32827,25535,28797,30419,33727,38959,43397,51298
320411,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,1487,2164,4029,6562,7905,8530,11459,10985,8778,8058,,34807,51099,76414,77531,76090,81078,144301,180257,131582,159927,,97100,125810,172788,155877,125148,131272,161699,158537,109215,138384
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",9827,8672,7825,8680,7656,8253,7698,5705,5873,7953,,802656,907204,784425,558270,552212,757326,955696,1460359,1264946,1666272,,82588,84522,67187,68106,68600,79090,86727,93352,97591,103440
290531,"Ethylene glycol """"ethanediol""""""""",11905,10394,4352,10248,6339,3607,9670,9564,3678,7704,,88742,96651,87226,85981,73878,61158,290876,115357,154897,63625,,302892,343689,218826,153716,142040,126189,159972,45576,25736,30429
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",170,328,2288,4513,5160,5827,5643,5317,6863,7610,,15647,17258,17362,14822,16631,22315,35577,43017,38911,47143,,37504,32798,38049,37654,33269,38188,39101,33348,32761,41831
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,8344,7325,7655,7493,6515,6604,6992,6121,5413,7489,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,189973,169826,224146,186236,205908,202204,255828,236644,233183,237508
290121,Ethylene,0,0,0,7296,0,0,0,22414,0,7208,,5,6,10,5912,3,101085,226722,139026,65623,113139,,435974,332158,192346,236378,315600,527715,463879,325480,282132,373672
999999,Commodities not elsewhere specified,5242,4349,5005,5201,5697,6056,6645,7365,6433,7186,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",16609,31289,40451,24947,7675,24721,16651,6388,1487,7184,,9149,32621,64464,56650,35092,99662,106756,79892,65708,87266,,219101,182630,215387,203394,168389,183343,207018,176003,181379,193754
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",1132,953,1389,4463,4830,4758,6734,6887,6577,7099,,619924,726273,577850,597092,578975,674258,683436,720547,580745,565531,,34905,34580,36937,38532,35911,42996,48257,48223,44638,50837
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,6281,7242,5541,4220,6520,,0,0,0,0,0,151211,241959,262517,204578,240503,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",6686,6615,8340,9061,6489,6431,6624,8040,6933,6427,,92942,155811,116832,146969,100369,109312,139946,141183,154646,189448,,10239,9491,10613,11391,8836,8225,10082,10726,9438,8968
294200,"Separate chemically defined organic compounds, n.e.s.",3529,2881,4223,10882,3895,1394,602,2350,2344,6036,,2571148,1611034,1205413,1300933,1131194,1055588,1129229,1243637,1240935,1252298,,54615,35459,41160,61388,43726,49860,40361,38865,39307,44128
292221,Aminohydroxynaphthalenesulphonic acids and their salts,5563,6770,11537,5265,4008,3957,7615,5323,5010,5912,,43708,61343,83497,67081,58021,67083,75020,61255,46261,41670,,13766,20713,38144,16969,14024,9228,16697,10311,10015,12124
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",3098,3256,4008,3395,5037,4992,5757,7190,7971,5671,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,46484,45769,46895,41281,47553,56208,64659,55625,53127,64990
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",484,2153,3697,4203,4738,4883,5195,5337,4960,5649,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,10811,10701,13066,13562,13181,13629,13860,13752,13424,15314
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,4259,4611,5798,2620,2884,3021,6500,10061,3806,5606,,359323,541046,683609,529671,524663,605662,721474,734016,544405,774044,,13792,16133,22662,13337,13797,11228,16227,18529,10735,13671
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",2245,1832,2225,4625,3940,3824,7110,5190,10412,5355,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,38967,42666,49574,48835,45822,47985,53151,52510,60308,68581
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,0,356,350,1196,5220,,0,0,0,0,0,502,127982,56176,50957,121054,,0,0,0,0,0,6452,21551,20052,17740,29838
260300,Copper ores and concentrates,0,0,0,0,0,0,6,21660,0,5086,,61,36445,18668,0,26469,42623,117415,409408,92475,61042,,278,1068,278,125,757133,616941,432704,871156,796457,1586348
320414,Direct synthetic organic dyes; preparations based on direct synthetic organic dyes of a kind ...,2802,3395,5782,2898,2831,3422,4456,4166,4050,4977,,70119,96285,114929,97170,91002,102246,114081,110270,110335,136194,,10429,11709,12647,8683,9552,9562,10648,10610,9499,9968
210111,"Extracts, essences and concentrates, of coffee",6089,6682,6228,5821,5419,5729,4280,5192,5106,4897,,275847,281164,282715,254281,276425,311991,309947,280237,237695,308659,,30319,32993,32558,33500,31468,52391,34807,34301,37892,38536
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",234,1399,1763,1920,1265,1445,2088,2242,2524,4755,,419608,428277,469265,417840,325994,409722,480723,371730,273177,431801,,5040,6086,7327,7580,6273,9679,13284,12487,13136,16674
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",5335,4751,4448,4343,3611,4331,5878,5248,5401,4744,,257096,346390,351073,416013,512220,515282,591995,600224,664789,848442,,71491,69347,61943,61888,59455,75969,70955,68872,67917,63574
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",21126,4307,4889,2789,458,1774,3740,3554,1825,4736,,2075456,2860253,1180724,429948,305238,837924,893291,744417,701358,900822,,24497,27026,15805,8939,6681,4865,11930,14671,36104,32403
240120,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",4130,1308,975,1459,1498,1404,2029,2521,4419,4614,,598899,754973,633249,582063,608834,566948,530610,502263,461393,504258,,61918,52614,72660,42087,88312,98842,97221,91706,69880,98130
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",724,880,671,780,1252,1054,1725,1742,3709,4563,,179488,262132,321688,317972,352001,330304,376453,431216,429857,429429,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",3258,5020,4404,4261,3841,2445,3932,4053,3981,4552,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,359349,402893,432865,408908,428953,444472,480203,486938,581197,702962
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,275,1114,7594,3458,4377,,0,0,0,0,0,396931,632190,605179,467575,600464,,0,0,0,0,0,76382,105256,128057,132701,118944
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",1038,1316,884,1172,1342,1825,1540,3117,4741,4308,,106025,108633,108483,113440,115680,140441,186443,172511,188739,258674,,27158,28819,31255,33685,32917,34872,42598,44241,51561,58355
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",649,632,1024,1251,1448,602,1065,2364,2099,3960,,176538,197962,248546,258401,253334,281497,336810,358951,309222,444503,,135809,147349,232016,145111,143969,175639,152312,154518,177639,247933
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",2133,2020,2395,2573,2352,2409,3665,4934,4876,3943,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,130559,115207,129477,141905,155403,153974,183623,201723,196774,215308
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",922,1135,887,705,1772,1817,1639,2834,4388,3911,,48618,99830,109477,123064,93425,132928,185919,242677,378065,300063,,32121,30877,30752,23336,29688,28815,31353,23577,30100,34957
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",3228,8164,9007,4525,2706,3624,5387,3394,11040,3890,,41503,81528,73292,40589,47829,63885,70622,78653,81454,102254,,54391,58280,51770,51204,39124,49773,63663,44251,55753,49218
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,0,4,1738,1585,1899,1897,3039,2915,1968,3849,,0,81837,110472,106151,107565,122980,156596,148306,149455,213119,,0,14966,163858,162636,157264,180905,187097,190474,214986,241428
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",1402,2295,1785,1387,1620,1483,2211,1817,2224,3848,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,13139,18382,19761,16918,16075,22542,20475,24035,21540,22445
722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or ...",3377,4099,6009,4415,3125,4436,4943,4950,3598,3822,,27210,31081,17710,11798,7616,7897,78256,159584,122318,174156,,28621,28947,30200,23511,18624,22615,24558,20924,21260,24509
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",312,127,1919,826,1998,472,1085,749,612,3784,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,367886,349661,418621,383401,326878,367144,463179,512179,378815,571634
120242,"Groundnuts, shelled, whether or not broken (excluding seed for sowing, roasted or otherwise ...",0,58,849,299,4138,6112,3641,3459,3385,3739,,0,478010,657530,622190,700782,651997,448274,606118,739523,680417,,0,58,1286,488,5583,8550,6232,4956,5190,8807
722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of ...",12051,5208,4552,2182,2654,2355,2590,3113,3108,3729,,42394,75091,77600,50200,41369,49089,73552,79682,57318,103822,,24972,14723,19451,10560,8905,9026,10977,10144,8332,12826
520524,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",4567,4096,4954,4286,3780,6302,5043,3350,2526,3719,,669693,898250,809666,917590,718499,796427,830951,598338,566457,887054,,5350,4695,5520,4637,4611,8659,5824,4878,8606,13721
520522,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",5573,3671,1601,1781,2156,1536,948,809,1764,3697,,317457,398776,284298,287553,272981,322945,379667,354722,327559,612943,,9822,8286,5666,6611,4525,6715,10141,5900,7498,11869
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,0,0,98,172,3640,,757,2504,3908,3343,4662,10523,72172,76073,154755,320899,,22656,21618,15099,11879,9682,21512,13740,24476,25586,35449
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,771,1723,0,0,2754,0,4871,2530,3555,,95694,93595,112511,76639,103383,337313,193463,287475,249757,541766,,7379,5824,24629,7144,12036,16633,9279,34811,21078,21832
730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",0,26,4694,1499,4149,1803,0,0,255,3504,,24740,24013,18355,13502,6530,14737,15024,7887,6274,7015,,97767,84795,87176,64868,53269,58022,70301,54184,52953,83890
292229,"Amino-naphthols and other amino-phenols, their ethers and esters; salts thereof (excluding ...",1886,1614,2393,2106,1571,2453,4248,2644,2706,3386,,84876,115759,105930,83248,80822,107463,168753,180794,168679,243663,,7910,7673,9550,8938,8984,11801,20079,14990,20088,26609
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",1475,9164,14067,12669,7699,6693,3171,2330,3400,3374,,81163,169336,157149,156194,152359,134028,124800,127904,151325,164190,,25092,41402,47195,45148,35181,35344,35338,35506,44289,53352
380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,1382,1274,1792,1826,1525,1469,2397,1533,2097,3287,,363477,523744,455972,481359,407307,456916,516344,190000,67007,69222,,8290,7509,11665,11783,8924,10648,9805,9142,9057,10447
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),1551,1800,1416,1294,1039,1434,2363,1456,1957,3282,,64498,81540,85216,83153,88621,82289,85793,98255,135618,139922,,9121,9931,9234,9707,9498,11157,12073,12461,13214,20483
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",51,1,48,5,257,585,1335,1944,3427,3191,,1323656,1116662,1250788,1033437,1660023,1962885,1627145,1192983,906575,943947,,299582,315893,294812,301194,1961184,1754520,1666242,1771358,1036900,1079602
854511,"Electrodes of graphite or other carbon, for electric furnaces",6313,987,5831,6035,5248,5843,7457,13400,6045,3184,,283079,396523,283781,180015,120829,275857,1075429,517198,185106,237235,,89148,76891,65976,61637,41093,89626,250690,159395,61414,90460
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,1572,2413,2889,3224,3146,,0,0,0,0,0,122073,199544,258201,261225,295280,,0,0,0,0,0,11270,11214,12429,17919,15213
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,141,289,118,135,393,496,1432,1697,1199,3146,,39667,76052,95323,122131,143719,117716,100257,149664,82757,91367,,107431,111062,123301,135506,121986,115832,101571,115715,116099,108777
