Product code,Product label,"Taipei, Chinese's imports from Saudi Arabia-Value in 2012","Taipei, Chinese's imports from Saudi Arabia-Value in 2013","Taipei, Chinese's imports from Saudi Arabia-Value in 2014","Taipei, Chinese's imports from Saudi Arabia-Value in 2015","Taipei, Chinese's imports from Saudi Arabia-Value in 2016","Taipei, Chinese's imports from Saudi Arabia-Value in 2017","Taipei, Chinese's imports from Saudi Arabia-Value in 2018","Taipei, Chinese's imports from Saudi Arabia-Value in 2019","Taipei, Chinese's imports from Saudi Arabia-Value in 2020","Taipei, Chinese's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
291020,"Methyloxirane """"propylene oxide""""""""",22162,8125,23200,5587,4125,26255,22136,10591,5591,59769,,0,0,0,0,0,179,0,230870,185811,471727,,155738,142586,148418,116363,96442,119948,123467,109627,107696,234331
390740,"Polycarbonates, in primary forms",99879,89381,102004,59880,26531,22124,47466,55916,21403,37759,,450858,317261,430570,332849,278455,355918,484363,607111,486435,373282,,528418,441591,453636,381288,327428,368121,402448,349540,299627,439332
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",34347,0,14163,0,0,0,0,0,0,35843,,0,33899,0,0,0,0,0,0,0,0,,1677059,1343947,1219211,760661,611150,1071855,1304057,932640,670012,1622477
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",31257,92294,28566,18365,47812,30631,52584,27609,50411,35381,,3239553,3165844,2803150,2518400,1812536,1467888,0,0,0,0,,223626,430197,627900,284338,254209,186006,267621,127039,145769,156845
390210,"Polypropylene, in primary forms",77387,99440,101264,82317,77186,68879,68295,51468,33764,35220,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,183952,188309,211589,199975,161391,145032,147191,141896,161564,190861
271112,"Propane, liquefied",55959,113500,28394,16824,43736,55806,52004,20351,40708,24077,,3657373,3123183,2470855,2438776,1421602,1812647,0,0,0,0,,468082,691307,838376,353801,369965,388819,701594,661060,396362,183962
290531,"Ethylene glycol """"ethanediol""""""""",287098,325753,213101,142209,131625,118669,146194,30151,20410,21971,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,302892,343689,218826,153716,142040,126189,159972,45576,25736,30429
290220,Benzene,0,17072,0,10037,0,0,0,19574,11756,17622,,11376,81219,0,257,3300,8477,310448,77647,35384,95171,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",29499,33602,44075,26521,18622,23102,17414,14389,15290,16957,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,120226,121330,130521,93767,82336,101148,111260,101391,92386,115327
760110,"Aluminium, not alloyed, unwrought",55,32427,138682,119913,84429,83381,106404,40318,44708,15636,,7311,353294,1090840,987209,1083300,999936,951749,840479,969837,825857,,736820,747203,849097,739270,645626,664199,814188,648671,1092600,838566
760120,Unwrought aluminium alloys,0,166,9220,15446,3341,11725,18644,13230,7115,11245,,202,2022,209196,335297,50692,210553,143005,127301,43837,92253,,485812,544253,651951,594990,456125,586034,750627,569989,487625,949679
291614,Esters of methacrylic acid,0,0,0,0,0,0,42006,6411,7921,10305,,0,0,0,0,0,19692,313948,339597,412384,429868,,236823,225536,242102,194459,142859,206196,204718,98755,103578,135986
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,1383,1046,1914,1220,6361,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,53740,36396,34424,33159,25767,29587,38970,30965,27191,55539
