Product code,Product label,Viet Nam's imports from Germany-Value in 2012,Viet Nam's imports from Germany-Value in 2013,Viet Nam's imports from Germany-Value in 2014,Viet Nam's imports from Germany-Value in 2015,Viet Nam's imports from Germany-Value in 2016,Viet Nam's imports from Germany-Value in 2017,Viet Nam's imports from Germany-Value in 2018,Viet Nam's imports from Germany-Value in 2019,Viet Nam's imports from Germany-Value in 2020,Viet Nam's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,2377327,2954013,2606560,3202733,2850215,3203719,3811993,3698442,3355861,,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,33665,45808,35604,36763,41180,58598,56675,45839,50201,27112,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,1576,1618,1307,2119,2309,2538,3236,3405,5647,8083,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,5,0,0,0,,,314,137,152,222,130,348,40,150,106,41,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,1,0,0,129,0,0,,,12,10,20,40,81,66,93,140,36,22,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,266788,239131,237547,190359,183995,182069,156043,135942,118253,143396,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,,,10614,8001,7888,5477,4659,8042,10515,9172,4869,5753,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,3374,3235,3687,4234,5058,4368,5856,5124,6951,8695,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,,,12670,12063,10479,9137,12102,11901,11091,10631,7714,7540,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,77,147,0,0,21,0,,,220,243,238,178,99,88,324,275,358,496,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,4869,2817,4204,2494,3622,4868,4218,1755,381,660,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,31,237,58,1843,1456,3585,,,270104,203670,138652,100806,131462,116673,105581,159243,134689,119485,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,0,0,0,0,0,0,1,0,,,4078,1649,4258,5615,5583,4876,1475,1891,1763,1847,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,0,0,,,1365,1273,1194,968,999,811,980,776,447,308,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,43,36,40,70,53,89,79,49,0,0,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,,,4593,5675,6575,8867,10147,9547,8675,5072,3209,3531,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,0,0,,,2880,5408,4416,3215,1473,2962,1816,1761,1722,4091,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,0,0,0,0,0,,,40245,26492,25253,29962,26911,22238,28824,24366,29164,13603,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,0,0,0,0,0,0,0,,,0,2,0,2,0,1,5,0,34,0,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",0,0,0,0,0,0,0,0,0,,,12,17,33,19,10,88,93,10,3,0,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,0,0,0,0,0,,,2009,678,719,179,314,480,407,369,394,452,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,6484,9324,9147,9190,6739,19971,22196,22866,21861,19270,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,,,115,388,302,143,35,30,77,62,51,66,,84,0,0,0,0,1,15,59,300,669
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,0,0,0,0,0,0,0,70,,,28330,47101,74267,75670,102594,113176,104582,63590,76129,96954,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,0,0,0,0,,,281,364,261,554,744,1693,1811,1874,1408,673,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,0,,,6,0,0,0,7,93,365,381,84,208,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",0,0,0,0,0,0,0,0,0,,,4058,3833,4502,5568,8050,16647,12560,10564,9725,12679,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,107,196,322,176,192,210,272,250,184,202,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,0,0,0,0,0,,,4433,8523,8214,7247,9505,8553,7522,7220,5459,5423,,5,0,0,0,1,9,4,0,15,10
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,0,0,0,0,,,288,512,278,795,562,595,352,300,121,125,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,0,0,0,0,0,0,0,,,551,683,676,415,508,334,235,347,102,171,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",0,0,0,0,0,0,0,0,0,,,6747,1474,1683,2925,3248,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1668,1981,1487,707,931,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,0,0,0,0,0,,,269,258,268,246,311,381,456,446,273,231,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,0,0,0,0,0,0,0,0,,,1,2,5,12,185,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",2084,2747,3835,2528,4113,3947,1904,530,280,,,535781,613744,610797,558513,559865,574700,634414,642161,666572,669797,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,194792,152270,189258,160285,159010,166065,158250,147408,131997,122078,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,0,0,0,0,0,0,0,0,,,13167,16446,12425,13268,13710,11838,16471,12808,10132,12124,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",0,1,0,0,0,0,0,0,0,,,1023,787,786,941,985,1101,1260,1081,1067,2156,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,1,1,0,12,12,13,,,40833,40962,41609,30933,29642,29178,29871,32427,34763,31002,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),0,0,103,549,731,1429,1093,1836,642,,,295161,495407,288780,235527,309397,339104,336362,392332,320583,324531,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,0,0,0,0,,,1620,1781,1343,1447,1355,1456,1367,1839,1802,1923,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,0,0,0,0,0,0,0,0,0,,,20011,21351,16201,17572,15698,15008,21360,18732,16935,17254,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,,,8559,8180,9891,6560,7267,8553,10356,9653,11700,9808,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",0,0,0,0,0,0,0,0,0,,,6068,7175,5391,4353,7051,5200,4863,5170,5607,4581,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,,,16535,16045,19048,14496,12629,12869,16797,19440,19679,20844,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",3,0,0,0,0,0,1,0,0,,,525,527,467,475,293,412,299,216,226,254,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",0,0,0,0,1,0,0,0,0,,,15752,24783,32873,30433,24890,17120,12635,11971,11111,13141,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",0,0,0,0,0,3,0,3,5,,,1477,1835,3228,2633,3442,5242,5418,4784,6369,3972,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,0,0,0,0,0,,,190,210,338,353,339,179,336,563,420,330,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,284,214,13,13,16,10,22,18,34,48,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,0,4,2,0,3,,,4536,5233,7393,7378,8959,10680,9602,9030,10671,9965,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",0,0,0,0,0,219,0,0,0,,,2,50,106,304,10,204,10,1,1,212,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",0,0,0,0,2,9,6,0,0,,,71103,110925,130165,146912,123352,113294,133552,147150,147814,133630,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,0,0,3,3,20,27,39,30,4,,,9852,10742,15013,16010,21269,23264,27949,36954,40317,31270,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,0,0,0,0,0,0,0,0,0,,,13002,15615,17546,31006,40503,43241,53251,45940,52176,58919,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,0,21,18,18,34,26,11,7,11,,,32270,32984,30560,28002,31040,24395,24605,29956,34167,32635,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",0,0,0,0,0,0,0,0,0,,,1227,1470,449,784,535,627,462,489,400,1296,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,0,0,0,0,0,0,0,,,16197,16916,14719,13771,14721,16608,21674,21817,23215,26578,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,,,973,1229,3270,2358,1200,765,611,982,521,914,,4,3,0,9,26,89,36,17,85,46
81350,Mixtures of nuts or dried fruits,0,0,0,0,0,0,3,1,1,,,50434,59872,90690,102517,114286,144204,122257,117851,114407,116197,,184,26,20,117,219,320,417,133,183,233
90121,Roasted coffee (excluding decaffeinated),11,1,1,0,21,5,27,8,25,,,1104237,1148113,1258081,1173921,1239905,1441374,1439112,1388573,1558827,1746230,,879,923,1636,1576,2251,2625,2418,2510,1887,3800
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",4,5,15,6,6,2,14,3,8,,,75526,77269,78615,62952,63047,72854,68009,67113,64174,66482,,1544,2517,4404,4330,3547,1861,7557,7454,6138,90559
90412,"Pepper of the genus Piper, crushed or ground",0,0,12,0,0,0,1,0,0,,,41724,48948,52182,73072,75476,58601,43806,31214,30590,34035,,99,142,299,1172,1391,1270,656,723,2006,2007
90811,"Nutmeg, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,2964,4138,3293,1594,1452,2128,1876,1805,1417,2392,,8956,9139,8413,8072,5653,9819,10472,10279,10695,17281
90822,"Mace, crushed or ground",0,0,0,0,0,0,0,0,0,,,1180,1058,909,728,927,761,960,1058,2060,1708,,0,0,137,145,47,10,14,0,0,481
90831,"Cardamoms, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,1650,1278,1013,1025,1143,1355,3229,2893,4464,3951,,0,702,230,76,98,718,77,71,128,7506
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",16,18,0,0,1,0,1,0,0,,,6060,7146,8473,7603,7217,8807,7977,8588,11988,16536,,481,680,1109,952,816,764,1363,1348,1247,41092
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",23,14,2,454,35,59,49,85,47,,,33488,39129,43385,39133,51600,50498,50119,51797,58347,53227,,171,294,321,583,102,241,217,534,936,2445
100111,Durum wheat seed for sowing,0,0,0,0,0,0,0,0,0,,,101,225,150,170,179,361,220,191,196,212,,120,0,0,0,0,0,0,0,0,
100620,Husked or brown rice,0,0,0,0,0,0,0,0,0,,,11989,9390,12323,12681,21037,29661,16212,7374,9221,6391,,9,6,51,4,316,78,106,154,439,240
110813,Potato starch,1449,1265,952,637,1000,2257,1896,2694,4821,,,288378,231828,248200,225672,187288,203997,205728,198477,212403,232252,,4403,4347,4161,5279,7100,7619,9078,9756,12569,8291
110820,Inulin,0,0,0,0,0,0,0,0,0,,,3406,4932,4631,1065,756,451,774,1347,2243,8329,,330,452,327,3234,4711,5092,3047,4874,4494,1656
120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,,,269,35,32,6,6,5,9,66,206,4,,0,0,0,0,0,0,0,0,0,605
120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,,,20,7,6,6,14,6,3,7,6,21,,0,0,0,0,0,0,0,0,0,3475
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,0,0,0,0,,,14,78,53,519,329,1419,1091,1293,1993,1982,,0,0,0,0,0,0,0,66,127,154
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,0,0,0,0,0,,,26632,29702,31268,24805,22471,20441,27166,27161,26126,32633,,56,50,65,30,38,22,15,14,8,119
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",82,65,53,33,29,28,17,46,73,,,21611,23189,22341,20191,20167,23831,20133,17569,17348,24473,,3246,6266,5831,8777,12235,16759,25949,22270,16483,20628
130211,Opium,0,0,0,0,0,0,0,0,0,,,33,43,33,71,84,46,2,21,0,14,,7,25,0,1,0,9,2,16,1,54
130213,Extracts of hops,2044,2359,3648,6443,4696,6802,9040,3611,1034,,,111053,109417,105134,86748,101727,131884,143531,154844,148494,170791,,5114,5315,6178,9311,9463,12062,18347,18310,14780,12533
150710,"Crude soya-bean oil, whether or not degummed",0,0,0,0,0,38,0,5,64,,,408491,295670,283680,311507,215166,181831,131821,90622,125041,159999,,41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
151521,Crude maize oil,0,0,0,0,0,0,0,0,0,,,15629,13734,7506,7733,8938,8892,8317,7214,7566,334,,0,0,0,0,15,0,0,0,23,152
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",3,28,30,38,26,31,26,8,3,,,25907,21920,17912,14531,18805,24498,22657,20967,19762,24303,,1077,1228,1270,1152,1285,1668,1743,1872,1568,2616
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,131,254,322,310,393,490,588,651,773,,,296257,277765,233572,189796,208506,272832,256184,259345,279373,349380,,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",40,48,2,111,83,54,84,69,88,,,12798,11235,13048,11963,14092,17575,20886,18204,19542,19309,,446,446,404,497,193,359,492,581,343,462
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",13,9,21,9,20,8,19,12,38,,,760415,829008,833484,675381,683471,750338,790007,792356,868483,846095,,427,203,451,1322,801,591,1148,979,945,2821
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,0,0,0,0,,,270118,313687,314459,261241,239247,256573,273636,278155,296747,258122,,4,8,1,174,171,249,275,416,361,1993
160510,"Crab, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,,,3785,4940,3887,2743,2356,2551,4585,4164,3119,3224,,70,48,161,45,93,397,40,39,133,760
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",11,40,7,17,33,24,20,30,96,,,48749,53153,56688,48737,54143,55894,59254,56250,63560,80951,,21244,26226,28274,27193,36852,34121,33233,34248,35927,28830
170390,Beet molasses resulting from the extraction or refining of sugar,0,0,0,0,0,0,0,0,0,,,61546,71668,57924,50552,47134,73357,84838,93746,79252,76545,,17328,5969,7479,11865,6804,10273,3400,7893,8091,11923
170410,"Chewing gum, whether or not sugar-coated",0,1,0,1,1,0,74,315,164,,,18522,22307,19288,16763,12777,14717,16583,17015,13102,14765,,24232,21327,16445,13603,12922,12687,10940,11889,10766,10835
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",217,218,77,217,331,370,373,447,703,,,1766969,1928747,2166157,1869194,1971822,2079419,2210656,2148689,2140446,2321509,,4097,4853,5889,7168,8951,12292,18080,21456,19012,103421
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",12792,14426,17531,14587,12900,23918,15107,13794,10866,,,382850,485302,524300,508691,636338,781219,820356,767310,788763,779091,,268890,273827,237101,230898,258559,290454,230119,271836,286014,304316
190510,Crispbread,1,0,0,1,0,0,0,2,5,,,79474,84089,87755,84007,87701,91606,100151,101036,112502,115014,,293,526,652,604,228,62,29,107,214,2506
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",0,0,0,0,0,0,0,0,0,,,3745,3164,3234,2651,4764,9160,12451,12624,11308,12547,,172,142,491,1136,869,1221,1194,1296,2040,143518
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,0,0,0,0,0,0,0,,,1087,1077,1274,1372,1627,1920,2264,2118,2051,3092,,4,88,22,97,150,204,293,260,566,12583
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",2,0,0,3,2,8,0,9,6,,,23597,30453,34948,36102,39603,45826,34544,30822,30370,25720,,1141,573,461,218,246,289,367,431,294,472
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",0,1,4,31,5,489,1,1,2,,,11254,10890,10760,10717,11454,14406,12068,12888,12007,13069,,340,215,394,426,582,767,247,323,329,205
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",0,0,0,8,1,3,0,1,5,,,26797,13174,11324,10310,10810,10655,10604,10631,10803,16237,,332,65,64,322,361,240,210,467,414,462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),0,51,0,3,68,53,169,7,0,,,23432,27532,35306,28966,34641,38327,40852,38532,49222,52900,,6285,7898,3960,3643,5580,5543,5722,5978,5910,11269
210410,Soups and broths and preparations therefor,46,60,40,35,45,48,45,2,1,,,175388,194284,196082,159234,159411,168392,182024,171799,159526,151516,,615,557,579,881,1329,1332,1879,1781,2020,6690
210690,"Food preparations, n.e.s.",2620,2942,3297,3545,5031,7791,13576,14653,13787,,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,227800,369031,426041,476915,509664,526542,586243,798919,795842,949841
220300,Beer made from malt,698,748,1101,1019,917,861,1081,1009,639,,,1372427,1372613,1429575,1264635,1311407,1291051,1378517,1350889,1288869,1395649,,3377,3358,11684,7524,8194,11185,12614,15914,7135,25009
220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",4,0,0,0,0,0,4,0,0,,,54031,62366,57164,37130,38449,52071,52393,47465,47902,45284,,159,118,28,15,38,2,51,28,1,761
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",0,0,561,0,0,0,0,0,0,,,146040,172016,173772,141342,130305,133223,137571,136727,153328,190714,,203934,267427,264428,273332,246216,242169,328544,349234,379548,298877
230330,Brewing or distilling dregs and waste,0,0,0,0,0,0,0,0,0,,,32427,40403,37200,32129,34907,29603,31516,29087,33052,39040,,146839,128261,176657,148350,212040,142919,234197,303727,270206,392174
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,0,0,0,0,0,0,,,484232,576651,554874,440178,390420,353351,382181,404632,504913,614032,,26500,34124,39043,30083,29518,25263,22270,13492,8887,18082
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,,,165113,205966,227478,151737,122708,56044,67631,71095,152305,265040,,0,0,0,30,75,134,209,394,604,2108
250200,Unroasted iron pyrites,0,0,0,0,0,0,0,0,0,,,189,184,366,447,575,511,529,600,693,749,,0,0,6,16,0,0,6,13,38,136
250700,"Kaolin and other kaolinic clays, whether or not calcined",25,85,132,62,73,28,67,158,166,,,61565,70034,71121,57178,60139,63511,79551,77627,64897,76988,,15806,14601,18156,19369,19730,22533,27072,26128,26480,36003
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,313,293,280,164,211,204,40,201,125,1,,2,139,2,0,110,74,4,104,70,
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,90,113,92,50,148,69,91,95,1890,71,,1587,932,567,575,458,490,304,227,266,77
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",0,0,0,0,0,0,0,0,0,,,4115,3989,4877,4323,4350,5084,3832,5106,5572,7063,,3,342,1262,2973,2462,882,808,229,274,4842
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",0,1,1,0,0,0,2,0,1,,,98055,99482,111233,83808,84251,89443,97301,97818,98248,111953,,2538,2804,1292,1512,2523,3266,2286,2341,1460,487
252620,"Natural steatite and talc, crushed or powdered",0,0,0,0,0,0,1,0,0,,,5242,5376,6569,9131,10480,11405,9897,8757,8158,9209,,5513,6525,7130,7607,8773,9213,10002,11729,12560,11476
252921,Fluorspar containing by weight <= 97% calcium fluoride,0,0,0,0,0,0,0,0,0,,,5374,12690,6363,6002,7932,6129,3754,2921,5255,9005,,176,64,399,40,666,594,875,1100,1052,2412
252930,"Leucite, nepheline and nepheline syenite",0,0,0,0,1,0,0,0,0,,,403,575,624,485,498,475,530,451,484,472,,719,950,964,725,892,932,799,805,944,297
253010,"Vermiculite, perlite and chlorites, unexpanded",0,0,0,0,0,0,0,0,0,,,832,840,812,643,816,897,1036,1489,1826,1426,,333,244,275,2607,277,252,692,769,480,1908
253020,"Kieserite and epsomite """"natural magnesium sulphates""""""""",0,0,0,0,5,0,0,0,0,,,185893,176633,171273,146969,122282,124969,126230,92242,102733,124397,,198,0,0,65,71,32,109,1,2,
260300,Copper ores and concentrates,0,0,0,0,0,0,0,9,0,,,28962,24915,24206,18824,18270,21926,31262,19636,17644,24440,,344,2045,3317,10745,15651,21681,4646,257,73,584
260800,Zinc ores and concentrates,0,0,0,0,0,0,0,0,0,,,26161,65235,77738,63657,45545,0,1,1,0,0,,0,0,117,30,205,138,431,714,367,1314
262011,Hard zinc spelter,0,0,0,0,0,0,0,0,0,,,8605,8079,9614,7748,9443,18381,13353,16411,12608,31181,,0,0,11,1240,3760,4966,0,0,0,
262030,"Slag, ash and residues containing mainly copper",0,0,0,0,0,0,0,0,0,,,59193,62468,52611,52267,36800,48993,53163,44230,44208,78287,,127,73,0,0,0,3,0,0,0,
262040,"Slag, as and residues containing mainly aluminium",0,0,0,0,0,0,0,0,0,,,17608,20186,26443,22088,19059,23471,14922,10168,7377,15895,,5,8,2,3,3,12,22,8,8,626
