Product code,Product label,"Korea, Republic of's imports from United States of America-Value in 2012","Korea, Republic of's imports from United States of America-Value in 2013","Korea, Republic of's imports from United States of America-Value in 2014","Korea, Republic of's imports from United States of America-Value in 2015","Korea, Republic of's imports from United States of America-Value in 2016","Korea, Republic of's imports from United States of America-Value in 2017","Korea, Republic of's imports from United States of America-Value in 2018","Korea, Republic of's imports from United States of America-Value in 2019","Korea, Republic of's imports from United States of America-Value in 2020","Korea, Republic of's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,43652459,41763900,45532370,44215394,43396444,50901449,59086153,62102883,57768420,73615250,,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",20,1,154638,151581,126249,724970,4490513,8979459,5391223,8395056,,2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113,,108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
271111,"Natural gas, liquefied",52450,0,0,0,10642,808134,2253439,2179769,2094601,4816686,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,27364464,30666717,31423901,18781885,12160921,15620996,23200103,20575241,15718260,25456410
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1560899,1052665,1746220,1656662,1657425,4361997,2996162,1660009,2865121,4322616,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
271112,"Propane, liquefied",56687,25714,203995,504266,911133,1488228,2363073,2593667,2455842,3699692,,2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232,,2737205,2278736,2258899,1450972,1635854,2142070,2742467,2741196,2564639,4056621
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",2889517,3328144,3344716,3391477,3242604,3424742,3032727,2545798,2229126,2316267,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,471246,438071,549548,597111,657703,930979,1125678,1009829,1165599,1565633,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",63693,200684,1163471,248310,136201,190664,686342,525632,979756,1505412,,31069045,34460448,36761402,25774152,24348431,29700090,39486748,34569480,23924151,41893979,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,285,2350,161,400,0,19397,4110,1376241,1282607,1261437,,186551,105521,174131,237538,294396,737179,328442,599082,358129,314158,,3663,2350,529,6663,71113,19397,11709,1384844,1285657,1261437
210690,"Food preparations, n.e.s.",358268,438693,520002,541195,654966,685171,788291,1002797,1095752,1226023,,4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409,,692285,776249,901578,915080,1066766,1174692,1380331,1710688,1913551,2166919
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",40948,58967,129588,234563,308363,414453,496519,563413,475306,1065851,,648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844,,2839117,2810241,2592471,1188311,939564,816616,922553,656949,522050,1149342
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",272181,261378,254551,473510,712163,583527,605945,504849,676873,1032983,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,1228876,1503414,1846344,2047586,3014757,3524901,4410131,5112033,4765174,4479197
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",453692,519405,600434,575630,621989,560161,679940,701341,804891,976002,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,48228,195927,326958,579884,853334,,0,0,0,0,0,3193768,3417659,7879129,6156647,4634088,,0,0,0,0,0,63815,230955,370498,757029,1201838
100590,Maize (excluding seed for sowing),928806,63547,1398415,761717,829156,848553,1408822,577573,637682,839517,,9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035,,2600504,2673497,2629308,2213078,1894924,1783555,2126007,2347837,2366225,3218347
20130,"Fresh or chilled bovine meat, boneless",59607,65944,97297,131159,189292,348883,445101,487498,568405,838921,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,271459,277859,340931,395929,488507,644701,770882,789179,900948,1282426
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,403081,261977,72477,156140,233463,523208,498483,297628,388186,686090,,1241508,997969,785232,720361,621586,682309,922597,954447,723395,1000029,,714071,421649,347077,466828,480033,1069209,1337664,712872,1083486,2011859
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",272500,259735,227676,170353,134813,123082,260571,644331,796666,654623,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
300220,Vaccines for human medicine,150890,174189,204259,145267,175674,150060,120488,123379,153849,629372,,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438,,363650,377935,413145,262779,309922,329188,272978,269984,345226,2355259
20230,"Frozen, boneless meat of bovine animals",207525,201553,264582,277997,344555,347529,489133,558014,519877,589603,,1694233,1710077,2182374,1942312,1991246,2118008,2755789,2605655,2367761,3727423,,598500,662960,751750,872472,976018,915329,1077889,1196068,1114412,1327449
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",259099,237056,240066,211124,152635,182977,414381,442010,429899,577924,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",763614,428373,430040,362078,290453,329485,367989,337458,379534,557592,,7988505,10261202,7445197,5356650,5238228,5973274,5311615,6057968,6096728,7155868,,1773167,1615625,1210249,1105412,1007087,956621,1001515,989795,968719,1345941
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",199953,250474,330262,321795,406199,437237,551251,647658,589701,555890,,343274,597860,771305,579052,570847,698641,831941,796714,616613,830070,,344977,403013,519810,491039,568458,628015,748658,859195,802658,807384
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,53861,83939,161139,165646,527373,,0,0,0,0,0,459119,413100,806875,1558396,2511447,,0,0,0,0,0,711966,623731,708918,1164120,3130226
841112,Turbojets of a thrust > 25 kN,413996,261315,229522,355515,342637,403941,428720,350097,461599,492567,,105484,142157,448811,454780,345162,359292,268390,270007,265707,510854,,430743,288518,299599,421443,348176,459956,540570,526682,573022,550194
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",328797,288425,316147,261704,213687,273087,318163,305375,306830,428630,,3337485,3155135,2767571,2342239,1811970,2246126,2493178,2180570,2169262,3720722,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",311052,241183,313449,375846,332530,386682,507835,475326,403657,385025,,2271714,1955905,2183699,1763313,1710783,1932253,2176308,2310049,2825995,2695164,,1027631,761583,1074046,1234697,1165073,1406883,1607853,1488744,1279829,1565129
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",231098,237061,254217,268318,269067,297767,283584,276586,317089,357235,,5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322,,497021,516769,541761,563461,618648,653948,677554,617130,760720,886054
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",231297,236217,218914,230705,240766,241834,282161,302760,311796,340656,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,667477,706354,708093,713546,758898,799151,904505,973678,1017389,1105148
841191,"Parts of turbojets or turbopropellers, n.e.s.",215927,279481,313254,305837,346598,380116,402000,384472,221446,337817,,1305311,1344341,1299411,1403185,1455715,1495785,1745785,1831845,1611680,1842451,,240734,300308,347627,372076,424473,508130,580252,572661,311640,448472
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",1229353,852695,676074,269980,204064,151382,306784,340094,126369,335482,,7461989,5980647,4778570,2905548,2632621,3762471,4871135,3956157,3681491,6209698,,4061232,3339632,2828226,1313016,1236048,1700149,2238712,2013531,1108587,2145777
850162,"AC generators """"alternators"""", of an output > 75 kVA but <= 375 kVA (excl. photovoltaic g ...""",447,116,1645,2400,2256,1632,23,174809,205473,334554,,156925,163138,176662,184657,267539,258316,293331,340774,271874,211819,,9205,6285,14618,8811,10177,9187,6281,181529,210240,339583
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",136024,178551,185150,222670,360278,372149,327743,376065,339328,330682,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,1079669,897526,1228957,1442854,1189541,993189,1026159,1286730,1148107,1290826
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",525085,647443,338772,307866,1363837,336851,293241,312408,297001,326882,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,695733,800335,462127,495667,1572383,571353,563213,530609,523618,578910
120190,"Soya beans, whether or not broken (excluding seed for sowing)",306687,370374,377358,285417,288529,279370,314670,452584,304232,319103,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,726182,738079,801666,642878,596775,592448,581865,556770,604157,744331
230330,Brewing or distilling dregs and waste,150168,144486,196069,160250,184708,174052,245331,250912,250633,313208,,2104471,2948779,2963711,2982964,2158611,1851377,2456004,2227849,2328819,2997932,,159209,158295,209968,166910,191802,178836,252567,255218,258271,322805
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",108178,130208,166735,187315,183348,197757,218163,267492,244681,309735,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,1317520,1766245,1811478,1492271,855580,1138678,1429051,1171099,1295694,1422269
290511,"Methanol """"methyl alcohol""""""""",241,393,380,1170,95314,203384,332598,223629,189657,308185,,54965,71881,70091,173320,311052,351496,760191,567286,494886,903290,,640590,709510,638937,485700,368131,560029,759683,496347,421595,790797
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1122180,761271,518165,351439,322131,715501,619979,564207,413286,304217,,14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666,,14221223,11629780,10723078,8678974,8167716,13493699,14653133,13065942,8794979,13475991
900120,Sheets and plates of polarising material,68777,72022,104498,106882,64306,105945,143809,195919,248035,263681,,269270,357976,416630,303197,359768,280091,162668,144347,162474,151588,,1968439,1697542,1478236,1169322,1047608,1113303,846557,731939,656253,884069
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",284496,313952,261173,254739,230627,310818,263948,277699,246409,257920,,1284448,1355925,1194538,1300344,1351261,1397707,1361480,1498891,1529936,1713267,,345747,378882,326182,315901,284667,393324,337045,340839,316656,333051
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,165879,162045,189123,210495,177736,198282,200125,198867,174088,253204,,1477294,1354803,1525102,1603036,1458461,1365443,1428369,1437916,1455292,1431470,,455595,416134,418351,464384,387847,455803,466003,554397,591007,642698
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,74948,107558,164514,248597,244130,,0,0,0,0,0,8283137,9924234,11108413,11037756,13907682,,0,0,0,0,0,730302,1033585,1233028,1659513,1617147
870350,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,0,18,42,72417,239484,,0,0,0,0,0,4751,1585,7442,1510,1738,,0,0,0,0,0,0,52,8866,606411,472405
150710,"Crude soya-bean oil, whether or not degummed",6408,54511,11736,31230,55161,142676,190119,226513,268989,239079,,957904,675469,633628,604441,655212,655903,680694,575295,806494,730192,,419972,309352,250554,197119,183036,257428,227834,247900,282060,528915
300212,Antisera and other blood fractions,0,0,0,0,0,209717,233680,253249,240044,236777,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,422017,480175,495042,506888,527761
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",32714,62598,109301,102503,106537,205850,150873,177747,195243,229871,,37540,95034,157700,165383,153295,235727,180543,220095,212363,268922,,85899,198418,292528,227201,242864,382811,336195,353636,356592,432444
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",152891,176607,269954,268067,417253,400345,357435,181460,302614,227665,,5730608,5424783,5982380,5683352,5304406,4696800,4291074,5292635,4023263,3920326,,724652,933856,1522883,2133724,1629254,1360387,1235548,831244,640178,565030
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",109672,172093,130514,136829,127793,167448,186456,177590,207467,225009,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,649506,780701,712734,729344,779323,993231,1084454,1079506,1226701,1569313
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,1020,12043,164,40539,218090,,0,0,0,0,0,1122363,1063479,1026236,2710964,4326721,,0,0,0,0,0,4250,166267,208339,561030,904715
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",302917,259482,290700,237966,174558,203839,230158,223783,187896,217740,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",121064,100543,105462,110211,111871,131361,142417,158774,161270,214419,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,468541,445010,466912,517564,570576,651350,691271,685361,729753,634497
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",112667,135664,128381,150981,153650,176809,217740,204940,210481,211867,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
901320,Lasers (excluding laser diodes),160862,178079,202890,178238,164175,196100,202455,193944,193462,210085,,989123,1073250,1120855,1150269,1173361,1372854,1468198,1229124,1144123,1314263,,336261,375534,384377,355399,451679,651105,620819,540903,603597,608517
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",86248,123434,214134,181690,117767,159890,176814,192886,194613,209278,,273621,413902,546457,434136,342437,438718,434914,483036,469366,497540,,196952,229725,288346,314641,263914,333933,339902,347636,396403,412619
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",192284,319616,313049,430196,234251,188888,188363,163896,190629,209064,,3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",79450,98905,103670,123794,136118,174657,235028,242700,184081,206059,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,903143,953544,939070,959704,1021298,1275707,1634311,1733327,1701183,2322838
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",126895,210471,259494,254682,192633,194064,193240,265136,214143,205139,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
260800,Zinc ores and concentrates,165670,151165,184004,155313,190404,194089,197126,146986,113775,204319,,854157,906691,1181326,1028176,977001,1483768,1562258,1365372,867367,1517455,,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
260700,Lead ores and concentrates,100724,108477,84715,73746,171243,136284,167076,198082,198991,201149,,581834,586030,802380,674991,765559,746097,677602,686468,687553,922010,,1820444,1329555,1533554,1149902,1597720,1603776,1524025,1365410,2009460,2372395
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",245527,253280,289896,266021,213355,201501,200614,196708,177195,198570,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,756667,747164,807355,780363,767329,795165,831877,828528,727559,771944
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,93250,82695,72078,82028,59890,75164,113291,218875,94853,194595,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
854810,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ...",36232,35786,43676,77607,67370,118868,150451,236824,137247,191222,,186625,219105,219651,207469,369277,497754,539469,559049,497049,657656,,229651,303661,379132,387126,378545,516314,510986,523988,372340,369210
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",111708,72863,90158,64556,75528,163842,149223,117281,151239,184703,,2181404,2151446,2214147,2027284,1900247,2065119,2217133,2353308,2432929,2693134,,199894,145339,164848,149313,158953,342490,310541,271606,369068,494932
80510,Fresh or dried oranges,210773,186169,156281,163001,209984,209144,233844,193498,174103,183477,,660458,661310,557041,557533,646625,649482,626180,527065,570636,606121,,219887,194874,164765,173234,220511,221902,250823,205089,188069,198453
80212,"Fresh or dried almonds, shelled",128521,160302,208469,230438,174179,171011,164404,176929,166342,181445,,2493864,3209227,3554181,3771130,3229075,3266450,3375650,3687769,3425593,3381706,,128571,160402,209548,235744,175583,171979,164622,178229,166724,182196
847989,"Machines and mechanical appliances, n.e.s.",198034,556564,765772,885426,247445,284733,154279,282296,121965,180163,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",115695,96556,78137,63315,54181,97288,144527,162536,151476,178446,,735749,684650,693971,744250,760053,994902,1271714,1274299,1278901,1439288,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,173070,211213,215048,207576,176163,,0,0,0,0,0,3677071,3961318,4265405,4414010,5104601,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
220720,Denatured ethyl alcohol and other spirits of any strength,19119,3457,45059,72932,49840,76696,111135,111292,138728,172170,,1378129,1019895,1203688,954581,1047783,995175,1255168,1061342,1210197,1719172,,100903,82004,86615,102704,81495,109505,133632,138114,200116,191951
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",158575,154210,105512,190495,121756,134857,121372,199293,175598,170309,,1687948,1566472,1623278,1821422,1516650,1619608,1853477,1890902,1432116,1510350,,305265,379797,242941,329987,262907,284127,327715,471328,424486,374566
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,34928,32775,34011,38725,38592,48892,61909,94512,93715,169768,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,78620,83974,97172,95174,105806,124324,154445,201667,219176,349171
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",27215,15315,20002,55224,72033,42826,149956,74285,75211,160408,,5172709,5322076,7371661,7865346,8116187,8637945,10893804,8895346,5815189,6228829,,80994,78317,63925,113392,263510,262291,320530,273122,214765,495897
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",131531,200225,220424,189520,151286,148991,185661,176263,99117,159444,,1998795,2199401,2155329,1823567,1703727,1787722,2082018,2020411,1531684,2236154,,434941,462162,659003,589716,521274,567597,582423,460726,303551,537636
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",1336,2052,5404,8566,12285,32174,27195,56825,178645,154359,,7780010,9023051,8208307,7640309,8727099,9997029,9113860,11504202,8301872,9938208,,1570,2387,6091,9533,15664,35255,30164,58409,179510,155645
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",121872,104837,130808,114043,148110,109372,142889,178128,138473,153225,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,203930,187079,224277,198237,239969,198231,233764,283795,235386,277645
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",31146,18070,23615,35493,50895,60687,38636,38153,29728,152559,,1016883,748074,754799,773300,680437,845116,877429,1101074,765070,1484791,,87301,81111,136311,131209,138101,136494,150782,147363,153988,327816
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",54555,66284,66511,51295,48457,55821,60072,85527,104005,147185,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,207420,312165,331324,283919,298518,380587,410969,516498,521720,871584
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,42344,45165,46323,62828,77790,64882,100398,116772,142880,144528,,1411046,1570046,1523090,1384221,1518244,1577136,1628707,1531205,1629509,1729611,,193765,197783,224353,234130,251718,241285,312014,327300,364382,396575
850440,Static converters,83125,115550,78112,89842,75626,68459,79761,105371,101774,141781,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",26139,20674,23090,16484,27612,37102,33110,30265,108932,130730,,2380668,2246198,2210898,2425590,2310200,2405393,2571442,2176831,2286835,2454837,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",106457,96798,78001,71605,83067,131222,153743,124192,124101,128895,,3307137,3489549,4008241,4198438,4189586,4388320,4638427,4189721,3712206,4517830,,1276587,1448386,1043619,1152056,1188150,1368965,1159705,1013000,937848,1005588
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",65704,81652,98193,90043,88639,135888,128002,134775,101885,126786,,164443,151912,176080,179386,197738,205459,238946,211190,206349,217789,,79603,100234,113610,110559,117743,183561,140635,177356,136786,167172
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,46594,59123,36957,34091,36920,63136,61527,69947,86442,125326,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,189097,257450,222577,193432,169184,259095,248667,272965,311265,364221
841199,"Parts of gas turbines, n.e.s.",170537,199307,283225,213588,101392,168346,256564,288098,323327,123694,,5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165,,457163,729988,534890,523484,347088,467549,467272,495577,638910,491288
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",158004,151540,151785,143991,195734,195176,222117,211749,186115,123349,,1828479,1873237,1876284,1711446,1617107,1588539,1511840,1410456,1285495,1407248,,635948,659733,633648,667165,638717,675761,731139,738467,672386,622276
280461,"Silicon containing >= 99,99% by weight of silicon",148309,99568,134002,145281,117652,158183,93516,110039,84533,121197,,1837918,1322660,1666356,1283565,1620984,1583998,1026231,803252,818242,1134549,,467145,428679,381726,337634,268321,301549,273346,223228,241417,302953
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",222922,142458,164165,189450,172398,198701,165349,111521,102767,119456,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,909215,946004,1204675,1222845,1122496,1149856,1111450,959251,900537,1095645
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",109518,100552,99489,105897,115277,115973,120605,118923,117841,118035,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,277489,301672,319385,316827,324478,354515,372350,366889,374544,403667
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",77834,93962,105166,107131,107588,107516,109635,117258,115643,116272,,1039829,1058545,1079321,1051467,1116487,1140888,1137771,1241872,1012168,1189986,,86897,101954,116713,132889,137075,143457,151322,167810,159355,166862
410150,"Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired ...""",430099,416886,410948,359062,257655,268537,210852,156475,84865,115753,,1413681,1652786,1732008,1427975,1339414,1336810,968152,683877,519803,923903,,457998,448102,450875,431636,292562,297592,228770,169119,95261,135957
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",90699,92518,105856,102747,102883,107499,112259,117303,109140,115110,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,255787,267389,307721,323301,365492,415975,450927,482649,524506,567030
80929,Fresh cherries (excluding sour cherries),80929,87478,122972,119851,109825,145078,131985,100173,108399,114154,,524065,427604,475011,427276,455120,604094,500467,476518,477676,458326,,82711,89844,125452,125801,124976,160405,163096,136758,140748,167963
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",94012,171329,103171,149742,80531,127104,93907,107801,92405,112948,,977317,1316233,1296899,1325556,1352718,1569784,1722704,2000935,1632506,2257838,,209485,297205,209963,232415,156896,292562,312820,265169,293557,433159
100620,Husked or brown rice,9488,78460,15125,83698,56353,80864,49360,107544,101852,111990,,146412,169981,125039,153252,135413,117114,119947,161008,192583,136228,,48666,308152,231245,248696,212585,268588,267092,234354,337041,349789
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",129460,124796,115634,107925,128300,138113,112339,110289,111530,110065,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,1276377,1359908,1492284,1582914,1621283,1591728,1780113,2464127,2689883,3401458
902710,Gas or smoke analysis apparatus,49383,39527,41018,56595,58894,81344,80021,111566,108968,109768,,842720,901161,891305,884275,897719,975472,1060234,1106409,947696,937295,,130991,149363,182878,248093,280323,350880,401748,429629,412177,434131
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",4649,10994,14231,18052,26925,43605,62552,52278,53852,108704,,244649,236619,179466,162430,154433,215071,242069,217076,180437,277042,,45171,51848,60824,56230,58535,75191,94483,78928,77980,142715
