Product code,Product label,"Saudi Arabia's imports from Taipei, Chinese-Value in 2012","Saudi Arabia's imports from Taipei, Chinese-Value in 2013","Saudi Arabia's imports from Taipei, Chinese-Value in 2014","Saudi Arabia's imports from Taipei, Chinese-Value in 2015","Saudi Arabia's imports from Taipei, Chinese-Value in 2016","Saudi Arabia's imports from Taipei, Chinese-Value in 2017","Saudi Arabia's imports from Taipei, Chinese-Value in 2018","Saudi Arabia's imports from Taipei, Chinese-Value in 2019","Saudi Arabia's imports from Taipei, Chinese-Value in 2020","Saudi Arabia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
830260,Automatic door closers of base metal,2679,3210,4107,3452,4035,3653,3088,3021,1800,796,,60992,66040,72546,73511,74471,75698,76879,73682,62998,83058,,17074,16458,17084,17970,15139,15765,17726,17406,13506,12365
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",81,176,260,201,243,196,143,383,534,791,,92351,97704,107437,99956,96087,95164,93823,91682,83540,83185,,14994,14404,22801,38214,29499,24464,29832,33038,38632,57083
392059,"Plates, sheets, film, foil and strip, of non-cellular acrylic polymers, not reinforced, laminated, ...""",1720,2984,3249,3364,3441,2794,2131,1419,575,788,,30274,36275,33234,25483,11310,13577,11535,9946,13955,16630,,10840,13999,8883,15605,12058,12952,13704,12632,13767,15677
850720,Lead acid accumulators (excluding spent and starter batteries),457,519,1266,952,527,1081,923,1203,751,788,,229664,200351,197798,195411,188473,195944,233604,226617,189767,207211,,60809,54197,63475,64827,47530,50597,71308,72575,68478,77409
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",0,0,27,0,0,65,260,117,669,787,,139200,247256,210802,205905,182885,196254,160014,137149,109915,161776,,204662,207233,192978,189646,152654,136011,109170,107103,107514,145543
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",378,943,455,580,13820,291,271,650,643,777,,22464,16163,13825,11020,10206,10773,11971,11501,10331,16054,,169534,116918,86536,83804,87673,62746,39574,54949,83503,97680
580410,"Tulles and other net fabrics (excluding woven, knitted or crocheted fabrics)",908,1044,1321,816,1179,598,457,620,440,775,,173180,174255,185424,252150,248536,219631,210478,200322,130945,113468,,6739,12148,8337,5404,6398,3934,3987,4607,2310,3153
741510,"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ...",0,0,0,334,0,0,69,299,420,771,,6279,4939,6019,6103,3983,4288,4402,3594,3494,5460,,117,696,622,632,471,428,504,1097,1418,2540
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",129,35,152,658,939,100,155,149,169,771,,37972,33253,41393,36664,47676,73904,53044,39226,60880,67713,,158870,218821,280325,197268,89619,64223,131389,81864,86994,71182
390490,"Polymers of vinyl chloride or other halogenated olefins, in primary forms (excluding poly""""vinyl ...""",2431,2734,3004,2605,1961,1327,1347,0,625,770,,436,744,752,835,401,399,452,516,564,701,,25846,18881,12000,15367,11918,6878,6918,4771,7253,4396
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",735,1393,884,1855,1699,1306,1171,877,860,763,,237904,257973,291059,311802,349773,428011,483334,388557,290374,287980,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",803,996,788,1087,1509,1652,909,778,921,758,,114448,120132,128393,119648,117455,174056,184271,171272,149618,218761,,184683,167307,149455,272795,193942,181531,164111,135420,96130,108550
390422,"Plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",1931,1342,596,954,505,869,1038,522,380,749,,161602,149826,109408,81557,70527,47390,28222,28390,23663,29791,,33430,38823,30113,38812,30081,32440,12908,9624,11303,22579
844110,"Cutting machines for making up paper pulp, paper or paperboard (excluding bookbinding machinery ...",1541,557,320,2009,447,331,476,508,368,749,,30022,39184,38047,36098,32106,34547,39116,40072,31951,41181,,21930,13653,10346,19911,9286,8324,10096,9493,11271,8885
420212,"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...",4234,3517,1803,2494,2933,1730,977,1400,911,746,,50218,44037,42922,39676,36291,38064,42505,69493,32489,36194,,122168,125033,145608,149791,160718,135822,144357,191816,113459,111575
730729,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",637,764,974,775,674,830,649,325,372,745,,149764,128644,134288,127330,112333,145025,162850,150743,110702,164733,,102910,135442,176821,82550,60456,51253,48327,36162,34122,68328
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",886,1822,1707,1278,805,1520,980,536,687,743,,208407,231839,243007,218969,221588,234924,278023,273601,290027,363731,,30342,32379,40267,42305,42099,42335,43106,57359,59345,51987
860800,"Railway or tramway track fixtures and fittings (excluding sleepers of wood, concrete or steel, ...",0,0,0,695,850,213,36,34,77,738,,6335,7456,10689,9625,9813,13038,14898,11840,7774,6508,,9557,15595,14098,40536,29147,23853,27609,23635,31893,23168
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",143,39,40,440,157,0,228,540,475,731,,97016,119256,133588,112475,92243,106694,104446,119009,87286,140242,,19891,19095,20519,33208,30618,29840,29343,25597,20680,16392
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",201,355,54,348,202,0,79,426,1864,716,,81488,83442,54410,48453,43545,42325,73606,58472,51438,56439,,143981,144904,150638,128134,70230,54509,31624,52230,88274,87695
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",408,755,1207,824,599,743,509,597,681,713,,129278,129365,139957,123435,106547,114178,119783,102650,89468,105136,,25310,38109,49166,26538,26849,22774,20001,20036,23814,24611
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",212,93,220,1004,186,83,488,377,837,707,,3075,2230,1566,1832,1714,1510,1818,2176,1979,1394,,13650,9424,9639,15555,9414,8778,7855,8364,9703,11322
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",222,965,200,572,101,376,1355,687,1207,706,,2367,2242,2213,2909,2767,3213,2957,3310,9075,14576,,76719,84559,107013,79378,40615,53079,94943,162715,189941,138167
731816,Nuts of iron or steel,854,1508,1125,931,908,471,374,648,497,694,,750988,781073,884545,830315,788460,895411,995556,897104,731365,1044051,,33170,38506,26154,34095,20276,17686,20222,20807,22054,20844
848140,Safety or relief valves,1724,4142,5788,1690,2669,286,511,518,637,691,,54417,55235,52179,52960,51757,54083,52828,47610,58844,66880,,333281,392182,363289,169724,114473,126895,133240,186467,232452,183398
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",0,99,118,448,210,183,349,405,485,684,,2981995,3822898,3295263,2517299,469680,459008,453227,390102,367586,463884,,10001,13519,13108,13873,14831,10964,21572,57134,27306,17882
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",288,870,434,386,68,197,65,48,148,677,,7640,21391,52450,58246,53114,57021,76443,64346,80508,85268,,12211,16604,19096,20167,16144,14896,16410,19903,26392,48702
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",1592,1970,728,1044,1389,776,687,1182,670,672,,298280,319418,395382,377346,382927,451170,497308,448487,531493,863044,,263969,302788,343169,391304,310939,235780,203239,239217,202429,197026
722012,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",163,478,868,2370,1365,971,166,569,797,671,,29499,18089,22259,23686,19698,21426,20284,18176,16034,30369,,1777,1903,1892,3479,3486,3435,3274,4236,3541,1961
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",2438,2178,1503,1304,730,729,378,273,520,669,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,8818,9424,5367,5238,2843,1884,2286,2139,2136,1410
940290,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",825,955,967,2123,885,727,1242,774,1301,669,,99679,98060,98048,102946,93228,101373,104291,101424,106663,112773,,112129,90728,100548,88929,41759,45093,70012,72719,82597,49639
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",3213,4425,4141,4118,2136,1589,2609,2744,1266,664,,105791,104157,114509,117017,100345,107568,101283,107328,126284,135138,,271105,331303,329690,401251,276648,283209,281052,246252,183962,173768
820420,"Interchangeable spanner sockets, with or without handles, of base metal",567,192,661,820,634,509,365,393,818,659,,327881,323604,320964,322141,308095,342262,357941,364866,344342,463853,,3071,3363,3964,5622,4550,3911,3533,3771,5316,5648
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,70,37,169,68,107,64,612,645,686,649,,87167,85237,85671,76970,79319,78110,82702,78060,68839,77119,,42582,33710,38164,36944,32654,37020,36987,34937,23187,25016
310490,"Carnallite, sylvite and other crude natural potassium salts, potassium magnesium sulphate and ...",0,0,150,0,116,257,107,121,718,647,,0,7,19,13,0,25,59,139,38,1,,864,2616,4826,6474,5290,6563,4194,5084,6999,6868
841290,"Parts of non-electrical engines and motors, n.e.s.",32,113,30,0,66,29,103,160,255,642,,42905,37502,31437,25208,23472,31101,38759,36261,31265,37633,,28882,39742,55597,43170,34452,65374,90295,79531,164695,139049
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",552,325,446,707,494,323,298,474,480,642,,79436,77172,85115,86935,85724,92331,95659,93134,88333,114110,,7260,8606,9061,8785,8804,6611,6631,7073,10510,9577
820540,Hand-operated screwdrivers,407,425,602,1064,581,464,505,615,749,638,,54250,50554,52754,54848,57604,65212,73017,76252,78703,101979,,4065,3909,3422,4990,4135,3712,3490,4351,4370,4218
721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, ...",473,932,1425,1285,470,485,670,907,703,635,,27256,38067,34795,27683,30278,36552,52112,50840,33814,59057,,18454,14352,4912,4292,2799,1128,2070,2619,2133,2140
721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",840,747,659,1000,659,382,812,3130,5856,631,,98694,138558,119169,81039,95896,131369,130523,79285,45645,100986,,1412,1428,1732,1937,1625,773,1082,4052,7199,1172
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",237,156,90,0,438,57,307,71,316,627,,16485,21632,19760,36045,49125,36529,49619,38126,31639,41680,,17712,11091,10428,10089,10579,8201,10988,11907,13849,16608
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",1277,1691,813,1199,1073,1357,1947,1154,1403,620,,216335,227144,241447,251952,272256,277406,306310,302422,325471,404904,,170647,192234,211575,272699,149127,160617,148323,200297,135612,167214
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",84,86,381,0,0,0,177,253,177,601,,5481,6214,4437,6510,6847,8236,6634,5709,4007,5716,,122980,118779,155613,131398,213099,186612,195358,249768,226604,148277
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",514,782,605,861,310,368,378,377,257,590,,68034,96704,128978,133654,107493,127067,134465,129892,108443,138806,,158723,125556,113085,103417,65022,73243,79083,75080,56188,62168
950450,Video game consoles and machines (excluding operated by any means of payment),154,73,90,136,0,45,17,196,534,587,,0,795,14602,13150,7642,7069,17125,11669,19254,18794,,85104,150419,179476,178933,150077,150216,160555,154253,120658,138676
291411,Acetone,748,383,628,1180,667,720,496,376,279,584,,232423,285726,263454,146417,135050,169147,144107,96445,157683,175409,,2041,1121,2220,2395,914,1150,1106,1819,939,1222
741529,"Rivets, cotters, cotter pins and the like, not threaded, of copper (excluding spring washers ...",0,29,0,74,566,469,296,159,385,581,,3434,3698,3582,3328,3858,3741,3541,3278,2797,4899,,2023,2540,2863,3220,3412,2939,1798,2367,3610,4323
390519,"Poly""""vinyl acetate"""", in primary forms (excluding in aqueous dispersion)""""",367,689,228,2634,1134,2109,2034,425,158,578,,10024,12568,13588,10315,7916,5886,1827,758,487,728,,9024,11386,7936,10399,4650,8580,8664,3457,2298,1412
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",332,382,475,455,571,644,522,804,543,571,,156882,147069,156382,148308,148937,163993,179593,186316,173806,219580,,5749,8104,7849,10171,8090,6188,6146,8759,7604,7122
720827,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",11747,5152,23658,27196,11501,10889,2391,1058,0,563,,153753,169017,247734,184541,184304,263717,309048,281497,179430,428817,,175581,134598,154723,98619,65800,67228,79230,106677,39598,17540
820340,"Pipe-cutters, bolt croppers, perforating punches and similar hand tools, of base metal",46,220,56,279,129,0,80,165,82,561,,11359,13293,12561,12117,12397,14458,17059,15544,13663,17001,,2102,2571,1837,3719,1913,1357,1830,2202,2933,2669
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,311,417,357,142,147,56,205,106,154,558,,36929,38571,39331,40091,41914,46276,48274,51200,52570,62025,,35421,36022,45675,50005,46603,32713,32553,30763,34912,33389
391890,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",555,458,488,753,487,572,558,508,303,557,,57754,60055,66336,56852,58131,54949,48329,51971,66063,69666,,17143,14744,20836,36830,24640,26181,30141,47591,46400,79567
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",376,267,0,0,0,0,157,257,334,550,,16005,11315,11240,11711,8571,7237,11930,19631,24522,4729,,6220,7296,7305,7670,10004,9628,11073,9831,9862,8695
845229,"Sewing machines, industrial type (excluding automatic units)",206,82,126,263,425,333,355,603,581,549,,78114,86965,85678,82397,76479,73336,72574,64511,54181,79716,,3951,3067,5242,6441,4194,2639,2888,2393,3008,2070
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",213,695,1174,1436,524,313,246,281,398,548,,112585,123357,133136,133278,140093,195883,206801,224516,225676,271075,,73699,68694,77941,75152,47887,68448,81152,49618,43943,50264
321210,Stamping foils of a kind used in the printing of book bindings or hatband leather,0,95,0,272,373,854,530,982,760,548,,83901,90513,88568,74475,82959,94186,105665,103512,105535,122537,,1487,1750,1545,2667,1639,2527,2014,2780,2404,3349
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",1918,1735,944,1302,1002,517,643,781,654,543,,179339,183032,169616,151598,149616,146714,136086,116454,107169,125369,,26730,30050,30520,52178,54066,46548,39563,45708,54363,44972
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",2861,1599,3180,4991,3731,3370,4543,4352,1000,541,,280695,283665,295324,281479,247026,266951,267318,254441,222378,356808,,178408,197429,256155,221172,166692,225229,190444,184113,129615,140150
560313,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",0,0,0,0,0,0,633,3163,1365,540,,57068,62988,71631,77394,79905,90046,102220,88521,99124,91512,,15653,18794,35821,44165,37917,35341,33138,33051,33134,42500
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",367,762,672,578,352,281,496,1190,650,536,,847,660,836,945,626,1140,983,2172,1760,1346,,155717,162645,190451,210184,224116,258839,242171,292239,296692,411016
390210,"Polypropylene, in primary forms",666,1362,1083,1071,1153,1428,930,551,594,534,,471204,529345,407049,338420,325454,464379,511973,424449,393424,627263,,50090,65540,66637,60768,52235,62554,57550,57930,63193,91118
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,0,0,0,528,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,0,0,0,0,0,80797
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",0,0,0,0,83,155,0,192,82,524,,18540,16246,16089,23583,15611,17513,22330,20841,18383,26773,,31321,26310,27401,35371,22897,25744,19486,16559,27769,33267
853590,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",429,580,711,669,524,436,215,197,460,524,,7427,9471,9718,8494,8035,6563,7022,5543,6723,5978,,116105,160536,194094,251174,192195,95463,68077,71111,103919,122940
700239,"Tubes of glass, unworked (excluding tubes of glass having a linear coefficient of expansion ...",0,0,0,0,0,0,0,0,0,523,,266,71,221,145,238,138,167,104,151,49,,426,2814,1129,2485,1427,4214,5344,6361,6102,12999
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",154,0,0,0,92,321,248,886,0,521,,32310,36058,70842,35086,15919,40342,25420,119700,29684,27222,,4919,5899,7942,7911,4643,4463,5683,11738,10829,11214
330420,Eye make-up preparations,225,34,246,499,356,480,385,429,312,512,,35332,40039,44468,48067,63196,62307,60434,69907,59937,72242,,33259,36411,43429,44966,29613,37779,48936,54865,47738,59073
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",0,0,50,35,0,0,46,18,89,510,,109,109,151,167,166,324,3973,3327,2637,4773,,3043,3235,4610,6020,7023,6839,6641,7878,8236,20075
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",390,252,255,190,402,307,399,351,348,508,,43659,32713,31079,31272,33855,36468,44523,45872,31248,48680,,14396,20306,24392,19831,12184,8953,15689,49604,11764,32720
721924,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",3095,4204,4941,5913,3533,3657,2429,1304,766,507,,4474,3891,3568,5313,3506,4244,5018,3532,2687,2353,,4197,4656,5468,6293,3734,3882,3820,3427,935,697
860730,"Hooks and other coupling devices, buffers, and parts thereof, for railway or tramway locomotives ...",0,0,0,0,0,0,0,33,271,505,,2826,3336,3137,2352,2099,1725,2363,1565,1157,1537,,0,214,29,74,302,206,1144,994,1036,1957
831120,"Cored wire of base metal, for electric arc-welding",3151,1924,2821,1752,1750,973,888,448,441,496,,21735,18047,21396,19213,13979,10947,11670,11499,10569,13195,,17545,14391,15731,13913,14626,14374,20096,17055,10399,9885
292159,"Aromatic polyamines and their derivatives; salts thereof (excluding o-phenylenediamine, m-phenylenediamine, ...",139,0,1227,95,732,0,0,4,719,491,,5915,7328,9721,12002,10688,13457,13831,12108,9861,9448,,1177,1629,2102,1446,2589,817,286,1347,2491,1851
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",262,118,110,261,235,180,173,417,181,489,,110913,98274,99891,85588,78504,93040,117767,91798,91081,143325,,4026,2869,4424,3429,1934,1253,1521,1624,1532,1577
853521,"Automatic circuit breakers for a voltage > 1.000 V but < 72,5 kV",0,0,0,0,0,0,0,14,0,485,,1421,945,1048,831,1129,1250,1135,1064,1557,1440,,40100,36051,29744,28679,24933,61771,84810,64115,84746,114528
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",198,468,123,861,1149,479,60,27,120,482,,29709,25444,25087,22269,17311,24822,19363,33418,18513,15974,,11653,20670,15464,9731,11944,14808,9109,9670,4554,18138
390791,"Unsaturated polyallyl esters and other polyesters, in primary forms (excluding polycarbonates, ...""",29,143,86,1261,398,355,163,399,500,479,,240546,268086,259614,233205,212142,208994,195199,159906,125667,182191,,8137,11048,6665,10192,4464,3827,4387,3213,5731,9089
842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",84,76,194,611,230,134,262,140,211,478,,97251,107435,111345,110225,122192,123510,132306,125826,124829,159506,,21055,24402,25847,31039,21081,19130,27257,26958,20481,27415
846510,"Machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, ...",0,0,0,0,56,0,13,71,38,475,,12087,8490,17362,11782,11136,10021,9948,7944,6839,10409,,8057,6098,5734,5942,4177,6865,4507,4071,2454,5639
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",861,1147,1366,1111,528,693,848,630,548,470,,68339,54209,54742,39033,32497,39629,40737,35867,26804,32238,,1444,1861,2103,1994,1328,1446,1928,1356,1033,832
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,173,119,170,196,82,0,233,448,457,468,,44703,38285,42152,43082,43645,46165,53384,52012,39178,38927,,9156,11653,16070,16042,12595,10216,7397,13071,12588,13468
871499,"Parts and accessories, for bicycles, n.e.s.",602,559,978,1199,985,522,525,662,400,463,,1014187,971645,1089504,1030111,968579,1134551,1196715,1260913,1377242,2183128,,6506,4498,11390,10513,8880,6618,5716,9584,58390,48533
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",31,438,828,28,350,1696,78,1295,1645,461,,440332,365120,433917,358308,273499,327866,368616,331744,233799,332299,,4970,15234,10318,17769,7091,14066,11260,13918,14608,20647
611420,"Special garments for professional, sporting or other purposes, n.e.s., of cotton, knitted or ...",0,0,0,0,0,0,0,0,749,461,,657,832,2688,3252,1037,1842,1711,934,1263,703,,2186,5604,212,961,3190,3921,8035,5239,21074,73620
732620,"Articles of iron or steel wire, n.e.s.",745,795,583,847,594,176,381,455,206,458,,54480,53836,54830,49686,45920,34436,40910,33816,35129,40354,,38862,42364,38411,46123,35997,32281,30614,39245,50179,57950
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",110,744,595,904,178,408,832,716,520,457,,4780,6338,5202,5435,4304,4905,3984,3718,3700,4505,,75879,93537,98433,100766,95351,110665,101464,140946,94205,82365
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",500,893,871,804,386,487,225,266,375,456,,24595,24232,26134,22323,23624,28064,32086,32676,25823,31965,,193288,228718,257936,212640,141265,137231,96250,105032,138495,139857
841720,"Bakery ovens, incl. biscuit ovens, non-electric",0,0,0,0,0,0,4,8,131,455,,3194,3370,2707,2737,1858,1594,1771,1591,1576,1180,,7675,12631,7643,18328,11593,7685,4951,5037,11813,9585
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",0,35,167,60,164,126,78,13,140,453,,85291,95683,103040,95014,81779,81932,94107,87522,79902,99056,,26082,29407,31822,24416,31138,30312,45092,30425,68174,93202
400291,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",0,0,0,0,0,0,0,0,159,449,,17396,19654,19081,9043,10230,11428,12017,10229,7977,19507,,0,181,54,111,85,115,68,246,190,1154
901600,"Balances of a sensitivity of 50 mg or better, with or without weights",0,0,0,0,0,0,13,285,566,449,,355,400,539,833,466,458,391,475,356,409,,1129,1890,2689,2767,1746,2121,1769,2883,3307,3868
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",0,0,188,106,0,114,4052,5437,1669,447,,62212,76300,88257,70040,66196,85429,132843,133700,104406,234558,,161,100,223,29099,18397,37850,110071,136415,167536,117781
846890,"Parts of machinery and apparatus for soldering, brazing, welding or surface tempering, non-electric, ...",76,74,253,87,171,101,29,188,163,446,,11037,9794,9113,10851,11806,12566,13843,14784,14066,15791,,3800,8074,5337,12740,9771,3532,5572,8277,1463,2554
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",762,939,1285,1489,959,287,122,424,353,444,,17239,17001,15913,13788,12370,13373,12686,12606,14413,18756,,13376,17449,23263,21484,16201,18681,17458,22069,20960,48593
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",758,329,339,793,422,390,88,195,279,442,,379132,430150,260133,251274,240047,276778,249114,520913,649506,781105,,38014,48370,60317,54889,28821,27105,37614,27542,48583,72112
294200,"Separate chemically defined organic compounds, n.e.s.",882,1357,2087,175,477,0,9,444,841,442,,145954,32535,38892,45327,42822,44922,38800,42813,46448,56929,,48098,49569,54495,41057,27199,26678,28268,34985,24429,28534
854290,"Parts of electronic integrated circuits, n.e.s.",166,797,188,0,41,83,301,584,622,442,,122519,95815,88066,73029,74504,82906,95115,78153,79419,104303,,12752,13533,9516,9265,8319,4555,9246,12999,10146,14412
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",249,483,541,250,156,282,144,3,34,442,,39657,42618,55989,68195,57720,68899,61640,58392,57179,63123,,28033,35767,36730,38546,16462,16759,17385,8517,9329,14640
847290,"Office machines, n.e.s.",1821,911,1373,2042,679,712,1337,1293,1102,440,,106170,90100,82656,70028,69221,75263,67031,58029,51107,58216,,48532,59198,78924,104774,78047,81672,56146,102475,76364,52171
910700,Time switches with clock or watch movement or with synchronous motor,0,0,0,0,0,0,13,0,9,440,,11899,4338,3939,3506,2927,3600,2940,2992,2690,3576,,671,1057,991,1553,1187,2211,2283,3557,4033,8356
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,0,0,0,0,439,,0,0,0,0,0,14840,12060,8596,8145,13164,,0,0,0,0,0,0,0,0,0,38977
844010,"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ...",65,0,0,0,0,112,1400,150,214,435,,8210,6724,5133,5673,8255,6678,6923,7181,4070,7066,,6104,7049,5449,3642,3164,5078,5241,3071,3031,4519
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",325,652,2679,1690,347,500,1192,434,740,435,,12743,15147,18403,19475,24789,29044,37982,31303,42991,34165,,52728,57382,73921,56304,24832,31380,48009,72467,163068,58069
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,232,742,1167,749,518,718,326,103,553,431,,324277,260071,271671,298697,262544,291614,350131,343941,284164,316940,,27946,26547,31436,35646,52034,31116,41075,41177,40539,43604
210111,"Extracts, essences and concentrates, of coffee",0,0,0,0,0,0,0,0,856,429,,172,265,274,2003,1212,18083,2097,2719,2249,1209,,1695,1301,1646,1448,19137,31263,38812,99541,78863,65448
851840,Audio-frequency electric amplifiers,137,37,190,321,31,130,57,222,142,428,,11841,11818,10511,8041,8595,11580,13162,21918,25299,24879,,10788,7582,7731,9577,6209,7219,8410,5187,4295,6117
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,485,380,616,878,851,673,698,758,1178,427,,29889,29626,28620,27662,29350,30229,28989,28136,30161,27523,,19329,21839,26596,30894,24704,21419,21340,29384,33068,31400
854232,Electronic integrated circuits as memories,960,729,264,229,118,286,244,61,402,426,,5275754,7275896,8733986,7396689,8099804,10413784,11434378,11832829,17494092,21745596,,10241,8822,7077,37321,3140,24553,3753,2768,13395,11398
560393,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > 70 ...",0,0,0,29,0,93,25,0,0,426,,10930,13356,14365,12925,10604,12805,12732,14066,14942,20521,,28252,29240,8699,2498,2770,2850,5354,7667,6034,5271
300590,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",970,692,0,37,48,0,13,23,198,423,,5166,5671,7618,7001,9675,8192,11953,13243,10442,11818,,86181,72610,76832,101587,53905,71861,77907,80631,92261,70497
