Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
841990,"Parts of machinery, plant and laboratory equipment, whether or not electrically heated, for ...",40954,12012,26654,10052,8906,12173,13993,11963,9890,10554,,856610,901399,867117,855710,801848,727447,808090,790902,646839,666377,,173097,121953,145245,112030,121309,140631,138826,143870,108779,152034
392350,"Stoppers, lids, caps and other closures, of plastics",23924,22064,23204,20395,16011,15934,15819,15694,11475,10533,,763293,744869,772089,757840,790843,782559,835823,820253,798205,907318,,54546,59033,63970,62554,58537,62408,72770,68060,58981,65587
850450,Inductors (excluding inductors for discharge lamps or tubes),7357,7216,7227,6303,5758,4638,6592,8118,6817,10496,,398913,459466,476469,476522,479689,520898,578777,485276,499001,520511,,137809,116414,125138,107219,100039,114779,178120,265456,229632,303978
700910,"Rear-view mirrors, whether or not framed, for vehicles",560,6679,16279,17461,13988,11027,10854,6942,7173,10493,,968935,1060512,1219864,1335757,1414915,1544501,1541675,1529672,1293150,1365315,,47975,43156,48881,52958,46052,42471,46435,38859,29929,40162
710391,"Rubies, sapphires and emeralds, worked, whether or not graded, but not strung, mounted or set, ...",7603,5890,7555,17846,15602,19946,19886,15429,11983,10442,,811137,958157,1155382,1279673,1230696,1651380,1843618,1862357,861525,1382835,,147764,606739,646101,1198589,1421817,855032,235130,251767,36564,63146
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",2874,6298,7432,6776,5907,9292,10796,7880,4994,10439,,1869109,1852051,1894134,1855034,1890537,2002951,2165102,2179589,1620766,1819764,,66377,65176,85579,80871,69930,95262,114055,77996,57508,75975
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",5219,4351,6813,10305,13274,18843,24169,15099,9220,10422,,200226,196135,225878,203905,202489,212399,162703,177284,176974,221552,,22764,22079,28120,28051,34012,42531,43194,35472,28789,30107
901320,Lasers (excluding laser diodes),7494,5885,5707,4709,6152,9257,9353,9340,6972,10351,,989123,1073250,1120855,1150269,1173361,1372854,1468198,1229124,1144123,1314263,,22749,19681,22394,19593,21705,34739,34202,38506,35764,42046
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,6799,5065,5857,5667,6346,7485,10574,9187,8364,10347,,1205692,1263818,1429334,1353794,1362522,1419056,1608166,1491078,1361259,1583310,,47216,45639,42495,47437,43673,46518,63557,67845,71113,96119
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",20553,11616,10398,9275,12410,12932,13545,6145,6889,10340,,265790,279988,323463,276672,276148,260282,280311,260130,214854,252424,,156907,137182,141454,137770,137968,161251,169668,132864,116195,180618
761699,"Articles of aluminium, n.e.s.",10057,6026,7858,6907,6404,5959,9990,11599,9305,10302,,1013584,1112148,1147181,1180261,1209239,1129596,1175447,1104731,955353,1022666,,92280,79167,104076,123669,118901,145238,260162,327862,210320,229622
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",12669,10518,9775,6005,5826,7301,10077,8697,6637,10282,,95949,105033,121133,88015,80959,106761,113701,93842,79701,107690,,190489,180596,168442,186715,195303,218894,381386,417234,371890,471604
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",1046,1531,1510,1920,2856,4376,6939,8017,3717,10252,,711059,714262,760578,832084,801053,781597,814889,831166,807900,916868,,23155,30694,30152,25282,27126,31355,41918,45264,25136,42070
830249,"Base metal mountings, fittings and similar articles (excluding locks with keys, clasps and ...",1015,1268,2049,1972,2901,2623,6651,4991,7394,10230,,433086,513991,595043,629998,583123,606512,682364,769123,621108,677267,,44506,50028,51917,55436,62819,64726,83732,76451,51906,81062
280120,Iodine,854,1814,1812,2299,4318,1558,3373,6180,7547,10126,,39623,44320,42965,36281,26608,23222,28213,36249,43372,50981,,158169,132352,121372,83228,87514,90069,91181,115105,107481,111712
300230,Vaccines for veterinary medicine,1300,3039,2900,2360,2761,4116,3266,7948,8585,10091,,782536,861817,784288,804195,768167,630282,600981,516932,491008,566270,,11557,16324,14417,13974,14670,20911,23526,36010,30121,44927
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",4923,4366,5471,6383,6882,9103,13400,10725,8325,10045,,124914,115758,123348,107864,107341,111194,137502,128069,91048,118726,,17550,15424,17726,13965,15088,20141,28671,30707,23164,27251
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",18397,8610,11351,10297,17484,15108,11616,8630,6812,10011,,755199,730265,714048,684371,639534,663906,862681,816153,640185,774809,,211986,160543,155792,150876,166061,175212,251359,209633,153222,193558
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",6365,8610,7647,8822,7742,7828,10532,10057,10072,9962,,396593,414064,413522,359037,362794,356368,391111,394219,378852,414786,,32605,38210,41917,44082,41515,47094,50796,52327,50312,63021
848120,Valves for oleohydraulic or pneumatic transmission,13276,3782,4114,3358,3604,3481,8115,8142,6743,9822,,1189307,1159489,1331673,1241463,1274520,1383397,1600494,1523507,1360170,1432278,,57456,47399,48104,47997,64073,87799,124302,116511,95833,167181
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",363,419,592,935,982,4720,4037,1982,2403,9794,,668987,718120,772823,642852,601789,713443,852212,830453,649969,700870,,10724,15263,20031,23920,22510,34713,46849,37844,26319,48154
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",7509,960,1053,1019,944,3155,7024,11446,9407,9753,,703738,468017,390823,268687,148219,146078,142299,135217,126448,142885,,28465,36591,41522,60928,63457,53147,60594,78869,59965,99020
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",7890,7694,7809,8912,7542,9670,13251,8405,6718,9738,,916106,925021,915456,797156,671101,669528,679995,661090,581566,642860,,66520,64791,42765,40480,43556,56437,79873,76408,68519,75367
350691,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,5371,4566,5202,6259,6005,6577,7651,7298,6392,9706,,1052760,1042990,1058900,1063517,1033365,1104495,1089048,1054489,996035,1222975,,50423,54720,59154,63808,57449,73096,92494,97317,86744,136054
152000,"Glycerol, crude; glycerol waters and glycerol lyes",291,7,263,1,892,1936,2668,2747,3123,9632,,8605,18597,16039,11891,13792,18213,37256,18674,18781,30442,,4398,5934,12689,5606,8664,11992,40497,23111,27374,74108
731829,"Non-threaded articles, of iron or steel",15994,15396,18901,14298,12387,14772,17683,13276,8048,9625,,394972,427349,454214,428600,432495,484321,503046,478838,402385,449600,,200420,230952,193858,136499,127890,135559,145290,131897,72830,91120
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",16006,14043,13471,14437,11152,10912,10737,12203,8584,9607,,3774965,3705436,3628909,3233490,2957949,2697868,2747579,2733026,2180796,2240244,,386533,373744,375493,416915,372440,432977,465375,448806,292965,399013
853400,Printed circuits,7449,4311,6139,5836,6874,7210,11000,15885,9000,9572,,1748508,1769302,1980226,1727340,1858366,1752486,1592217,1283166,1190302,1207965,,363384,281885,227326,254830,352607,425485,628116,650890,623039,885774
848210,Ball bearings,8504,5289,6707,5776,6265,13015,6664,8175,7707,9552,,725683,717308,781458,761852,729385,765603,811562,771011,623155,691738,,323007,315467,373636,343538,348071,373302,497812,434874,342969,532604
281820,Aluminium oxide (excluding artificial corundum),6560,6117,9261,5816,6575,20387,15644,17769,6600,9527,,764384,889509,883857,842684,502761,350128,324526,317777,292909,273081,,329061,532607,347900,355363,415616,821394,1416845,959739,633199,1034897
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,14924,11825,9268,6947,4888,7359,11989,9035,13249,9518,,910453,897215,902208,818772,768361,786839,818326,844664,758846,835703,,97334,76394,52930,51697,43540,50127,77034,82215,76340,115332
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",8518,4134,3132,4038,1227,1162,2399,3605,5582,9505,,346129,381181,362319,377019,323240,284626,229889,237525,198041,184044,,273867,210501,179969,162560,176902,162503,110174,90477,60412,238012
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",5914,14622,10722,4436,3410,3034,4734,5451,9894,9497,,522535,436876,439825,429708,491911,554961,611557,514489,470839,469202,,44510,67246,53252,41625,37438,50443,148165,81723,55723,71225
851829,"Loudspeakers, without enclosure",6676,3942,3452,2886,2963,2509,3278,3213,4414,9401,,342025,387774,441216,450734,393521,395617,357082,375532,274626,321563,,206374,193615,151142,179823,187640,206911,267223,307928,268535,361973
380210,"Activated carbon (excluding medicaments or deodorant products for fridges, vehicles etc., put ...",3329,2402,2710,3697,5276,8440,9248,8879,6165,9340,,212716,230872,264395,264952,279479,303798,324724,292241,273331,291380,,24899,26781,28894,31549,31765,42062,49646,59404,48890,60272
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",7728,15993,19678,11283,8296,13424,14825,14835,14322,9308,,81979,76627,92107,69997,72166,78821,89710,91532,81257,67990,,61627,72857,73207,60118,52465,61084,83016,93608,82083,78570
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",2158,1886,2090,3304,2516,3273,4999,4335,4892,9297,,496276,528124,573119,565753,577000,604844,761738,671173,634836,851462,,26976,28425,30339,38283,44001,49202,59697,51347,41354,62339
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",8705,9597,11503,9446,9356,18809,11422,13782,13353,9278,,493522,536491,440009,529547,497622,499152,492308,525836,431201,480548,,87103,116120,57254,85191,76555,77055,154678,136970,149709,98310
842951,Self-propelled front-end shovel loaders,498,3873,225,3889,5926,1333,1630,804,3204,9265,,3133054,2378972,2282301,1916261,1470447,1809855,2083251,1774136,1461915,1713733,,11509,10578,12811,18243,24625,28567,60691,45268,49556,101626
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls ...",6254,6453,7592,7474,7277,7775,9091,9217,7990,9265,,411409,400910,423540,437570,418318,421150,439637,452610,428886,475852,,32797,31991,35467,30462,32060,51057,70295,67981,53201,80830
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",36817,6195,8834,9889,5630,6412,7839,11672,14747,9255,,6737093,6620789,6545701,5680008,5089180,5299466,5394385,5471426,6306881,7547269,,2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",7919,7013,8865,10276,8544,10933,5693,6470,4527,9213,,231109,207799,255166,226252,204471,219713,231896,213329,180373,229650,,116442,108786,112517,101197,104164,121556,138518,127393,95230,140731
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",5852,4817,4161,3908,5616,8844,10411,9719,8615,9164,,569697,546079,564104,506624,431229,470891,493247,487915,388876,464457,,107419,112292,123055,114831,119079,150853,201138,173487,145609,227791
340211,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",3075,4668,7529,10241,9663,9294,10033,11033,10779,9120,,348219,337117,331971,313613,303797,327019,355028,336245,357847,406000,,48114,47983,75301,70733,40957,40219,47442,42146,37035,54842
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,2312,3631,5157,4635,9038,,0,0,0,0,0,0,38874,168392,198442,376226,,0,0,0,0,0,35792,33633,53523,97535,240153
291419,"Acyclic ketones, without other oxygen function (excluding acetone, butanone """"methyl ethyl ...""",3559,4102,4944,5124,5364,4289,7419,3837,7964,8980,,57647,58158,62436,46987,51722,51418,65048,49742,54571,73677,,24034,27073,29201,27476,26610,29464,41369,29324,40525,45224
902110,Orthopaedic or fracture appliances,4972,9081,10007,9777,5793,8812,9546,12223,7798,8974,,1683157,1989549,1989065,1993639,2070229,2108468,2265253,2311169,2131088,2582380,,23894,28737,23772,19698,15015,17480,17811,21566,15717,24340
390730,"Epoxide resins, in primary forms",19424,14741,13044,8632,12375,15772,12632,10084,6645,8944,,753307,691140,765847,686440,680640,682251,690586,741650,687863,777047,,141295,151663,142281,151041,153811,161077,158426,170822,132669,256375
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",13741,11121,12084,7597,11448,13998,7078,7371,7395,8901,,173667,157241,173034,153882,133292,141351,125279,104809,97876,105825,,33459,25320,29511,28156,30738,35530,30161,31135,30898,36089
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",10519,7569,17864,7256,5571,6211,8808,15202,6678,8829,,582899,604578,650101,653408,682042,668958,697021,681821,459197,650274,,30949,23853,36384,29356,26994,30368,43610,50573,24926,39713
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",4191,3259,3987,5441,9438,7831,8827,7137,9359,8815,,195404,190390,150368,153537,137969,149535,164999,170632,170166,175335,,85070,79529,96445,101375,121788,158064,225917,225113,185137,228927
848420,Mechanical seals,3025,3258,4289,3596,3721,5111,4556,5663,4187,8814,,266408,282746,321422,332351,304328,344068,351659,358544,461272,702515,,34884,38107,40997,36729,42454,51715,60092,57059,50505,71664
710399,"Precious and semi-precious stones, worked, whether or not graded, but not strung, mounted or ...",5573,10102,4970,7131,11691,10960,9266,10472,7743,8796,,195618,385732,395514,313380,311679,446787,445410,395253,198495,199711,,60392,56068,33915,40420,43474,98595,235140,541935,312462,1295813
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",8143,8808,2780,3720,7375,7258,2248,5307,1806,8736,,184213,155271,130436,133028,117961,132260,129881,126143,121278,156981,,46734,45794,39438,37230,54540,54347,49734,51962,43982,97637
850760,Lithium-ion accumulators (excluding spent),0,34280,39743,28720,28113,3350,21902,3311,3655,8692,,242145,660269,754093,796771,1115250,1292131,1395701,1499629,1650655,1595584,,0,167481,126533,203092,304780,467906,1147766,1295134,1056579,1664286
390710,"Polyacetals, in primary forms",5924,2359,2546,2476,4036,4498,3982,5060,5590,8557,,233185,235588,253220,315281,318048,318527,311763,271136,251639,297046,,42367,42957,49158,50756,53804,64480,80781,79827,68041,92108
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",5922,3910,4473,3410,3752,3833,8349,10263,6238,8551,,677586,601455,564226,576664,584728,607237,757786,817834,552177,470472,,32673,132206,35050,30872,28458,35434,59309,76317,69479,82749
271312,"Petroleum coke, calcined",5797,49,74248,575,69219,152813,124602,22536,9847,8542,,1702513,1344256,1165293,1052906,884550,1127691,1901377,1675174,975438,1359672,,82520,145417,277046,112273,184351,283158,514293,584365,156708,347710
482110,"Paper or paperboard labels of all kinds, printed",9322,8870,8955,6962,7251,6561,8267,11076,8997,8525,,397273,440118,429620,428429,366663,350159,360922,327881,313189,364639,,74925,49548,49589,49997,51982,54027,59086,64756,50575,63651
691490,"Ceramic articles, n.e.s. (excluding of porcelain or china)",2881,2959,2460,4087,3076,2139,2636,2436,6714,8502,,142136,162408,160939,171570,168192,192531,227348,228563,194653,217636,,36497,38713,52098,43668,42090,44992,41119,48308,72965,92726
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",4946,7628,7311,6780,5706,4474,12859,14136,7411,8305,,738530,783253,847404,861796,827993,857538,877643,840081,724362,849669,,53143,46811,39389,42153,42362,48514,132562,132921,140829,177957
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",466,203,564,362,377,16733,21309,11675,6381,8301,,164443,151912,176080,179386,197738,205459,238946,211190,206349,217789,,2790,418,806,2193,5644,21729,50162,44877,27025,35308
382313,"Tall oil fatty acids, industrial",1847,600,3011,1862,3416,2379,4755,4185,6206,8290,,68487,65195,75715,75929,77073,76281,78073,64518,63803,86185,,3845,2737,3944,6073,8968,8275,8273,5627,8125,10799
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",25606,24564,26467,14690,12312,11398,14341,8305,8342,8283,,1640887,1463150,1071879,1356248,1366830,1518531,1531412,1654592,1087045,1010354,,281803,190694,133094,173694,239598,137465,120387,118840,72779,87388
900150,Spectacle lenses of materials other than glass,1650,1176,751,977,4611,8282,10703,12471,8252,8229,,300031,323495,371273,394773,369919,399115,402150,421710,367468,500738,,57890,55662,60447,68376,88620,120156,128682,135078,113797,126182
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",4002,3511,3102,1785,1249,1542,1974,1875,3922,8190,,811877,973746,1075684,1066618,1049157,870598,892387,901369,939986,1072220,,252992,202346,308455,325934,294987,334245,226881,100719,87869,202842
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",15388,25964,37049,23661,24470,35544,14385,17051,19471,8180,,1507588,1657429,1512861,1145621,869128,977889,1105915,1094255,819107,881721,,75818,74922,111646,111314,101226,157597,146822,152850,124969,171852
880529,"Ground flying trainers and parts thereof, n.e.s. (excluding air combat simulators and parts ...",341,311,787,324,60,614,8730,1068,14460,8177,,0,0,0,0,0,0,0,0,0,0,,10697,4571,2868,4112,5174,20542,20788,23783,20204,11741
850490,"Parts of electrical transformers and inductors, n.e.s.",12868,10146,10159,17179,10553,12585,19855,14501,8076,8162,,582590,586851,587225,551686,517842,552707,566316,534748,501687,510024,,311326,359265,320498,302681,357858,423373,605372,599450,370243,467127
903020,Oscilloscopes and oscillographs,5361,5171,4121,3430,4746,7702,3784,5425,6438,8122,,154924,106223,94652,114221,120730,124411,170424,180203,141892,147348,,21907,19676,15866,16005,15221,21430,16085,21463,22735,29189
291550,"Propionic acid, its salts and esters",2535,4278,5611,6783,5848,8611,15418,14900,14212,8048,,90672,107296,107661,117314,130484,138811,163238,142298,122675,143821,,17463,18471,20358,20944,20208,26066,42898,35260,32511,42418
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,906,203,1703,2097,8009,,0,0,0,0,0,153550,107640,152504,148328,203635,,0,0,0,0,0,976,1050,2421,3869,10091
851590,"Parts of machines and apparatus for soldering or welding or for hot spraying of metals, metal ...",5347,4697,2777,3554,4243,6408,5417,9058,4701,7988,,441635,434567,390510,386252,357745,375631,407815,375118,316357,361513,,48272,43845,50975,48706,57099,58135,67562,65705,52595,65929
902519,"Thermometers and pyrometers, not combined with other instruments (excluding liquid-filled thermometers ...",2193,2761,2400,2770,2675,3406,4247,5185,5708,7987,,301070,317954,365187,365745,396198,436172,511715,499369,534107,544574,,13940,15082,18456,15396,16585,21150,28338,32511,237988,59868
845530,Rolls for metal-rolling mills,20839,12813,13097,8247,6706,8155,10641,10151,7061,7976,,184470,160057,155704,118966,106424,98440,114393,118323,105197,84892,,115069,97550,88731,85581,92497,104157,158180,218027,143040,153004
120991,"Vegetable seeds, for sowing",6945,5451,9005,9648,7843,8062,7330,7105,9077,7952,,530118,550806,582181,625456,671344,629024,598948,592325,517380,547202,,52453,56043,67589,73834,64563,77800,90961,85683,95113,95096
701990,"Glass fibres and articles thereof, n.e.s.",8843,7382,8720,8477,7381,6981,7712,9984,10134,7877,,364633,367099,382472,378573,345026,347053,363304,318154,306058,373398,,39389,32480,37240,39552,46802,46127,61239,71722,62737,82159
848350,"Flywheels and pulleys, incl. pulley blocks",4497,2401,4104,2239,3546,4805,6713,6814,4629,7786,,367052,409588,1155294,1152708,715732,420728,458746,436407,336773,374575,,94003,79322,82580,76591,71483,107602,138954,104996,74582,106390
320650,"Inorganic products of a kind used as luminophores, whether or not chemically defined",129,13,0,2,50,192,250,198,741,7780,,34112,30178,32663,19235,13757,22523,19943,25208,20178,33071,,18541,18808,19249,13831,6690,6606,7367,18414,5672,8253
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",7536,9192,10712,7911,7924,8884,4244,4934,6123,7730,,263707,289700,262301,270304,275211,308408,353525,356340,240826,347008,,45361,45393,52986,44523,45998,66718,77378,61306,57820,133459
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",5631,5765,7956,8388,8996,9710,6345,6564,5968,7703,,942072,919777,1018582,966437,950827,1016105,1007745,922224,842089,1009832,,26064,30881,37694,38242,39608,50164,60732,72967,63136,110961
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",1522,2140,2288,2803,4020,4891,5775,2905,4433,7698,,25334,31020,31552,35399,35230,37784,39776,41292,36441,44304,,8180,11848,13405,15579,18807,21639,28637,28993,39959,43703
841229,Hydraulic power engines and motors (excluding hydraulic turbines and water wheels of heading ...,4147,4860,6740,6409,4393,8042,9812,8418,10956,7668,,437527,497674,545701,502646,465166,500929,571692,554211,467394,501454,,76486,78866,70284,66433,83967,127506,180762,155731,111349,189623
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",5867,4291,4268,6815,9212,7197,6075,5263,8114,7654,,3066724,3054078,2716322,2110832,2063238,2346915,2629902,2184387,1516952,2235723,,36648,22983,25950,30583,27828,26495,27952,28725,39142,39894
731029,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",2453,1617,3111,2426,6513,11222,12752,7164,6644,7616,,226555,219605,218380,197832,200588,206862,173529,180204,210485,262697,,37902,42596,43317,45487,58456,74967,91813,79758,57071,73963
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",6776,8384,8653,7068,8725,7594,8813,9891,10979,7607,,172626,181879,185544,151976,136288,155070,178115,155442,160895,202021,,63053,62680,73995,74579,70441,65300,75601,79717,77731,101480
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",2567,1468,1079,952,1105,1878,901,3367,2809,7599,,71905,64325,60570,67906,40030,357256,149858,56774,84990,91557,,55267,103676,121595,74596,69394,191900,99390,93110,105530,103056
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",969,933,1974,1261,1348,1550,8436,5178,7463,7549,,724874,746519,713937,681223,686110,848093,1158567,1014432,932922,1138652,,43189,23345,21544,16475,18362,21884,71011,81276,85340,126459
847410,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",9101,8049,1484,2625,4094,1683,2214,3787,2411,7543,,326198,295422,329787,226509,187552,161256,161684,149288,128317,155866,,75731,35849,20580,15359,16804,20591,27218,46564,27626,36444
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",9174,9792,9647,7670,7174,8439,8709,8498,6293,7540,,146202,176662,181241,159974,169370,192799,201028,200448,177370,194958,,80417,73521,75747,70928,70515,77310,91239,81581,64564,84800
160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",0,0,0,0,0,0,0,574,42,7536,,4712,3339,4158,4175,2598,2023,2350,3917,2532,3159,,0,19,0,1,0,363,158,873,781,8351
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",5948,7657,6945,8893,7784,10517,12707,10098,6182,7511,,241684,284195,293346,258710,269373,282427,297229,280052,289778,331428,,36678,40613,45938,53944,63213,85003,122438,115201,86148,129809
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",25892,21564,12007,12613,7746,9452,11414,10091,11252,7471,,1109319,1046041,989951,783875,635200,683368,685108,707574,604112,617198,,217844,176395,95204,99103,100154,88217,110491,120261,109326,150034
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",7541,6292,8779,10446,11322,11097,8654,6219,4966,7467,,553752,605322,645485,635176,598849,635036,642908,594341,509237,560681,,47453,34880,46247,51172,52266,67301,77104,65499,54877,107966
853190,"Parts of electric sound or visual signalling apparatus, n.e.s.",10528,11112,12294,11412,13630,12754,11056,10002,6965,7437,,420772,408982,429262,465061,471510,456986,486186,469164,343162,385516,,88562,81675,94586,75870,75400,82350,79608,69246,44150,62399
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",17019,15947,16447,14856,21705,9709,12577,28910,40427,7403,,1216332,1119597,1250651,1122057,1131252,992023,1036963,1256912,950600,1043276,,116181,83569,205452,279239,174993,90599,134317,175861,174093,184377
731816,Nuts of iron or steel,6362,6690,6681,6252,5645,7919,9488,9608,6156,7395,,627723,691178,744285,768882,784306,685642,680308,691148,564272,619828,,111195,100790,97106,96464,93528,113782,153119,133462,97992,133953
290513,"Butan-1-ol """"n-butyl alcohol""""""""",3287,2914,1507,72,850,153,707,5088,8921,7388,,237809,287621,196368,127514,78642,93503,118971,97305,64517,51844,,50336,60467,68228,49131,40668,44727,52163,46084,37423,52771
30499,Frozen fish meat n.e.s. (excluding fillets),599,665,522,467,700,473,403,1170,5345,7331,,472190,432607,459076,474787,504554,504690,554441,537457,454276,519760,,8799,12033,11322,10486,11090,4136,1878,1961,6191,8638
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",5546,2885,2491,5105,4680,5240,4605,5882,4630,7301,,373267,319505,383923,418688,411909,451323,514631,559857,487360,643389,,53189,50331,49803,51573,46255,60879,82244,72188,60137,90019
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",2351,3626,1925,3975,4800,8605,10394,8580,6778,7298,,499663,512459,527316,563057,555596,560015,624607,587430,560336,597012,,16484,16561,18510,22794,27129,36287,45827,50467,52419,86906
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",141741,45255,11397,42696,20507,8564,10991,19597,8922,7263,,2380668,2246198,2210898,2425590,2310200,2405393,2571442,2176831,2286835,2454837,,871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
392329,"Sacks and bags, incl. cones, of plastics (excluding those of polymers of ethylene)",1561,1782,2018,2321,1439,2282,5121,5929,6160,7258,,295855,283525,284327,294614,286184,299816,304576,321244,330807,413801,,20290,24861,29331,27693,24201,29697,36166,34126,33305,37881
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,955,940,1592,508,7254,,0,0,0,0,0,290479,357333,683765,341610,129909,,0,0,0,0,0,34331,51949,48173,61560,74418
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,3732,3512,4249,4240,4486,5227,7111,7103,6040,7243,,351865,329950,333043,302486,275206,275770,239241,239487,210308,241026,,78939,77575,81583,69237,72216,77240,85548,77323,66596,90008
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",940,133,911,422,784,2545,6593,817,658,7161,,81974,76148,75832,59919,61033,51528,47473,65275,62960,65744,,35417,44511,55266,61598,73456,65201,104845,134370,126574,144524
