Product code,Product label,Russian Federation's imports from Saudi Arabia-Value in 2012,Russian Federation's imports from Saudi Arabia-Value in 2013,Russian Federation's imports from Saudi Arabia-Value in 2014,Russian Federation's imports from Saudi Arabia-Value in 2015,Russian Federation's imports from Saudi Arabia-Value in 2016,Russian Federation's imports from Saudi Arabia-Value in 2017,Russian Federation's imports from Saudi Arabia-Value in 2018,Russian Federation's imports from Saudi Arabia-Value in 2019,Russian Federation's imports from Saudi Arabia-Value in 2020,Russian Federation's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,7657,8316,6516,4155,4109,2847,5134,4918,2605,6128,,283101,271157,213820,156219,143230,196013,226415,187974,144394,238344,,202970,184243,180323,117886,86958,122717,149196,140575,143654,214478
390610,"Poly""""methyl methacrylate"""", in primary forms""""",0,0,0,0,0,235,3895,1464,1647,5050,,76,705,208,0,58,7339,150922,152590,146977,235767,,33568,42513,46743,26624,21280,29709,32304,26393,26185,31135
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,79,0,0,1264,2927,1616,2482,4801,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,32076,28750,27467,19392,20771,22920,27076,24697,24327,34980
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",0,0,0,2490,2150,1109,730,3249,2280,4651,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,19255,21793,19682,16583,21388,17253,16265,26043,36332,34172
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",240,0,0,0,0,1216,929,984,523,4337,,127700,126659,120038,156688,97071,84901,89714,77024,74660,130549,,192350,196608,191398,155520,147582,169295,193259,182900,181711,204586
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",5057,4140,4352,2734,2481,3486,3809,3058,2230,4249,,19512,10248,28823,26141,5967,14770,49479,77423,69256,142109,,30832,28280,24808,15015,14080,18541,20203,20004,18562,30431
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",0,0,0,0,0,0,0,1300,17972,3454,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,101864,85983,53673,65849,63900,171239,164273,311113,499329,447728
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",2085,683,1247,212,1109,896,1583,1106,961,2204,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,353920,375005,340309,221521,253198,263115,255390,239122,228581,273398
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",0,0,0,0,0,0,534,1658,0,2026,,7827,8638,4857,5155,4779,5899,6795,6672,7703,7022,,273121,273932,272194,197914,192051,212119,201769,198368,185651,215552
291614,Esters of methacrylic acid,0,0,0,0,0,0,0,0,580,1126,,0,0,0,0,0,19692,313948,339597,412384,429868,,3211,10553,16025,11207,5783,5562,11308,8922,10319,16529
80410,Fresh or dried dates,27,116,213,205,151,397,536,693,1035,1039,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,27258,29527,25837,18600,22119,28823,28452,25941,16000,13098
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",20669,28479,40575,28592,29903,19107,9490,7038,3715,1007,,95263,170157,187334,164462,173721,697618,598741,395003,460186,507051,,151619,234356,251321,231738,217787,163732,138370,121237,112107,123099
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",0,0,4961,2464,0,0,0,0,0,646,,1276,363,1301,345,1155,414,773,1820,466,2530,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,346,946,125,178,638,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,7034,8228,8629,5820,5116,6561,6561,7875,8150,21362
790310,Zinc dust,0,0,0,0,0,150,164,280,270,543,,840,1090,946,2999,4317,10628,10284,9113,9857,14668,,4181,2894,4408,4176,2714,5109,8367,6516,5668,6323
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",1549,8853,0,0,0,0,0,0,0,532,,1347390,1406732,1572031,1038412,649220,845340,809144,847697,838182,794444,,108126,75567,80308,13645,9315,10224,13883,14028,12441,15418
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,1125,980,1857,988,518,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,120,538344,594462,598317,598458,677353
292121,Ethylenediamine and its salts,47,0,0,0,1,0,2,65,162,490,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,1710,1508,2079,2772,2474,2310,3020,2393,2366,2503
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",97,118,0,0,0,0,0,209,118,429,,0,108,15645,19104,9932,862,8342,384,791,717,,544,784,311,280,205,246,141,313,662,2915
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",0,58,103,27,62,62,53,125,297,392,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,21731,15755,11049,10286,10629,11111,12504,13649,22147,15640
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",0,0,0,0,113,0,75,921,219,354,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,4295,9964,11974,9621,11575,14545,20708,19184,19816,30500
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",0,0,5,3,2,11,1,15,50,313,,424,346,110,3025,123,15,101,15537,52620,128676,,12025,13313,12630,14495,19542,25219,30859,26916,33528,52312
292215,Triethanolamine,0,0,0,0,0,0,0,0,0,305,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,213,282,127,202,602
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",228,1,0,178,168,39,0,1,0,286,,79788,84882,100163,113004,114711,120541,106831,84293,102322,194582,,252252,247508,209209,167729,160315,169723,180218,190648,195723,270020
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",18,22,15,12,16,22,27,60,755,284,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,220149,260617,283753,222101,246084,281702,303585,350246,328420,405179
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",0,0,0,0,0,0,0,0,0,259,,8370,2382,2159,2746,3229,3158,4093,1530,6095,4032,,130272,154527,199155,113608,139996,167321,179480,190687,181671,190692
291531,Ethyl acetate,0,0,0,0,43,0,0,46,57,253,,0,52980,124798,86842,66036,64749,73198,74176,89061,132589,,898,2841,3440,4367,5895,11732,21664,15737,7761,11156
340111,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded ...",0,0,0,0,0,0,0,0,0,252,,57934,43561,57226,67904,68335,73420,50283,41748,41600,27843,,110246,98590,102323,72975,75982,85888,100554,94445,88042,95553
390730,"Epoxide resins, in primary forms",262,333,778,1552,34,91,1201,187,169,214,,88130,51500,74607,40214,55775,63806,64194,46689,42697,46690,,90186,120839,126943,119415,109706,134513,161631,151310,145129,259800
390210,"Polypropylene, in primary forms",15709,6590,4115,4192,514,747,3717,673,807,193,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,291529,219230,181910,133403,148500,152993,202416,173094,174579,278036
330610,"Dentifrices, incl. those used by dental practitioners",28,28,60,63,63,66,80,68,89,193,,27528,28870,24455,32081,31895,32172,22779,11726,17538,12024,,157853,137994,154145,115396,120097,138529,132057,141905,132668,159145
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",1601,2319,3374,108,0,728,78,110,56,149,,7971,19575,14461,15838,13801,34319,25225,19833,10392,21652,,255876,347093,120857,77312,68750,74013,77807,85362,57794,52352
400821,"Plates, sheets and strip, of non-cellular rubber",0,0,0,0,0,0,0,0,0,142,,0,79,0,70,18,197,209,348,79,129,,53741,54179,47115,27610,30883,32580,36641,39755,34841,50475
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",0,0,0,21,0,0,0,0,0,133,,0,600,2096,2781,3938,5549,11308,11240,10822,13865,,31274,36228,33347,27033,30409,38491,44424,38866,40266,52759
220110,"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured",7,219,59,117,68,164,77,122,72,127,,0,0,0,0,12,2,9,0,0,4052,,59597,105397,146881,79653,77664,87244,97583,110663,90009,129716
291030,"1-Chloro-2,3-epoxypropane """"epichlorohydrin""""""""",0,0,0,0,0,0,0,0,0,118,,0,43554,4216,1012,2903,2016,179,5938,4353,10518,,5610,3376,1869,1933,1388,1699,2740,2774,1653,3264
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",741,1198,1057,640,313,365,147,189,96,100,,32175,32689,34632,41155,32893,32929,24267,32020,33428,40057,,55493,58085,53709,33082,23916,24108,27782,25221,21820,24810
540412,Polypropylene monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm ...,275,511,241,609,558,408,265,377,200,95,,161,3660,1154,0,1425,305,0,0,0,10,,1107,1314,1680,1142,1975,1189,2347,5739,2665,3021
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",0,0,0,0,0,1,10,4,4,87,,17120,23729,10649,8667,10416,11352,9997,7109,8187,5642,,80126,86451,111168,77141,71328,86146,93211,110370,115424,137486
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,14,18,86,,0,0,0,0,0,0,0,0,0,9718,,0,0,0,0,789,36956,46261,42248,32295,64489
292211,Monoethanolamine and its salts,0,0,0,0,0,0,10,0,106,83,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,917,1851,3019,741,94,309,389,937,1775,1545
292212,Diethanolamine and its salts,0,0,0,0,0,30,280,29,393,58,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,284,180,619,154,865,485,391,187,804,431
293211,Tetrahydrofuran,0,0,0,0,0,0,0,0,0,51,,7652,3657,4340,9829,9899,17784,17521,11902,19373,26409,,346,516,571,490,767,908,644,813,635,1193
842123,Oil or petrol-filters for internal combustion engines,97,158,152,120,144,149,146,137,139,50,,3685,4660,4634,4621,3279,3321,3487,2757,2393,1605,,241554,251971,244924,189705,206322,246790,263503,263272,263695,339642
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",0,11,28,6,1,10,18,12,18,49,,360,33,0,81,2024,231,4,222,0,33,,31816,35464,38288,28297,43978,47849,63914,68187,67599,82939
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",0,0,66,0,0,0,0,18,0,49,,123426,156328,192692,184302,179772,153378,180319,4375,8313,7443,,345224,445062,427742,227810,144719,162250,199311,207201,203394,136646
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",0,0,0,0,46,435,325,166,265,45,,91162,76932,45343,42285,48966,47000,19041,15627,11014,26403,,129387,157961,175370,145498,182175,220830,232789,192250,196661,246413
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",0,0,0,0,0,0,0,0,40,44,,0,294,0,6,5,217,63,0,0,0,,96325,111498,116439,86286,95170,122601,134377,135963,149874,179760
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,0,0,0,0,0,0,0,0,40,,0,0,125,63,74,18539,77603,65000,54890,150753,,38648,40661,42039,31687,29016,34588,42776,32060,31410,70189
390230,"Propylene copolymers, in primary forms",2412,9223,1927,520,713,238,716,1022,154,35,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,188895,190667,169996,92589,93754,138195,149382,151885,141043,248357
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",0,0,0,0,0,0,0,0,0,33,,6598,6145,11628,14992,8358,16538,27477,17626,12315,19259,,62260,58749,54094,50538,47554,52701,67094,66309,61762,50985
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",294,302,71,54,5,0,0,2,62,28,,34100,52812,56574,52128,62401,52928,73947,89066,109736,125264,,501166,511469,491675,393317,414689,477718,519196,494061,464094,563871
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",0,0,0,0,0,0,0,0,0,27,,251,210,1201,2225,1819,1598,1475,0,0,24,,35211,27677,27624,19314,22314,30368,30119,32618,32076,40622
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",0,0,0,0,0,0,0,268,0,26,,8313,11139,13551,8592,14903,5223,17296,53142,30359,13160,,373016,539746,375516,136218,81101,105014,160750,143754,135213,91559
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,0,0,0,0,47,0,56,24,,11056,13098,13706,11462,12811,7936,10227,5450,3103,4447,,101212,129492,126811,98294,137831,156287,174655,203992,215502,200851
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",0,0,0,0,0,0,0,0,0,22,,6757,6383,5911,6155,9428,10359,6708,2020,2545,4724,,182491,190920,174826,89910,63089,70342,74468,65759,66078,87379
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",0,1,26,8,4,15,3,5,32,20,,2112,2724,2523,2838,7826,12277,34111,24324,1544,2114,,647998,545268,413156,206226,193057,267192,293380,309359,293690,321057
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",6,0,10,0,0,0,0,0,0,20,,50251,27597,27589,13732,50084,62279,64089,14309,5591,5889,,118856,129238,136441,111910,92235,100563,118817,140159,121936,123447
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),0,0,0,0,0,0,0,0,2,16,,94,0,32,285,339,1369,363,0,0,0,,148562,166370,150620,97952,97258,111099,112961,116250,94609,96874
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",0,0,12,2,3,10,3,4,12,16,,230285,274999,258062,271886,221945,214333,168876,186879,195749,217926,,260783,310771,301604,171856,161378,209530,241858,246184,241512,270851
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",0,0,0,0,0,0,0,0,3,12,,38,526,224,2050,2112,3080,4595,1344,711,124,,94103,111088,104774,79963,71318,83143,86909,91766,84613,91128
841290,"Parts of non-electrical engines and motors, n.e.s.",0,0,0,0,0,0,0,5,14,10,,1326,1003,3697,5926,7594,8555,6920,213,144,528,,83248,66190,61848,53328,44737,49877,76579,129685,101043,107807
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",8231,25940,10432,3150,606,6617,4855,21584,0,9,,52822,66130,71167,86603,94660,55465,52927,51219,17756,6672,,639383,726717,666020,451461,445347,554525,467242,619037,484198,460145
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",0,1,15,6,1,5,2,3,13,8,,17978,24602,21470,24035,14794,18283,30790,31775,34240,27307,,231036,238007,199474,125290,136552,177822,174558,182749,167147,207397
820770,Interchangeable tools for milling,0,0,0,0,0,0,0,0,0,5,,62,0,0,23,2,203,330,0,0,0,,203543,76933,74693,51125,55915,66336,69371,71278,69349,77043
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",21,2,7,2,0,0,3,8,24,4,,55315,45793,34216,43334,60171,43306,41931,25002,25230,22432,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
999999,Commodities not elsewhere specified,52,0,0,0,0,0,0,0,0,4,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,1417912,1700488,718674,4327079,6581104,8014821,7053690,6153790,9074291,13861409
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",0,1,0,0,0,0,0,0,5,4,,12487,10965,8740,7050,6543,901,3290,0,0,2,,423510,407105,331655,242233,300232,406613,443941,402938,391173,514522
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,0,0,0,0,0,0,0,0,0,4,,98,245,381,141,671,388,870,0,0,0,,154841,147293,124335,74137,82025,104243,107180,103905,90319,125085
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",0,0,0,0,5,0,0,0,0,4,,0,0,71,25,8335,85777,141469,121349,90281,252955,,90341,93127,80874,54803,55149,65078,78371,67875,59170,109186
732020,"Helical springs, of iron or steel (excluding flat spiral springs, clock and watch springs, ...",0,0,0,0,0,0,0,0,0,3,,500,27,40,719,650,3176,220,105,89,241,,108060,115868,104639,60954,70123,89634,104904,112107,95733,117665
570291,"Carpets and other floor coverings, of wool or fine animal hair, woven, not tufted or flocked, ...",0,0,0,0,0,0,0,0,0,3,,361,43,79,188,8,0,43,0,0,0,,294,457,369,396,426,699,663,812,430,543
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",0,0,0,0,752,0,31,0,3,3,,198,255,708,1231,4434,4793,6788,6505,7119,4327,,186722,195843,219040,159941,164467,190152,210228,210832,199707,215700
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1,0,2,0,0,0,0,1,1,3,,39834,34141,18350,14576,4337,4555,8376,4892,2773,4206,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
390319,"Polystyrene, in primary forms (excluding expansible)",0,26,1547,222,243,75,16,17,0,3,,139495,91832,141229,92412,124267,151390,115419,88957,88579,152761,,152555,142152,95020,54941,61322,59152,56955,60629,41067,88817
491199,"Printed matter, n.e.s.",0,0,0,0,0,0,0,0,0,2,,641,139,130,991,1661,1265,968,583,801,155,,75209,87277,91691,43719,44665,47160,49463,56371,65522,84012
711890,Coin of legal tender,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,6829,4442,4763,4317,4085,3800,4544
620444,Women's or girls' dresses of artificial fibres (excluding knitted or crocheted and petticoats),0,0,0,0,0,0,0,0,1,2,,0,0,0,18,971,15,53,0,0,0,,49110,60494,57951,40893,46571,65662,66086,82396,66097,75334
400941,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",0,0,0,0,0,4,0,0,0,2,,0,0,0,45,94,37,37,7,0,0,,9098,10623,9209,6719,6879,8160,9070,9999,9343,12178
731829,"Non-threaded articles, of iron or steel",0,0,0,0,0,0,0,0,4,1,,799,373,473,625,616,1165,609,269,38,41,,35770,33061,33410,29246,30923,45100,55269,64037,61788,84334
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",0,0,0,0,1,8,3,221,0,1,,2147,3933,59398,63465,59141,56686,54659,52139,36634,72464,,366570,398919,395603,308569,303430,355638,398475,411545,369354,446789
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,0,0,0,0,0,0,0,1,1,1,,868,1131,307,744,814,2808,1467,506,1791,718,,23434,22226,20871,19010,22567,35358,38289,42129,38141,51068
90121,Roasted coffee (excluding decaffeinated),0,0,0,0,0,2,1,8,1,1,,74,115,220,283,876,419,997,182,219,1793,,145680,177808,176685,137972,146996,185420,202154,223619,232210,278839
730791,Flanges of iron or steel (excluding cast or stainless products),1,0,0,0,0,0,0,0,0,1,,1662,502,504,745,1389,2953,3656,509,830,582,,50069,60624,52843,32203,32700,38611,41852,54547,43686,47342
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",0,0,0,0,0,0,0,0,0,1,,1622,660,817,1672,1826,2080,1311,305,330,173,,272872,280108,266167,179029,234149,270783,321744,331951,330842,389152
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",0,0,0,0,0,0,0,0,0,1,,0,0,0,17,646,216,244,12,631,428,,50904,57575,46359,30083,33000,40039,48971,49715,47643,61859
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,0,1,3,1,0,1,0,1,1,1,,14552,4389,588,3775,1317,923,1142,1338,333,37,,229449,279095,258725,191343,200486,203742,189023,219462,185818,228317
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",0,0,0,0,0,0,0,0,3,1,,1774,230,244,362,414,306,131,29,0,32,,34260,31345,28840,18432,25172,36367,31450,34415,30871,38522
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",0,0,0,0,0,0,0,0,1,1,,4470,12334,2397,7383,5647,9052,6395,0,9,99,,176254,209138,172507,142085,132075,171303,178515,189878,209491,221905
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",0,0,37,130,169,58,296,42,0,1,,15666,14867,12513,9275,4537,36305,26336,61780,62855,195799,,3192,1960,2249,2765,3406,3623,6285,6211,4920,8013
848110,Pressure-reducing valves,0,0,0,0,0,0,0,0,0,1,,2351,1529,1020,2306,2349,2977,1047,248,2792,1259,,79610,85039,75568,48539,57836,65323,75215,69864,73195,95504
848210,Ball bearings,0,0,0,0,0,0,0,3,0,0,,183,170,62,494,269,400,676,0,0,0,,125746,133986,153755,108887,124572,171049,178381,195148,189661,231977
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",0,0,0,0,0,0,0,0,0,0,,79,1573,2215,928,1347,612,169,3153,3536,4153,,23956,29702,34042,25781,30522,51198,50105,49747,43615,37311
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",0,0,0,0,0,0,0,0,0,0,,0,0,73,23,110,51,33,0,0,0,,13393,16451,14242,13372,20029,26799,24767,28006,29993,47312
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",0,0,0,0,0,0,2,0,0,0,,506,28,102,414,411,1334,791,0,7,0,,76616,84685,90926,73656,86151,109385,126098,117394,122019,146952
848350,"Flywheels and pulleys, incl. pulley blocks",0,0,0,0,0,0,0,0,0,0,,90,0,102,60,453,343,530,0,0,597,,80211,95180,90623,70359,86265,110888,125384,121454,120572,160990
848420,Mechanical seals,0,0,0,0,0,0,0,0,0,0,,1667,1223,452,605,1103,2284,1797,4479,2461,546,,37925,42521,40396,33582,38110,48330,58695,58729,59774,70212
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),0,0,0,0,0,0,0,0,0,0,,1917,716,202,614,275,754,791,392,2471,3292,,18582,14931,15016,10501,8536,11160,16288,21162,19817,32350
