Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,10969600,10753920,10661567,8524684,8565734,12828572,14316894,13760781,12886129,14947509,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,44440,33125,87865,170237,1639051,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,8713019,9600541,9996793,12039996,15918955
850760,Lithium-ion accumulators (excluding spent),65711,90368,236336,270121,457983,754351,770353,869648,966560,874877,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,565425,676968,1031521,1313127,1614343,2247410,2857808,3707772,6406589,10321283
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,90751,154134,246010,504326,835666,,0,0,0,0,0,421247,1092526,2353736,3904372,5649118,,0,0,0,0,0,619212,854430,1624813,4797368,8883204
847170,Storage units for automatic data-processing machines,24597,93946,109034,148720,224570,343469,488957,447571,665153,762319,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,4536304,4169253,4361677,4147970,3981074,4288232,4473312,4456792,4499308,4855114
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,225896,264297,296853,184266,136155,585133,967752,695251,765653,732456,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,3995623,4027707,4811422,3941190,3720491,5654679,6010004,5033156,5368966,5388664
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",661538,885208,814745,441931,346125,526405,401981,382160,340816,480646,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",29637,33465,35283,46451,41083,37354,34893,30402,668791,470344,,153117,183125,216800,230823,269492,404757,422980,253454,2173694,2046666,,2864257,3001228,3059353,2852498,2720414,2934306,3005129,2865580,4617220,6563330
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",200676,193668,146732,207624,250623,487686,386081,421568,332511,444533,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
999999,Commodities not elsewhere specified,94039,113010,105834,101438,128090,177220,547989,511029,295763,407445,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,1243661,1282890,1286643,868107,322348,,0,0,0,0,0,563925,1027716,1436399,2545997,2134286,,0,0,0,0,0,8326241,8711940,6497640,8143472,7225254
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",78169,23864,28037,19424,29686,36151,69900,135046,213600,318587,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,1023284,1094573,1148127,1090645,1230428,1362160,1201675,1210390,1191558,1352798
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",57580,69927,37721,26218,31452,80691,139999,139498,181100,260490,,885004,915067,773779,1042648,867201,1576505,2406340,2478119,1730813,2007666,,878353,1434049,1578856,1811415,2088034,3196459,5330373,5972224,4884814,4540054
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",457529,577994,667909,669394,518499,1031050,957229,665918,201874,245543,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",121384,136664,166411,124485,125371,148957,189520,170706,152645,203195,,2884298,2661989,2677039,2355158,2371175,2404509,2449409,2389231,1944390,2059200,,4889352,4830880,4779755,4053620,4260375,4408375,4677711,4227580,3799981,4324695
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,98398,56728,49729,72935,196551,,0,0,0,0,0,2697530,2472623,2690724,2529905,4674060,,0,0,0,0,0,742461,895253,1268273,2339682,3343930
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,58060,101204,158398,243855,188906,,0,0,0,0,0,482308,709433,939425,703974,1339762,,0,0,0,0,0,463671,409813,1992920,5492965,7466435
854232,Electronic integrated circuits as memories,83905,73312,77213,55715,64880,167900,328140,198431,119820,177924,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,1093770,1127882,1230584,1110474,1049982,1504847,1969514,1435166,903952,1043284
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",24597,27939,30840,30359,34807,45186,109561,163395,129201,166469,,713596,818509,802630,808049,703386,920309,1125920,1063452,1141967,1327971,,548335,598854,628107,589672,726455,876690,1382406,1530662,1130603,1633454
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",44807,46474,58241,51425,76448,110210,111702,116113,95306,148339,,485619,597123,675562,685957,771369,753480,832940,869348,810420,1658312,,2213763,2164025,2161282,1834569,2097490,2412537,2651415,2525270,2112023,2545583
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",446356,574896,481144,400824,470091,425272,285172,384020,213880,123447,,6034134,6151878,5560077,4646467,4481430,4579433,3585671,3045909,1978424,2951955,,15924786,15391094,16870714,16514710,18129770,19281934,18815793,20659114,16401272,12273049
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",105819,91308,77728,55677,113111,137411,276456,222572,231513,115595,,3878801,3791162,3419963,3633217,4164387,4613563,4308266,3512325,3110876,3052481,,7292980,3752771,3153258,2759485,2598046,2779541,3048930,3056328,3117185,3915984
711021,"Palladium, unwrought or in powder form",0,1531,0,0,1565,49,684,1483,14507,100464,,27312,40702,101784,137098,33983,2079,11574,52313,141335,536675,,899221,873002,992986,859175,868523,1773985,2397732,2980591,3325946,4688941
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",159885,136948,213850,74658,125080,123226,166701,146546,59465,90647,,27767857,27237499,27337065,24060624,22007933,19133730,19612091,19701460,15352522,16416185,,8869822,8494804,10377373,9689513,10859926,12806360,15507777,16039964,11635693,10001194
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",61555,77883,71783,81742,78537,93992,136477,118556,65843,86762,,591265,571259,595081,470997,398772,497617,729884,584140,403182,606042,,496761,441900,471545,462539,409374,492856,603343,543438,281829,363662
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",19286,27622,18180,18125,38395,65345,77401,83509,57995,86250,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,3788189,4076785,3987738,4136149,5082605,7112525,7609645,6397699,5156416,5495815
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",47443,85403,92571,89258,80029,85341,93267,122123,71805,76409,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,1031298,1048370,1142209,933959,913048,1000103,1097339,1035690,932582,1124222
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",89975,98519,100221,84952,72676,69989,69945,61065,47672,67764,,1034941,1048989,992579,848134,789778,935236,1131089,881483,742368,875376,,388964,404582,399638,331275,296216,301352,314940,274785,225233,287665
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,52514,55442,61376,55028,48521,52289,60465,50807,41799,64626,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,2174091,2603510,3137004,2857306,3112564,3562203,3664652,3249271,3086385,3399884
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",440,2,14576,9874,2242,110,624,4823,20863,64548,,8067,32765,30281,24113,22880,33468,42859,48625,65608,36238,,919612,1421382,1427375,1267944,1278240,1630023,2001056,2011546,2876911,4412991
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",67229,42203,57246,51681,55703,75685,59452,59751,57542,62918,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,23761969,26820702,22678918,13970891,12235047,14189323,17461245,17496797,10501298,13236501
720270,Ferro-molybdenum,5118,6090,17792,27329,30534,26942,39863,36768,16731,60847,,100675,94873,153332,147246,142743,208885,407709,426948,290234,544896,,356042,296063,334189,208135,160565,198309,264310,226942,138272,267477
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",35678,40239,55568,44644,59513,75095,77896,83436,51677,60116,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,903894,791027,964588,885029,1047678,1153906,1263224,1457815,1241215,1591463
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",7719,18737,36876,26644,26451,30656,39442,38673,34268,59661,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,968677,992638,1072859,921099,883505,1038258,1164047,1064996,949524,1374497
901812,Ultrasonic scanning apparatus,124256,134765,61454,44164,44258,53379,65150,64547,50491,59060,,420978,457050,468139,462686,478375,615883,689581,666717,580119,696123,,491042,486964,389770,319223,339370,334379,357831,354318,334621,361480
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",28210,41128,48663,48029,65993,59585,68146,67408,51907,58512,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
848210,Ball bearings,46386,43257,53553,51644,44307,51224,67765,76312,45753,57475,,340698,386636,415135,400556,449117,526304,608919,452875,385753,465784,,1773505,1872224,1955058,1598489,1697111,1871586,2082437,1788617,1452975,1869050
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",30075,38262,27587,27943,30466,30770,36541,36430,46696,56236,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,3873706,4246750,4750670,4228530,4389335,4859562,5329085,5271580,5295664,6478434
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",11539,48238,71856,100793,102292,98245,96448,97046,63705,55929,,869775,1076934,1328335,1584607,1548351,1575833,1699891,1796971,1022655,880922,,7374513,7355015,8033514,7543728,4722285,6846101,7908936,7007485,6464564,5419767
850440,Static converters,23699,23488,20800,17269,17147,19039,17995,14506,35664,53985,,825144,629962,609623,590316,564278,642611,751976,715934,792460,1005992,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",135301,221691,119044,67464,64859,169085,229338,266854,177152,53422,,4315463,5974465,6274632,6286163,5993315,5679410,5679139,5394697,5259587,4976938,,8462325,8394870,9367114,8448928,9736243,11562125,13570966,14061441,11155613,9554730
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",8096,4554,2149,3308,7595,10076,4241,60977,64871,50391,,75264,88143,93276,76530,84220,85330,90550,66932,50633,60655,,750182,882038,916645,778349,843603,912932,949989,933703,886219,970778
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",25114,35631,44859,44149,39555,42702,48511,44099,41412,49873,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,399100,464582,456384,408013,387884,433036,499192,461417,466799,532263
722300,"Wire of stainless steel, in coils (excluding bars and rods)",26113,26118,31682,25886,23267,37635,43178,36853,38612,46122,,216344,204932,219078,186792,189676,216640,226307,208334,190816,258336,,233743,230903,250754,201517,186392,226006,242677,211346,197159,303106
852580,"Television cameras, digital cameras and video camera recorders",32203,30756,39682,28322,36110,28552,48820,42685,39061,45677,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,47241,47520,42042,41498,44936,,0,0,0,0,0,540297,564558,388701,210424,339872,,0,0,0,0,0,1770473,1873425,1843675,2129341,2590622
847989,"Machines and mechanical appliances, n.e.s.",15515,14080,26144,20857,21223,68086,247879,350818,286178,43842,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",21120,22462,25883,21793,31328,27021,45992,42250,38710,43833,,1572176,1416517,1278119,975662,1003078,985315,975361,869635,807392,815802,,1898346,1885591,1855499,1441380,1526551,1493230,1579414,1422724,1280673,1597917
711031,"Rhodium, unwrought or in powder form",709,533,0,0,210,148,277,415,540,43410,,1977,7793,20661,18206,11614,950,4436,7852,115804,563984,,218557,139090,181657,143259,114389,209729,487547,897941,2288392,5047940
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",59841,31674,22754,21346,38113,54511,54504,45306,23526,42772,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,515466,509617,446967,368835,363412,504355,547626,417073,335881,620507
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",18541,20372,22385,23650,30727,43525,51639,46345,38495,41483,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,599045,631939,580067,536362,480969,587988,601079,541784,536921,675050
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",31542,36153,35139,34038,36126,36161,47458,39276,43306,40813,,131721,147973,171451,174704,201273,209956,230765,212528,204738,259290,,1489866,1457419,1585324,1395717,1502241,1706977,1991127,1831423,1659607,2095111
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",33301,27688,34001,28070,31295,34425,37370,36981,31120,38907,,312220,317317,346403,319962,334806,378007,420117,379068,317719,401453,,959964,946588,964815,776274,737064,788268,889213,788395,646757,861626
853400,Printed circuits,26744,24687,21659,18761,18981,26443,29281,33191,35477,37621,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,1832769,1863786,1957496,1832634,1944249,2070099,2195618,1981735,1772786,2268707
391190,"Polysulphides, polysulphones and other polymers and prepolymers produced by chemical synthesis, ...",889,208,6294,15998,22823,18116,26617,28970,22712,35602,,45983,52612,72200,98409,120614,145967,201212,209113,233074,336739,,309953,306925,357433,329229,359623,412756,479724,445415,369522,465456
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",13999,9867,9995,11093,10990,14675,21313,16897,14908,35320,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,1086680,1337603,1430192,1250203,1464562,1661920,1825262,1755093,1648274,2095096
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",52958,93262,98442,45621,34676,39091,72735,114818,96497,35158,,1059662,1118919,1348498,1436157,1405816,1409264,1525882,1892220,1621161,1569849,,3818469,3675550,3932631,3337936,3499906,3685295,4041239,3700733,2925090,3612638
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",1598,2051,3106,3500,10990,16424,23973,24145,26470,33863,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,1219409,1444177,1498554,1367840,1440036,1649887,1833142,1791663,1609789,1928745
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",13340,20209,28330,31989,33505,37822,13574,29798,18363,33713,,294711,280746,317579,298080,262939,307163,367140,290994,222731,468282,,224195,222351,218458,181613,176506,207254,193724,156541,118771,170126
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",36672,39664,48175,28287,32500,48518,45281,43225,31924,33437,,668122,663561,726809,546779,497576,509775,529020,490421,401629,463775,,424392,427334,428352,342441,341975,400149,438102,376776,303366,368557
722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ...""",7231,7457,10393,7101,11911,16973,21266,19129,24256,33312,,154892,169113,181024,171081,164840,415735,392626,241866,205990,277703,,553438,521846,608447,517996,507296,648472,726845,597416,555043,755338
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,21874,26274,30180,28362,36251,28719,31346,31677,31024,32787,,163776,183290,175916,165991,172789,166185,167388,165262,154798,194844,,599571,634763,649168,532629,525064,543364,525057,478262,453343,521812
845710,Machining centres for working metal,26269,20064,25058,31763,42077,42730,56549,52870,27571,32681,,601905,523880,505314,568571,444678,473472,682205,514495,342109,499379,,541435,502293,521481,464486,452099,478746,598459,508139,284701,300709
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",35665,33014,39744,29876,33512,40478,33589,30335,22345,32282,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,2032778,1851795,1903619,1603981,1591180,1830254,2248405,2228644,1825478,2379548
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",11401,15038,24668,22747,28591,32591,33710,34877,21384,31891,,210860,383261,351602,486302,594675,1087828,1231600,977954,964248,979336,,409191,402276,449370,456935,536303,596463,733332,724796,674513,906177
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",22349,22052,20431,14737,17764,21402,29524,23184,26253,29269,,2701856,4163027,3583937,2762632,706472,734940,969440,1022525,1157688,1172054,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,2161,10617,15178,17779,28602,,0,0,0,0,0,241366,293091,403644,655606,1228972,,0,0,0,0,0,453798,505636,483015,455638,744298
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",16925,18114,9699,8140,7476,12335,19542,26827,22083,28250,,561445,887956,883444,804473,1093640,1061564,1114232,1106993,914223,872708,,1955963,2199178,2428195,2071857,2344108,2422875,2530696,2238223,1946228,2002323
630710,"Floorcloths, dishcloths, dusters and similar cleaning cloths, of all types of textile materials",13271,11323,12158,12554,10623,14196,12868,13914,20181,28189,,50931,52440,54176,54844,49081,54645,56715,56083,65618,83705,,133000,137112,141829,133606,137000,150910,157396,161113,182989,211134
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",44855,40043,71825,72531,47621,31632,42970,27549,24322,27762,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,5939205,6304312,6504891,5738592,5775070,6303454,6759344,6405570,5337084,5841743
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,20208,19585,23956,10683,11619,15956,28349,28874,28688,27747,,1118574,1341762,1389537,1309271,1217012,1197443,1272251,1294301,954459,1254926,,2868233,2885354,3266007,2860370,2816989,2924777,3136240,3030646,2642402,2942966
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",27347,35534,46569,35113,28751,14424,10416,23316,23049,27725,,335733,405344,449818,418359,480304,495151,550927,611385,555282,692563,,351752,399328,503073,535449,601122,612195,662903,682711,676202,856903
390799,"Saturated polyesters in primary forms (excluding polycarbonates, alkyd resins, poly""""ethylene ...""",4109,3562,4334,3630,6190,14094,16560,13944,16371,27403,,620840,674673,623081,371251,297020,355498,354951,323580,303537,437728,,675436,717116,810106,697092,697961,860418,1007488,850766,865484,1199828
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",17385,15692,26609,25926,24812,39755,37703,31433,30648,27059,,274438,271587,350495,323721,285237,317566,316941,268905,280534,324295,,195562,195606,219581,215947,194058,201275,225231,189013,174555,172633
390210,"Polypropylene, in primary forms",10396,8410,2524,10748,17007,22332,21415,16608,16189,26983,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,1253908,1261298,1348947,1137936,1097047,1319952,1528802,1370842,1136170,1776845
841191,"Parts of turbojets or turbopropellers, n.e.s.",6325,9911,14346,12230,18353,11077,7306,13621,12316,26025,,165142,178745,186332,173884,150613,172090,194203,233712,195107,214599,,3443930,4622651,4435026,4416769,4585160,5026068,5825195,7172843,4119021,4893025
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",27868,18742,18591,9055,12141,16416,22800,19208,14987,26001,,1119530,1008547,1182846,1366026,1031405,929446,969933,766826,923952,1003404,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",118,335,2999,786,933,814,9048,90291,26747,25748,,870330,665946,621213,628201,568513,578790,954646,943827,843903,840427,,149244,155761,184421,162341,183095,253393,318786,488508,441083,798273
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),12768,16804,20344,25346,21987,38400,20438,19774,19576,23647,,211342,314557,407910,372655,432831,495855,631745,663178,670712,737840,,747196,920962,1156538,1175446,1374262,1664628,2000708,1903830,1592902,2005412
820730,"Interchangeable tools for pressing, stamping or punching",61539,41612,40689,28774,68989,62024,37273,40195,29730,23593,,771173,789785,959716,951945,924128,992845,1109868,1020994,1101072,833162,,561966,548278,577843,561197,549249,673794,633413,630095,484227,606664
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,6176,12851,5101,6934,3558,5552,3548,7608,3045,23237,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,844346,588900,349257,330877,346135,590062,477052,412420,572819,1024383
390710,"Polyacetals, in primary forms",13601,14490,18087,14726,15110,22394,24214,23478,16181,22875,,195614,192163,218352,208341,218112,244820,334514,308448,287554,418612,,143427,145505,148971,121558,120331,142262,156619,143640,119315,169718
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",2636,2798,3712,5306,14921,62960,19552,15474,33268,22634,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,1123537,913245,769514,638334,644433,983127,1041713,737117,558097,903189
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",36620,29492,26011,18622,19369,24905,30034,19393,16961,22116,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
902213,Apparatus based on the use of X-rays for dental uses,4304,3720,3274,8440,8546,10781,10673,12900,11958,21955,,91185,104874,126890,125765,137364,154494,200984,214452,176477,268485,,53489,48087,56772,57125,56999,64823,50398,54635,27579,36687
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",12549,15575,26633,24763,19484,31294,41698,21106,11174,21608,,245800,437567,476025,329801,274546,362434,552867,421779,380831,774852,,61048,38685,49399,49303,34336,65758,69690,49060,37212,85830
390730,"Epoxide resins, in primary forms",4899,6443,11160,14121,9325,14687,14819,9846,8773,21227,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,577716,580165,598867,511446,550566,596596,669749,570112,495309,698632
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",2470,2913,2942,3350,4024,5456,7892,9850,14383,20981,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,117451,123699,134877,144454,159691,166810,188338,191625,217355,241673
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",9475,14561,24392,11172,12633,11722,15688,14498,18169,20927,,196098,242158,261378,273294,238417,237559,222632,241459,237242,283707,,929828,1021654,1085224,1000249,1006800,1104646,1146534,996139,940004,1252184
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",8782,5960,7941,11416,13912,19348,22338,19696,9723,20744,,598442,666085,691813,572255,568720,670554,725738,627389,571049,884952,,377865,414450,363049,348212,349828,367683,383147,279822,238419,321899
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",28907,25093,24030,16794,18056,17712,20160,19172,16793,20596,,80247,79942,96594,110723,128682,143993,138846,139279,147650,185663,,155918,145316,157274,146505,156387,167701,175249,177410,176300,200464
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",4266,5685,4609,4083,5997,8447,23549,20296,10762,20432,,1593944,1305139,1149742,823648,816556,1092688,1073273,921805,701536,1119266,,449033,399299,375172,290964,282835,371101,372386,329199,257607,345036
722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn ...",6468,3161,10750,9762,6996,5136,33729,20159,10153,20363,,217528,189142,254803,161812,153209,223158,381301,330036,231004,352237,,716538,633925,669697,557847,496277,619978,828200,576565,407371,671846
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",7945,6509,11648,9613,12644,11545,15368,18587,19865,20350,,141966,157797,168037,183449,202271,207117,232573,257838,295246,354387,,816560,812535,833615,665636,698567,730590,909856,798060,788884,792854
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),15287,12456,15357,16932,24137,40379,42286,34197,30007,20145,,246362,290722,330034,320801,371353,365597,362438,349842,290006,350051,,1798838,1858094,1913647,1736267,1795853,2036686,2218093,2139903,2009083,2391177
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",11589,16742,16895,9090,10271,8441,11228,16954,16974,19729,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,3425792,3792639,3982430,3529437,3671361,3847111,4234192,4295513,4388997,4389275
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",61219,74304,99574,22755,42726,32313,35851,47767,117860,19665,,34479,139878,59694,123436,123139,137615,122289,202843,488677,422476,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
848350,"Flywheels and pulleys, incl. pulley blocks",13774,18153,22987,27672,29633,25656,25954,20814,17641,19555,,166591,200456,228378,245559,301330,301366,276053,256147,236062,279892,,789207,856101,948338,929836,919664,986052,1058957,948405,821559,878802
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",8226,8738,12160,9941,13358,15465,17569,15928,17052,19442,,205718,186063,217830,202465,209864,230391,254301,266416,298894,334185,,126293,142724,143688,136477,141170,132641,138646,145683,152835,163039
