Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",107,265,244,673,1540,1848,3191,4363,4579,4734,,33872,16124,21343,31826,26501,30363,37140,44587,48441,50449,,629765,700528,707934,700109,643772,670075,894475,1012895,1196145,952212
852290,Parts and accessories suitable for use solely or principally with sound reproducing and recording ...,30076,21863,16266,7375,8421,5408,11158,5570,3236,4730,,256791,211847,137641,103841,103613,103138,101047,74523,55087,64890,,244627,148436,98513,85869,82696,79412,98836,85313,45013,55628
380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,7227,5587,6215,3903,3687,5709,3170,2629,2978,4709,,24235,23857,20547,17782,17164,14982,12617,13569,16795,10977,,66738,80368,77509,59916,54373,84184,101927,104196,114393,114118
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",3436,4158,3856,4698,3089,3460,2997,2656,3347,4708,,47302,48672,46156,36491,38911,43934,44868,53997,53951,49476,,86702,85470,98459,92337,86709,94984,116545,105802,112943,144797
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",2678,2177,1610,3585,1648,1925,2364,2055,2015,4648,,27744,24983,23119,23739,25510,28330,32915,33598,29311,36113,,120581,146654,148299,152593,169635,164563,172492,170092,193149,250161
848049,"Moulds for metal or metal carbides (excluding moulds of graphite or other carbons, ceramic ...",21277,19170,22696,18391,26576,20353,24270,22353,6091,4636,,187458,176882,175613,121416,128809,154593,139927,144102,81845,83270,,67847,50708,77312,69738,60551,51219,59638,54484,31924,32778
846722,"Saws for working in the hand, with self-contained electric motor",2688,3000,3374,4013,7560,4694,3936,3462,3867,4623,,15222,13796,15095,13579,15957,20291,15309,14880,15007,20410,,499522,547532,577093,683829,710763,828713,877066,917467,1117625,1500498
283650,Calcium carbonate,3970,4639,4683,6585,7363,6617,6628,5492,4616,4617,,39686,34891,34081,32676,35125,35644,36493,36203,32437,33415,,27318,26553,29381,29026,29299,28653,29606,29263,27965,29622
850212,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",208,221,12970,11728,5800,9806,3997,2797,7477,4604,,82508,81700,75997,70705,66560,68621,58950,51104,47750,45044,,38745,52671,53103,40527,35047,64992,67277,44793,56540,51513
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",2173,2451,2539,3011,2850,2273,2303,2198,2153,4601,,10150,11299,14975,18877,18312,16234,19795,18230,22133,24397,,1005775,1097927,1143925,1247429,1602274,1629894,1728733,1926427,2050064,2830053
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",11752,14099,18775,9473,7406,6901,5689,5120,3715,4599,,121430,112059,132741,93952,109748,103723,95777,88631,73656,91383,,103830,98270,117961,115398,114177,115548,124264,85652,68824,85792
730791,Flanges of iron or steel (excluding cast or stainless products),15503,14117,9568,5084,6489,6577,6689,10046,4182,4581,,63833,52206,50211,36597,37434,45659,49981,55015,48251,58852,,391145,361101,340257,311435,200527,225252,425575,373193,187211,251758
731821,"Spring washers and other lock washers, of iron or steel",6463,5818,5027,4817,6327,5514,5689,6003,4021,4565,,33529,29127,25576,20457,19208,22232,25322,23786,20146,27631,,48877,51992,56240,54228,55023,64817,82731,77117,62262,77566
283321,Sulphate of magnesium,3069,2597,2337,2605,2969,3904,2956,3357,3988,4564,,5687,5078,5783,5666,7932,9637,8887,8920,9996,10802,,16669,18867,17440,15099,18242,17442,20448,20314,22208,27614
290611,Menthol,12756,11505,14253,9996,11584,12400,14600,10597,10335,4560,,56327,58055,53787,58099,51732,33593,39153,33162,28391,23091,,152302,115240,92415,78086,78078,75862,127191,117289,117348,86276
844240,"Parts of machinery, apparatus and equipment for preparing or making printing blocks, plates, ...",2680,3130,2261,2501,2133,3985,3552,4462,2386,4544,,12323,11807,12646,8703,8729,7158,8099,6834,5566,5991,,25822,23865,22229,30888,23687,30821,26277,22052,18634,20460
820150,"Secateurs and similar one-handed pruners and shears, incl. poultry shears, with working parts ...",1492,1559,1915,2449,2630,3541,3533,3750,3949,4541,,9517,8990,9589,10354,11286,12233,13541,14712,15375,16901,,38126,36490,42600,43541,37383,42197,42315,40621,50845,59634
391231,"Carboxymethylcellulose and its salts, in primary forms",2950,1769,2746,1325,3541,1942,3622,4680,9343,4492,,26723,21661,22468,20897,26438,28052,36643,37074,43916,53819,,168690,200935,206777,111983,82372,84105,89404,81069,79870,89331
291429,"Cyclanic, cyclenic or cycloterpenic ketones, without other oxygen function (excluding cyclohexanone, ...",1488,1101,784,728,963,303,962,639,4490,4488,,26530,13982,21424,17968,21781,19143,19344,19510,22217,26407,,94569,97809,111778,109650,110875,113722,112130,107962,110334,132072
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",5116,4085,3617,3611,4558,5009,5041,3512,3698,4480,,34576,40932,42312,41764,50711,52616,54048,48406,48788,60213,,51847,31995,36158,43676,39373,33410,38532,35190,29439,52835
540110,"Sewing thread of synthetic filaments, whether or not put up for retail sale",1339,2018,2515,2970,3031,3434,4038,4690,2262,4468,,35831,30379,30830,27011,31213,31944,30893,30894,23852,28444,,31851,35352,31007,38113,34304,31193,32814,31157,33724,38413
401035,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= ...",4986,3523,3736,3194,3433,2416,3357,5102,2921,4455,,83613,70908,75248,58466,60450,44359,42603,53046,42337,56910,,15046,13796,13565,13637,14827,14487,16982,17515,14735,19974
293020,Thiocarbamates and dithiocarbamates (excluding inorganic or organic compounds of mercury),1232,2784,3136,4194,5189,6181,4734,3400,2621,4435,,55726,50640,44447,42813,48525,45682,48174,48013,49553,51940,,31985,30138,25903,25785,25899,23703,29093,22552,22484,29658
390450,"Vinylidene chloride polymers, in primary forms",2904,3205,3159,3704,4140,2900,3419,4718,3448,4426,,64766,46998,41446,40209,38378,27297,30104,30200,28305,35371,,7941,10624,10014,12053,28920,35231,40366,39934,35052,43098
281520,"Potassium hydroxide """"caustic potash""""""""",1966,1109,1488,1355,1588,1737,3353,1843,3454,4409,,9542,7880,9363,9171,8828,8798,10139,7683,9903,11754,,28239,27781,27120,28686,27791,30613,30924,39175,32509,36545
841583,"Air conditioning machines comprising a motor-driven fan, not incorporating a refrigerating ...""",1609,8818,10857,7678,4832,10317,5691,5536,3899,4401,,12833,9903,9484,7439,7817,9077,5250,3132,3388,4336,,243380,238842,206947,223279,229096,269433,271213,288309,214631,302522
854330,"Machines and apparatus for electroplating, electrolysis or electrophoresis",18633,7762,2200,8629,6439,14715,25408,4454,3936,4400,,129331,124191,136477,129586,165953,164259,187672,174408,190039,214699,,80481,57997,63941,73776,95425,113527,112067,90353,88340,93224
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",1309,2086,3350,4198,2718,3935,3772,4202,3282,4398,,1576,1331,995,1056,683,574,1044,742,591,1065,,19288,20394,41214,16670,24959,22125,20129,19899,17782,22502
853390,"Parts of electrical resistors, incl. rheostats and potentiometers, n.e.s.",3471,2015,2400,3651,4210,4451,3886,3041,2103,4394,,107316,77940,70937,57287,63395,68293,79548,67855,72672,80324,,50593,53279,57667,62739,65587,52654,51499,24873,24660,30708
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",6884,6662,6232,6641,6961,6758,6047,4462,3451,4390,,79835,27129,62976,30185,27437,27443,53574,30838,47140,22279,,63908,63028,71669,107310,83550,89567,94136,76604,63612,72158
392061,"Plates, sheets, film, foil and strip, of non-cellular polycarbonates, not reinforced, laminated, ...""",5750,2624,2540,3061,2490,3143,2598,3342,4152,4375,,217937,168324,151868,108308,107162,130670,143489,142671,129384,138721,,66083,59051,72684,78712,78135,92867,91306,89944,169208,129619
210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...",1025,756,879,746,1544,1373,1046,1579,2478,4374,,7602,7690,7583,7777,8439,10732,16563,14679,22573,20519,,173808,169051,167654,168367,183873,175608,168841,190056,204650,223343
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",376,1398,665,100,291,290,2074,7923,5597,4372,,113273,117308,258224,165454,76230,90555,104988,114091,115489,164953,,1050346,1046488,1045825,771962,707549,836964,1168946,1148502,974606,1796703
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),8784,9237,8666,8454,6640,4432,8462,3812,4855,4367,,54646,53648,49084,40149,43931,48512,56426,49176,51707,60529,,91111,103023,100781,87037,87125,90682,122399,110675,81567,101323
340219,"Organic surface-active agents, whether or not put up for retail sale (excluding anionic, cationic ...",5188,2943,3677,3737,4363,5342,8706,4704,4255,4338,,25002,22453,19597,14168,14110,14464,15425,14364,13956,15409,,38731,30110,29223,29573,24490,24237,30094,25689,40710,53022
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",1651,2016,2003,2410,4575,5349,10000,3902,1930,4337,,25878,24232,31069,26909,31258,26517,28336,21489,24518,31859,,63537,42475,46392,64258,36529,55943,70017,57456,53067,69286
591110,"Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, ...""",8053,7364,6940,6102,5755,4694,4406,3932,4796,4295,,11256,7654,8215,7098,5746,5632,5217,4950,4376,5984,,71024,65493,70701,71468,67431,64198,58232,59137,62033,70647
392079,"Plates, sheets, film, foil and strip, of non-cellular cellulose derivatives, not reinforced, ...",4843,5088,5009,6099,3943,4838,4978,4179,3443,4284,,52296,48475,37133,27767,19962,20750,22650,18540,14880,20509,,28204,30053,31373,29826,29702,29935,37622,34394,37997,47858
401410,"Sheath contraceptives, of vulcanised rubber (excluding hard rubber)",5696,4702,2939,3123,4369,4436,3780,5045,4615,4271,,14817,13173,13243,21696,30723,34717,38012,38581,34276,36253,,36143,32022,32562,28113,37209,28198,30977,48417,56685,54391
370254,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",13870,9225,8055,6731,5943,5840,5256,4615,3936,4261,,29420,23104,18030,18797,14671,11753,11223,8716,8586,10696,,30100,9475,8347,7102,6304,6170,5487,5053,4201,4981
160432,Caviar substitutes prepared from fish eggs,1505,1104,1191,1280,1818,1497,1827,2789,3811,4259,,22595,23699,22165,22301,25719,29042,39102,39349,36312,59867,,10045,11281,11372,13262,15075,15504,19234,22938,16587,34667
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",5930,3808,4270,4597,4496,3378,3250,3017,3070,4244,,12599,7855,7695,5774,7656,7671,9508,8956,6955,10789,,30288,54347,70797,83385,72102,73910,86210,55414,43074,93821
900640,Instant print cameras (excluding special cameras of subheading 9006.10 or 9006.30),421,492,1221,7750,4197,4575,2516,1136,2677,4233,,1057,2453,2849,3423,941,953,661,645,844,1378,,8209,18219,31675,77113,157494,212386,227785,158917,129798,153448
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,806,735,661,731,616,805,920,1005,2646,4231,,14599,13659,13922,14757,16090,16993,16989,17171,13721,15337,,616364,641604,671155,699831,712482,738324,824798,814783,864243,977155
291219,"Acyclic aldehydes, without other oxygen function (excluding methanal [formaldehyde] and ethanal ...",4455,4241,4687,5753,6846,5489,5082,5122,3408,4231,,33543,40560,50465,45202,48855,44985,40092,43231,38979,40834,,64486,82945,104659,94391,86323,88281,96964,98645,67042,91357
120991,"Vegetable seeds, for sowing",7590,5612,5546,4017,3756,3353,3021,3208,5235,4230,,91575,92873,94418,95641,101593,97610,77368,78505,77894,60692,,370091,368189,389711,378142,370403,389229,399780,371522,306775,385228
902131,Artificial joints for orthopaedic purposes,2465,543,691,570,565,1219,1042,2622,4121,4220,,4027,4973,3698,4659,5568,5186,5066,7051,7640,7973,,1490036,1499203,1548111,1755351,2016024,2351069,2743718,2915330,2483542,2671876
732219,"Radiators for central heating, non-electrically heated, and parts thereof, of iron other than ...",4964,2960,7240,7385,1924,2819,3929,4092,2849,4190,,1134,1792,1327,1638,1067,20,97,157,19,28,,18287,15225,22926,20593,12025,15628,17495,20936,19686,17287
960860,"Refills for ball-point pens, comprising the ball-point and ink-reservoir",7107,5191,5478,4684,4536,4875,3825,4648,3666,4190,,59360,55304,59527,58095,71445,73193,71345,72879,69525,92674,,19500,15993,16644,15176,14157,15412,13666,14767,12170,12809
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",2906,725,1046,3240,1499,1102,722,520,527,4188,,312405,277480,291164,272510,248685,274198,324816,312731,257498,356246,,269793,185187,299640,253997,192550,193677,149101,82637,62595,282656
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",676,1235,1261,1528,2261,3239,6002,8112,3367,4165,,43966,44259,51723,79182,193861,313250,391723,319535,310657,305523,,194070,170975,143406,155255,147077,131715,156392,158731,158026,208089
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,11705,11261,7967,11938,4165,,0,0,0,0,0,485123,399600,276854,273021,385068,,0,0,0,0,0,338024,525936,243825,248976,840195
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",173,341,500,457,995,393,5566,3761,6496,4158,,2589,2173,2026,1405,2472,4423,8848,7222,5993,7255,,1961435,2085433,2193858,2092284,2099546,2369665,2523889,2472305,2139711,3091965
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excluding rubber compounded ...",193,261,196,1521,1482,2650,4345,5959,3596,4157,,23854,16004,16130,13191,14345,15506,19941,19356,17479,20256,,56956,58178,60956,50949,37113,45140,55608,56381,41185,59321
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",733,711,864,858,815,557,537,434,245,4130,,13659,10557,10036,8310,8652,7822,7784,6818,5109,5579,,37785,52661,56797,55494,59951,61363,73682,80717,70853,81733
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",2489,2720,2773,2361,1719,2149,2948,4228,2791,4102,,22678,20371,19973,15468,15788,19106,18897,18941,27909,29406,,106909,120963,132965,142033,153594,145387,160038,175649,206636,223453
853661,Lamp holders for a voltage <= 1.000 V,2985,5913,6083,5236,4201,7457,7617,7185,6328,4102,,2923,3509,4652,3694,6707,7941,11351,12465,12461,13680,,103999,95715,86932,83777,78927,78259,79534,68430,58200,62007
842820,Pneumatic elevators and conveyors,13660,17601,14585,3047,6364,3020,2173,6896,11637,4101,,12019,4753,7906,10553,11922,3184,10378,3240,1891,1815,,120281,143238,95590,101015,107918,143571,161143,154512,154388,156193
830250,"Hat-racks, hat-pegs, brackets and similar fixtures of base metal",13198,12140,11811,8405,7989,3859,6601,4987,3159,4100,,13312,9449,10152,10447,10313,12762,13574,8425,7712,7667,,752067,806940,838907,899569,910791,973719,1118968,966991,1122848,1273396
810830,Titanium waste and scrap (excluding ash and residues containing titanium),15632,7035,11705,18646,10500,14137,17524,22062,12033,4097,,21985,13647,18181,20682,16576,23706,25266,30840,19441,18322,,101239,66234,103474,127708,80337,100334,120029,133929,71535,48624
731414,"Woven cloth, incl. endless bands, of stainless steel wire (excluding woven products of metal ...",2485,2290,2675,2392,2592,2993,2591,2149,2014,4090,,50663,47628,49814,46958,48597,48152,49368,50877,61032,70293,,79577,74459,74616,67836,56053,71000,95348,80717,77994,88514
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",8152,9827,11130,8966,6676,5940,2790,3236,4534,4089,,278522,372563,352231,492701,497023,568420,548679,629600,631063,882434,,305367,296998,295168,243666,239256,257926,273173,282073,272991,438891
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ...",603,135,372,311,169,1580,3382,2271,1576,4086,,22436,25417,26122,17609,20130,23749,27135,22385,20054,29342,,82849,66125,77775,39674,45829,66402,102555,82216,68041,83019
722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished ...",1559,816,1579,2007,5546,5466,6404,6389,3454,4083,,117315,100413,103111,87347,103099,124450,126548,106450,71952,126223,,411143,305979,344856,286408,184324,203099,252402,222996,146576,202967
820320,"Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, ...",2623,2361,1627,3477,3190,2934,3981,3216,2669,4074,,27552,24207,25402,26255,27514,30208,28964,29140,25918,32389,,210222,200865,210939,232718,231634,232302,279769,267041,258510,322839
854411,"Winding wire for electrical purposes, of copper, insulated",3916,9354,8369,5330,4314,5950,4222,3242,2013,4070,,194537,136550,127887,107052,116142,126234,134503,129228,131941,165739,,445652,421638,405552,355182,335914,417697,463871,434646,404233,625392
400811,"Plates, sheets and strip of cellular rubber",10441,9639,9334,8421,7695,7801,7309,4757,3404,4044,,51009,43002,45615,41880,40655,40315,38583,37799,35627,44102,,31110,28550,36592,40877,49576,47024,56901,62782,51656,72169
847740,Vacuum-moulding machines and other thermoforming machines for working rubber or plastics,6977,386,4267,2888,5881,2484,3210,3819,553,4030,,65022,39794,31976,46495,53645,56327,45343,34122,29534,30440,,53434,55351,46726,65871,81092,79627,100965,109892,91916,75987
961590,"Hairpins, curling pins, curling grips, hair-curlers and the like, and parts thereof, n.e.s. ...",5760,4413,3313,3917,4600,4028,4309,4246,3454,4023,,6500,5952,5645,6148,6824,6248,5364,6280,4689,6249,,89527,83172,74504,80714,73998,68855,73255,71725,63672,88099
400922,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",3898,3072,2850,2942,5171,3998,4153,4527,3115,4018,,15050,29575,13258,10915,16941,15419,18473,20246,16067,21371,,61182,67886,74747,76717,70518,70111,90651,102252,87498,125121
940130,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",220,258,498,2205,1390,1781,1367,5867,4050,4006,,16113,15420,17010,12071,9485,11406,10674,13047,10289,11648,,940742,1014184,1088047,1141221,1116008,1170843,1285304,1208954,1491407,1643739
846029,"Grinding machines, for working metals, metal carbides or cermets, in which the positioning ...",26042,4395,7628,4196,5369,1005,6526,2060,94,3996,,108221,54173,55260,36413,37751,32049,32996,31985,21464,15952,,43912,30187,19181,15201,28659,20834,27307,14901,12627,20123
701710,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, of ...",814,1030,1379,1738,1660,2287,2987,2849,3232,3995,,51861,51496,51814,46101,46524,56096,66220,61694,54732,76684,,26230,33477,33562,31144,34034,38048,46549,67691,70178,77214
902480,Machines and appliances for testing the mechanical properties of materials (excluding metals),3961,3891,4913,3717,5940,4056,5672,5601,3780,3984,,64309,60097,66495,49045,46373,49752,54138,58946,43246,42290,,64963,75287,69025,72228,77412,83766,88905,92783,70721,84187
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",685,1477,798,1461,1127,1757,3796,17405,3396,3970,,3565938,4523492,5177993,4851998,4284584,3182419,1803428,1236701,524288,380005,,1344791,1236603,924286,1115531,735083,803299,654836,434244,98164,48337
30499,Frozen fish meat n.e.s. (excluding fillets),1790,1782,1302,454,842,1652,394,472,674,3969,,8030,3863,3722,2781,5367,5929,5624,5716,7677,10222,,91862,41415,31003,30419,39707,43985,50607,48069,31815,48287
293139,"Separate chemically defined organo-phosphorous derivatives, n.e.s.",0,0,0,0,0,1488,1253,1197,2107,3968,,0,0,0,0,0,8223,12504,14002,13540,17565,,0,0,0,0,0,148211,483441,475291,320398,831114
851610,Electric instantaneous or storage water heaters and immersion heaters,2137,1179,1129,1930,3192,2656,2023,2502,1542,3962,,4397,3788,5044,4779,7987,10066,6481,9061,7553,7705,,313250,334694,421332,512973,504620,548294,618875,612110,627465,702952
591000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",5929,5434,4959,6120,5065,4018,4667,4589,5541,3957,,37813,34099,37031,27991,24296,23980,27715,32810,34359,41814,,55733,58990,63951,63045,70199,68988,78992,75486,62877,79108
401150,"New pneumatic tyres, of rubber, of a kind used for bicycles",1482,1457,1336,1605,2004,1817,2064,2637,3063,3927,,3858,3295,3106,3521,3584,3471,3698,4656,6685,8739,,79231,70739,74569,83316,70773,66627,79326,64491,76429,108600
851981,"Sound recording or sound reproducing apparatus, using magnetic, optical or semiconductor media ...",36059,8567,5277,13998,8323,6437,3931,4448,3233,3907,,53379,37613,37065,48525,59240,54682,56908,44066,25612,24934,,688135,715708,883881,806700,842447,787035,762353,780916,812669,976958
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",4561,5387,4073,2437,1732,1774,2579,3051,2727,3897,,435514,368278,313828,258090,253476,295213,296826,252632,286131,446231,,677105,1279410,685566,256327,399446,292321,235135,192009,871949,1056126
740710,"Bars, rods and profiles, of refined copper, n.e.s.",4383,4012,4483,3406,3309,2867,2990,3715,2108,3883,,56081,47946,49845,45076,49030,61595,62803,59724,35747,86481,,232478,228650,229654,164448,123173,158039,197420,169977,138042,220020
680430,Hand sharpening or polishing stones,2963,2481,2361,2817,2744,2767,3146,3001,3333,3874,,12201,10302,10789,10916,11630,12520,13505,13559,15651,18455,,11803,12539,12906,15510,15595,16712,19720,14387,17779,21125
852719,"Radio-broadcast receivers capable of operating without an external source of power, not combined ...",1858,877,960,735,474,277,89,513,359,3863,,4497,2097,2018,1698,1595,822,1180,1054,838,2394,,132323,121927,103510,96924,83637,108075,143764,138162,174954,185657
841790,"Parts of industrial or laboratory furnaces, non-electric, incl. incinerators, n.e.s.",5845,9672,6649,5061,13990,13574,6093,4222,2775,3838,,158597,114352,100694,95568,59266,71170,104543,108057,149133,81440,,166753,145086,185721,197836,194469,143429,161718,203844,162648,186515
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",7984,8795,8563,5049,6156,4985,4661,4295,2979,3807,,47776,31967,33795,23036,21879,24523,22214,24922,14904,20713,,107924,123357,95368,76130,62471,61275,43329,38356,51832,50942
740721,"Bars, rods and profiles, of copper-zinc base alloys """"brass"""", n.e.s.""""",935,451,832,567,461,3094,3209,3490,2338,3792,,192413,203877,195051,149089,133582,150061,157937,133657,97728,196646,,169191,188417,172662,134604,88210,128175,135985,107050,85849,158177
282540,Nickel oxides and hydroxides,2540,3118,4306,2843,3478,5888,4290,4400,3423,3769,,24305,30292,35118,40872,40520,48522,59304,45296,32504,48092,,10481,11947,12678,8649,7746,12797,10198,9293,7607,18324
820340,"Pipe-cutters, bolt croppers, perforating punches and similar hand tools, of base metal",4538,3722,3141,3180,4043,4167,4132,3497,2926,3745,,22075,14726,15904,15589,16764,15595,14202,14699,15567,17220,,66694,63649,65047,61709,60433,63498,74540,67919,66511,90645
901780,"Instruments for measuring length, for use in the hand, n.e.s.",2151,2010,1923,1570,1561,1187,1548,2044,1991,3736,,13112,12598,13633,11700,16277,9269,8951,7355,5415,7189,,136424,145718,148418,148198,148439,163365,177754,164950,166151,224801
291570,"Palmitic acid, stearic acid, their salts and esters",1887,1426,1995,1671,1849,1787,2061,2348,1758,3729,,20246,14397,14218,13855,14276,14966,14447,13407,11917,12205,,86937,74330,74595,72402,67189,84328,90815,79432,99406,136957
290613,Sterols and inositols,4492,4599,4426,5358,4171,3844,4193,3885,2875,3709,,17914,13893,23842,21862,20060,21954,17288,17485,16480,18656,,25199,29320,31171,27982,20350,26571,26749,19254,22066,76418
160415,"Prepared or preserved mackerel, whole or in pieces (excluding minced)",1584,1339,1577,1719,1960,2020,2121,2791,2440,3684,,23225,16475,17624,12368,17082,17172,12634,13886,14429,11337,,40724,27925,30091,35656,34623,37085,38760,44334,52675,51674
420321,"Specially designed gloves for use in sport, of leather or composition leather",2316,2664,3969,3603,3373,3480,3975,3910,2807,3678,,3466,3900,4852,4972,4638,4963,5462,5327,4947,6444,,236128,238168,220086,248069,200499,209801,215597,235033,180917,234479
870911,"Electrical vehicles not fitted with lifting or handling equipment, of the type used in factories, ...",1680,648,1390,1036,2264,1643,2203,3208,2603,3666,,14372,13350,18084,16908,18692,18309,22038,29582,22821,11323,,14662,26437,27580,29632,34291,31589,29976,56193,81046,53563
30235,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",491,391,735,1539,2384,3795,5006,4454,1795,3661,,2813,2623,3764,5059,8351,10656,14412,17418,11649,22088,,14713,20040,20900,22022,28252,40694,50638,58554,37318,80962
401033,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",4336,925,1871,2489,3512,4119,5437,4784,2803,3661,,8484,7049,7440,7054,6712,5969,5883,4458,2787,5045,,31326,24982,29833,32460,31114,29100,35137,34676,26581,31377
740829,"Wire of copper alloys (other than copper-zinc alloys [brass], copper-nickel alloys [cupro-nickel] ...",6514,1922,2425,2165,2387,2269,2931,2429,2008,3659,,27018,24860,20579,21926,24858,35099,31792,37744,39311,50565,,81420,55440,60870,66740,54597,65948,73090,66448,48709,71711
721250,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",26173,13736,11723,14784,6713,7078,4519,4393,3840,3652,,152329,85997,81144,74007,64666,70960,56131,46788,40070,60090,,45080,31968,34309,46423,44873,34051,27416,12627,17134,18797
960920,"Pencil leads, black or coloured",14390,7255,7155,5983,5625,6692,5344,5339,4205,3640,,17555,15480,15708,15110,16018,16609,14704,15693,11888,14816,,19488,14949,14333,13854,13937,11041,9487,9124,8553,8992
820551,"Household hand tools, non-mechanical, with working parts of base metal, n.e.s.",4616,4243,3687,3410,2756,3048,3353,3542,3815,3636,,7918,8585,9763,10595,14099,14058,13871,13630,14599,13470,,241406,257018,259690,285319,248369,243991,269862,208070,256693,286855
811100,"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ...",162,865,1807,1523,1568,2578,3131,2387,2184,3623,,3348,6072,6820,4016,4591,4988,4680,4556,4583,7950,,132153,106807,96710,74617,50402,64028,61998,92186,57604,117367
970500,"Collections and collector's pieces of zoological, botanical, mineralogical, anatomical, historical, ...",556,1223,2324,2470,4298,5359,8021,4980,5919,3579,,2621,1947,2784,2959,3545,4502,4663,3673,3657,5837,,175052,266133,324142,344182,385445,329420,374242,513838,389644,509530
950632,Golf balls,13970,6569,3369,2518,2142,3061,3255,4429,3239,3579,,28099,20250,13153,9851,10670,12747,12760,14718,16466,20971,,202775,213052,167912,177867,163988,165560,196522,219864,204254,304749
400291,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",515,541,318,395,226,232,462,904,1755,3576,,99643,88211,80916,80816,75982,93526,95744,106524,101515,163095,,13847,11027,9274,8820,20747,20921,23421,19410,17719,43697
847350,"Parts and accessories equally suitable for use with two or more typewriters, word-processing ...",3210,5536,2907,2068,1998,2976,3081,1972,2385,3571,,723,686,1025,656,1401,1335,1975,1929,1782,2480,,233240,173923,121795,154425,152711,129482,106431,54265,56060,72704
