Product code,Product label,India's imports from Germany-Value in 2012,India's imports from Germany-Value in 2013,India's imports from Germany-Value in 2014,India's imports from Germany-Value in 2015,India's imports from Germany-Value in 2016,India's imports from Germany-Value in 2017,India's imports from Germany-Value in 2018,India's imports from Germany-Value in 2019,India's imports from Germany-Value in 2020,India's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",50748,22102,9461,16194,4094,18353,28998,39981,7969,38102,,276864,223493,248873,215744,193825,242799,234539,193633,134511,308627,,239957,220571,188306,169702,175654,290758,332887,307297,171518,454786
903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",10916,16565,26638,23613,19958,25191,39272,37606,33247,37967,,643561,641506,597804,462291,440370,486934,494292,448436,404289,444069,,130137,137513,189259,209395,198717,215818,245069,218205,181012,226334
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",40957,33961,41650,45878,46517,56103,61126,39203,28730,37494,,2482008,2635552,2828491,2441844,2503823,2757445,3031201,2838898,2616208,3105743,,276712,265107,292263,322605,331395,386599,452759,402683,268405,369172
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",33154,38804,36001,30834,30515,38645,49450,32361,22354,37399,,1716763,1763621,1903908,1567007,1596444,1808664,1990980,1851028,1765622,2291649,,103920,113798,124757,129716,101785,98487,130195,112992,85001,147572
845522,Cold-rolling mills for metal (excluding tube mills),3967,3715,147,3862,566,1220,32105,5754,22322,36402,,35730,132193,99859,85892,17698,104903,96158,92816,121215,25172,,96692,28190,18603,13604,9742,14424,86901,69286,35823,64971
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",24944,11849,15127,18801,23369,20629,26768,13979,10304,35066,,1874679,2002787,2214012,2112901,2112295,2774923,3298780,3196850,2755746,3255191,,688344,780456,922266,1345915,1178434,1404615,1806513,1822917,1681072,2119773
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),11426,12902,16228,17083,17699,22017,26178,25062,25836,34612,,2556749,2994102,3410999,3149449,3449568,4205712,4761980,4442795,4405465,5478118,,238974,208154,176442,180588,201342,228838,235610,259824,255917,324457
847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",16283,28568,14481,15503,11099,19509,29830,15227,16187,34481,,1245997,1170841,1171668,1058866,1045531,1207732,1363219,1468772,1423109,1581254,,79661,66150,77558,67365,64385,81169,90597,92313,82294,140695
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",26673,37273,32057,30114,27358,28062,28287,25733,18480,34350,,2392185,2473278,2386859,2096044,2060302,2404769,2699909,2415358,2262790,2991929,,221381,206602,235385,245373,244963,287373,313160,282599,214027,325687
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",108284,56923,63477,53453,65466,48950,32753,24109,28273,34271,,2347244,1848906,1858782,1577639,1586084,1587691,1559354,1524910,1801841,2141291,,553160,433973,409239,464141,648385,478337,446411,589895,418893,543457
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",36406,38610,34737,36639,38398,18806,29513,24356,12852,33334,,643125,742624,724960,564766,541495,664762,708882,713545,725885,800907,,142985,107921,110829,108619,111711,112783,173611,121689,77989,145720
722840,"Bars and rods of alloy steel other than stainless, not further worked than forged (excluding ...",6258,5515,9399,16291,25311,28754,31559,18592,16335,33183,,373235,351316,371115,333037,316499,342859,352194,311779,309735,326092,,38639,34088,39596,47800,58963,67769,85994,63336,45821,69651
848280,"Roller bearings, incl. combined ball-roller bearings (excluding ball bearings, tapered roller ...",27888,18483,19374,14805,17561,16442,19569,18073,13395,33095,,253568,163476,171559,137253,141827,165614,179625,163847,127552,172218,,121651,89008,96388,91141,89351,89421,101704,94118,81749,119542
901180,"Optical microscopes (excluding for photomicrography, cinephotomicrography or microprojection, ...",13634,19173,24004,21878,22029,27704,35669,33689,28223,33022,,335963,360267,342168,289376,311436,316987,305455,334630,296889,394794,,50413,43276,54140,44907,50049,58373,64049,64105,43763,51195
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",33088,32709,29627,29763,30636,40275,51821,34551,25099,32933,,1073181,1093286,1157116,1027358,1100560,1301532,1415430,1322991,1148597,1306197,,232754,191592,199758,213670,178002,258497,287327,192959,216681,209301
844839,"Parts and accessories of machines of heading 8445, n.e.s.",27090,43547,37348,36697,48231,40304,46096,33993,20434,32884,,188457,217699,221150,217427,220455,200121,226913,200038,178946,178009,,95474,104998,79340,79644,95089,85777,96349,87400,50691,80734
844820,"Parts and accessories of machines for extruding, drawing, texturing or cutting man-made textile ...",3939,10425,10387,10514,15163,19394,27097,18590,9141,32703,,98825,88446,84114,59057,80012,102763,120941,104074,87468,106756,,26667,63940,56929,64845,66158,78813,74644,52531,36675,84733
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",61498,24494,60782,37939,24314,26292,31320,24948,25873,32668,,6072160,6621859,7491329,5751793,6542986,7683547,8041121,7290779,6588338,8114264,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
440712,"Fir """"Abies spp."""" and spruce """"Picea spp."""" sawn or chipped lengthwise, sliced or peeled, ...""",0,0,0,0,0,7356,14075,23273,26117,32408,,0,0,0,0,0,1143455,1406056,1348020,1661096,3063085,,0,0,0,0,0,16944,29394,48632,52920,54030
844400,"Machines for extruding, drawing, texturing or cutting man-made textile materials",15939,36888,4625,4836,15802,39465,67058,9908,2244,31931,,373857,348325,283677,159021,192321,356816,482366,385906,352801,540900,,118852,94800,25696,26900,31509,84427,153750,51338,27655,60338
902710,Gas or smoke analysis apparatus,10534,12819,9489,9585,11084,18865,21928,25512,23047,31862,,1257389,1462203,1545750,1529645,1689581,1998987,2182794,2024595,1817832,1958077,,65826,57065,64249,64778,65573,86554,95875,126680,127940,166787
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",31243,30207,27338,24297,24507,28146,38953,31633,31499,31688,,865812,866621,841662,674500,667958,799884,781355,741675,748750,876652,,150878,150848,133695,141445,139684,162548,175102,162763,156239,145637
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",8321,5862,8560,9417,10692,10769,10189,9301,14061,31617,,403574,434226,467210,447832,462842,459190,504575,469656,577146,736548,,66236,72291,83548,89236,99019,104175,131815,116303,122395,167513
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",18532,18696,16935,13010,12141,13568,16660,15946,15754,31418,,665730,668476,698079,587009,613502,721048,877254,695061,602538,762555,,156907,137182,141454,137770,137968,161251,169668,132864,116195,180618
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",37489,37441,34011,38384,34299,30806,45568,41284,31051,30265,,1257834,1249856,1387258,1212412,1229323,1363731,1461976,1311386,1080052,1274079,,211986,160543,155792,150876,166061,175212,251359,209633,153222,193558
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",31487,35864,43629,52964,50108,28465,28755,29383,11480,29633,,3817638,5197248,6382323,5427739,4062007,3715590,3208240,2985040,2837955,2670177,,136918,147084,166840,183926,197969,183553,185079,194266,207438,212787
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",16498,21876,21333,19421,15177,21817,24113,24499,23175,29563,,1246703,1329427,1463164,1238342,1190034,1322280,1454385,1400872,1270002,1480213,,73481,77477,86700,82350,79079,103561,124204,116399,95324,136347
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",26078,30652,29901,26277,25935,28022,34735,36240,22264,29298,,597870,668083,736839,652422,682026,769428,835969,757484,719234,858737,,131584,134534,135447,126554,128472,136730,164279,164833,116538,165902
853620,Automatic circuit breakers for a voltage <= 1.000 V,19824,14176,12541,12919,15832,16492,26809,24338,21831,29264,,773773,765956,761515,633561,620484,678036,741088,697455,667390,780619,,97332,81128,69588,70990,78258,86397,112835,104336,90520,124660
