Product code,Product label,"Korea, Republic of's imports from Russian Federation-Value in 2012","Korea, Republic of's imports from Russian Federation-Value in 2013","Korea, Republic of's imports from Russian Federation-Value in 2014","Korea, Republic of's imports from Russian Federation-Value in 2015","Korea, Republic of's imports from Russian Federation-Value in 2016","Korea, Republic of's imports from Russian Federation-Value in 2017","Korea, Republic of's imports from Russian Federation-Value in 2018","Korea, Republic of's imports from Russian Federation-Value in 2019","Korea, Republic of's imports from Russian Federation-Value in 2020","Korea, Republic of's imports from Russian Federation-Value in 2021",Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",37414,41285,50370,59901,67087,70257,70117,77572,74507,71072,,7099,13211,15306,9680,10326,8660,8575,9845,10934,10979,,51319,57840,65915,73136,86332,90347,88170,97625,89005,82315
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",145572,43027,171107,20046,0,108,0,39248,13768,69890,,5072629,4036196,4157145,2436313,2534118,3619482,4508846,3151507,2167396,6101816,,1165523,849136,1102963,640959,637058,532476,723814,733616,370514,704409
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",38872,45378,42462,46246,49085,44858,48837,47353,42507,65686,,43270,64638,41218,68499,87966,54575,141058,135805,155832,247409,,42513,49862,44614,49939,53262,47404,55722,54001,49016,70885
760110,"Aluminium, not alloyed, unwrought",489063,258996,272669,179891,66717,102376,40830,216199,70244,59794,,4372859,4032722,3139741,3646592,2941809,3009086,3319005,3147661,2898201,4003172,,2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",27211,33991,34789,56101,39450,34903,52327,42340,43222,58900,,468035,544990,652771,672717,670288,700012,921694,609988,701550,862436,,336364,336240,378662,356622,305543,302472,354828,293730,250743,329747
720249,"Ferro-chromium, containing by weight <= 4% of carbon",56163,44183,42591,24422,31288,45647,63513,39109,25477,55245,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,100575,91397,86784,83181,80773,86976,88805,75684,49782,107147
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",89547,83398,75662,48046,51775,40754,46377,50902,33011,44703,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,384095,411945,364308,126347,85687,84420,67902,69490,56933,89618
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,14631,30170,36541,50737,43122,,0,0,0,0,593,1056107,1304947,1104328,1098211,1834822,,0,0,0,0,0,39626,76873,104686,134808,109594
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",718,929,1623,1437,382,2673,3052,3727,4884,42976,,123282,148686,93715,81954,219830,156162,404021,218758,255317,168530,,3041,6770,15739,19438,11434,20417,22656,30315,24358,45978
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",38340,28796,26274,30573,25470,37023,47588,31657,23294,39501,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,105994,100956,101718,127313,131872,132107,169204,169193,147888,152038
260700,Lead ores and concentrates,7458,20583,31936,21689,59366,75634,87440,48029,27500,38896,,434274,430608,471137,318710,425947,521538,549099,561126,489301,566799,,1820444,1329555,1533554,1149902,1597720,1603776,1524025,1365410,2009460,2372395
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving grades)",28701,30899,35356,29036,25129,28906,42847,31002,28562,37742,,193511,150212,170204,141157,147956,159841,292192,190753,152871,291830,,107670,120797,127860,107857,97269,114455,151377,120417,97601,143195
440711,"Pine """"Pinus spp."""" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,27592,30843,15724,12358,34808,,0,0,0,0,1410,2036261,2169531,2030060,1892960,2586755,,0,0,0,0,0,310087,324136,270923,220049,301724
280429,Rare gases (excluding argon),457,1892,545,1003,474,228,10098,12536,18209,34764,,41921,34002,31453,35823,21581,23169,31217,37941,41307,58132,,75704,82208,95517,116426,121836,120116,146680,172911,250371,311865
30339,"Frozen flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"""" ...""",27250,18791,17326,20306,25757,40865,46328,43565,28710,34133,,9741,6878,12173,18142,24330,28691,45421,35828,26109,13210,,63008,52866,53557,61399,57715,73123,83936,81578,58192,61574
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",109,0,0,90,1516,3689,6240,9103,18982,31458,,4703,7339,9456,14655,16280,9482,16799,29487,49016,51952,,116791,100624,101359,100112,120858,189342,260442,301573,315492,336098
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",2404,19899,0,17,25016,22018,105028,1957,9257,31317,,4476345,3469064,5387323,3862883,4170863,5730120,8321729,6315520,7853729,7173222,,1773167,1615625,1210249,1105412,1007087,956621,1001515,989795,968719,1345941
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,21288,28227,18407,12893,30916,,0,0,0,0,57,404880,427936,466525,512885,695061,,0,0,0,0,0,174560,168298,122283,114623,179819
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",11896,10627,28261,8272,43,13160,0,0,0,29870,,739331,732955,690229,450170,377224,671557,1045856,1063136,925999,1591614,,173462,226130,231085,86818,75990,120977,156642,121316,51114,128239
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",2634,3434,1549,0,0,2827,0,0,0,29065,,1379831,969016,1092201,728031,795127,779350,1275717,1300849,571441,786754,,247537,64572,130535,83180,136003,168446,141425,138963,40900,167060
282520,Lithium oxide and hydroxide,359,2,0,162,238,951,836,5779,15439,28747,,13027,7679,14805,12259,43992,62752,67276,78342,67990,79428,,10611,11522,18060,29474,91986,132537,229293,385497,439780,667041
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,180,37,676,252,4777,0,0,0,165,24193,,209442,175589,120307,103040,198490,425233,467386,176183,115198,95611,,1896279,1025909,1214331,1251022,1041945,995084,959699,849398,1921522,1937581
30353,"Frozen sardines """"Sardina pilchardus, Sardinops spp."""", sardinella """"Sardinella spp."""", brisling ...""",0,0,43,0,0,4,63,2025,14390,23934,,2952,4672,2211,1968,2738,3559,12437,23534,43752,63842,,6877,4559,6340,4255,7382,9270,7647,15404,31105,35729
440131,Wood pellets,6145,11670,5742,11296,14269,15509,10690,12852,18222,22241,,109024,124459,126659,99368,107949,142579,186434,266590,289030,289351,,18285,76462,323306,176963,172248,280433,521741,362283,329069,439379
51000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ...",5530,3334,5374,11010,15037,16776,14577,18527,31910,20591,,3334,5098,7748,11297,11875,13544,10129,15284,13370,16645,,21201,19153,15965,21796,26004,33073,45396,45050,51902,45163
30389,"Frozen fish, n.e.s.",32510,24249,36083,27780,19376,22312,24648,20316,22416,18706,,56114,50648,55025,40181,32877,39496,39514,33135,39457,32314,,524982,492015,513018,538653,582210,493114,515182,467749,431810,393017
50790,"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, ...",9030,10514,11039,9761,17938,14792,14430,13262,15437,18342,,6790,7265,8001,11287,12025,11109,10802,7064,4767,6117,,25193,28100,31243,32514,50357,43426,52595,47035,48175,52421
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes,27472,29483,24230,21561,20932,20788,20732,12951,8822,17714,,79227,77439,79401,58654,55677,63764,76369,58333,59308,65578,,192280,204470,178076,150464,143085,171376,227790,169612,113719,160925
30792,"Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or ...""",0,0,0,0,0,3595,1648,3449,3102,16830,,0,0,0,0,0,22298,26423,27662,24753,22474,,0,0,0,0,0,21065,16772,18152,14973,34437
260800,Zinc ores and concentrates,6274,9693,17428,0,14960,16195,2760,6736,11342,16407,,39038,36469,45168,53101,114876,187004,305536,211324,174165,323798,,1393858,1247851,1431653,1279082,1364161,2073346,2170306,1686573,1350980,2039407
720291,Ferro-titanium and ferro-silico-titanium,3189,1129,4880,507,37,2308,2122,0,5812,13701,,63784,39845,71672,54915,40880,47379,41842,47522,41849,75356,,11507,12949,21359,19077,12975,17609,19776,13528,9055,25778
847989,"Machines and mechanical appliances, n.e.s.",4,613,396,697,300,1608,1876,327,1191,11994,,117742,105902,70004,65243,108086,165675,176876,132679,133721,129037,,1969933,2256995,2784714,2649373,1641399,1309548,1233727,1238623,1137278,1418141
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",28411,38155,33555,20678,14545,21684,17102,15634,11559,11961,,309205,324501,262427,173365,179421,206957,232079,191589,181856,192882,,61057,68129,50305,32598,27145,31265,27303,24597,19863,28908
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,0,0,0,0,0,0,1271,7903,11557,,205081,225562,260085,253360,267748,338997,228429,261459,308729,486633,,2345,1696,1356,1418,2706,21817,24384,10754,12186,18903
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",0,0,0,3,0,0,0,0,1439,11201,,82660,146436,181224,98175,139822,872283,2798135,3983450,1454065,20641,,408077,394804,397124,262944,221715,283930,302956,206978,78532,212073
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",5751,4700,113,1136,2409,4577,4537,3679,3561,9920,,146753,159012,112072,140877,142912,139586,190796,112788,196595,318775,,50434,46043,49032,55314,52978,60748,66205,56933,42268,54509
30351,"Frozen herrings """"Clupea harengus, Clupea pallasii""""""""",5448,12210,12599,2262,2786,3469,1800,7891,6224,9806,,170275,198925,127404,96539,73110,119986,127343,123965,138713,115685,,5643,12403,12765,2522,3085,3987,2064,13130,9530,10482
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,1989,1366,2559,2098,9440,,0,0,0,0,63,14964,30129,79723,72965,53592,,0,0,0,0,0,192432,354405,307989,349855,258643
120190,"Soya beans, whether or not broken (excluding seed for sowing)",26,131,96,457,370,920,8422,6112,5329,9371,,35134,26136,23671,118827,132722,167096,291406,276842,414955,402677,,726182,738079,801666,642878,596775,592448,581865,556770,604157,744331
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",8544,17951,14778,7189,7494,6943,8981,9920,7447,9355,,193925,231500,216347,165473,216763,231029,255151,255216,181169,272681,,1581279,2057939,1980838,1924783,1715645,1760895,1865753,1848774,1773763,2096895
810820,Unwrought titanium; titanium powders,368,2009,6812,2899,6537,17455,14967,12246,13569,8972,,85982,86449,79328,52797,45303,59849,70317,62514,39979,49152,,144207,65916,39358,25000,34342,56801,57508,54581,59382,67433
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",6394,4351,4959,9600,7806,9037,11446,9981,9922,8893,,214541,197878,224063,223240,240881,321640,366609,348983,323285,333393,,377061,425970,510854,621919,631161,713003,858133,868101,835532,974106
720250,Ferro-silico-chromium,0,5186,517,0,4200,0,0,0,7722,8776,,5896,5696,570,231,3342,165,106,103,6159,8266,,42678,41045,30243,25364,21807,26236,20202,13338,11656,9447
310420,"Potassium chloride for use as fertiliser (excluding that in tablets or similar forms, or in ...",8368,3508,1651,1,0,0,1413,4174,8860,8526,,3591204,2137881,2656594,2872015,1831783,2110631,2005024,2314287,1756407,3296125,,266817,234044,211528,207679,176040,182419,199035,225648,201855,243946
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",1564,3555,2721,808,3829,1561,994,2537,4904,8174,,4837,3306,4143,0,0,0,0,0,0,0,,15734,14858,23907,17098,17911,20774,34304,25608,52591,36488
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",17913,8438,7650,6092,4459,7433,8047,6054,5365,7980,,669509,524494,367089,271067,273758,427968,411640,365357,241239,416811,,79677,47106,46737,41398,42057,61896,45155,36969,32232,49746
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",14876,14445,9462,9702,6031,8087,9047,7598,6086,7895,,334887,243349,209313,205309,170139,233499,281381,208310,139017,142368,,811260,842617,726409,795327,638427,753052,980973,794727,576352,709609
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",0,0,0,0,0,1,4,10,0,7668,,192671,325358,231816,178779,213493,201748,193667,178195,516947,936518,,65613,76011,92095,82819,83841,109525,112750,169886,167708,130130
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",123,55,44,282,3423,6939,10517,9114,7131,7544,,27579,34867,21230,0,0,0,0,0,0,0,,11435,13831,13290,12080,27339,28892,36589,33394,51868,68919
810990,"Articles of zirconium, n.e.s.",159,0,0,0,0,355,58,197,1392,7443,,6683,56,7131,5751,6679,375,20019,6316,15843,23427,,29438,47352,38592,37590,34471,42217,35309,23927,26282,56990
811221,Unwrought chromium; chromium powders,6422,5038,9152,4927,7355,5319,4627,5962,5999,6683,,153365,90189,126688,97200,111086,124887,181665,139123,101613,168113,,14115,12560,14649,8439,10153,11211,17140,10564,9447,13985
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",589,1123,105,249,78,71,428,54,385,6174,,184976,202493,235746,172632,182793,177197,195725,212072,177399,414139,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
780110,"Unwrought lead, refined",16788,23603,21869,48183,32436,8985,3268,6544,18985,6012,,136013,139532,142929,132624,187010,225828,190930,128327,143949,222785,,188957,307272,231088,203590,160481,171209,216861,146203,179890,248570
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",0,1252,2391,3498,3682,4386,4032,3016,4803,5914,,41878,32504,27108,33327,32175,64848,20168,62007,69753,57891,,74624,106364,128338,112389,98978,97356,72819,100923,108801,132640
281610,Hydroxide and peroxide of magnesium,0,0,16,0,9,294,932,4902,5127,5501,,1375,1413,1311,1725,5862,18865,15490,22031,35227,36450,,21568,18396,21426,26248,22959,18211,13816,14333,12504,13030
30616,"Frozen cold-water shrimps and prawns """"Pandalus spp., Crangon crangon"""", even smoked, whether ...""",2177,519,2550,2576,370,2713,1121,581,1035,5475,,49016,61630,82033,51230,79539,103002,93053,106582,77250,90838,,7038,5320,7648,6457,4105,8252,7125,5144,4840,9881
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt ...",0,0,0,0,0,464,884,2832,4194,5266,,0,0,0,0,11,13782,19076,22815,19312,21672,,0,0,0,0,0,5288,11901,17119,16902,19531
290719,"Monophenols (excluding phenol """"hydroxybenzene"""" and its salts, cresols and their salts, octylphenol, ...""",6255,5494,4304,5145,5326,4761,6071,5798,4473,4851,,51363,48513,38713,25216,23596,25156,37738,30984,34656,34930,,58999,66942,68817,54193,58179,59450,72428,66028,65216,97011
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2631,1909,1614,3575,3164,6831,3898,1028,926,4700,,23877,86740,32552,28586,33614,59309,44059,46668,29124,43912,,2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
720241,"Ferro-chromium, containing by weight > 4% of carbon",29318,32488,36255,9325,736,1445,180,140,6286,4404,,231987,195518,156465,92892,73841,214726,162311,145025,138217,259542,,547162,567569,499757,498648,473699,688584,668230,516080,396524,662355
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",9192,8605,5323,3072,4809,9473,9972,10478,7972,4389,,8483,12451,16294,0,0,0,0,0,0,0,,695733,800335,462127,495667,1572383,571353,563213,530609,523618,578910
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",4808,17701,12155,7061,7246,4422,3251,1214,661,4233,,34157,52577,49106,50493,65073,41589,73591,43447,45675,37644,,4844,17701,12195,7062,7246,4423,3712,2116,661,4712
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,0,0,0,0,4001,12112,6765,6815,4534,4211,,980,794,1061,96911,56518,85515,83664,91130,76597,71469,,375890,344850,333257,308464,317235,400962,406979,379418,357692,494072
300230,Vaccines for veterinary medicine,0,0,0,65,3037,9000,25157,16226,10824,3962,,28223,35397,42148,39737,44393,63856,76755,66536,61661,55636,,104134,104088,98873,108788,122923,110779,138036,120806,108619,118622
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,48656,16037,0,0,30309,23427,23312,0,3659,,1291850,1411749,1300720,1350827,1129884,1618994,2143108,1623385,2111142,2251932,,183557,285867,246952,134021,124254,226251,175691,151320,98447,207880
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",0,0,0,0,9,0,281,57,0,3517,,279166,178436,227466,134580,159341,271364,304966,192933,254755,321085,,2605090,1432869,1770176,1097640,823972,424911,649165,880151,556407,935264
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),0,458,448,1294,2121,2690,1621,2870,2624,3276,,11972,17199,16417,14569,14279,26092,29560,27181,29077,27050,,83003,86080,103761,74293,122909,93169,89449,100676,100548,122999
151219,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",0,1,0,6,600,0,0,425,3426,3266,,361150,428695,433875,386012,433811,457603,419331,470721,652632,673623,,32159,29557,32718,31463,32002,30344,34537,42482,46361,66922
30471,"Frozen fillets of cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",791,650,819,888,1656,2025,2529,2863,3006,3224,,55069,131231,204512,125135,112362,217009,138791,156507,175718,239473,,1246,1079,1227,2232,3631,3986,5394,5613,4680,4718
810890,"Articles of titanium, n.e.s.",5314,4258,3552,1672,3130,3528,5918,12074,6567,3070,,495953,483853,435303,427957,418712,477372,565026,585107,373539,275722,,310958,327929,241501,218430,227393,201635,211524,262938,229180,173347
281410,Anhydrous ammonia,12114,0,5622,0,6746,7956,15579,0,6471,3041,,1494197,1581047,1565281,1320495,828173,723498,1135309,1114020,839811,1668267,,752848,731863,667238,505927,396205,407383,478852,398143,331333,746305
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding goods of heading ...",909,859,623,2298,3069,3325,4041,3119,3456,2987,,182424,202426,214199,188425,175651,217859,298188,288714,213993,203001,,39764,33549,41034,44290,42242,49477,61159,55386,46661,48218
30354,"Frozen mackerel """"Scomber scombrus, Scomber australasicus, Scomber japonicus""""""""",0,0,0,0,0,66,20,0,4372,2808,,8458,7694,12872,7557,6414,19511,37745,38151,52623,27042,,61248,35605,70918,91422,72688,74031,71442,81212,85535,103808
150790,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified and ...",72,0,0,0,0,11,220,451,488,2784,,44942,31806,22120,33552,41113,43235,65963,65275,32138,38621,,4008,5305,5860,5361,4927,9468,11918,15546,30287,46350
440810,"Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood ...",235,2643,1971,5850,5973,2407,1112,2530,2087,2616,,74709,87241,86121,55080,80415,96642,119803,115147,77336,100984,,16828,19927,21534,20954,21451,21775,15368,15051,28065,24661
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1895,2311,2430,2160,1611,1648,1433,1803,1598,2573,,21610,20902,20857,19675,22480,21626,19585,15841,14693,26378,,5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",301,566,292,530,165,72,693,100,126,2437,,9360,6684,10282,13274,82794,98151,119857,98724,94415,121630,,11179,17637,19959,17078,36601,22911,36463,20821,13564,14888
270300,"Peat, incl. peat litter, whether or not agglomerated",69,109,26,304,41,129,0,33,1430,2430,,4681,5218,6710,7217,8842,9717,13134,19463,22891,33583,,14872,16629,17781,16468,14333,16068,14515,13693,18879,28756
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic ...",466,1057,1720,2225,3937,2886,1743,2187,2990,2427,,67508,75885,74319,61855,73993,90828,83707,92427,78583,0,,34030,32826,32913,34778,36862,40539,41461,38882,43451,50795
30821,"Live, fresh or chilled, sea urchins """"Strongylocentrotus spp., Paracentrotus lividus, Loxechinus ...""",29,0,1,16,8,49,570,638,1596,2391,,24089,19224,17475,15215,17193,19432,23180,26690,28873,30307,,218,346,893,1262,1415,2253,4402,7369,8289,10796
