Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,10914030,11801955,12416572,11825038,8181060,7135435,7292181,7003813,6809087,7413460,,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1379900278,1626387793,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",195143,231455,263863,305788,431530,484799,579438,480690,576012,566059,,36938587,38134155,39612106,35970611,37220220,42393474,45087259,45729836,49138138,52783884,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",9815,6247,9497,18557,15077,5438,39819,163058,139673,385032,,9603099,9794812,10443915,12855544,14154725,12531254,14364180,14447215,12426819,10064280,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",21758,9193,7814,11942,5341,9176,29444,37331,134659,309155,,1396338,1898422,2124121,2182374,2453597,2293236,2364777,2741050,2993189,4039013,,29838,38870,34030,62379,28691,43698,59239,68369,169549,333572
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",12271,18955,28147,56531,41460,26814,129900,447984,322121,308859,,369277,1846307,2863371,3144829,2932026,3968741,5183618,5109613,3077733,1988769,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",26991,17218,24756,14473,38676,37864,61557,85449,201972,160156,,17977450,19278417,20571295,20417033,21266902,0,0,0,0,0,,41770,79769,117916,147056,212828,191997,236404,263364,505756,338164
870120,Road tractors for semi-trailers,73200,52997,44081,45484,23924,11669,20534,123268,205050,135888,,5484051,5734134,5999904,5619042,5111936,4915364,5019935,4079114,2903529,3621432,,105011,71711,65724,66785,46337,27070,32139,207501,304441,196335
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,0,0,124494,,0,0,0,0,0,17544825,21685506,20062331,22519737,26220126,,0,0,0,0,0,0,0,0,0,306772
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",121920,131680,162361,121971,108873,98431,92809,76427,85842,112818,,5990272,6565035,6655664,5571034,5811769,6490038,7065364,7021880,6614272,7723233,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
100390,Barley (excluding seed for sowing),98414,487268,32142,185752,96745,130445,94285,13200,42033,89820,,441755,829008,222462,560055,495742,420293,374227,302474,472806,723236,,2513952,3249484,1993176,1469724,713052,800252,1032611,541737,616143,1126623
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",75573,101110,129779,118163,94914,87580,131815,104041,77736,88546,,3935982,4153392,4193187,3837821,3954412,4270507,4410175,4269939,5482884,6479369,,302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",160955,118030,89393,160536,75306,63366,24527,25982,45377,72623,,3954178,4024896,3581334,3063433,3197884,3282674,3831606,3655211,3056181,2863315,,310042,255033,305597,355104,168255,94652,59795,36743,56477,115487
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",36395,31037,33105,29066,13357,13699,10701,11032,30991,67064,,8046666,8472289,8943564,7914681,7432974,7982530,8356466,7733645,6504443,7837467,,193611,130148,186708,142047,80962,65274,58780,71346,144526,246036
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",196000,173532,191761,337888,157895,134876,72292,51360,48359,60545,,48181,54895,55690,36352,40147,51033,45824,52129,50436,49713,,847745,749160,648947,868928,496556,463302,204251,181896,184958,212133
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",13024,51309,35863,43866,54945,103397,234335,149381,61536,58961,,8624166,8112839,8819635,8247703,8303002,9731028,9417833,9124472,6510750,5764908,,1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",137260,127046,131429,74685,27461,26406,17484,48377,49162,58446,,5129406,5241637,5028938,4463612,3974485,4184552,4522827,4602067,3410258,4169624,,183920,182710,187919,118151,53795,37796,23324,54818,53857,69399
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",69989,77042,106314,68401,34410,47220,60210,51572,54174,56784,,5829686,6230328,6320987,5579614,5710546,6138894,6827514,6940280,7109715,7583085,,352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",25085,27523,67948,48729,58830,59908,45708,44083,72087,56044,,382850,485302,524300,508691,636338,781219,820356,767310,788763,779091,,550645,478247,609015,652552,647491,559643,513984,580541,566988,528439
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",20209,44050,35895,46427,47450,30140,25384,10541,59758,53155,,2468700,2750730,2807023,2340382,2421551,2561532,2778098,2805770,2881011,3175385,,123077,121448,127692,141995,153494,98998,75640,50922,96400,96627
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",45916,55077,64390,89394,54732,115043,10284,29324,58952,50358,,3817638,5197248,6382323,5427739,4062007,3715590,3208240,2985040,2837955,2670177,,49850,62276,89255,118069,77867,154054,143922,201386,225881,132454
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",453036,420900,337997,276444,137761,122789,103994,63709,87964,49796,,49549329,49490603,55114290,50015861,57000805,61580286,63825427,59214131,41983618,39686075,,8520238,7332116,7255985,7870267,6131567,4450822,3071811,834901,681421,288436
240220,"Cigarettes, containing tobacco",533752,545109,665110,823356,653378,337232,130306,137913,80347,47416,,4097213,3605228,3642504,3295678,3475528,3024715,2790157,2300822,1348897,1373593,,878910,957836,1043244,1140413,1180582,746672,427849,515800,545808,496437
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",41486,50536,50502,50814,42141,29436,28355,32403,41710,46365,,2030691,2095049,2138800,1933781,2062024,2302306,2683029,2690511,2517301,2869905,,351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",288849,356587,647478,698042,354568,324275,302283,19032,50447,44453,,25610269,24337337,23652624,20546139,12635772,11133488,11728888,9563592,7098435,8647351,,6159843,7133006,7289675,7592075,5465671,3661032,2555471,289655,598300,393983
210690,"Food preparations, n.e.s.",34722,37916,36327,52578,50093,47250,24846,26458,30481,40994,,2872678,3190597,3368444,2907874,3095005,3374070,3669496,3724378,4054000,4574610,,979780,1022823,1035126,1084896,930372,873837,736570,719038,745399,855310
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",5840,2653,1162,801,1391,905,6651,3154,8926,37825,,573474,581601,544103,477491,480643,463788,476824,433099,414433,532595,,12311,20813,10735,10304,14957,15208,24015,25153,52396,59317
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",17895,19201,20255,16690,12714,14874,17129,25339,15118,36955,,2550558,2630973,2766623,2564967,2904907,3390781,3726511,3465536,3089029,3693753,,73571,87072,95022,105829,108281,105579,96284,160027,154297,210273
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",0,0,4016,0,0,0,0,0,185,35077,,42238,47386,47150,42403,47966,45604,58744,57028,57345,69854,,167,914,5359,758,205,2,178,189,292,910172
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",29889,28914,37475,32180,18337,17806,10743,14049,27941,34509,,2390303,2620120,3001634,2740816,2844187,2794705,2867119,2523078,2288789,2819471,,89916,96257,97310,94489,68213,60375,43032,65054,101897,144527
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",14113,26730,43779,19270,24575,20009,28806,18100,20596,33505,,4130518,4291610,4905566,4667756,4681977,4863737,6033468,6286456,5890095,6291875,,757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,27,0,0,0,0,0,0,32,33369,,21756,26233,18367,8221,9062,11593,21673,17840,13791,42111,,4259,32985,135679,89808,1911,12825,32457,11439,15132,355625
940340,Wooden furniture for kitchens (excluding seats),1621,3233,5701,6082,10225,17928,16565,20253,22646,33080,,1938712,2015027,2059912,1904043,2104735,2187004,2419413,2345255,2399049,2916551,,56588,65731,59243,64510,61849,63366,63168,75658,76661,103557
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",26611,22787,21288,25113,23808,27712,26500,31977,31094,32919,,1256530,1394216,1445933,1253783,1308066,1381601,1508194,1438501,1398807,1641694,,77104,75872,83320,83796,78723,85590,84165,89875,95909,108307
853590,"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...",21436,21393,36082,26002,47006,9250,9831,19211,23812,31522,,1495232,1542062,1408621,1100363,1089669,1125326,1201413,1096203,770878,771487,,116105,160536,194094,251174,192195,95463,68077,71111,103919,122940
392290,"Bidets, lavatory pans, flushing cisterns and similar sanitary ware, of plastics (excluding ...",9372,8326,8157,11778,10136,7848,8510,12273,22335,31487,,465230,482719,501654,449585,470512,522725,575647,568530,573101,707374,,38054,33086,33457,41053,30646,28962,26367,33172,37964,45803
852610,Radar apparatus,5844,391,1290,37,198,672,27795,317,57,31082,,437345,487743,550613,808338,936385,1129744,1510633,1472509,1248198,1223058,,86915,12866,333231,177626,433993,214348,328283,271397,52239,89265
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",116020,84911,108671,152622,40722,37805,80420,48770,48300,29010,,608902,559362,465868,369665,335420,319743,399991,413045,451964,498219,,334698,395806,446214,401523,132784,112293,124394,127124,98374,61684
290110,Saturated acyclic hydrocarbons,695,302,556,259,200,685,439,583,774,27829,,102607,107360,108691,83357,80077,83071,89959,83900,86905,115935,,33944,40240,49651,42462,43694,53370,99259,84877,61968,94572
40291,"Milk and cream, concentrated but unsweetened (excluding in solid forms)",49157,32428,17838,12069,10804,6084,13713,19266,50894,27319,,439931,430205,514601,327442,275155,315410,274970,301007,310676,326599,,145571,127187,130101,134989,69957,68253,86713,143837,207093,182015
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",20571,20868,22634,19855,15052,25862,24627,20832,9127,27241,,1669463,1688549,1793586,1582353,1629919,1768859,2012111,1921374,1781859,2187802,,211814,247330,234308,260205,206929,300976,344304,266289,121955,178563
841191,"Parts of turbojets or turbopropellers, n.e.s.",159,121,423,885,0,366,809,2124,9460,26120,,2359321,2395713,1890480,1809153,1971014,2741976,3826059,4741732,2508271,1666219,,8254,9229,47007,96440,74586,62570,72325,122236,205983,107055
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",22492,34425,39811,24983,21800,26536,40893,26923,19184,26094,,1513814,1611776,1626442,1430405,1518294,1542102,1731569,1631688,1597562,1577616,,90561,96953,108507,91204,89253,101903,125396,82838,91737,125302
841391,"Parts of pumps for liquids, n.e.s.",37499,41251,42292,41984,27432,27009,35968,36218,32860,26022,,2350762,2549939,2578205,2288730,2185701,2303595,2500374,2318502,2060195,2319562,,256933,311179,331309,333002,279838,261359,299797,363901,365105,259167
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",2325,7142,27533,141672,2771,1506,32,14345,1773,25334,,491929,444168,525638,591153,497549,376859,332541,559992,568219,472713,,12465,16285,44665,165556,7102,3387,2567,15854,4453,25767
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",38991,33596,36264,29017,33439,27341,26715,27273,24178,24594,,951272,1057355,1071424,971869,985117,1038732,1083675,1126204,1123907,1193471,,88944,84050,97883,87093,88145,88965,95025,123156,126032,117865
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",51677,45050,45500,48753,53946,32739,21885,34697,30634,24025,,7990243,9061676,9923141,8417821,9146764,11015406,12558500,12746414,11555985,12500043,,263969,302788,343169,391304,310939,235780,203239,239217,202429,197026
847989,"Machines and mechanical appliances, n.e.s.",11534,6349,6787,6115,8567,4603,10859,14925,30930,23817,,7312247,7307891,7783399,6907270,7232855,8794751,10076088,10270393,9051937,9663199,,68358,103650,88395,98997,100242,111585,172682,257199,245326,159530
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",13065,14360,20278,24215,12453,12892,15753,15215,14951,21844,,6551278,7262543,7650645,6734572,7139189,7873496,8726515,8544417,8516227,10142339,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",95513,178760,130344,116607,21813,24500,37618,36305,32270,21558,,2916628,3309171,3270553,2764012,2616991,2890761,3097105,2825444,2604640,3333192,,927188,1196982,957671,978919,436575,415040,416922,398896,247046,285232
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",6975,6171,10177,7595,5425,7289,12920,14223,18574,21281,,1543134,1515692,1535741,1485254,1554563,1808508,2013276,1912068,1893849,2193770,,49704,69821,82835,77955,57637,57512,100009,105838,114069,122080
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",962,7562,9050,16063,2051,828,23565,37656,71069,20789,,26995,23493,35183,37650,77391,118005,120652,136445,75004,31140,,69379,117049,116743,204226,37698,9825,131931,105403,157219,44755
841290,"Parts of non-electrical engines and motors, n.e.s.",7401,8806,14920,14089,6383,9034,11310,14453,13909,20752,,635860,827261,997995,764872,778851,690113,914499,891286,765301,652917,,28882,39742,55597,43170,34452,65374,90295,79531,164695,139049
391239,"Cellulose ethers, in primary forms (excluding carboxymethylcellulose and its salts)",16174,13998,12031,17382,14599,16544,16326,17884,15612,20556,,704510,735295,771309,699892,727261,773815,813544,763586,770745,878915,,48945,36773,36393,39547,29251,35251,38606,37599,38196,56344
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",33442,29738,38673,35504,11380,9440,17726,19572,17338,19943,,645011,695220,720920,619208,657065,772850,842814,764922,763502,974550,,435440,349040,388366,322283,140716,217780,258357,303534,174922,168005
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,14908,12489,16105,17790,10758,7514,17289,21623,20084,19901,,1689730,1802032,1991373,1706391,1774202,1684997,1921124,1808647,1811851,2115971,,78289,98727,114450,99460,83499,73937,96944,83193,86597,87105
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",6603,9986,8152,9420,7014,8481,7680,8104,17958,19451,,1170588,1243840,1306686,1171046,1236872,1444142,1486972,1376297,1348373,1549890,,65808,68651,66731,61058,58991,64838,53463,56857,103443,137709
330590,"Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...",35590,38232,37520,41007,27204,35672,28083,27999,21301,18918,,895830,992755,957155,783939,796492,823735,890012,893504,841422,1008185,,164165,148128,175363,215085,192677,168488,155093,170399,142611,164412
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",5679,11884,3712,5517,7378,7015,9385,5271,5583,17729,,329872,341016,352415,279789,277877,316438,355281,319231,292577,396219,,23049,26950,17938,19241,20834,23960,44923,33618,23854,47724
853010,"Electrical signalling, safety or traffic control equipment for railways or tramways (excluding ...",9730,5041,4378,762,3858,4442,4841,2781,2926,17681,,98150,113299,142149,134338,159602,160728,157786,190615,198378,188168,,10157,5392,4518,9603,8334,16900,37500,8932,4392,18766
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",13711,21724,13691,11830,19356,9613,22475,10766,17812,17404,,333053,330062,349698,287733,296162,359136,400601,355990,351849,410703,,160114,125856,98373,96389,80934,100501,111812,120923,219437,199661
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",15011,16197,11743,13965,8464,6853,4749,5307,9454,16895,,2427700,2667183,2978979,2629879,2580770,2880933,3056938,2703974,2332502,2633663,,169534,116918,86536,83804,87673,62746,39574,54949,83503,97680
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",6562,13395,7496,7696,9215,7061,11414,8310,14384,16691,,549167,587258,629566,561969,488881,493076,599065,613531,465839,476009,,74388,56141,135453,73569,99961,100826,65734,61853,59070,40594
999999,Commodities not elsewhere specified,263,61,550,570,172,101,196920,12025,12630,16403,,59373193,63816786,70174563,64670995,63831190,58021514,60664181,57559330,46910555,63274483,,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",23690,8614,32787,43273,16828,20758,49846,22500,16339,16341,,2194458,2636451,3071293,2332638,2404611,2209702,2594647,2724016,3572173,4638580,,479254,251409,129276,154229,69478,87603,402870,214346,55408,63344
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,6859,4230,5196,8026,2574,2984,3868,3002,4089,16281,,2018823,2313334,2902376,2506661,2255469,3557562,4104361,3157725,3174985,4033012,,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
901850,"Ophthalmic instruments and appliances, n.e.s.",4347,9515,9469,9492,4307,5097,5970,8714,10395,16272,,622384,665683,738918,670273,662836,710606,777527,844068,762782,1065565,,27081,36382,37202,40225,19470,37029,34549,45945,37511,46673
842240,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",23520,14535,27316,32817,23061,17156,14035,17062,11433,16242,,2282063,2449539,2580732,2002669,2059236,2119302,2347986,2266321,2078954,2216375,,80711,81875,104496,129371,117293,73923,58554,61673,57403,68189
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",18809,23188,21607,24463,13312,23892,12942,14400,14172,16220,,2288782,2472761,2632794,2340476,2417329,3010211,3353027,3379445,3539851,3489957,,170647,192234,211575,272699,149127,160617,148323,200297,135612,167214
901590,"Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...",11147,11997,19218,31313,47034,59129,47885,33929,27779,16069,,235470,266359,256589,112060,120898,114368,151046,185476,137822,116536,,122980,118779,155613,131398,213099,186612,195358,249768,226604,148277
901849,"Instruments and appliances used in dental sciences, n.e.s.",18851,28211,20956,20013,9591,11023,12061,12929,6469,16006,,1165210,1270662,1254423,1195720,1230919,1359035,1365302,1457622,1227895,1719792,,47010,71772,75215,63161,36320,42862,43192,44204,26559,48437
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",9373,12455,8648,9691,8248,13945,16340,23150,9905,15825,,349452,397261,294453,217067,228180,290264,302712,369537,307374,254317,,97994,86663,125809,116126,42147,49900,69939,121933,46617,158013
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",588,4833,3283,1162,8730,11760,2489,583,1499,15713,,34839,36860,35814,28871,30150,31585,34273,37369,28233,37605,,38842,48883,51816,62483,66600,78194,54715,29651,22172,26760
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",4383,41196,13270,3528,1945,13165,10671,24712,8466,15446,,1341162,1418351,1466205,1198673,1187402,1171892,1265720,1323892,1153542,1406948,,227332,219805,130550,66805,49823,63080,57946,109296,111876,107704
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",2024,2309,6112,3886,7034,12725,14716,14947,17571,15367,,962658,1042418,1130026,1018717,1076184,1157397,1230553,1241033,1313764,1571312,,93508,95850,133550,125571,120331,155485,213765,232606,229724,187431
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",14716,10828,15498,24952,8341,6948,8855,19374,13945,15266,,1322450,1804918,1884287,1781958,1931623,2135512,2351625,2466286,2460418,2676858,,194546,216485,212511,187429,122535,145974,182512,323236,230773,279466
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",6231,6511,13775,5236,2657,3990,5367,18742,24486,15237,,207083,264782,266542,216134,184709,239922,226448,222799,210286,233120,,371640,403117,469713,407901,305345,311480,275248,364756,490012,356548
40900,Natural honey,13339,14926,19441,9433,7195,16274,18784,17855,20490,15224,,129528,140443,151128,132348,136828,140213,141229,133016,149758,147403,,61604,66261,86192,56886,41804,66128,76977,72990,105066,86232
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,18819,24789,34039,23002,25927,24421,10939,9719,9233,14891,,1089740,925718,970975,882990,923532,1123492,1119116,1258200,1227867,1267533,,129987,147614,140082,171065,210790,79091,173036,121566,96589,158660
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",39509,53536,50101,43084,39001,35482,17689,15978,21040,14887,,948529,964658,1099667,791444,766612,831155,878166,805359,724996,789557,,193288,228718,257936,212640,141265,137231,96250,105032,138495,139857
40610,"Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""",3345,4453,4394,7979,16285,7709,9168,13186,14429,14614,,1299851,1498811,1642684,1264373,1248364,1546267,1659657,1671212,1728847,1922176,,40909,69428,76609,124761,190795,187015,174538,214663,222590,141192
390210,"Polypropylene, in primary forms",582,12461,12461,10824,8529,9237,8795,7424,9094,14579,,1728958,2044871,2101649,1644887,1447882,1639276,1771393,1508200,1449037,2018090,,50090,65540,66637,60768,52235,62554,57550,57930,63193,91118
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",11490,10141,13106,41746,16374,19106,24157,13635,8623,14500,,2192224,2422737,2322748,1798550,1726886,1852636,1913348,1839572,1868641,2175457,,184683,167307,149455,272795,193942,181531,164111,135420,96130,108550
281122,Silicon dioxide,21220,20695,14006,12544,12775,13807,17676,21337,13711,14422,,569074,601787,535392,453579,450937,462688,496404,482535,448597,498144,,30821,47978,46041,47720,37682,42814,46753,55803,52358,46808
730650,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than ...",4079,3708,5335,7048,5337,0,4476,0,6,14399,,44450,51395,94845,94747,103140,98002,105171,83629,91932,101348,,39488,57952,13661,17011,18842,10809,24235,21123,10099,30836
300660,"Chemical contraceptive preparations based on hormones, prostaglandins, thromboxanes, leukotrienes, ...",40,0,193,313,0,4485,8689,8065,12718,14297,,1047531,901430,921746,747948,752307,760248,722340,807970,768310,976542,,2995,5600,10234,4029,7545,12438,19553,16291,25722,26696
330610,"Dentifrices, incl. those used by dental practitioners",12859,13493,9750,13086,11307,15398,14240,14173,18148,14127,,433477,438314,396061,323206,323750,362909,363443,398981,387578,396562,,54813,64369,69981,72565,74636,79241,86694,122032,102975,79451
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",14823,16779,22879,12608,12858,9049,9826,11660,10121,14035,,2297793,2442716,2544166,2201917,2259670,2654945,3022856,2802575,2762321,3228857,,50689,57666,73642,66539,49081,46330,43788,50510,44007,47522
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",27350,27453,29250,23900,15809,13478,10743,12447,12249,13981,,4327445,4702837,4772163,4241122,4443312,4714807,4888225,4584131,3821207,4750272,,170009,171871,180385,181258,159550,150127,105572,143595,126375,137539
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",2541,5473,8563,4151,13974,14653,6548,11652,8508,13953,,325133,332100,385579,330267,353843,409772,450383,461224,408119,435219,,39873,73560,82736,58720,57699,79325,86442,105581,66808,59527
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",15088,16846,19270,22999,12720,15255,10636,14660,9631,13845,,4212927,4473189,4628144,4131641,4401058,4724450,5116357,4866369,4146474,4639761,,100034,100029,111519,111504,89380,74227,83929,95710,68744,75328
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",79609,73551,87053,62917,21585,20346,2059,7587,19161,13695,,4297189,4602811,4609198,3830840,4061509,4621812,4967479,4657305,4132646,4937326,,143981,144904,150638,128134,70230,54509,31624,52230,88274,87695
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",15060,17747,17986,17865,14225,17122,17152,13979,13620,13552,,1639292,1733816,1878398,1731924,1803687,1981517,2015238,1739114,1720954,2020785,,142133,166161,153771,155709,130353,128698,127995,137012,117168,111804
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",17457,23741,24977,18005,16767,14147,12511,10131,13537,13495,,3915544,3669110,3943710,3184480,3251395,3397722,3770321,3535198,3292551,3727968,,80258,88202,94227,94205,54464,62736,50784,58364,101020,57307
730640,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excluding ...",11159,12860,19368,5607,2221,1199,4485,541,160,13459,,523607,537905,578854,453327,443532,480227,503571,496069,390019,438208,,35028,70519,45496,33522,15058,37668,21955,30210,28096,57855
847910,"Machinery for public works, building or the like, n.e.s.",15457,29298,30670,30361,4095,1689,13457,11798,20300,12770,,1145008,1167097,1217106,1103635,1272259,1494437,1627233,1285822,1228499,1569693,,44572,65503,84186,79647,18600,20609,37609,41053,42173,28174
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,52828,61063,69411,48057,38974,27502,24155,24452,17914,12737,,6127091,6310490,6505241,5608976,5525871,5654273,5738653,5410200,4556465,5399290,,196301,209308,300815,221027,158949,112558,97665,100156,95659,103146
730531,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",15710,19714,1466,813,8372,12092,4387,3151,1154,12493,,656912,598666,371097,384103,423101,484755,279045,257753,528478,447646,,28535,36275,119932,66312,22400,28953,39966,11661,12732,21424
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,17438,16220,14389,9383,8029,8649,11151,13156,14227,12460,,952943,1032821,1047162,932641,943894,1098772,1262994,1250913,1110059,1283826,,91756,85881,98188,97091,90862,81108,115532,104343,72773,72720
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",8733,7588,8431,6340,6618,4568,6930,6155,6418,12393,,3170477,3267671,3507859,3067575,3241037,3534498,3852301,3551559,3449936,4293770,,130255,134842,132635,83781,59916,75365,104624,94772,97412,130709
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",2614,2452,1655,2569,2986,4056,3220,2498,4025,12370,,310048,338336,379803,301415,334932,363375,363619,344368,357570,451205,,208264,228448,251063,210048,209264,205501,234998,251600,228223,258170
