Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
TOTAL,All products,10976879,10305436,8972462,4461377,5113263,6933359,7008953,8001954,7159386,12986922,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,316192918,314945095,286648777,177292663,182261656,226966395,238151375,243780553,231667985,293501672
890120,Tankers,176250,280430,185498,3802,519630,578240,0,542532,713681,3708070,,11746548,9810025,11922246,12760740,16323137,13148739,10861150,12384947,10250231,9618424,,427692,791892,752574,443982,667965,877455,60654,670458,801678,3788044
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,886048,940906,595167,142290,244647,487114,699768,869966,458857,903707,,46560,40968,13922,6888,3582,1843,1835,4329,3801,1824,,3469408,3742128,2632938,968559,1039501,1327979,1790355,2084068,1431269,1855955
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",432567,375058,336142,168745,145557,235761,268963,322369,258092,371976,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,2411741,2548005,2141891,1105994,1077887,1575957,1820174,1705925,1617318,2290583
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",375339,372649,195887,31002,52278,166889,165235,178686,148636,309912,,4228151,3359734,3359630,2389726,2131180,2792195,3235758,2575779,2264839,3198371,,1404925,1100755,683152,172006,231937,617193,679585,678692,547437,1100474
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",305341,273067,266236,124682,115814,227769,272929,285562,228254,281763,,2528801,3011976,3395026,3625611,3990742,3425281,3484326,3060426,2524373,3102390,,1548756,1737908,1450673,785663,856412,1254878,1434571,1436325,1224702,1681148
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",88172,95217,101824,87730,65899,73576,72873,80045,118652,203489,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,1554385,1232255,1050610,672940,660576,807935,836891,827896,934802,1296976
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",215490,236476,198641,92497,106731,150924,168093,171137,118213,191886,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,1162277,1203506,997392,544015,636303,862331,929662,885118,729110,1032844
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,68333,86121,90016,44424,41689,81795,100641,115647,106669,171660,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,416908,460698,428027,262573,278336,407346,487118,491350,429384,603310
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",371783,390213,299643,54024,42570,80437,99307,136397,116501,170626,,1215760,814642,1015480,911048,969403,882393,859618,1092234,773247,909013,,2139304,2363641,2027817,939908,819794,1071527,1193538,1288993,1130462,1311111
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",3957,6249,12937,13135,25039,53127,91981,126592,132065,157592,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,737826,813638,720589,501259,556509,682705,788707,855716,747692,964568
841989,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",22499,5165,163062,90788,4663,27985,47175,63618,90816,149503,,1092338,884201,681527,917843,748680,591286,506846,630220,653325,624926,,892280,1020445,1526101,1047293,754951,1533524,1040955,806862,1047636,1015774
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",104479,103846,100373,57486,46749,82351,93734,110591,97836,128394,,561445,887956,883444,804473,1093640,1061564,1114232,1106993,914223,872708,,576509,592261,521983,322509,337082,430182,506442,506960,437987,586125
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",124916,96558,82281,23849,19339,39614,40297,53712,44703,112392,,485619,597123,675562,685957,771369,753480,832940,869348,810420,1658312,,701435,735007,602048,238559,287357,437578,515719,519442,489933,784472
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",186769,187801,203764,62445,72360,123872,114980,121623,90201,110481,,2884298,2661989,2677039,2355158,2371175,2404509,2449409,2389231,1944390,2059200,,1424432,1241104,998431,487843,461238,654043,753904,779730,615632,762922
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",159762,174915,158772,75045,58111,72662,83398,86305,80371,100757,,1428488,1432964,1401330,1170703,1192787,1410876,1481002,1500594,1382398,2278136,,1173796,1032167,881731,459244,386999,440578,359464,371042,284423,436446
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",97676,121874,133344,91910,102860,96937,105069,82447,70752,99832,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,1565747,1320488,1214654,845593,826990,1060669,1108917,1080740,1126440,1323395
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",51125,24974,38442,28179,12216,44428,22460,44983,19550,98597,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,818995,890169,727516,368792,327622,445412,433135,600952,482049,560161
940190,"Parts of seats, n.e.s.",74472,61985,57554,39337,50599,72312,86459,92086,71594,98146,,818046,874738,824525,739917,843934,850142,873080,798014,666175,750707,,357135,350344,303210,180006,213929,292213,364280,355491,298270,392665
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",72316,71067,76308,56245,51194,62485,65780,70341,69446,96061,,988448,1064188,1132870,962752,993479,909623,942552,813157,610479,680094,,761389,833227,787442,522710,585744,704115,760171,761787,684660,909764
841940,Distilling or rectifying plant,6,9507,65267,6630,1,33,93922,65785,113417,94405,,3480,13265,41267,92659,108602,87484,347526,2170440,1415351,117797,,221626,168164,585209,134909,32531,19391,137046,412120,581701,606138
940120,Seats for motor vehicles,117923,147700,144456,31810,32473,64915,69749,87687,50298,91328,,11236,26418,13923,15450,18034,9291,17999,13566,5520,11006,,307944,383903,333418,102602,97844,164438,193252,201163,158028,229192
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",98349,109578,99434,26379,26324,43921,63180,72001,43784,88630,,459989,452922,532346,572947,553269,546328,510486,502789,338893,355300,,1268997,1262917,1057654,516159,555924,711455,853673,827839,673752,925705
901812,Ultrasonic scanning apparatus,106062,61298,48307,24701,21221,26077,36173,50646,56486,83923,,420978,457050,468139,462686,478375,615883,689581,666717,580119,696123,,476607,278342,275019,208814,133270,141668,169422,222638,230611,280800
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",121942,100829,86511,37883,41929,76331,73032,75268,61636,73841,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,1129762,1232308,1103632,627279,762556,1080766,1173456,1122782,966021,1299081
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,58,39,389,62442,73047,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,409155,433112,1174562,1088441,1497263
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",50647,61489,67938,37795,47878,55105,65973,56769,47773,71313,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,374673,401837,305991,154074,219527,276554,275231,266930,240208,359607
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",60668,57660,45806,14057,14484,22333,27846,33205,33483,71226,,270062,264565,266989,243410,238342,154568,151386,147730,95145,98300,,275090,279260,229942,102717,114425,162376,200714,201037,179409,269279
390730,"Epoxide resins, in primary forms",8454,13975,13434,16503,16888,23732,30062,29929,32784,70395,,557809,645485,683063,652505,614323,738539,885300,858517,847258,1641685,,90186,120839,126943,119415,109706,134513,161631,151310,145129,259800
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",13197,52731,74614,47331,46208,62210,67409,58260,55174,66074,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,602705,437523,482070,314652,314068,430030,471506,374228,285254,524719
902129,Dental fittings (excl. artificial teeth),3007,9838,19661,21368,19672,31474,32592,36469,50972,65876,,125879,150707,159474,177572,217626,266090,323165,397716,371773,559794,,53120,69589,84603,75746,74692,92277,96331,101800,127917,162584
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",927,1975,2666,1911,3729,10829,7367,9794,17584,63187,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,385933,197546,216708,125520,131172,254385,243924,259899,305566,425008
841960,Machinery for liquefying air or other gases,517,99,193,4996,17994,5712,6311,3952,6025,63094,,7775,191,3970,1863,3121,12195,1108,9038,2608,3556,,3938,17987,59160,662542,4784876,4553862,261993,141757,99338,1297424
830230,"Base metal mountings, fittings and similar articles suitable for motor vehicles (excluding ...",17095,14633,20125,13342,17816,28840,34525,40277,39469,61875,,141949,190338,226740,226719,327395,424957,480009,484919,412157,467366,,129668,144366,145180,92113,104077,145836,170848,174059,158350,209616
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",46357,39619,43550,21472,20651,24227,31446,33465,28968,57962,,1140282,1389490,1561527,1328645,1225984,1175688,1166205,927288,705536,1130835,,478011,430917,460378,339292,329630,314636,267956,258312,218449,340706
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",59609,60586,56055,34803,34393,40849,49347,40028,35432,57909,,2544192,2677541,2557618,2133712,2072914,2684243,2793255,2244479,2051130,3011110,,90341,93127,80874,54803,55149,65078,78371,67875,59170,109186
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",71704,82101,69455,26117,23905,41067,52514,51672,36848,56462,,70963,75527,72311,57528,53241,55992,61256,58541,54110,63709,,310271,366979,310229,148741,136517,201116,220979,223670,181017,250679
842691,Cranes designed for mounting on road vehicles,27366,30496,25363,5405,11267,27961,26156,35218,47511,54905,,70299,90427,91004,48341,38532,58397,56958,63742,71127,85738,,102472,115258,88012,25951,45988,67592,72441,85185,83558,113643
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,12843,12065,9396,10719,9238,20406,18793,15999,33410,53522,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,428226,387163,863091,1459175,533143,926459,923226,841538,1045051,1149251
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",2531,3698,3466,2524,4479,16205,26110,35144,32939,49598,,307293,298601,342767,309605,347235,371456,369949,362660,319767,330727,,29498,40460,32053,21374,21411,38946,48710,54069,48082,72957
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,9574,19376,17060,12539,48588,,0,0,0,0,0,241366,293091,403644,655606,1228972,,0,0,0,0,0,93486,159027,178351,153677,237914
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",113247,87223,74992,13194,13210,38499,28646,36757,18870,45001,,103308,113423,138158,155483,239652,189505,114114,115718,149630,141420,,898520,1008612,730248,309161,386733,624503,755369,683875,584304,930561
840310,"Central heating boilers, non-electric (excluding vapour generating boilers and superheated ...",23412,21217,41761,30287,27728,27894,32789,33370,31669,44054,,115288,134579,147351,128754,162250,147192,147471,141983,147140,184543,,415598,432505,413974,223564,182878,221412,230164,223998,213908,253108
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",16132,16521,12730,8810,11134,13992,27674,43677,34546,41934,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,366570,398919,395603,308569,303430,355638,398475,411545,369354,446789
820730,"Interchangeable tools for pressing, stamping or punching",34501,35358,47612,101740,83378,45771,23110,17532,49290,41432,,771173,789785,959716,951945,924128,992845,1109868,1020994,1101072,833162,,135741,246169,217293,225495,179780,114675,168946,156691,183130,199374
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",11094,8835,18680,8664,5820,15151,15336,24684,21316,39899,,548847,595585,681978,607443,838276,736285,802075,725393,702728,697847,,317811,333271,337833,172842,176577,210900,245823,205939,183739,261754
390210,"Polypropylene, in primary forms",37985,29973,26602,17929,18745,20278,32998,34651,26126,39685,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,291529,219230,181910,133403,148500,152993,202416,173094,174579,278036
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",12904,7896,10090,10773,19069,17779,27194,33302,36408,39498,,591265,571259,595081,470997,398772,497617,729884,584140,403182,606042,,203430,207046,187732,159687,128901,154607,157021,186329,175230,175402
847170,Storage units for automatic data-processing machines,672,949,11309,20551,6444,4691,6584,25428,41564,38698,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,596580,593139,1026854,983014,771191,1048070,1063429,1039635,1095164,1205837
847989,"Machines and mechanical appliances, n.e.s.",55293,165946,35919,32135,72338,56765,19591,26354,15068,38411,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,1072000,1495391,1096813,742760,788874,869978,960527,917448,992239,1208468
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",45242,43003,40845,17289,18332,30132,34330,35402,32125,37932,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,1012511,1061856,978112,634268,674112,828434,944700,1025419,1052490,1299675
848071,Injection or compression-type moulds for rubber or plastics,30936,59271,63762,29371,39037,39027,30640,23632,30223,36949,,1246779,1353993,1548066,1293151,1261133,1293402,1243994,1267662,1301489,1075496,,205860,317671,292911,217017,184963,228418,255896,223209,226031,270729
845710,Machining centres for working metal,14268,16343,17484,19602,17517,26970,29571,21953,13567,36420,,601905,523880,505314,568571,444678,473472,682205,514495,342109,499379,,347072,354767,502984,345318,234830,261410,297549,233254,202260,242807
852721,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",5301,19391,36677,17053,22250,25095,25700,25681,20106,36247,,282659,441806,427195,325725,361643,355755,322260,347692,289812,334732,,297290,262725,208999,103699,114610,141887,161488,137187,109722,113183
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,51461,21760,22423,7907,6680,90054,19929,20543,13137,36165,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,548382,579265,856519,286483,246932,404173,442114,536563,476248,532772
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",39691,44462,38220,26857,22664,34158,46175,35251,27196,35729,,1034941,1048989,992579,848134,789778,935236,1131089,881483,742368,875376,,164177,201005,177384,115853,116770,149380,179951,176051,136931,201174
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",29007,42176,34217,13486,18177,19948,26894,35123,34333,35698,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,379930,435763,366723,263974,291199,369694,413684,456300,420114,556730
283711,Sodium cyanide,28197,34732,21594,25303,25092,40847,33315,36947,18784,35313,,269948,274811,212732,196581,182706,191656,199666,207877,182285,186025,,69797,118301,64257,32621,32461,54355,48657,61675,36006,73440
390230,"Propylene copolymers, in primary forms",18014,15475,8907,1732,2848,10128,10650,16735,13505,34920,,1997618,2131515,2135821,1428090,1306919,1405622,1577092,1443996,1361393,2186111,,188895,190667,169996,92589,93754,138195,149382,151885,141043,248357
292910,Isocyanates,21611,17128,4736,1429,6815,20978,7004,9685,11727,32287,,743174,721644,664782,514308,679108,1218596,1276642,620057,510184,795891,,339726,227830,160082,78815,90290,146721,165630,96800,106448,154990
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, ...",381,3416,8160,3391,2775,11762,24198,31534,30544,31762,,28398,45322,51078,41505,43625,61160,90661,113841,105890,110524,,162192,154456,169904,154139,175127,203759,250487,226273,197716,219714
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,18331,23405,27327,24919,31627,,0,0,0,0,331,292634,348908,363992,370903,453064,,0,0,0,0,303,75232,97389,92786,91238,111036
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",7577,12644,20447,12130,19754,20855,26987,36437,18717,30953,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,242317,288088,546366,507806,424334,538515,587490,645350,730925,863073
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",994,1293,1817,1615,1271,4757,7315,11486,17565,30906,,157018,135089,135830,144469,188384,283380,262678,277313,241621,253713,,31540,6612,11333,7633,6691,12836,20153,28140,35227,49642
731100,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",481,1174,22409,1446,172,208,6724,14123,31237,30539,,258169,257299,305828,268849,221368,199390,185426,189500,263179,275723,,59914,74096,92179,36757,39145,45868,93495,69776,107894,125420
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",43705,28836,21391,13865,16878,20746,15927,18123,17152,30433,,1444558,1276695,1372296,1464900,1542442,1559537,1712212,1736164,1466954,1836637,,1206149,1256131,1286328,760066,798082,990657,1103367,1175011,1132987,1298789
210690,"Food preparations, n.e.s.",10166,10822,12185,8633,8959,10975,20543,22359,23758,29967,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,822354,974817,918212,422711,461425,578012,623122,654484,698534,889950
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",12225,10826,11777,20483,25359,90607,12191,18290,22376,29598,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,2512754,1830755,1675857,1102214,1206717,1374239,1492903,1765922,1724534,1938088
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",24581,20749,19182,11207,12912,19937,18749,27249,28538,29341,,809338,892497,754892,714876,710026,722236,668594,701968,702911,722035,,403528,402748,381109,245548,231199,286606,278267,287468,273645,343809
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,8074,9368,8988,5683,4427,7563,8755,16823,23023,29009,,157346,164490,173276,159595,172996,194895,214837,239936,301721,340784,,148099,174184,161863,106298,130793,167576,190602,201492,206944,224182
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",37362,30193,29072,8296,5389,12474,11742,21484,19776,28972,,792308,872319,925373,859096,673958,578322,563966,567299,547833,588311,,239748,251630,241026,121056,123899,166946,209086,242743,226353,310054
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,5679,5941,5786,5456,6509,8749,11395,12592,10122,27287,,1118574,1341762,1389537,1309271,1217012,1197443,1272251,1294301,954459,1254926,,187703,208224,181202,166972,193264,214908,268606,249588,225991,313721
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",8079,6797,9724,16097,23735,31798,27607,29885,25027,27169,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,144014,122988,131948,155067,307231,383420,508517,394866,387210,519791
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",12386,11647,10919,5376,7819,11893,16054,19288,21391,26989,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,1398525,1198787,1257837,732659,853792,900819,930321,1066345,1147334,1303655
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",135929,107198,90380,39428,28678,24483,49154,44899,18564,26830,,1811107,2108145,1918122,1542558,1329777,1410476,1642782,1427928,1469242,1971253,,738433,536352,595750,295507,225979,316569,369002,474105,253795,354110
841430,Compressors for refrigerating equipment,34356,29987,32258,25482,28335,37060,32429,33565,28637,26771,,988492,1043712,1036772,843958,876076,921686,1015525,1090974,998231,1014219,,387851,400229,344007,256549,280890,307081,326324,330602,306715,376414
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",299,1547,7341,5208,5845,8425,9262,4929,8609,26544,,901491,990534,1078817,860635,740035,782301,917776,885612,878218,1432086,,213684,216815,212321,155199,150467,173840,225837,236619,227168,418231
401699,"Articles of vulcanised rubber (excluding hard rubber), n.e.s.",16414,16189,16223,9676,14232,18654,17473,18351,18738,26511,,229926,238843,252003,263683,321843,326965,321244,306375,273741,297213,,258835,274460,252618,194783,228831,292373,313844,333212,329973,466818
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",12480,16492,12260,6250,14667,18001,15320,20183,22776,26419,,267526,321071,399191,308296,313681,366889,418511,441028,287741,310651,,336372,318803,391266,227724,318408,386637,481349,583941,540690,681595
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),16165,12248,12100,8788,9840,22524,29598,26476,24306,25602,,246362,290722,330034,320801,371353,365597,362438,349842,290006,350051,,241131,261575,238882,155641,165417,225781,268866,267663,257525,317602
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",8914,7536,7768,6238,5384,6590,10263,14405,20314,25192,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,289546,279366,298577,192830,223609,253969,299188,303930,318383,397163
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",9861,11813,2811,2212,3509,2901,3447,3633,3480,25158,,2701856,4163027,3583937,2762632,706472,734940,969440,1022525,1157688,1172054,,286937,327849,203539,186185,334064,235268,335756,495427,502235,652772
902213,Apparatus based on the use of X-rays for dental uses,2838,4084,2317,2460,3768,7576,10599,12925,12299,24790,,91185,104874,126890,125765,137364,154494,200984,214452,176477,268485,,32163,37170,25870,17192,19920,28500,30756,30995,29066,47407
390319,"Polystyrene, in primary forms (excluding expansible)",37658,33248,29023,18587,22909,21098,11258,13219,11723,24184,,352870,284017,256319,165772,173085,144334,184644,164642,162953,246187,,152555,142152,95020,54941,61322,59152,56955,60629,41067,88817
852580,"Television cameras, digital cameras and video camera recorders",34039,24754,11454,9143,16777,31528,34330,25383,21030,24035,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,1583592,1116715,721542,372438,354328,486739,499923,454418,463894,559165
722592,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",19923,5822,6900,4678,7367,12433,16628,16741,14313,23991,,23436,143447,268763,377929,355733,379343,353699,291369,296786,457391,,70014,44394,28085,14743,10347,17829,31205,26679,23840,34537
390130,"Ethylene-vinyl acetate copolymers, in primary forms",4379,4820,7038,7394,8640,11497,23805,13068,12001,23767,,530684,515584,1015185,909808,875794,1015860,1035588,1009699,995306,1738105,,45928,46758,51592,39662,53795,62028,79822,61859,55687,99994
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,300,0,1199,62,0,3191,23386,23812,33027,23731,,18451993,14526009,9877693,8776809,8816900,10890487,4902349,4716728,6273704,7125776,,293126,467909,229751,123043,351682,542725,862649,384581,222090,433812
700910,"Rear-view mirrors, whether or not framed, for vehicles",17839,19253,19030,12590,12475,17206,18451,14980,14876,23435,,27137,30746,36912,64506,86944,79369,80386,76667,67923,75798,,86177,90740,80314,47992,55063,84647,100025,100587,89889,121318
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",25757,26153,27496,20636,19366,22132,22759,22908,19448,23073,,50995,92173,144179,172069,212173,201093,216465,201998,159367,181468,,155630,159263,151018,93928,100259,122023,136054,128977,107886,136445
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",203909,187158,172840,77470,46824,48386,45886,64274,39753,22431,,6915276,7768861,7008030,5854323,6178791,7995178,7240102,10045151,7799818,7842054,,2912436,2446726,2284525,1194760,1079819,1246931,1270646,1164447,1156000,1416360
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",46163,43793,36978,25916,31295,33083,33323,34489,26818,22033,,1572176,1416517,1278119,975662,1003078,985315,975361,869635,807392,815802,,685127,729721,579732,348150,387078,474978,461550,489792,463458,576537
731512,Articulated link chain of iron or steel (excluding roller chain),2537,4152,2585,5754,7347,8967,11409,7081,4486,21171,,21772,29440,35127,31637,33237,27187,21416,20127,14440,15591,,11415,12977,8214,10950,18858,24751,27372,20893,18634,45246
392049,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",15990,12722,10613,14403,15674,15518,14497,13319,16558,20991,,120860,123006,117184,114034,110612,124335,117136,116246,137989,156947,,187059,170344,160543,122885,132251,141868,156563,151478,148936,182806
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",24488,20250,23040,12511,8813,9553,13614,18599,17881,20594,,384239,380895,352584,299944,322126,385933,442081,404503,360535,414176,,282204,274723,262296,171073,193847,250728,290181,300516,295348,366722
200899,"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...",150,150,250,608,1353,3543,5074,13795,14220,20047,,14712,16229,16804,13462,16326,17738,22109,150995,465887,553982,,31816,35464,38288,28297,43978,47849,63914,68187,67599,82939
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",46925,46459,43481,16617,14504,20280,21376,24329,12410,18913,,166239,203575,232942,163881,173148,178523,169814,169968,127509,142592,,156090,158258,140903,64400,76806,115764,126968,135550,99885,127139
851531,"Fully or partly automatic machines for arc welding of metals, incl. plasma arc welding",7350,303,5053,1162,59412,871,898,437,6126,18806,,28314,38739,32425,49679,58564,26148,17006,23941,57537,42288,,132516,173701,112786,117463,109414,53658,78469,79510,86694,125024
722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ...""",9471,12183,14382,8997,8438,9955,13787,14372,14488,18756,,154892,169113,181024,171081,164840,415735,392626,241866,205990,277703,,64054,77584,64757,52606,47493,51030,59455,52287,52741,69784
851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,16054,16842,16999,9293,9273,13071,15571,17548,13316,18605,,73334,82893,88980,100951,161977,143036,123513,129357,141092,294241,,154841,147293,124335,74137,82025,104243,107180,103905,90319,125085
870891,"Radiators and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",54317,61297,43605,21228,9878,13030,16141,19209,11654,18371,,75264,88143,93276,76530,84220,85330,90550,66932,50633,60655,,238289,254019,208489,118644,118044,176549,189064,194359,166629,237610
560122,"Wadding of man-made fibres and articles thereof (excluding sanitary towels and tampons, napkins ...",3830,2468,4576,3287,3758,6016,10616,21877,34764,18343,,36220,51532,54297,44123,62261,81688,93586,116289,111769,101453,,80970,96980,124218,99148,105471,94849,66891,89532,92937,76345
