Product code,Product label,Viet Nam's imports from Japan-Value in 2012,Viet Nam's imports from Japan-Value in 2013,Viet Nam's imports from Japan-Value in 2014,Viet Nam's imports from Japan-Value in 2015,Viet Nam's imports from Japan-Value in 2016,Viet Nam's imports from Japan-Value in 2017,Viet Nam's imports from Japan-Value in 2018,Viet Nam's imports from Japan-Value in 2019,Viet Nam's imports from Japan-Value in 2020,Viet Nam's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
TOTAL,All products,11602055,11558300,12857046,14182099,15098323,16916806,19040861,19532763,20276831,,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,113780431,132032531,147839048,165775858,174978350,213215299,236868823,253442016,261309452,329199265
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,,,148,789,2297,5889,1825,10186,11597,14811,1060,10938,,0,180,52,0,0,0,15,0,0,144
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,0,0,0,0,0,0,0,,,19,254,578,1859,874,190,30,125,68,100,,558,326,804,786,3074,6749,5271,7094,6209,4630
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,,,59,84,49,0,0,0,0,0,4,0,,0,0,0,79,80,30,71,29,1,24
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,0,124,0,,,391,13,74,346,191,140,1092,70,1032,3,,10,150,548,182,177,720,684,918,163,2271
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,,,0,0,0,13,6,21,89,10,11,11,,0,10,0,3,0,6,5,0,0,
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,1,0,82,0,,,0,18,0,9,33,22,0,0,0,0,,2426,2767,2394,4111,4630,5928,10968,10960,6644,22727
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,41
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,9,,,0,0,0,0,0,0,0,0,26,46,,87,24,87,102,22,13,39,127,88,1022
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,9,106,0,0,0,,138,48,12,244,639,400,891,22,292,2556
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,39,3,5,18
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,,,0,0,3,2,0,8,3,6,13,44,,210,595,1071,1430,1422,1738,7249,8580,26680,10659
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,,,5,18,16,0,0,45,45,49,25,47,,0,0,0,0,0,0,0,0,0,25
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,0,0,0,0,0,0,0,2,,,26426,22387,20321,21045,29622,31846,49281,49327,48890,74366,,342,372,1308,3819,8071,15971,16447,26033,29020,30359
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,1,0,4,4,7,,,0,0,0,2,0,0,4,8,0,0,,0,0,0,0,1,0,4,40,7,
30256,"Fresh or chilled blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,7,0,
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,1,17,5,22,51,46,,,1333,1530,2384,3620,4855,6526,9286,10398,9655,11110,,0,0,0,1,17,24,39,51,46,
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",1380,261,219,575,0,0,86,15,707,,,302,23,17,2,5,392,0,697,1017,946,,16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,4,2,9,22,9,,,684,213,138,376,2617,5065,5603,6561,5925,8279,,112,169,0,1,8,2,9,998,2080,516
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,155,7426,9288,12141,16726,9713,18482,29270,,,54897,41619,47866,40492,34306,41677,46774,30219,93840,39860,,1196,3387,9365,25399,37983,34285,26342,42796,95873,46629
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",910,2353,2019,1492,1363,2523,3106,1282,1150,,,53450,79471,49616,20957,8573,28895,50227,30764,34349,52559,,54547,57306,61384,52466,32102,47281,70976,45843,29828,29200
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,0,0,0,0,0,,,3252,1960,1802,1195,0,0,0,0,0,0,,0,0,74,2,21,3,152,235,1356,1086
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,185,76,0,31,63,35,0,43,357,
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,84,0,0,0,0,1,15,59,300,669
30441,"Fresh or chilled fillets of Pacific salmon """"Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...""",0,420,0,14,1,0,19,381,307,,,63,43,17,135,7,254,250,108,52,24,,6463,3524,1157,1508,991,364,9333,5090,3062,272
30443,"Fresh or chilled fillets of flat fish """"Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, ...""",0,0,0,0,0,0,0,0,0,,,71,71,11,40,12,35,88,159,18,33,,53,2,10,0,0,19,1,8,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish """"Dissostichus spp."""" (excluding ...""",0,0,0,0,0,0,0,0,0,,,5,4,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
30485,"Frozen fillets of toothfish """"Dissostichus spp.""""""""",0,0,0,0,0,0,0,0,0,,,75,52,47,137,94,7,24,0,8,2,,0,0,0,0,0,0,0,0,1,
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",0,0,22,10,79,72,143,271,185,,,20218,12208,10723,12052,11376,14259,14804,20756,18933,31722,,8592,7103,14940,27432,18789,11748,8543,13566,8963,14857
30542,"Smoked herring """"Clupea harengus, Clupea pallasii"""", incl. fillets (excluding offal)""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,0,0,1,0,2,0,15,,,346,285,270,113,134,203,683,593,79,338,,5,0,0,0,1,9,4,0,15,10
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excluding heads, ...",0,0,0,0,0,0,8,40,10,,,29,43,13,21,31,40,80,223,246,49,,80,42,17,2048,2152,4178,4890,4547,3583,1680
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",28,30,0,0,0,0,0,0,0,,,354,196,277,270,156,59,234,197,242,108,,1686,36,3,0,110,194,0,115,117,529
30627,"Shrimps and prawns, even smoked, whether in shell or not, live, fresh, chilled, dried, salted ...",0,0,0,0,10,0,0,0,0,,,310,732,411,257,375,0,0,0,0,0,,9674,9453,17067,14558,14554,16301,0,0,0,
30732,"Mussels """"Mytilus spp., Perna spp."""", frozen, even in shell""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2,0,0,3,0,,0,0,0,0,0,0,995,2155,1306,783
30751,"Octopus """"Octopus spp."""", live, fresh or chilled""""",0,0,0,0,1,0,0,0,0,,,4,1147,50,79,516,45,56,200,24,5,,0,4,0,0,1,193,25,0,79,
30789,"Smoked, frozen, dried, salted or in brine, abalone """"Haliotis spp."""", even in shell""""",0,0,0,6,31,3,0,0,0,,,10060,13930,9999,10105,14496,0,0,0,0,0,,0,30,288,165,649,238,0,0,0,
40310,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...",0,0,0,0,5,2,0,0,23,,,58,174,271,394,335,536,1107,1141,1305,1358,,6506,4899,7218,7193,7243,5964,4203,7019,7929,12694
40721,"Fresh eggs of domestic fowls, in shell (excluding fertilised for incubation)",0,0,0,0,0,0,0,0,0,,,1829,2610,3689,5069,7867,9106,13807,20209,42834,53399,,0,0,0,0,0,0,0,0,0,
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,0,0,0,0,0,0,0,0,,,418,612,645,1303,723,1174,752,390,321,890,,1280,1850,1705,1934,1814,2957,3353,3564,3143,4205
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",382,544,463,595,992,1078,1205,1468,2411,,,56066,57113,57916,65800,63931,51239,45966,49932,38970,39891,,5102,4571,5591,6028,5873,5669,4044,5943,5422,4289
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,0,0,0,0,0,2,,,49,68,72,161,180,228,233,250,216,562,,48,3,2,26,45,44,36,74,169,916
70190,Fresh or chilled potatoes (excluding seed),0,0,0,0,0,0,0,0,0,,,7,61,35,58,58,88,331,243,449,281,,11367,12908,11256,10380,15287,21318,16476,21561,25788,124652
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,21,2,14,40,168,54,3
70610,Fresh or chilled carrots and turnips,0,0,0,0,0,0,0,23,65,,,134,242,51,311,631,161,141,72,221,166,,8949,9341,9847,12538,13866,16896,15407,17436,19932,92807
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,13,0,0,0,0,0,,32,209,301,468,467,234,176,292,119,4484
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",0,0,0,0,0,0,0,0,0,,,0,23,0,0,14,51,0,0,0,0,,231,424,353,432,424,531,676,702,633,459
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,,,0,3,0,8,14,0,2,15,22,5,,28,58,59,110,109,232,346,394,577,750
71140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,62,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,,4,13,123,8,13,20,186,360,12,124
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",2,36,4,4,22,2,11,11,2,,,1376,1605,2250,2046,1673,1514,1576,1616,2223,2528,,3807,4209,7306,8344,8782,34646,136560,131661,20034,83481
71320,"Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,189,1117,76,22,14,58,87,84,188,486
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,0,2,0,1,0,,,30,49,89,107,174,194,144,203,170,188,,276,233,263,394,276,1772,1506,633,916,9688
71335,"Dried, shelled cow peas """"Vigna unguiculata"""", whether or not skinned or split""""",0,0,0,0,0,0,0,0,0,,,0,0,0,15,0,16,7,8,18,7,,48,0,113,127,6201,219,245,547,560,1010
71340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,7,0,5,7,81,38,140,81,139,374
80131,"Fresh or dried cashew nuts, in shell",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,321547,589723,627454,1105038,1626834,2523137,1900260,1668415,1418765,363369
80212,"Fresh or dried almonds, shelled",0,0,0,0,0,0,0,5,0,,,25,47,24,56,10,2,15,8,26,7,,969,1106,1569,3692,16208,28089,99311,91228,75453,88981
80410,Fresh or dried dates,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,169,394,280,281,410,396,1010,1592,774,1638
80440,Fresh or dried avocados,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,39,42,54,46,68,0,0,0,0,27
80620,Dried grapes,502,75,0,0,1,2,27,10,0,,,3,7,0,21,0,44,30,28,22,31,,4409,5651,4912,5784,5819,4950,9128,14527,9935,15269
80921,"Fresh sour cherries """"Prunus cerasus""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,4,0,0,,1508,1772,3015,3344,3879,2982,5026,3227,1339,1571
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,0,0,0,0,0,0,0,,,0,0,2,14,9,11,17,13,0,0,,364,234,565,124,174,558,1237,2039,914,1220
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,1,0,0,57,,,0,9,13,45,0,0,0,0,56,0,,4,3,0,9,26,89,36,17,85,46
81350,Mixtures of nuts or dried fruits,0,0,0,0,0,1,0,0,0,,,17,0,3,4,13,11,15,17,4,2,,184,26,20,117,219,320,417,133,183,233
90121,Roasted coffee (excluding decaffeinated),0,4,5,4,4,2,0,12,39,,,8605,8336,8296,16818,24328,26545,30088,26375,32266,38341,,879,923,1636,1576,2251,2625,2418,2510,1887,3800
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",49,22,27,19,21,4,28,32,14,,,322,400,559,626,1104,585,1434,608,702,1169,,1544,2517,4404,4330,3547,1861,7557,7454,6138,90559
90412,"Pepper of the genus Piper, crushed or ground",12,22,13,25,23,46,44,55,40,,,557,614,421,547,544,536,570,447,446,470,,99,142,299,1172,1391,1270,656,723,2006,2007
90811,"Nutmeg, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,10,0,0,0,0,0,0,0,0,0,,8956,9139,8413,8072,5653,9819,10472,10279,10695,17281
90822,"Mace, crushed or ground",0,0,0,0,0,0,0,0,0,,,11,3,0,0,0,0,18,10,0,0,,0,0,137,145,47,10,14,0,0,481
90831,"Cardamoms, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,702,230,76,98,718,77,71,128,7506
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,481,680,1109,952,816,764,1363,1348,1247,41092
91099,"Spices (excluding pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...""",41,27,27,29,22,22,45,62,14,,,4315,3288,3091,2754,3454,2816,2790,3002,3471,5700,,171,294,321,583,102,241,217,534,936,2445
100111,Durum wheat seed for sowing,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,120,0,0,0,0,0,0,0,0,
100620,Husked or brown rice,0,0,0,0,3,0,0,101,95,,,956,2000,3104,3873,6408,8466,9529,10999,10442,12870,,9,6,51,4,316,78,106,154,439,240
110813,Potato starch,0,8,26,1,17,1,104,197,69,,,468,603,919,616,1472,1106,1433,1469,3375,1584,,4403,4347,4161,5279,7100,7619,9078,9756,12569,8291
110820,Inulin,0,0,0,0,0,0,0,2,0,,,355,120,8,0,0,0,0,4,18,0,,330,452,327,3234,4711,5092,3047,4874,4494,1656
120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,,,6,0,4,3,27,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,605
120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3475
120760,"Safflower """"Carthamus tinctorius"""" seeds""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,66,127,154
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,0,0,0,0,0,,,12,78,196,393,436,244,203,226,211,410,,56,50,65,30,38,22,15,14,8,119
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excluding gum ...",299,442,370,237,210,332,335,391,436,,,322,317,302,240,241,326,239,362,505,463,,3246,6266,5831,8777,12235,16759,25949,22270,16483,20628
130211,Opium,0,25,0,0,0,8,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,7,25,0,1,0,9,2,16,1,54
130213,Extracts of hops,0,0,0,0,0,13,0,0,0,,,8,17,21,8,17,29,12,15,38,41,,5114,5315,6178,9311,9463,12062,18347,18310,14780,12533
150710,"Crude soya-bean oil, whether or not degummed",0,0,0,0,0,0,0,0,0,,,0,0,0,2181,7,6,0,12,121,2,,41243,70521,83310,117267,47371,33897,33531,38582,51705,62412
151521,Crude maize oil,0,0,0,0,0,0,0,0,0,,,2944,0,2364,176,0,18,25,49,293,684,,0,0,0,0,15,0,0,0,23,152
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",0,0,10,0,9,0,0,0,0,,,1939,1757,2307,2083,2184,2261,1645,1179,1193,2160,,1077,1228,1270,1152,1285,1668,1743,1872,1568,2616
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,31,37,57,65,66,53,85,121,134,,,13526,10638,9344,8240,8351,9650,9521,11068,11908,14978,,34762,28572,28204,24200,27723,32134,34578,32165,24425,62717
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",143,89,71,115,57,131,128,140,129,,,1912,1725,2058,1597,1648,1861,1917,2059,1126,1278,,446,446,404,497,193,359,492,581,343,462
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",0,0,0,0,0,0,0,0,0,,,263,383,429,316,434,365,431,502,783,763,,427,203,451,1322,801,591,1148,979,945,2821
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,0,0,0,0,,,3,0,2,2,27,65,32,53,56,52,,4,8,1,174,171,249,275,416,361,1993
160510,"Crab, prepared or preserved (excluding smoked)",33,0,0,2,3,5,11,10,47,,,8974,6692,6713,5446,6037,6998,8375,9343,9152,9766,,70,48,161,45,93,397,40,39,133,760
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",105,85,100,101,168,148,109,549,855,,,13203,15801,12539,10174,11458,11749,12956,13782,14554,15711,,21244,26226,28274,27193,36852,34121,33233,34248,35927,28830
170390,Beet molasses resulting from the extraction or refining of sugar,591,808,341,529,577,451,546,413,89,,,84,79,60,58,100,33,108,75,20,20,,17328,5969,7479,11865,6804,10273,3400,7893,8091,11923
170410,"Chewing gum, whether or not sugar-coated",1,5,63,52,50,33,25,70,70,,,8917,7690,8637,8523,8402,7058,6237,5746,5794,8758,,24232,21327,16445,13603,12922,12687,10940,11889,10766,10835
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",184,73,123,328,253,231,125,134,56,,,15566,13631,13889,9003,13003,15468,16372,15439,16938,17081,,4097,4853,5889,7168,8951,12292,18080,21456,19012,103421
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",1981,1928,2845,10922,25170,27255,32825,46663,59391,,,13133,15112,31219,43548,68550,71740,77466,102467,127729,120981,,268890,273827,237101,230898,258559,290454,230119,271836,286014,304316
190510,Crispbread,0,0,0,0,0,0,0,0,0,,,0,0,19,46,43,91,0,2,0,0,,293,526,652,604,228,62,29,107,214,2506
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",2,0,0,0,3,0,0,1,2,,,413,594,517,923,691,651,843,753,669,1077,,172,142,491,1136,869,1221,1194,1296,2040,143518
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,1,0,12,18,28,34,17,,,1095,957,1077,1232,1828,1989,2578,2916,1755,2687,,4,88,22,97,150,204,293,260,566,12583
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",0,0,0,4,15,23,8,4,3,,,6,12,23,12,169,4,65,44,3,0,,1141,573,461,218,246,289,367,431,294,472
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20¡ÆC, whether or not containing ...",0,0,0,0,13,49,7,4,10,,,876,952,842,448,657,1360,2101,2543,2099,3093,,340,215,394,426,582,767,247,323,329,205
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",0,0,0,0,1,2,0,0,0,,,0,0,0,0,10,0,0,11,0,2,,332,65,64,322,361,240,210,467,414,462
210220,Inactive yeasts; other dead single-cell micro-organisms (excluding packaged as medicaments),11,19,13,16,19,7,10,59,118,,,16474,14001,13796,12616,13955,13236,15464,13124,12099,12039,,6285,7898,3960,3643,5580,5543,5722,5978,5910,11269
210410,Soups and broths and preparations therefor,34,4,40,118,186,258,236,440,520,,,58756,56333,56094,58162,76816,84683,104329,100766,100003,107812,,615,557,579,881,1329,1332,1879,1781,2020,6690
210690,"Food preparations, n.e.s.",5650,8413,8670,10113,11559,13605,15531,15569,19886,,,358200,330414,340994,415253,482199,518955,738042,829158,1202292,1192338,,227800,369031,426041,476915,509664,526542,586243,798919,795842,949841
220300,Beer made from malt,64,9,7,7,25,36,50,76,42,,,56064,55833,62170,70653,87468,114783,116626,84095,54085,67106,,3377,3358,11684,7524,8194,11185,12614,15914,7135,25009
220510,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers ...",0,0,0,0,0,0,0,0,0,,,8,25,25,36,105,61,38,24,71,229,,159,118,28,15,38,2,51,28,1,761
230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2,4,,203934,267427,264428,273332,246216,242169,328544,349234,379548,298877
230330,Brewing or distilling dregs and waste,2,0,0,207,0,0,0,0,0,,,123,79,71,138,144,249,289,155,275,167,,146839,128261,176657,148350,212040,142919,234197,303727,270206,392174
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,0,0,0,0,0,0,,,1313,2,648,15258,1484,0,0,0,1217,1977,,26500,34124,39043,30083,29518,25263,22270,13492,8887,18082
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,17,123,112,17129,20352,10463,13071,,0,0,0,30,75,134,209,394,604,2108
250200,Unroasted iron pyrites,0,0,0,0,0,0,0,0,1,,,64,40,18,33,14,0,218,0,0,3,,0,0,6,16,0,0,6,13,38,136
250700,"Kaolin and other kaolinic clays, whether or not calcined",121,138,331,274,336,267,458,174,87,,,4604,3725,4612,3908,4914,5214,5129,6016,5881,7450,,15806,14601,18156,19369,19730,22533,27072,26128,26480,36003
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,,2,139,2,0,110,74,4,104,70,
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",9,3,1,2,1,5,0,0,0,,,0,27,0,0,0,0,0,0,0,2,,1587,932,567,575,458,490,304,227,266,77
251611,"Granite, crude or roughly trimmed (excluding already with the characteristics of setts, curbstones ...",0,2,0,5,41,0,0,0,0,,,25057,23909,20345,15297,13842,13028,11806,11429,6788,6388,,3,342,1262,2973,2462,882,808,229,274,4842
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",19,37,32,34,45,55,110,94,112,,,1236,1565,1542,1191,1594,1297,1763,1701,1595,1322,,2538,2804,1292,1512,2523,3266,2286,2341,1460,487
252620,"Natural steatite and talc, crushed or powdered",228,326,557,467,595,808,689,596,507,,,15864,13049,11311,10261,12387,12346,12302,11396,8963,10205,,5513,6525,7130,7607,8773,9213,10002,11729,12560,11476
252921,Fluorspar containing by weight <= 97% calcium fluoride,0,4,1,8,5,8,4,10,14,,,523,399,391,462,461,8,6,15,109,45,,176,64,399,40,666,594,875,1100,1052,2412
252930,"Leucite, nepheline and nepheline syenite",0,0,0,0,0,0,9,21,24,,,16,24,12,6,2,5,0,0,6,10,,719,950,964,725,892,932,799,805,944,297
253010,"Vermiculite, perlite and chlorites, unexpanded",203,6,8,17,10,20,89,96,107,,,1398,1205,1029,715,462,1081,736,557,410,419,,333,244,275,2607,277,252,692,769,480,1908
253020,"Kieserite and epsomite """"natural magnesium sulphates""""""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,198,0,0,65,71,32,109,1,2,
260300,Copper ores and concentrates,22,26,120,0,0,0,0,4,0,,,0,0,0,0,0,78,0,0,0,0,,344,2045,3317,10745,15651,21681,4646,257,73,584
260800,Zinc ores and concentrates,0,0,0,0,0,0,67,513,365,,,23,0,0,0,21,1309,1255,0,0,0,,0,0,117,30,205,138,431,714,367,1314
262011,Hard zinc spelter,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,7,0,0,0,0,,0,0,11,1240,3760,4966,0,0,0,
262030,"Slag, ash and residues containing mainly copper",102,73,0,0,0,0,0,0,0,,,10394,16970,8927,4260,4702,3960,5547,4955,7412,7486,,127,73,0,0,0,3,0,0,0,
262040,"Slag, as and residues containing mainly aluminium",0,0,0,0,0,0,0,0,0,,,5999,6840,5762,5499,4513,3469,3318,2359,2073,1304,,5,8,2,3,3,12,22,8,8,626
262060,"Slag, ash and residues, containing arsenic, mercury, thallium or their mixtures, of a kind ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",0,0,0,0,7,0,0,0,0,,,1418,914,587,629,913,971,1049,1253,895,2034,,175590,186418,185360,240889,398005,823290,1243149,1634989,1415077,2254665
270820,Pitch coke obtained from coal tar or from other mineral tars,0,0,0,0,0,0,0,0,0,,,124325,85677,66434,36904,27494,49648,133482,53143,10393,51528,,127,148,125,108,75,79,252,256,18,511
271311,"Petroleum coke, non-calcined",0,0,0,0,0,0,0,0,0,,,1324,1403,1068,1704,5880,3470,2566,4405,4915,2186,,8050,7528,5618,5890,3586,25126,4972,6501,15676,6291
280110,Chlorine,2,0,0,0,0,0,12,23,37,,,9714,8496,8878,9475,10515,11795,12342,11838,12154,12209,,33,60,122,119,142,87,13,168,37,42
280200,"Sulphur, sublimed or precipitated; colloidal sulphur",57,57,51,63,92,226,77,42,41,,,1025,777,782,466,608,544,355,349,327,433,,3080,1350,977,1037,860,948,1149,1280,1538,328
280410,Hydrogen,9,1,0,0,2,23,0,0,0,,,19,23,23,3,42,4,7,2,0,1469,,23,183,7,16,36,122,17,36,21,49
