Product code,Product label,Japan's imports from China-Value in 2012,Japan's imports from China-Value in 2013,Japan's imports from China-Value in 2014,Japan's imports from China-Value in 2015,Japan's imports from China-Value in 2016,Japan's imports from China-Value in 2017,Japan's imports from China-Value in 2018,Japan's imports from China-Value in 2019,Japan's imports from China-Value in 2020,Japan's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,188500370,180977514,181294159,160501113,156848668,164587366,173814744,169236468,163760523,185761270,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",11337741,14676620,15150930,13281580,14360160,14533616,15302137,13252736,12475599,15982466,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",7852730,8063572,8613234,6513736,6031703,6883276,6993495,8149734,11285860,9837970,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,8112151,8141275,8734593,6598812,6100784,6948578,7058312,8230897,11359563,9919444
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",3112514,2748647,2752102,2893369,2876581,3432117,3296155,3567339,3897131,4168173,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",1873165,2330701,2234661,1938639,2309307,2664137,2755706,2846407,2229839,2540601,,11471275,13800872,17583016,14265263,12934178,16041503,20360989,16774375,15417314,18058442,,2928309,3176677,3385553,2966971,3356005,3947149,4230204,4574631,3890170,4257072
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",1328823,3399289,5213968,3936821,3042377,2234518,2141669,2164643,2123778,2024630,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,3102976,7006545,8757444,6401137,4820917,3941670,3678500,3576346,3188082,3164423
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",1797736,1687721,1719799,1569795,1604055,1710411,1833941,1819317,1649764,1988718,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,2090852,1980887,2022828,1915683,2000005,2127142,2286518,2296681,2050078,2419217
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1200841,881692,859685,794630,903685,1096417,1213861,1374535,1671559,1773515,,12108645,11052503,13551801,12508589,12280973,13870741,14941793,12833637,13737789,15006764,,1976503,1859959,1832651,1583753,1522436,1722607,1870849,2040761,2376995,2592331
999999,Commodities not elsewhere specified,1595574,1319955,1353720,1600037,1604814,1812350,1841673,1699888,1520327,1754817,,1415651,1728194,2266660,2030505,5890469,6204774,5475592,11758017,24996302,34677941,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
850440,Static converters,1257660,1172531,1189481,1054422,1055400,1068241,1137768,1212881,1321037,1749212,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,2135640,2175862,2195559,2027046,1973485,1987221,2067567,2100237,2225486,2609426
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",980562,962235,938654,915976,902351,940640,990026,1007238,4606453,1706534,,3489427,3971765,4425576,4648290,4461880,4636591,5132255,5445655,53751194,11949763,,1171477,1176189,1155233,1140050,1142144,1190942,1262952,1312969,5171399,2092684
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",2741552,2651929,2339521,2089508,1918188,1871840,1861968,1691339,1454508,1654690,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,3035744,3020756,2780310,2624621,2496347,2471419,2590491,2454557,2132157,2301468
950450,Video game consoles and machines (excluding operated by any means of payment),1875496,1618704,1424932,901276,969387,1778803,1635051,1355367,1415197,1648193,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,1879812,1622077,1428715,903613,972758,1784287,1641039,1371116,1506316,1687172
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1322183,1235936,1286254,1177465,1208727,1247505,1355221,1317021,1385228,1547310,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1956687,1988977,1832564,1515606,1565432,1761884,1888020,2033896,1473323,1534497,,29622426,28598928,30449755,28106566,25041571,32012335,44310088,31443509,30617702,31884221,,3081488,3005935,2751021,2259561,2266728,2661957,2790168,2895335,2213315,2400029
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",3031007,2252965,1991292,1725647,1583381,1559643,1464370,1311663,1338031,1516380,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,4378265,3400666,3081400,2773777,2785911,2796831,2817145,2973599,2625298,2772826
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",1968932,1812297,1682504,1537391,1540745,1559203,1591427,1589306,1394468,1390206,,4237702,4544787,4367099,4868206,4300680,4906812,6078807,6563510,6140653,7670167,,2556361,2397053,2321639,2192741,2274906,2311414,2431693,2558207,2238627,2209764
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",1508256,1561496,1432266,1138471,1129017,1220005,1367439,1273592,1184665,1354381,,8202352,8378242,7865970,7509658,7809803,8828020,9653840,9320309,9457557,9707705,,1592208,1653441,1524163,1209064,1178210,1274245,1447120,1396877,1301000,1438705
852580,"Television cameras, digital cameras and video camera recorders",1197790,968596,801564,750221,702403,888319,964024,1160741,1191377,1353521,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,2081378,2069494,1808342,1625104,1542739,1893185,2191291,2427148,2266501,2449165
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",615077,654881,799431,705976,653783,773748,955552,922566,764279,1333993,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,1270683,1178486,1270695,1100938,1011534,1183631,1511999,1484887,1157316,1816437
850760,Lithium-ion accumulators (excluding spent),435139,475801,381617,387836,403398,457276,668565,781071,883083,1230702,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,522026,654837,536826,634092,751024,807893,1087622,1421109,1336407,1695556
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",1095915,851798,1001670,1095332,1084146,1022485,1242307,1310984,1217810,1198943,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,1469824,1227824,1409305,1555610,1585927,1540189,1932721,1919583,1680532,1762624
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",1185428,1120404,1151696,1003723,966789,1015080,1120981,1090017,996246,1196295,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,1582259,1517652,1613422,1425235,1429003,1540795,1727734,1747549,1692730,1926344
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2398400,1969689,1884976,1815877,1824825,1945376,1319529,1072547,1094384,1192322,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,3790303,3061679,2963897,2695723,2710222,2947692,2174448,1841750,1972781,2037791
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",1029182,868985,933042,864176,796024,737870,1267209,1228695,1104015,1184248,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",1760517,1498751,1429526,1302276,1319650,1243642,1224368,1285544,1047526,1121840,,8058635,8158025,8286053,7670326,7080116,7010502,6813843,6433177,5529963,5721194,,2320136,2052980,1940604,1856325,1921760,1810461,1769064,1907965,1651923,1768570
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",1075937,1019381,964460,858202,860587,939020,1001465,966714,921533,1013374,,5809829,6020386,6129462,6089210,6005525,6399667,7032694,7408333,7084399,7919140,,1179825,1123176,1076047,956867,949991,1024703,1097901,1069019,1029613,1135718
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",139042,328539,581872,464211,403668,366477,575052,255720,129909,999125,,445138,1134221,1709367,1540038,1432897,2160699,3011717,1800189,772940,2136808,,342296,485532,766844,542390,420455,379684,597002,258738,134420,1089132
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,555719,643105,767359,760761,963419,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,616057,719262,858183,839187,1021366
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",766425,792980,858787,797635,769637,850617,953202,879921,691690,930957,,4780978,5051339,5581220,5345770,5237552,5936798,6619744,5619383,4865230,6051097,,1303586,1294082,1370578,1277738,1214628,1316429,1451342,1327383,1039261,1407812
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",636390,461144,558897,481440,562965,708680,832837,643845,608009,899477,,7507618,17754192,14007051,14391300,9410901,7967090,9251060,11271565,17743826,20711290,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",925451,851981,848939,766947,747613,778460,836536,812358,726157,896335,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,1437041,1381266,1418670,1277753,1314115,1354087,1453391,1450096,1275415,1470911
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",369323,355780,393372,366363,361211,633273,531986,722785,696097,874924,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",654581,663462,640460,554217,503093,453222,580637,596225,646689,869891,,2899566,2967844,3180240,3112882,3219509,4291359,5096367,5481871,5073228,6670989,,1093110,1103418,1095635,972603,924049,897009,1122050,1154508,1077639,1300036
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",1031241,969072,922782,809463,722319,671046,656698,711058,685192,800701,,7671264,7908818,7448637,6665769,5989301,5832056,5899829,6632268,6048759,7114401,,1240010,1262044,1254106,1176578,1148966,1148335,1308666,1472056,1378745,1536827
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",764767,693282,639077,519530,566714,644885,646030,588773,610268,799554,,5449329,5378489,6075938,5821058,6061795,6548445,7208625,7508649,7795124,9267005,,1396428,1273626,1249269,1076277,1147913,1279935,1328725,1221377,1233406,1565776
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",268318,252602,254297,249941,271848,454955,601267,847434,1090563,793450,,4209990,4147605,4196547,4129407,3607870,3311654,3405972,3448161,4291381,4349833,,331553,317494,325009,311906,342343,536543,685146,1007695,1264136,1228387
853400,Printed circuits,620487,654109,729462,730430,715790,701320,645471,649326,598712,771738,,13739259,13347306,13837881,14134098,12910074,13972709,15270708,14653143,15105857,18916641,,1165255,1223783,1339335,1414330,1451485,1443004,1268564,1227874,1219947,1477342
160232,"Meat or offal of fowls of the species """"Gallus domesticus"""", prepared or preserved (excluding ...""",1081628,1022238,960293,754578,695885,826304,904976,834869,692125,770998,,1205225,1177872,1139016,910819,864257,1007967,1111322,1069894,913831,970714,,2237889,2132027,1943804,1887993,1933350,2248096,2419251,2420340,2229177,2251574
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,941303,1065817,1105085,1075515,1007223,1025195,999545,918754,698065,761233,,7467435,8780149,10993331,12069145,11630416,12670263,12816140,12585823,9410316,11213156,,1086989,1255915,1349455,1359379,1328757,1369961,1398574,1406475,1122449,1165765
847170,Storage units for automatic data-processing machines,1258070,1148837,1062150,936849,923068,857281,834723,780373,660359,730542,,18638870,16591268,16635339,14808304,16709092,18653486,17820524,17285611,17341219,16708192,,3364387,3037311,2731359,2424203,2252471,2230391,2467197,2459406,2100827,2204602
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",372775,360783,336511,311397,317890,345434,441252,510682,764773,723156,,5962127,6100823,6817682,5860399,5483369,4937296,4872540,5062649,7400129,7723280,,464527,460783,434117,388285,396387,424632,527852,592296,834002,793483
940190,"Parts of seats, n.e.s.",654588,653555,704620,683484,700960,725240,750459,771750,606554,699454,,2714795,2903727,3125439,3412388,3261425,3475570,3657292,3924449,3695546,4267996,,1041723,1028777,1159269,1207173,1263140,1314173,1403193,1405670,1099325,1157723
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",46144,40667,35825,36062,28186,31416,54064,160456,356047,684205,,29174,13678,26128,25655,50592,60276,65817,140346,125187,94707,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",1605480,1404826,1224014,1016117,917148,853032,764221,674781,546684,683049,,3275555,3210607,3185246,3043440,2884272,2821791,2885776,2694484,2277879,2454516,,4244949,4191800,4205777,4028494,4027210,4407284,4829752,4988948,4524737,5151759
280469,"Silicon containing < 99,99% by weight of silicon",370209,313956,415327,378614,281954,360368,443197,287435,257439,667118,,1144421,1442326,1978294,1777572,1279308,1528143,1609058,1212269,1113223,1902268,,494961,372447,445917,410423,324120,401012,506364,365069,343737,772072
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",853128,736078,748140,628230,608270,583842,578103,617394,612312,662411,,2571479,2342369,2482054,2099526,2060456,2171335,2296147,2359109,2358440,2615416,,941226,879997,920349,740388,733312,705561,729053,768539,730281,783939
850980,"Electromechanical domestic appliances, with self-contained electric motor (excluding vacuum ...",419568,346133,340959,367536,378394,372422,391342,383369,487150,648110,,1419181,1622243,1896284,2121148,2060136,2319401,2734145,3308388,5536011,6469567,,553832,494830,496408,530516,554457,514010,558256,534000,637191,789638
854232,Electronic integrated circuits as memories,376012,347579,319054,316922,284835,360326,492437,453090,436464,645069,,14374599,17692084,17566232,21566607,23241587,29621004,43966741,52446486,55864236,68017077,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",754651,698874,692954,627925,588351,587428,571585,571399,577515,640001,,3196451,3189308,3580002,3515599,3142050,3145784,3284610,2880681,3690811,4694252,,912211,821310,816166,771410,705553,675021,669717,658952,647257,703098
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,1437035,1316688,1159818,980252,928333,838345,768449,729297,591084,635841,,14434322,17745974,21317092,19635870,17298639,17169304,15753113,16093709,12612203,15866804,,1687224,1566804,1441206,1298540,1303138,1199205,1140533,1153256,965023,997591
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",426328,519939,559783,439145,434050,409890,470337,448965,512536,623723,,1951387,2171772,2666277,2969992,3008081,3606034,4307329,4400514,5740694,6151412,,674623,806857,1030877,944554,1035109,982450,1063121,963992,1018929,928255
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",1371388,1287571,1153006,1052181,952525,751192,728307,685868,665236,592105,,11707283,11558640,10616607,9066266,7801391,7127845,6952744,6095318,4550585,4026137,,2123383,1785553,1732634,1617918,1460115,1378741,1378152,1361830,1353510,1256813
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",246275,282172,247661,210868,217871,273545,326781,383115,382674,584971,,4828383,4759168,4839917,4460400,4293589,5073460,6164928,5457612,6458197,7833031,,365193,421276,386125,339992,392269,485089,509710,583564,597090,771228
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,363768,432147,434443,397847,573729,,0,0,0,0,0,2905595,3538922,3451548,3654255,4966804,,0,0,0,0,0,1085250,1266586,1244169,1203337,1600112
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",511271,514855,477944,387689,353632,401318,399580,478517,523290,566647,,1881055,1944506,2132819,2015619,2175599,2731409,3198018,3464530,4437762,5280294,,810617,773100,752214,641428,587193,622637,622972,753202,859270,908532
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",328781,357031,404200,398497,408568,468530,485765,461294,441089,555251,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,681438,741175,850830,855306,929148,1080629,1136792,1178975,1081381,1203806
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",879494,800992,669890,606986,615333,597814,570996,605213,506641,544550,,4179672,4367799,4853857,4561092,4322103,3988625,3864524,3737221,3197026,3858857,,1192070,1164692,1089616,1026898,1132970,1146712,1208347,1358420,1220003,1284660
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,318888,298529,290149,279404,263843,283761,290579,265203,586530,540509,,2441153,2475238,2484049,2498666,2211797,2496904,2584765,2239346,6403687,5036812,,401923,387446,389325,379023,370692,413383,429286,398636,782494,749748
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",672340,603706,579905,491085,454167,456112,466644,482768,489729,536431,,7149728,7386778,7904822,7283527,6655596,6909953,7282661,6593078,7227905,8887863,,1427465,1317482,1310771,1130949,1098141,1115972,1138172,1154829,1136014,1195922
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",335771,361511,470923,481285,549759,582167,595933,553470,470039,527445,,2492965,2916435,3410655,3794378,4266506,4610793,5196888,5548671,6634993,8613104,,934081,1017658,1145819,1089348,1233183,1234263,1333380,1253508,1061287,1165813
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",300540,312341,307610,281317,279345,297277,336701,344793,419459,500401,,7556079,7915238,6974962,6944367,6437914,6782631,7920782,8476989,10007413,11083858,,487640,483835,487094,463706,456369,492862,536238,559157,654665,769203
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",346861,295461,312045,294758,274874,327537,365034,368146,441899,493889,,2160919,2602288,3036269,3045641,2967053,3169547,3327498,3401464,4268167,4858388,,398544,351817,353086,332316,306865,368730,397935,397775,469821,517095
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,359854,388904,327141,184289,166145,191477,230749,246707,385216,466249,,923697,1178018,1474716,1331829,1901362,2061133,1887671,3165836,4606213,3811652,,568652,578451,544975,417620,412470,503041,647980,611097,717769,910278
847990,"Parts of machines and mechanical appliances, n.e.s.",190823,174407,242840,254380,262337,352675,386937,362556,321400,451551,,536220,517462,636818,681888,659245,851227,1016104,1303105,1448725,1555741,,508735,505240,634630,607209,660805,790725,918469,911824,807794,1063839
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",239669,199857,219696,204190,245978,235489,288462,347271,381484,447351,,1383827,1526753,1740720,1773394,1761757,1847939,2055557,2187926,2468883,3035004,,592678,585931,578819,541621,596530,634278,747898,791584,735027,870768
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",107398,155084,295676,340692,320926,333164,394301,441173,387642,428829,,1421748,1633948,2054732,2341057,2141814,2377353,2681781,2816759,2880326,3403480,,258518,350744,558415,580573,538462,524630,612326,679881,582171,651742
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",841915,891025,765132,588647,553782,583002,601151,523960,464939,417746,,3794415,4701628,5328200,4982465,4386915,4195984,4137774,3677689,3092265,3879118,,1152358,1197173,1111438,994987,1003564,1054992,1170958,1068940,926391,786017
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",396363,408154,418230,374494,386611,396631,398308,407616,399874,417023,,5785176,6346436,7284550,7484281,7714444,8197437,8783814,7717648,7631375,8897566,,630220,649138,652575,591031,616879,624632,625761,653738,625107,629975
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",438973,439269,561395,591961,574783,647928,552984,497253,358467,414321,,2958522,3009119,3147855,3037504,3102294,3398292,3732805,3760551,3554395,4354729,,825422,837260,963135,985885,1022785,1107300,1041308,940793,799536,918393
392321,"Sacks and bags, incl. cones, of polymers of ethylene",685465,680452,691693,603156,570345,550383,564384,519384,438676,414131,,2500158,2675967,2892807,2796704,2655947,2717199,2928067,2624292,2745160,2896765,,1242981,1279383,1372644,1249720,1219949,1247623,1364980,1291930,1129449,1086114
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,348257,341319,334222,338069,376713,400591,379803,346206,349816,412130,,1450414,1611931,1807659,2008137,2143103,2330223,2671160,3134289,4441323,5902201,,383102,370865,363175,368698,417461,455802,429447,403803,394423,461774
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",405596,271596,220012,214577,221594,261717,284617,292147,315189,410269,,1862838,1878562,2047535,2131091,1653179,1809920,1975435,2056212,2057642,2607728,,881516,668423,743384,674554,664243,767893,743993,716172,789956,889573
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),419638,375088,412595,343232,334813,363170,385504,350649,305566,401439,,1519735,1797185,2556187,2281590,2264603,2476905,2568168,2568604,2720449,3007100,,785399,692622,781086,773460,718436,818836,895562,827608,715200,874847
71080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",280191,287522,301670,294313,309158,328390,352974,368730,364683,400804,,643111,629515,674351,653142,720247,782750,791429,839919,824259,770137,,377012,377509,393949,392384,410446,440290,485419,514292,505626,556599
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",294772,226915,237150,185303,189379,230208,265617,380049,277202,396350,,3732730,3724825,4215491,3987130,3825568,4277076,4793922,5358167,4996528,7174722,,465927,409624,455360,377257,379021,469949,573525,667048,502730,824680
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",332755,334587,345422,353171,384554,401152,414247,427403,303518,394423,,3840141,4083632,4380924,3982888,3935376,4431499,5067627,5147457,5041408,6608520,,877888,815221,871861,877742,939668,1019235,1129521,1145517,789356,922528
160417,"Prepared or preserved eels, whole or in pieces (excluding minced)",355544,242142,221009,297944,277084,290635,323995,314212,277333,392614,,1039981,835963,787038,827215,749913,750835,919140,833039,777059,1073281,,365087,244305,226480,314871,286237,298515,332354,320193,280008,398955
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",786985,791655,714566,563878,494756,462712,457195,458613,358316,379604,,3018016,3504519,3588833,3543358,3369277,3216949,3043586,2633891,3094987,2583894,,799103,806887,728816,576041,506276,472159,467750,467401,363715,385025
160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, ...""",453316,387544,366334,355749,357095,357325,387149,385521,351350,372992,,789374,895495,922778,894330,874677,994175,1275686,1414639,1686325,1816502,,574389,492367,481444,448229,447068,444773,498439,503637,447741,465399
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",883795,669301,674765,509968,531815,522359,465529,495200,393154,368301,,6362689,5335708,4862970,5121459,3802575,3775723,3942381,3450729,3212272,2668450,,1066154,881346,881614,671201,727959,748052,693855,729173,645132,601876
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",375588,319163,550886,520858,454661,239545,299462,218791,327148,366969,,670802,628890,1181390,769772,796162,435704,548716,449642,390848,456646,,1091108,1043997,1057226,841650,755346,659765,762272,695546,799357,939653
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",496759,444511,394054,338040,390926,420323,387835,377800,366029,366666,,2705100,3241562,3912104,4002374,3967162,3790850,3734371,3493512,3226653,4006537,,623041,597912,553907,488311,542936,564544,568954,533719,526882,509390
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",405134,370250,328362,367710,428240,431240,400547,356261,371716,361455,,943413,1074048,1526695,1824968,1667699,1763745,1892470,1751233,1685068,2150834,,489916,496165,453628,546126,622354,640703,638527,587527,607488,570747
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",1073392,1125211,730130,617127,525224,572622,490648,401722,320280,360022,,7438737,7807497,8439521,7934020,7649329,7172687,6976929,6135882,4701954,5594135,,1367421,1484966,1068712,987430,911703,909827,865021,765703,646169,705276
850110,"Motors of an output <= 37,5 W",439404,373551,385187,364936,362573,353212,368879,357526,289409,359855,,2657818,2756568,2840126,3064187,2919399,2979901,3084423,2966454,2774326,3264798,,679754,591883,613727,574807,595441,616266,655680,636335,524206,652681
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",506494,469573,357131,272596,370655,432442,387211,355852,312238,358502,,925936,1165967,1090842,1020654,1012160,905069,941988,931005,689456,912153,,599697,587537,470151,382378,499879,572498,541821,515805,455542,477546
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",392201,334203,347246,302836,311776,316362,334779,320098,297355,358413,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
442199,"Articles of wood, n.e.s.",0,0,0,0,0,341608,339658,326638,326150,355428,,0,0,0,0,0,1920952,2226099,2164436,2477104,3122762,,0,0,0,0,0,563175,557122,551165,536699,593063
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",264863,246992,284693,268227,278471,294979,335405,308600,285868,353195,,3468722,3451974,3681212,3487191,3241605,3663610,4086193,3929862,3575852,4308513,,562493,544971,603759,563126,589257,627001,708174,690403,627943,724600
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",415287,390561,322649,308431,306059,302304,315160,306524,314723,352362,,2388564,3132286,3157221,3180071,2806107,2722946,2889903,3018557,3090539,4118277,,454452,443389,380794,374779,433518,443123,473536,476356,508089,614566
620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",606755,591235,487888,454192,411006,389263,484559,430261,288966,351801,,3949263,4507750,4781601,4095517,3878428,3891924,3877313,3565597,2560432,3266024,,790932,825894,708413,679403,649650,666117,905562,929013,715054,713289
611596,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",471808,476026,465426,444268,412933,404255,436244,388282,321095,336383,,2513220,2758419,2833355,2796566,2467214,2509607,2875854,2894931,2483060,2845203,,551973,558885,545583,523632,489807,479065,516525,469127,390807,414652
940540,"Electric lamps and lighting fittings, n.e.s.",216276,222440,254121,229320,255890,244855,254738,272540,266466,335133,,5971647,9088013,14459201,16910153,16975612,14130457,13688052,14851047,17393122,20490076,,331083,346062,366353,339444,377540,380166,388355,412516,373018,436103
