Product code,Product label,"Japan's imports from Korea, Republic of-Value in 2012","Japan's imports from Korea, Republic of-Value in 2013","Japan's imports from Korea, Republic of-Value in 2014","Japan's imports from Korea, Republic of-Value in 2015","Japan's imports from Korea, Republic of-Value in 2016","Japan's imports from Korea, Republic of-Value in 2017","Japan's imports from Korea, Republic of-Value in 2018","Japan's imports from Korea, Republic of-Value in 2019","Japan's imports from Korea, Republic of-Value in 2020","Japan's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
TOTAL,All products,40532147,35822436,33385307,26807097,25066850,28110663,32149067,29629342,26591377,32098893,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,886031094,833166061,812184752,648436326,608071912,672100069,749092205,720964445,634678167,772678811
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",4913496,4052607,2499911,1302420,762209,1441121,2242408,1566199,1226311,2348943,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,11387324,8608650,6519960,3362247,1810903,2664845,3935434,2518814,1898048,3390124
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",4621699,4272992,3730292,2142175,1336304,1395536,2489544,2138657,1571497,2291532,,11188536,11694588,11293259,7885765,6528666,8198633,10740635,9477784,5321034,10841241,,18646876,18272985,18443240,11126740,7600905,10257153,13784345,10635305,9140376,15079487
999999,Commodities not elsewhere specified,1153396,1022767,1178136,1203535,1158529,980554,1297646,1487586,1567393,1333041,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,12201048,10484568,10460788,10687242,10592055,11299775,11736701,11873794,10884595,12002634
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",1183065,1166107,892346,733195,936154,877681,837304,771326,952185,1322074,,2308729,1633965,1729466,1296941,1579533,1262091,1173496,1175432,1522601,2001367,,1539764,1316282,997652,785703,960033,1083439,1043673,847792,1139060,1776502
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",983112,855481,735572,690152,484916,824656,934144,356065,362849,990728,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,8423940,8071790,9184975,9229632,9864402,9883761,9011815,8014771,8267909,12541423
854232,Electronic integrated circuits as memories,1122200,792675,751257,832013,619692,621205,642561,493229,450360,595428,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,3984091,3470228,2507888,2624220,2437367,3082398,3769908,2743140,3094729,3622145
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",391409,272435,384177,283027,305217,384868,412358,485713,371462,463993,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,485207,354816,570148,413297,400071,559519,597160,711722,551787,750455
240220,"Cigarettes, containing tobacco",80296,108886,191433,288123,389671,555706,588178,567942,530363,441232,,606382,525034,669060,886814,981578,1125560,792282,717394,816423,679880,,5357401,4091115,3351403,3066070,3241521,2612628,2416255,2237379,2003682,1789908
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...""",0,0,0,0,0,0,241600,357407,362494,397486,,1745,1862,2793,3713,4819,10688,14189,37655,22305,29766,,12,365,855,556,651,1933,2448004,2867335,2976774,3307655
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",87943,69981,57276,55155,90373,111501,149234,192757,288509,323758,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,842076,777327,781065,738552,777547,803279,923028,1018275,974089,1029654
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,104209,118333,127208,142379,224021,282963,266990,252277,312462,319428,,636714,826821,888093,948984,1121445,1717185,1900887,1898887,2189649,2789135,,760469,765163,802772,1036045,993405,1204983,1358418,1284499,1550185,1804078
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",368688,308430,339750,276924,178891,237125,213776,175271,173725,314967,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,4625095,4626768,4723070,4681992,4362836,6008551,6938696,7379527,6975346,8437302
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",349018,224742,267196,212171,198591,303280,257782,277529,243423,310197,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,394283,253521,385971,264391,233101,332921,290809,314464,268441,335586
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,7383,52045,103037,208993,278549,,0,0,0,0,0,798434,779798,702045,2566862,3938618,,0,0,0,0,0,4478193,5809067,7248923,8035942,9569768
848071,Injection or compression-type moulds for rubber or plastics,326554,317398,383271,307047,395476,402898,273960,319373,252382,244255,,1246779,1353993,1548066,1293151,1261133,1293402,1243994,1267662,1301489,1075496,,613477,622380,748718,646090,745618,788805,653546,753933,639030,667221
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",248099,236581,219129,190052,165037,186735,261869,264972,187152,230922,,1952554,1898654,1772824,1446687,1375704,1783597,2145463,1728189,1418992,1860518,,1270683,1178486,1270695,1100938,1011534,1183631,1511999,1484887,1157316,1816437
720917,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",375762,266331,269967,171228,160174,224681,209922,205101,145643,217842,,2043101,1721115,1716186,1248093,1099807,1343917,1405054,1315438,1136114,1664499,,433123,316466,321398,211917,201730,288833,289437,301963,208053,329768
711031,"Rhodium, unwrought or in powder form",270,519,445,348,60,55,594,17,40873,208697,,1977,7793,20661,18206,11614,950,4436,7852,115804,563984,,232003,168885,152333,134578,128141,222739,473072,699596,2140773,5137024
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",167430,144085,135731,126394,128572,143943,151834,151818,164195,205012,,1155914,1330365,1510528,1474237,1494881,1789456,1819162,1724439,1719006,1992255,,239213,212489,204272,190106,197854,225809,242126,249869,269314,326313
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",58598,77011,106700,93505,99282,258160,552375,380808,214882,200000,,231463,346500,405681,395449,422482,682901,910553,1958305,2428789,4423597,,100687,114969,171529,224524,192203,384340,744124,484252,309383,538124
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",170592,195555,122545,116656,140958,100348,120972,162974,140220,194999,,940083,853307,750715,647851,633800,691605,1297221,972899,922276,1071559,,1014036,979426,926032,944523,886308,929853,1101955,1025820,979932,1168143
720916,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""",192089,155562,193146,121235,112359,157994,156542,154150,108992,182379,,933940,908591,913656,651859,557918,697633,843054,784791,698110,1159370,,301764,222099,279543,178907,164566,239709,249682,249705,162622,302318
210690,"Food preparations, n.e.s.",213751,177090,164669,163944,177899,198189,210338,169737,162781,182020,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,1158768,1082073,1058275,934971,952833,982272,1021330,969208,921031,948806
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,127520,135567,106216,99615,98932,184010,190579,146839,138398,178947,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,3081488,3005935,2751021,2259561,2266728,2661957,2790168,2895335,2213315,2400029
852580,"Television cameras, digital cameras and video camera recorders",67378,61060,59933,60923,63851,89887,150690,193790,168805,174698,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,2081378,2069494,1808342,1625104,1542739,1893185,2191291,2427148,2266501,2449165
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,3146,34125,12823,41218,166177,,0,0,0,0,0,563925,1027716,1436399,2545997,2134286,,0,0,0,0,0,430337,553867,466571,561937,630910
720827,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",179366,136267,145535,112480,104205,144343,145054,152920,107840,157170,,634009,562778,617699,502523,501312,581295,624550,595441,458110,654111,,216174,173708,192412,152198,142523,197271,208465,216767,151262,220041
847170,Storage units for automatic data-processing machines,40338,66860,35223,30929,43258,61646,63182,38117,39636,154887,,1797549,2384379,2895324,3613241,3916109,5619460,5176310,396774,87481,104407,,3364387,3037311,2731359,2424203,2252471,2230391,2467197,2459406,2100827,2204602
850760,Lithium-ion accumulators (excluding spent),34405,67214,58321,58922,90770,90848,115745,195817,180001,153047,,2064884,2265401,2268055,2030201,2328866,3518604,4391786,4679066,4878678,5759460,,522026,654837,536826,634092,751024,807893,1087622,1421109,1336407,1695556
271320,Petroleum bitumen,283266,361566,337909,128536,104487,162983,196546,176969,108816,151451,,1396932,1796318,1950126,1344636,811727,1328540,1388038,1268496,892827,898280,,285902,365993,351062,141311,109225,166970,200264,180109,110717,156610
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",473572,195221,187059,175785,128659,124786,128215,140778,174934,149254,,1119530,1008547,1182846,1366026,1031405,929446,969933,766826,923952,1003404,,6348739,5317573,5128479,5126540,5072559,5693115,5588166,6274325,6914454,7345157
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",255004,312976,306161,182970,207466,168111,112944,99571,146649,143802,,7212942,10745179,13150064,17612803,14750059,6546331,6848687,12163895,12840863,15965206,,3790303,3061679,2963897,2695723,2710222,2947692,2174448,1841750,1972781,2037791
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",194176,164629,154162,131116,147590,158249,151048,144871,134764,140369,,733134,871884,785926,826434,821217,966088,1112527,1234654,1292991,1526255,,535411,464119,433314,374864,407195,451016,501221,493313,465859,537206
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",207967,140657,151376,92570,102595,125405,95656,113788,90437,140297,,1605855,1151003,1233228,1054998,919101,1004388,911510,993040,1256458,1294579,,429770,316617,333888,221058,210889,258410,233894,253866,203310,293930
390230,"Propylene copolymers, in primary forms",173473,157691,175609,107154,103817,114414,189191,128855,103826,138128,,1997618,2131515,2135821,1428090,1306919,1405622,1577092,1443996,1361393,2186111,,343027,251445,300636,194616,189125,248149,477996,321100,245439,342930
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",92566,69194,50830,57567,47620,78396,59238,65161,132434,137299,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,1344791,1022199,836307,832335,883401,948179,922639,915757,993281,956616
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",164804,139515,131077,115743,129706,132430,133198,111983,125958,133167,,123190,185126,199200,197946,228321,261309,259197,238640,200901,273175,,690954,625898,550020,636107,617781,705184,797304,813992,717723,920304
721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",95194,105884,112567,75308,78975,113880,142560,95297,97308,132520,,448436,369671,366203,362163,325836,376577,419486,367533,292588,377442,,114530,122711,134168,98719,111082,148739,197316,140305,140611,219730
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",127342,60091,105830,39834,52518,82357,148701,96701,74743,131655,,338283,216722,226771,88271,89523,333651,231350,121580,142713,204937,,134014,60270,105974,39920,52561,83282,163552,138737,74954,195694
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",145068,103200,114368,137370,179380,232376,289376,271383,176119,127291,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,1469824,1227824,1409305,1555610,1585927,1540189,1932721,1919583,1680532,1762624
283324,Sulphates of nickel,0,21,0,0,0,0,5741,56713,78159,121967,,891,1044,1375,3686,3064,3392,11492,61292,84868,209636,,57300,25783,53643,96085,106524,154679,228795,326208,346716,456420
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",88662,80340,93303,87766,130689,120664,125913,114524,122937,121096,,832796,888855,918481,959415,1123760,1236304,1382329,1313597,1341814,1502732,,2254608,2177636,2259540,2113597,2267285,2371886,2570019,2538387,2639842,2908262
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,23258,18476,35471,37802,45565,69013,202798,77310,113996,119619,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,617681,977580,1585679,2347474,1593535,2784908,4199312,1917749,2735528,2385870
290122,"Propene """"propylene""""""""",52344,33,14903,13057,84288,141100,184059,45389,34588,119312,,1607519,1638088,1762084,977091,1203536,1511045,1763506,1479879,1165776,1677389,,66475,105,14985,13239,85824,142800,187212,46612,35644,123850
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,89390,72158,72231,59098,44889,81763,106618,131058,140731,117974,,176987,184151,217250,218311,166318,268103,360610,376249,470741,673273,,691470,570570,511720,449097,421461,372723,389987,388919,352385,343641
290220,Benzene,122566,160078,126559,218921,39244,130777,102161,70488,33753,114968,,1854307,1809398,2271028,1732735,1271975,2124295,2107909,1673215,1081893,2254945,,124112,160078,126559,218921,39244,130777,104991,96135,33753,114968
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",24880,95560,39746,20703,15586,27053,34528,54170,112312,109020,,34479,139878,59694,123436,123139,137615,122289,202843,488677,422476,,544206,626934,585995,546780,541818,578607,797701,1364910,2314779,4261092
720826,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",129827,87792,89875,68004,68553,92053,92725,99041,71336,104893,,375975,290526,335734,279164,267427,328647,376986,353254,277971,447600,,148915,105111,111744,89122,90602,120385,128823,137809,100743,146292
847990,"Parts of machines and mechanical appliances, n.e.s.",57829,65366,73578,66311,76895,81443,99912,119653,92485,99490,,1594688,1724447,1871142,1877396,1494806,1560913,1604088,1370386,1241180,1239912,,508735,505240,634630,607209,660805,790725,918469,911824,807794,1063839
730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",113802,99820,130086,83653,77506,76666,82824,93829,81582,96108,,433036,425247,415429,309706,359000,361947,367595,301786,253638,323301,,151716,135364,166812,119486,112135,115486,123504,138295,124650,144874
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",109736,98656,103272,108994,99817,96474,108103,129129,112758,95987,,1059662,1118919,1348498,1436157,1405816,1409264,1525882,1892220,1621161,1569849,,707180,666451,729269,647669,635299,727734,861667,802673,663587,832201
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",25788,68382,100204,135647,104832,82904,83746,54860,69966,88302,,177249,309339,395901,393637,472494,497857,548161,519117,485628,708008,,580348,541211,618862,526960,463206,416338,426610,361602,413085,477775
847989,"Machines and mechanical appliances, n.e.s.",77029,89584,83599,78583,77477,78456,70550,80410,80009,88020,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,829097,771996,831044,801591,728559,883128,879985,950221,936432,994234
853400,Printed circuits,111229,87592,73326,84143,72737,73551,79057,77791,73865,87955,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,1165255,1223783,1339335,1414330,1451485,1443004,1268564,1227874,1219947,1477342
70960,Fresh or chilled fruits of the genus Capsicum or Pimenta,95085,93318,85069,87031,98996,95488,96851,97096,92899,87688,,92762,90878,84378,86650,94917,91060,93771,93320,89178,84913,,160616,152805,132149,132008,144742,134706,135699,128712,124532,115057
290711,"Phenol """"hydroxybenzene"""" and its salts""""",8754,15170,37867,25553,51389,45921,157091,84867,80696,86043,,140134,235941,329654,154560,208606,317172,552901,314252,185530,303289,,26228,20201,55366,33782,60222,52437,175196,89136,81607,103178
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,59126,62762,66487,62483,85973,,0,0,0,0,0,901492,1028200,1077812,1085519,1381089,,0,0,0,0,0,1085250,1266586,1244169,1203337,1600112
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",2115557,1366323,1042049,913720,112475,68505,114611,32992,64359,84221,,12096876,13175420,12488434,10382781,8156690,6972601,6120802,4744383,4122757,4926365,,14041589,16522954,16355755,14367546,15274714,16904848,17722672,15441687,14907707,17984777
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",59313,61371,58301,41427,46212,58161,73244,62365,64548,83987,,486487,409565,429072,445015,416600,438174,454295,404841,339375,438368,,70021,68817,70210,51050,58216,74438,94203,81109,83491,120168
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,55931,63383,73707,90738,120864,98694,134100,134054,92169,82971,,421750,561811,694002,717219,891425,836472,797938,785935,739125,843531,,429798,511125,623913,659253,708650,609921,692818,730938,548615,629264
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",33162,38874,44717,45224,63700,66876,70968,76634,74523,82741,,366676,394729,439075,435289,502871,511729,514556,529897,674356,597346,,13816203,12239410,11125380,14915543,14384100,12297744,13738089,13945621,14117694,15406428
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",105316,97526,98194,85815,94202,106101,101389,98444,85949,82563,,1444558,1276695,1372296,1464900,1542442,1559537,1712212,1736164,1466954,1836637,,1437041,1381266,1418670,1277753,1314115,1354087,1453391,1450096,1275415,1470911
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",22356,34052,43953,62498,65300,64869,73134,97423,82764,82128,,1242472,1806264,1303779,1292236,1428853,1352454,1551089,1548421,1351371,1368357,,681438,741175,850830,855306,929148,1080629,1136792,1178975,1081381,1203806
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",33734,28340,30678,22428,39364,59509,72114,62878,56864,78657,,982862,1078578,1196127,1224170,977325,1253736,1502967,1525444,1473878,2036694,,253782,229292,240185,278908,321411,311917,366639,428799,340248,351662
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",50938,54374,84637,68490,69751,81525,77649,80966,106804,77198,,8067,32765,30281,24113,22880,33468,42859,48625,65608,36238,,604637,626383,734835,695976,1448426,1814596,2232628,1828435,2041125,2378310
841850,"Furniture """"chests, cabinets, display counters, show-cases and the like"""" for storage and ...""",452,279,12043,60027,93814,94602,87939,90746,65291,77109,,52824,44795,47476,49620,46470,59309,55954,45525,37716,47531,,42313,39506,54083,112014,136709,141869,143291,148142,134103,148178
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",16348,18610,22943,24847,36839,35958,37676,50449,61933,76863,,382420,390464,497543,498535,510689,540387,559775,579963,499846,719015,,2110034,2229635,2074421,1994957,2127770,2170041,2486105,2725098,2459588,2560904
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",86357,67164,56409,45707,48607,47145,57263,56529,71451,75983,,112285,93126,88336,78982,85405,88500,105532,113022,155455,174250,,411961,388245,357898,330141,344683,350775,373439,368488,378094,389174
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",43274,39971,45567,36699,40356,43467,60829,73944,59454,75208,,521107,599895,714239,702603,723253,832317,845530,826012,721836,847516,,382936,347309,367309,350992,352040,422689,484350,470716,413416,558569
820730,"Interchangeable tools for pressing, stamping or punching",68430,65855,78885,63741,84829,83140,93137,94406,74729,75139,,771173,789785,959716,951945,924128,992845,1109868,1020994,1101072,833162,,127557,121719,152592,139926,169131,177800,203555,205844,184794,184215
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",86955,62426,71907,68767,92660,115174,105263,109991,99053,75134,,157018,135089,135830,144469,188384,283380,262678,277313,241621,253713,,211401,178544,178714,164469,209133,220647,206140,214644,202518,179282
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",208250,606424,494338,415382,283606,337654,331462,291360,153192,73100,,3878801,3791162,3419963,3633217,4164387,4613563,4308266,3512325,3110876,3052481,,3102976,7006545,8757444,6401137,4820917,3941670,3678500,3576346,3188082,3164423
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",63995,62226,77111,62155,51193,63388,73439,70315,57314,72175,,213264,215212,259399,209652,201558,268231,331067,291164,204758,316808,,160128,156451,176989,171903,157923,192125,218334,219459,193861,241209
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",85145,67701,80427,74701,77165,77772,79595,79825,64660,72111,,333657,264369,276331,307670,298808,354156,395778,411882,365969,356734,,522761,452199,521790,491528,483656,491353,562642,503545,419309,570333
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",25866,21190,15522,20250,17130,18317,28245,27920,30639,71990,,55412,70546,107946,203148,399924,699796,934990,724126,817809,792929,,205735,200440,172951,193423,198053,182138,201539,215829,214801,292349
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",5669,10559,9757,4261,4373,5612,4859,5233,52072,71316,,79785,95975,78201,58165,59420,65305,66244,66374,63725,72098,,2193933,1845814,1852868,1675224,1774224,1854349,2108403,2164806,2162757,2194172
721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",63670,77147,65367,44676,62393,74510,78374,66841,49131,69910,,987806,857827,1022387,836717,766771,857413,982778,927415,764451,810037,,67326,79065,68249,46606,64685,78217,82477,72320,54599,80771
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",136080,148681,156017,112953,172447,159601,143565,137040,81748,69833,,2385971,2690380,3156626,3089487,3126722,2449816,2534142,2483725,2020393,2356796,,934081,1017658,1145819,1089348,1233183,1234263,1333380,1253508,1061287,1165813
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",85375,75785,87620,71155,77316,84752,95495,94253,62284,69129,,13950047,13615519,12852976,11857484,9654598,8788530,8570782,8681574,7312171,8714846,,877888,815221,871861,877742,939668,1019235,1129521,1145517,789356,922528
330420,Eye make-up preparations,11342,11616,10687,9147,13402,15861,27593,43277,48299,68962,,32564,50183,74690,102878,135508,140257,189193,178022,193320,215496,,112291,104577,103973,98759,109943,117470,124232,153727,158250,198519
740921,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",51698,58351,71637,41137,32412,57102,66671,55415,39479,68733,,268734,284690,293319,222694,200844,267250,285704,237522,217821,312598,,71571,77606,91717,50847,40231,65609,76141,66347,49105,120179
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,14242,50602,87536,68317,68664,,0,0,0,0,0,31389,59516,38490,41826,54910,,0,0,0,0,0,418813,442161,547066,482831,238902
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",300704,251693,229919,160813,125530,52802,47673,53093,74388,67688,,2701856,4163027,3583937,2762632,706472,734940,969440,1022525,1157688,1172054,,2401526,2030912,2222629,1977041,2075656,2282399,2197251,2296115,2172519,2206172
854411,"Winding wire for electrical purposes, of copper, insulated",29445,32809,43356,43220,27345,37186,39476,39654,44777,67438,,269251,271639,256046,219670,166387,187931,210673,169409,185808,240337,,73086,76259,99450,107226,96088,132481,182202,192083,210793,435963
290121,Ethylene,32765,4397,5542,5539,107396,79602,96166,51243,65883,66106,,1238040,1417477,1065355,658029,749586,930524,1026259,950581,604458,1200919,,38177,4397,16732,8757,152332,158622,145836,66090,71843,82971
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",36749,30759,26828,24710,25564,28025,30706,35382,117363,65587,,90155,103859,99936,92312,88528,102874,105087,91828,702336,295602,,1171477,1176189,1155233,1140050,1142144,1190942,1262952,1312969,5171399,2092684
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",66308,73452,84942,83989,100219,91625,71259,79293,78101,65542,,107868,119059,113213,110230,104833,121778,124226,132262,135709,136265,,568270,489290,468018,451164,490691,427509,419897,460798,384749,363586
711021,"Palladium, unwrought or in powder form",5937,6878,11635,13167,3707,1128,0,696,6978,65460,,27312,40702,101784,137098,33983,2079,11574,52313,141335,536675,,1010355,1284300,1428625,1203732,1130060,1585250,2005236,2523655,3464277,3968908
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",59693,57243,55261,45500,52534,59845,66142,64670,61184,65409,,1016266,1350777,1331234,1354668,1281547,1538186,1643208,1597441,1404023,1535604,,202114,210236,218248,188277,209512,232772,246160,244776,239491,266388
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",30384,20614,15246,12829,16820,20098,28228,32663,51208,64941,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,46594,31273,26308,21332,23651,29664,39762,47150,69535,83337
390740,"Polycarbonates, in primary forms",42324,41861,41744,36943,30761,41821,62029,42649,39305,64153,,1177209,1290492,1342616,1386987,1368123,1572327,1778793,1386634,1453770,2346756,,213934,208608,260701,242570,202844,222707,245791,198607,177147,234190
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,40735,46685,59549,49389,63862,,0,0,0,0,0,513464,608747,506925,410998,437440,,0,0,0,0,0,886128,1093224,1033820,720806,854737
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",56019,68090,111554,116732,128119,122511,112667,106220,61088,63494,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,260323,289488,340652,351100,409646,426256,438086,389928,280070,330797
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",88543,85579,93507,71328,63614,73343,68765,68088,62961,62151,,23556,25487,29314,29986,34383,39015,52616,64046,87686,108573,,471889,460070,472632,364609,333893,376155,380914,366728,376301,364860
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",79047,78477,107164,69126,56141,74805,63424,38217,26274,62151,,187184,128243,200260,164591,140297,184707,161799,144481,113438,256433,,231477,185948,221842,128829,116563,138983,131853,83800,54699,118758
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",111828,97967,81956,67718,68968,57887,55809,56485,69176,61566,,217159,211333,210220,197798,189588,166513,145602,135565,155490,156970,,380896,361658,354502,374446,375195,334947,380442,382571,430817,495012
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",176420,178928,112545,104019,93340,112680,145970,130421,53056,60192,,6915276,7768861,7008030,5854323,6178791,7995178,7240102,10045151,7799818,7842054,,4378265,3400666,3081400,2773777,2785911,2796831,2817145,2973599,2625298,2772826
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",63385,54566,61350,61089,62409,57733,56665,57818,57209,59886,,1456148,1299238,1159600,1331570,1192790,1039861,1135712,1099091,1021661,1043570,,1311666,1191276,1310950,1165468,1234664,1273221,1362874,1316040,1218919,1264669
