Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",15115,14111,23122,102541,109698,221966,311872,281193,302356,407671,,646288,837490,931563,737558,617459,975688,1493442,1357242,1027786,1074124,,55665,48181,65240,148781,156213,271039,366252,335914,329274,449329
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",429233,719156,1072248,932077,468668,733616,505678,236919,196859,319538,,877350,1400513,1943895,1483907,1071297,1699836,1633144,1527156,872097,1610589,,19407468,19771189,20613711,12731588,9867023,12530581,15522928,13927730,9988881,14925656
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",86863,68028,85203,110636,127275,137506,261959,223511,252716,295441,,2823553,2603389,2703373,2801180,2805946,3206806,4040387,4315051,4679757,5595313,,311770,346482,264890,228045,262220,290543,564486,427861,534104,774067
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",310461,283615,283451,251237,268507,232831,234839,221509,194087,255354,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,1073498,992753,1326342,1159549,1072150,1019347,1353398,1365992,1007963,951264
841191,"Parts of turbojets or turbopropellers, n.e.s.",43271,80700,74610,236715,275802,220003,383166,452729,360339,226698,,2378787,2526942,2514190,2700905,3050984,3244781,3561068,3640837,2397565,2273640,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
853290,"Parts of electrical """"pre-set"""" capacitors, fixed, variable or adjustable, n.e.s.""""",23772,29738,32210,19626,27222,31284,48649,74744,133933,191462,,270813,254849,239048,229988,296093,329832,359238,419875,520821,631255,,74345,87205,99351,77003,78216,90665,113020,132705,233635,309987
847990,"Parts of machines and mechanical appliances, n.e.s.",286311,220464,187192,169823,175293,194212,168840,130367,134238,152886,,1756674,1284145,1332438,1307005,1326474,1499871,1607811,1388143,1451393,1630782,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",15199,6775,6874,2383,3897,3921,2909,5739,122601,150812,,769090,550975,494040,398332,487482,496973,478436,592387,684482,618138,,396949,301373,301770,304806,305893,274298,57141,39873,162079,653897
852329,Magnetic media for the recording of sound or of other phenomena (excluding cards incorporating ...,92901,60047,56028,40912,29681,23263,19875,28695,102560,148291,,1471752,1092078,1027407,849635,802979,830862,689281,584486,588175,701517,,518957,383109,276978,179778,241460,289798,324145,345023,362089,315028
711590,"Articles of precious metal or of metal clad with precious metal, n.e.s.",20407,19137,36049,27223,15346,2542,8171,38207,62196,138710,,732852,706140,563885,256134,154533,216907,309819,352445,326170,591008,,271772,256108,349449,395374,203756,126522,138139,177223,348331,803689
711019,"Platinum, in semi-manufactured forms",34286,27171,13678,26395,53396,66475,74227,78348,67343,134133,,288675,297816,338433,261266,296011,358697,384347,335892,324252,446106,,106905,44176,137778,111078,131446,92690,92312,96520,128535,193369
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",208329,206640,165498,133284,107414,107559,117196,99009,103075,129618,,631089,795908,748949,956284,1038384,1012446,1053814,1193158,1165970,1066336,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
