Product code,Product label,"Taipei, Chinese's imports from Singapore-Value in 2012","Taipei, Chinese's imports from Singapore-Value in 2013","Taipei, Chinese's imports from Singapore-Value in 2014","Taipei, Chinese's imports from Singapore-Value in 2015","Taipei, Chinese's imports from Singapore-Value in 2016","Taipei, Chinese's imports from Singapore-Value in 2017","Taipei, Chinese's imports from Singapore-Value in 2018","Taipei, Chinese's imports from Singapore-Value in 2019","Taipei, Chinese's imports from Singapore-Value in 2020","Taipei, Chinese's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,13235,15117,11307,13575,18640,,0,0,0,0,0,0,803929,723571,629804,719664,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),7253,7553,7790,6557,6108,4787,5399,6441,12308,18628,,310782,285843,243964,207569,206237,274411,373629,462001,551967,668321,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
901320,Lasers (excluding laser diodes),439,1613,1965,1363,1639,5344,14024,15741,12624,18272,,54163,66641,99481,110358,137044,185387,206816,246791,290519,346836,,85748,115403,152429,166409,148959,168736,220189,228038,253284,297651
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,12105,14295,17987,15314,14000,12592,13248,13385,15922,17737,,1517479,1777313,1776415,1645454,1736316,1775192,1806480,1731068,1602328,1885961,,19289,24085,27695,25358,26968,25787,26223,25900,30388,38916
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",35965,36364,25954,24736,18329,19717,34166,22711,19236,17051,,99280,172660,241806,200340,184616,198722,219519,187304,178868,230129,,81466,79540,67328,53792,54493,55063,65987,51527,50001,57519
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",2908,8915,4181,17680,723,1206,10520,3993,675,16921,,372860,365754,190426,507986,877074,232432,147617,108420,128728,985908,,714714,870063,899217,898025,671416,642346,772799,389164,775887,924304
291531,Ethyl acetate,8304,7527,8453,6578,4763,5283,7861,5972,8864,16687,,79635,76509,80615,79673,67845,73679,89469,78429,81656,148111,,65480,62369,68249,56398,45721,53038,66519,52291,55064,85700
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",408,3678,2146,1392,4279,4004,2960,4722,916,15256,,314660,287104,358683,343200,376466,399329,544161,522767,526118,709619,,132782,98027,84569,112596,170634,311010,183973,265221,259588,456051
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,3932,36800,33870,22831,24531,27122,30078,41962,14673,,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294,,0,55403,406848,347790,365689,368858,392995,423387,680969,611032
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",268,1046,1136,323,371,340,989,2156,10648,14643,,15630,19900,21277,20709,24363,33542,69304,47434,44869,64280,,44128,29498,29480,24787,25336,36237,39555,43498,57515,98527
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",12541,9820,3469,8938,6964,5791,895,1014,22775,14406,,753114,642548,706084,839918,935758,1162994,2068109,2794303,2798570,2848315,,1196710,1381708,911599,740109,732433,886993,632576,1336698,1568006,1574351
890110,"Cruise ships, excursion boats and similar vessels principally designed for the transport of ...",0,3627,0,0,0,5938,4599,0,0,14087,,27869,62937,40148,57853,4935,18750,1641,40304,41411,86681,,0,3929,0,4729,3161,5938,10748,33783,4075,14087
381129,Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil,24277,21972,30457,19419,18591,16102,15982,16869,12751,14069,,167369,56273,41779,25394,19410,19434,15547,9130,7790,8881,,65364,61432,72697,52362,49658,48279,47293,46996,42331,46335
240220,"Cigarettes, containing tobacco",14388,10872,9719,6322,10485,15948,14709,17654,15314,13958,,759410,800408,919222,1163746,1147763,1046181,1055353,1061119,607482,619477,,512076,521506,511547,497545,524275,190900,187421,148310,153472,136619
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",220,1,58,41,158,88,2794,10648,13698,13402,,2607,2079,3584,4117,5857,5127,8003,12005,12565,16384,,27974,23436,24275,23381,17309,20016,19124,23677,26353,29816
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",5168,7803,5674,4687,7203,6955,6249,7361,14241,13276,,2141893,2119294,2055164,1596501,1516946,1802294,1608692,1782237,2016544,1899916,,541174,555874,558768,597116,602689,680336,618867,668118,781299,689013
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",14947,16543,12781,10417,9813,11314,13160,9770,9321,13112,,1258494,1263376,1286442,1127340,1211279,1367131,1377210,1338618,1141692,1070702,,120226,121330,130521,93767,82336,101148,111260,101391,92386,115327
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",998,3210,6197,4586,5606,6557,9944,9103,8178,12505,,43981,30738,10740,9000,7607,14377,9859,8928,8023,19262,,65761,102471,124098,72095,84695,134353,151847,129246,106962,218126
680421,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",12012,12475,16004,14246,11452,9164,9925,8260,10210,12272,,2466,3349,2643,3046,4286,4979,7995,7027,8550,7593,,89728,86778,98020,96281,105507,107878,110167,115716,133987,152751
741012,"Copper alloy foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of heading ...",6344,4105,4264,3662,3826,8552,8544,3039,4177,11869,,587,2783,4221,5750,3259,5491,5772,7152,8158,17411,,77509,79006,83179,74436,67455,79597,90701,64428,77181,83727
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",4666,7522,10764,4478,5973,5485,10697,7884,10358,11396,,814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628,,711789,697247,787817,737454,696263,808606,913509,984843,948980,1271970
390740,"Polycarbonates, in primary forms",106088,62323,38740,29817,8245,8300,6005,4943,6686,10065,,897006,830301,848457,642762,384444,386561,411117,341503,310975,428476,,528418,441591,453636,381288,327428,368121,402448,349540,299627,439332
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",10997,10611,9978,9324,6410,6701,6889,7452,9495,9949,,579211,667658,660338,559988,498371,478746,500900,500150,424304,510761,,95926,104044,105552,106128,105293,119698,142436,158785,174345,191745
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",6936,9875,10267,10929,23799,7421,6859,8039,8489,9866,,2731163,3067437,2833309,3046223,3312670,3716429,3883879,3614973,4557588,5152324,,563456,668304,695530,699228,1074085,883641,1006859,1192546,1416813,1882044
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",2928,1638,2255,1213,2529,5429,7006,9764,10172,9787,,312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138,,56951,47844,60526,50842,52311,65655,99112,135876,177549,229188
390610,"Poly""""methyl methacrylate"""", in primary forms""""",4952,6302,14622,6614,7250,8865,16584,13210,11029,9715,,201368,168820,217977,186765,171120,230470,239246,193549,167545,196849,,43952,46613,53476,50181,39840,38932,60244,47288,38137,40385
220300,Beer made from malt,115,291,603,575,5,3,84,34,9535,9661,,186635,214829,207053,189818,166413,162602,139351,127683,86426,94267,,158524,166044,183483,172220,185498,191685,186924,197659,205322,226236
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",3372,6982,4939,4238,6667,12121,11740,14124,14440,9493,,420478,446467,253923,232780,157032,137123,118917,145078,100760,88545,,31071,37787,65849,58989,79244,65187,36435,40694,39223,35165
847989,"Machines and mechanical appliances, n.e.s.",14326,20224,20538,12909,19047,8000,12168,11277,7322,9456,,767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
293040,Methionine,0,135,1614,14174,9695,5710,7380,6688,8134,9430,,35598,92478,161854,0,0,0,0,0,0,0,,25966,15964,21746,25009,19774,14688,14413,13585,15644,20102
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",5707,13306,16114,20224,12148,26828,15747,22080,20374,9041,,332870,272188,231258,224955,188655,229292,247873,290790,248452,316090,,283774,373837,392409,312752,319181,435343,425133,388072,552145,662685
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",5981,837,4497,356,362,386,682,1166,1840,8867,,51401,68322,123431,65013,78852,86717,242767,30982,38256,41277,,472654,343568,351321,210916,167655,166453,225457,284133,268592,326754
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",5316,5025,6407,8215,7215,6729,7897,8273,9105,8630,,618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842,,35742,34047,38403,35276,38927,36318,42009,40092,43355,42758
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",0,204,739,232,1440,1848,1629,2578,3286,8478,,33601,128160,127940,359894,431294,542823,507924,417027,264353,337591,,47687,40019,41820,28373,24605,27100,29206,30341,29412,28719
843010,"Pile-drivers and pile-extractors (excluding those mounted on railway wagons, motor vehicle ...",9,0,0,0,0,0,0,0,0,8333,,38145,39509,69943,59372,65309,52462,32172,22951,23021,27802,,2048,2058,2170,3298,2802,6215,3209,5196,4345,13757
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,467,0,108,253,541,1107,3257,2969,5241,7936,,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432,,91362,99214,110194,127402,134557,135847,144156,140315,142808,140331
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",457,399,1961,5440,7398,9930,9708,9423,8583,7792,,30455,40504,108893,203465,256582,319909,307015,273446,239723,272571,,186733,139976,113573,99582,85465,126817,109088,92475,75350,92745
