Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",30672,11715,14977,19569,18860,6496,3177,4027,6006,5347,,1088789,1044319,919917,977112,885129,677691,663510,614520,601874,565820,,117204,59100,92281,109764,85741,54327,48818,51734,47493,59389
420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",2349,3239,2116,1920,2178,2730,3446,3945,3337,5346,,180336,199130,164579,161665,172998,121144,118417,105412,73820,78449,,90227,81805,85245,77976,88694,95145,103905,123666,82828,87547
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",9048,6555,4447,4365,3378,3834,6277,6623,5000,5311,,457452,371891,339522,315294,233686,221549,217716,229796,168185,172006,,132551,78624,66986,67698,106986,71251,39922,22713,18726,22028
284590,"Non-radioactive isotopes; inorganic or organic compounds of such isotopes, whether or not ...""",470,723,678,663,441,437,2447,2613,4024,5234,,75226,75371,101198,128717,118297,130016,153629,178355,178104,279983,,586,945,959,1336,971,684,3443,3889,4859,6934
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",4679,4718,7824,3467,4145,3551,2522,3514,3324,5226,,263387,245390,142454,115407,134719,119571,112029,119786,112399,169306,,6468,7117,10233,6335,7499,8518,14070,31527,82606,44574
901290,"Parts and accessories for electron microscopes, proton microscopes and diffraction apparatus, ...",7437,9740,4582,3672,6204,3156,4240,2908,5185,5223,,132873,129999,146311,141926,167856,188774,230999,236129,194781,216535,,45387,46794,33534,27197,26186,21792,23924,21432,39281,39214
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",19692,22575,25395,23204,5508,4149,5566,7318,5094,5206,,532200,507815,521043,505858,486977,453552,462454,448183,347480,389500,,213816,235286,224563,235025,198017,197188,222877,194147,171220,179016
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",20488,19960,14575,13032,6294,6577,7964,9620,7152,5184,,912676,994451,815400,816830,545423,628875,624015,682853,570241,603022,,84592,93990,118040,94573,71558,69919,109861,144076,99832,172832
291714,Maleic anhydride,155,2665,2219,2385,1952,2174,1810,1778,3668,5159,,81327,67555,78534,53290,51943,60950,56772,66276,57977,78642,,14784,19482,18899,12389,11385,14488,18287,13815,13511,25115
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,0,4636,16147,19915,5143,,0,0,0,0,0,842996,1096736,1219441,1086744,1182221,,0,0,0,0,0,0,10807,44301,32763,10604
903210,Thermostats,3011,1904,1675,1861,2291,4429,4410,3183,4877,5142,,192352,215917,234443,217414,185296,200707,229184,251352,219811,255034,,16054,12562,14829,14658,16717,21590,20669,18340,38716,40573
850431,Transformers having a power handling capacity <= 1 kVA (excluding liquid dielectric transformers),4126,5913,6930,4324,3688,3966,5142,5312,4386,5125,,301212,302886,320165,324455,318550,311844,323580,269872,263643,241249,,108247,96768,96524,80356,70065,46956,56860,71854,58323,69401
220300,Beer made from malt,3433,4170,4261,5149,4039,6914,4017,4914,3512,5115,,448439,520474,541893,616722,615212,685533,668077,572933,513327,722204,,144984,199823,178602,178580,147794,150077,139542,146074,112690,113666
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",1880,2784,2765,2454,2241,3310,2733,3961,3215,5107,,255697,258470,286048,261166,231723,260274,272576,249033,216020,317015,,25488,24793,24922,18628,19746,46046,75966,76650,56366,60477
901832,"Tubular metal needles and needles for sutures, used in medical, surgical, dental or veterinary ...",560,1418,1072,1394,2893,3537,4082,6445,4892,5099,,344660,296821,323488,339983,340882,341045,354962,389021,370010,422294,,7224,9051,9123,7108,12179,13888,18407,25193,20023,24383
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",1625,2635,2652,1357,2429,1881,2169,1878,1785,5093,,339147,355059,331181,321196,319107,329808,327455,346197,312450,326001,,13511,16133,17304,13354,13900,13238,16588,13192,12234,17015
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",870,1373,1425,1336,2108,8841,14023,7412,4209,5087,,99786,100421,147760,148888,155728,191108,189605,161994,215391,203987,,17399,18984,15128,16156,12358,19336,27801,22718,23210,26512
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, ...",8762,7940,74,1094,2838,2130,109,95,1518,5074,,68685,53946,48831,49233,43698,53873,57629,53207,51173,59646,,33328,34854,28464,30137,29146,32566,27414,26016,24825,34251
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",1117,1167,1046,1382,1260,2496,6522,4400,2988,5067,,2391603,2476962,2504314,2558847,2380338,2335404,2363518,2325250,1869939,2025301,,48013,55340,45332,50303,60910,71910,55846,54320,40730,58496
902580,"Hydrometers, areometers and similar floating instruments, barometers, hygrometers and psychrometers, ...",4055,3294,3803,2830,3016,3213,4359,4128,3416,5060,,144986,131385,127016,123622,120970,126369,147715,175049,139567,156487,,9658,10270,10811,11006,12659,13752,15834,14588,16225,21674
382313,"Tall oil fatty acids, industrial",4823,3495,4027,5516,5748,4076,4211,2056,2207,5039,,68487,65195,75715,75929,77073,76281,78073,64518,63803,86185,,12859,4709,5127,6690,6526,4957,5969,4466,4105,7950
903281,Hydraulic or pneumatic regulating or controlling instruments and apparatus (excluding manostats ...,13862,3098,5179,4398,5210,3263,7148,4329,3881,5031,,174077,173288,164809,155956,130579,124583,133364,120061,122302,127544,,28762,19061,27598,23354,22057,30185,22475,20224,14254,14191
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,5688,2163,5660,2365,94,1103,871,309,1144,5026,,915706,701733,563987,532349,241083,377550,421138,337556,278055,303406,,52154,53311,65838,101385,50676,33629,95150,57596,42563,45972
750620,"Plates, sheets, strip and foil, of nickel alloys (excluding expanded plates, sheets or strip)",7091,8790,3706,5230,3845,6915,39840,7283,7068,5019,,395183,389547,377046,477107,306356,334048,419613,453724,353214,365069,,19507,19222,6224,6687,6970,11177,42208,10668,19387,14204
842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",2416,2346,2189,1195,4782,3064,5966,10576,5441,5000,,388862,437841,441375,495751,455781,417054,455532,409418,466970,453824,,42078,31791,42088,30591,44508,29754,37100,30528,34676,57307
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",468,450,696,2575,2606,3941,3560,2212,2473,4993,,574479,742580,855792,684785,534520,570472,614080,563491,644833,764553,,13024,24386,18392,16398,15951,18232,18657,11621,16217,15452
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",4867,4981,2845,6879,3627,2579,3022,3116,3402,4979,,99215,107396,115202,123805,112547,126686,138976,123663,108351,134405,,47486,47143,49636,44059,42224,29413,39295,35929,28103,33511
280430,Nitrogen,1870,1026,489,995,2679,6100,4637,1405,2548,4971,,21323,18411,29568,26114,39467,28939,28527,35171,14207,18992,,4325,3000,3488,6329,5460,7881,6184,3085,3248,8683
480810,"Corrugated paper and paperboard """"with or without glued flat surface sheets"""", whether or ...""",2215,2288,2090,1468,1968,334,184,112,373,4946,,291621,383353,405973,370199,402722,468463,530460,510003,443236,566029,,19060,15569,9126,7235,6374,5687,6853,6060,5634,13538
390610,"Poly""""methyl methacrylate"""", in primary forms""""",383,719,841,711,464,1288,1895,3758,3094,4940,,106798,88430,111560,107244,93128,107860,120994,96060,75166,106148,,5017,4366,4046,3124,3088,9438,34864,22511,23852,36550
300590,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",2976,4023,5168,5698,5272,6585,7269,4917,7878,4911,,279675,300147,309724,341356,318081,315054,288498,352150,381992,407789,,22070,22692,23284,20867,21642,28982,36426,35890,67611,40320
902129,Dental fittings (excl. artificial teeth),4240,5427,3473,2861,3316,3419,2909,2196,2456,4895,,414468,456838,425802,387905,393385,478377,535586,747386,497228,617243,,12231,13811,13265,10622,14855,17561,18005,17810,13617,12637
851440,Equipment for the heat treatment of materials by induction or dielectric loss (excluding ovens ...,1803,5620,1363,2165,3588,3091,4293,5627,5023,4868,,94783,106417,102017,110073,111289,120642,149230,149153,138954,141454,,8002,14387,7475,8395,9443,8117,10535,10795,8858,10391
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",1461,2993,1831,1405,3670,1923,2495,2777,3459,4852,,505647,539167,603450,512472,371568,343290,341539,312025,229549,327484,,11029,15880,34754,11423,18002,5801,21599,19733,111938,50952
850153,"AC motors, multi-phase, of an output > 75 kW",10095,8625,9318,7362,8019,5871,4997,3571,8086,4828,,548416,581159,547452,495332,405569,428014,460040,483816,691219,748480,,49943,57154,52694,57296,43956,37833,39515,27281,48380,30025
848299,"Parts of ball or roller bearings (excluding balls, needles and rollers), n.e.s.",6120,5057,5721,4269,3224,4561,7665,6869,4526,4803,,265790,279988,323463,276672,276148,260282,280311,260130,214854,252424,,97140,75455,78753,66060,65186,80211,82763,62128,57393,74506
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",20201,6217,3790,1235,1771,1198,2276,4409,3689,4801,,346129,381181,362319,377019,323240,284626,229889,237525,198041,184044,,96763,222362,67130,40781,57908,82906,108186,84013,72282,73882
190410,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",7767,7570,7912,7396,7216,6774,7057,6065,4489,4787,,464774,510463,528562,550656,524362,497054,511690,530543,552841,459867,,23661,27043,32355,30568,26160,21511,22937,23487,24083,27770
80810,Fresh apples,7746,8886,9442,9838,7584,5158,6756,8028,7718,4782,,1086543,1121138,1086086,1026299,935494,977366,1015019,959927,854811,916669,,66180,74083,77876,73293,68537,61415,61014,65151,65577,58040
853720,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",39819,16884,12289,11502,6559,8079,6729,7396,5027,4760,,434535,357969,264189,227375,161657,163035,177554,209065,180636,155338,,224643,216482,248935,237819,187770,130337,142640,211210,141607,172290
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",53897,63187,54179,44153,28081,25913,21376,20808,12713,4759,,591054,586442,595326,588016,547409,537032,542989,503152,409031,435888,,119790,127327,169894,173124,167385,168268,178625,216602,84412,83360
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",2857,5606,4200,4167,3956,3595,6956,4158,3830,4741,,396593,414064,413522,359037,362794,356368,391111,394219,378852,414786,,14180,19790,18121,16223,15954,15416,21141,21586,19451,20110
680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",7584,6673,7048,6855,6236,4267,6159,5948,4336,4735,,200980,197129,196193,223983,236798,274601,280671,271954,272249,325154,,15677,15012,16669,14459,13959,12483,14574,15019,16985,30962
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",6529,6675,6847,5016,5953,5835,10131,5749,4405,4721,,582899,604578,650101,653408,682042,668958,697021,681821,459197,650274,,39152,29796,35481,28123,31764,35109,36820,35261,32726,33931
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",5677,8724,6046,4267,6558,6825,7063,5803,3760,4712,,1113621,1106608,1135920,1032177,918989,954533,921614,833018,637517,711058,,551848,370718,391816,299210,288332,322407,389526,365380,298486,359597
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",2288,3135,4167,4747,3005,3063,2772,1330,2421,4707,,562388,556472,578521,578794,560265,585184,580908,540344,518966,606540,,46379,50292,47822,47399,43888,47762,55185,41403,40643,54001
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",6598,7276,7488,6219,6440,7256,5004,4121,5071,4664,,427413,482779,519664,513791,521368,534793,545580,508260,437077,529729,,64736,70596,68293,60146,59819,64728,65116,65184,51043,55788
290511,"Methanol """"methyl alcohol""""""""",5587,2278,1584,784,1086,1569,922,1244,3133,4662,,54965,71881,70091,173320,311052,351496,760191,567286,494886,903290,,215222,257614,290697,181924,143788,213399,243953,189214,125508,252419
846789,"Tools for working in the hand, hydraulic or with self-contained non-electric motor (excluding ...",717,2093,2300,1107,1725,7028,7939,3195,2873,4627,,299194,269443,279956,233806,218535,210716,221075,152967,120020,128206,,14664,24172,14235,15279,10867,16371,17558,9984,9116,10459
400921,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",1437,792,1214,1373,647,1131,5072,4095,2711,4598,,157124,153326,163165,145027,125892,150627,182934,165205,140094,178937,,24748,15443,19269,14325,11602,15621,19100,17578,13041,20888
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",2086,2172,1621,1783,1400,1690,2765,3518,2841,4570,,255364,254376,256935,190350,177688,195383,231695,196118,160305,170351,,20525,14452,10555,17244,15492,15590,18768,19706,13082,14723
850730,Nickel-cadmium accumulators (excluding spent),1365,1427,1558,1769,2666,3512,3444,4203,2127,4538,,71385,82037,83701,78169,86255,99057,112361,101954,75948,79145,,55083,44004,48850,33831,25274,23719,24798,30058,20650,28880
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,3954,4401,3023,3556,5554,7647,5689,13216,4853,4515,,201034,227803,246593,261657,254641,261242,254648,268341,209802,246578,,13758,17307,17436,16030,17462,21090,22063,29114,19309,26123
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",5142,5501,3547,2073,1603,1975,3651,4063,3304,4499,,522535,436876,439825,429708,491911,554961,611557,514489,470839,469202,,26513,39676,33014,16926,23097,35163,36588,35212,29614,27357
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",269,1682,3470,3298,3525,4159,3388,3478,3375,4476,,161521,170940,202164,199934,192702,187498,195276,192135,185318,210624,,6656,7494,12460,10681,9596,9465,10480,9666,7316,9627
730423,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excluding ...",26657,65734,28838,12311,2616,15401,4816,1683,5167,4476,,342527,268978,272942,170728,168641,99742,112464,131084,74405,56047,,118594,140742,82772,49287,21710,27218,13338,19678,15929,7700
820740,"Tools for tapping or threading, interchangeable",2050,1721,649,635,897,727,761,764,3333,4452,,48634,50221,47839,45162,39383,43413,47481,44659,34624,41162,,10335,12697,9381,7552,7471,10607,12153,12792,95865,137070
903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",6501,5883,4898,3632,4269,4743,3460,4912,4856,4445,,267034,215630,194502,192922,195189,194863,202990,215805,182362,199993,,24306,19357,23273,18187,19663,27422,42362,33864,33079,45462
722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",3280,2600,2562,2324,1334,2494,4296,6267,3019,4433,,173877,165390,171410,161978,148869,190599,200333,205797,160670,196795,,23083,33105,43949,35534,20208,20915,26876,32271,23382,26335
710510,"Dust and powder of diamonds, incl. synthetic diamonds",935,66,89,38,1097,245,2644,2634,3706,4433,,87797,77653,80530,67489,63759,73161,74886,62513,56248,63169,,1423,234,286,288,1280,468,4287,2921,3855,6781
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,7987,4508,4209,4442,8176,11921,11722,5482,4937,4430,,1411046,1570046,1523090,1384221,1518244,1577136,1628707,1531205,1629509,1729611,,62022,53357,49521,47293,54329,51972,54891,48252,76501,111455
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,10701,13507,3471,4424,,0,0,0,0,0,723689,779777,767214,737876,801172,,0,0,0,0,0,0,161834,152392,98010,115641
902590,"Parts and accessories for hydrometers, areometers and similar floating instruments, thermometers, ...",8063,12001,9356,6147,9697,6065,4870,4085,4648,4405,,124083,122688,145664,153103,123330,123373,136666,136971,118668,139711,,32945,41005,27775,33094,33608,24900,25775,32067,39196,44792
852729,"Radio-broadcast receivers not capable of operating without an external source of power, of ...",13,71,78,787,1744,113,10,27,5,4394,,305174,342246,202740,154315,113235,172396,179034,185329,185398,161957,,12524,8637,3306,2585,3826,1495,3862,2423,1413,7890
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",1606,1234,1008,1459,744,1625,1329,1846,2677,4348,,123836,119303,132266,140199,138443,145756,157257,164673,140892,165711,,49173,61195,50709,47316,42842,45986,61214,45577,36639,48985
844900,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ...",26,75,339,16953,509,135,496,670,1340,4311,,38238,50962,46034,32618,19393,30464,23282,45509,20493,27116,,3999,4444,4542,27812,15045,17446,22960,11205,20323,17655
850164,"AC generators """"alternators"""", of an output > 750 kVA (excl. photovoltaic generators)""""",11727,19849,14189,8019,7239,5872,6363,5831,5752,4299,,678248,540619,645346,502925,344362,193613,163813,200847,162961,167347,,83776,54161,44117,32679,28795,30924,24177,24228,23966,45305
910129,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",1919,3802,4287,2451,4237,7127,12437,5516,5535,4286,,79954,49641,47955,51536,59888,52418,68096,58844,41347,48696,,98362,83971,161125,148465,117345,181439,262948,247523,157839,214257
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",689,256,256,641,542,1017,2570,4437,3784,4283,,83248,90450,94911,97918,87294,97111,98507,91323,82683,86264,,3997,2605,1708,2041,2558,2486,3955,5788,4326,5126
280429,Rare gases (excluding argon),11154,9421,6870,15716,11198,4242,3261,2285,2799,4247,,430187,453615,410674,487025,450989,412681,375228,400585,461063,380311,,26785,33119,38018,57734,45212,51840,58521,62539,69326,85232
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",1093,971,1672,1270,2172,3127,1845,2440,2138,4238,,49548,47747,45835,54190,60271,56120,49439,54929,64629,61662,,4367,4152,4414,4075,3414,5729,15277,6004,3282,10676
880510,"Aircraft launching gear and parts thereof, n.e.s. (excluding motor winches for launching gliders); ...",1292,4738,2860,25295,7757,9344,5948,6333,425,4191,,222983,346824,256215,260696,117360,166112,125006,120007,114409,107170,,6428,5790,8757,26257,25761,19413,24639,11111,15508,8379
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",6245,6517,21747,15479,6683,11570,7012,8579,6121,4191,,460544,409304,410027,355584,332771,398317,492492,397970,313796,415060,,63924,50803,83411,59912,42665,56222,61373,46871,37529,40011
851690,"Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating ...",9369,8208,5141,3618,3512,4366,4562,3055,3571,4188,,95111,96352,91815,95094,77243,81816,84737,78081,70166,85505,,74462,42405,34012,26513,31590,43267,61957,56510,70388,49807
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",2187,10433,5127,5084,7246,8083,7080,6401,1346,4186,,1232440,1360788,1398537,1305913,1019809,1089292,1259856,1228661,708442,1061379,,142529,75070,96690,70727,70709,56984,57923,43875,22416,39598
960350,"Brushes constituting parts of machines, appliances or vehicles",3278,2583,3031,2266,2993,3488,4808,3718,3794,4183,,80749,90094,89295,89744,83110,94564,100425,100100,95706,106986,,7474,7042,6361,5371,5552,8215,9185,8791,7847,8950
252620,"Natural steatite and talc, crushed or powdered",3158,3019,3124,2313,2706,3049,3082,2885,2620,4178,,52741,51554,56369,62338,83116,121872,127891,118238,95267,133299,,11760,11795,11123,11185,10562,9908,8522,7768,5886,10144
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",2122,2344,2560,1959,1630,1896,1482,1298,1846,4154,,81974,76148,75832,59919,61033,51528,47473,65275,62960,65744,,4759,4381,4605,4826,4848,5906,5382,5205,8099,9082
853949,Ultraviolet or infra-red lamps,2907,1892,1988,2711,7490,3138,3479,3676,3376,4154,,81116,73469,75910,70938,77016,94673,97416,94122,101107,127388,,15729,17831,20914,21409,34271,23917,20143,20321,19677,28321
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",15495,15477,6808,6753,14683,8740,5438,4286,13286,4150,,518710,577869,604958,598446,554728,617964,660674,666566,428258,458823,,53895,49172,43782,28921,45018,34246,28858,31002,27747,17137
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",1612,3185,4208,4346,12530,5666,2505,1339,4799,4145,,949344,1179701,1284980,1089502,1079960,1005528,1421054,1578792,1463072,1547791,,47182,55728,74405,66936,59288,44944,47328,43791,51253,48223
340120,"Soap in the form of flakes, granules, powder, paste or in aqueous solution",1827,1746,1311,2494,1462,2135,1721,959,1757,4136,,168086,162946,159668,152685,142165,126399,115109,122544,107935,96444,,16058,15245,14978,18466,17160,22869,25985,20400,34338,42207
853641,Relays for a voltage <= 60 V,3804,5389,6014,3650,3180,3125,4599,4398,5056,4107,,441330,557394,528686,523138,536194,544217,563947,523770,434527,451248,,60138,73561,61747,59679,51978,72044,55608,65012,75755,88274
290522,Acyclic terpene alcohols,4421,6092,7236,5412,4460,5090,4915,3496,4267,4107,,52820,56210,64628,51812,54285,46850,66005,56872,46039,48679,,34022,32883,36565,33344,31152,32725,54566,43371,41067,46980
730441,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...""",3792,3261,6631,3538,4653,12288,31788,17765,5973,4106,,128961,130239,145927,135729,117991,129645,112217,118465,95056,90831,,23523,19350,74521,33894,14896,22258,46883,48419,28741,23528
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",954,1130,3422,4276,4378,4625,4019,4706,3216,4081,,216202,246707,310052,330452,294540,292381,299445,261545,212330,254718,,14835,15481,13812,10316,10411,10643,11905,12949,9389,13369
350699,"Glues, prepared, and other prepared adhesives, n.e.s.",11327,9709,9759,8853,7732,9267,9055,7395,6422,4074,,148604,162867,150170,142247,149129,145753,157288,155018,136521,177548,,56688,51768,48150,42203,35067,48855,49450,34664,20552,25281
854099,"Parts of thermionic, cold cathode or photo cathode valves and tubes, n.e.s. (excluding parts ...",1166,1645,1380,4015,3304,3562,3064,2771,5525,4059,,16845,23597,17774,27130,24952,24389,25904,23966,23525,27022,,5731,4399,2250,4672,5039,5121,5020,4526,9292,7441
391290,"Cellulose and chemical derivatives thereof, n.e.s., in primary forms (excluding cellulose acetates, ...",1884,3158,3020,3089,2994,3210,2076,3336,6322,4038,,336033,313384,343322,337109,329468,342548,355390,353574,320979,410690,,4913,7610,6590,5886,4899,5977,5413,6245,9371,7500
291550,"Propionic acid, its salts and esters",5320,3771,3332,1551,1312,2436,9316,6421,2961,4029,,90672,107296,107661,117314,130484,138811,163238,142298,122675,143821,,8907,11007,10144,10784,10652,10042,13805,13390,10657,14879
293214,Sucralose,0,0,0,0,0,0,1702,10300,8969,4020,,0,0,0,0,0,31559,82841,92960,106466,122726,,0,0,0,0,0,0,1733,13643,14916,14152
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",210,460,829,780,1477,1418,1921,3105,2710,4013,,1622,879,208,393,679,171,487,515,1967,2136,,273,509,1154,1064,1872,1588,2236,3458,2959,4397
902140,Hearing aids (excluding parts and accessories),8040,8694,4207,2702,4300,3148,4718,2070,3475,3985,,236400,298287,291242,328642,287959,337886,425878,439339,367844,491042,,159293,150662,112856,88896,129781,115582,135915,134742,116852,130284
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",13939,14568,16024,15283,18319,14740,22354,15199,6069,3982,,713048,896896,866643,932713,918013,1137717,961672,988943,879835,971812,,40264,55047,58747,52299,53948,62786,68844,62608,42855,33687
841382,Liquid elevators (excluding pumps),95,116,79,1191,61,85,237,484,822,3979,,8488,26948,12482,7370,9657,9742,6645,9013,6355,2871,,1288,1039,610,1792,1895,1248,2083,2302,1987,9267
851430,"Electric industrial or laboratory furnaces and ovens (excluding resistance heated, induction, ...",1635,1762,1486,2044,555,1159,1963,1346,22998,3977,,85343,79934,85553,75354,75349,78096,88026,71104,55974,54848,,13326,11003,7664,5418,4546,5025,10814,5845,27774,9350
282550,Copper oxides and hydroxides,16526,12403,11097,12419,4475,4359,4445,3875,3370,3932,,166378,139288,151154,168594,112721,132975,137976,133492,127562,193252,,23184,19104,19273,16996,8598,8757,9877,10595,8931,12538
80440,Fresh or dried avocados,105,1388,2488,3695,4784,3237,4180,801,5082,3924,,81720,114143,111854,99365,128665,152328,179803,154261,164461,157490,,6087,7879,10975,11594,15143,16859,19476,19524,21176,22117
851490,"Parts of electric industrial or laboratory furnaces and ovens, incl. of those functioning by ...",5798,5496,7965,10677,5626,11148,8746,6763,4338,3903,,237796,192420,202036,268418,211603,208983,227568,220094,213949,360834,,21753,34367,42596,30274,19266,28268,25954,18185,18249,20866
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",16179,13322,6773,3805,3237,3490,4537,4913,4237,3899,,220774,225623,186972,178428,186520,203776,211028,186436,135271,188271,,204887,177651,147925,103782,88375,111152,130357,213597,88832,104114
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",4019,4535,3465,3126,3564,3903,4203,7527,3813,3871,,468996,461638,491692,465613,473893,518266,576546,702925,1023965,953827,,88421,82426,90699,95281,90511,123902,187048,344042,319521,450759
854720,"Insulating fittings for electrical purposes, of plastics",751,841,885,1031,2029,1745,3089,1855,4156,3860,,135211,135619,166221,145761,132524,118339,121712,116422,130703,155518,,10169,10756,13583,15087,15228,19009,21193,24181,19718,34694
701710,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated, of ...",1382,2322,2218,2428,2055,2663,2864,4978,3440,3858,,54086,45067,35042,33548,34001,39777,41525,44973,38124,45152,,4898,5539,10839,15821,16756,15343,13481,15677,13587,14336
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",182,290,118,91,96,258,1579,3147,1946,3853,,139770,189740,141841,108607,73961,58144,72102,78569,57967,71361,,77078,73368,65226,64846,59604,49436,54278,72485,54667,95619
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",4403,5345,3426,3325,3350,2303,3303,3729,2984,3843,,346544,307865,309249,277825,268717,272811,264227,269180,204110,221837,,47980,65052,62391,58465,44666,39868,38705,39630,33449,49265
70190,Fresh or chilled potatoes (excluding seed),4328,4270,4025,3811,3614,3748,3979,3446,3815,3839,,196304,209544,192278,175682,197241,213295,226461,243002,229575,258691,,22585,24734,24575,23532,24145,24404,23981,24550,26467,25909
70920,Fresh or chilled asparagus,2429,2227,2579,3128,3294,3323,3869,3826,3515,3825,,153937,146071,147702,119548,144330,149565,173207,163567,144452,155757,,7060,7253,7637,7660,8263,8262,9248,9559,7987,7937
