Product code,Product label,Australia's imports from Japan-Value in 2012,Australia's imports from Japan-Value in 2013,Australia's imports from Japan-Value in 2014,Australia's imports from Japan-Value in 2015,Australia's imports from Japan-Value in 2016,Australia's imports from Japan-Value in 2017,Australia's imports from Japan-Value in 2018,Australia's imports from Japan-Value in 2019,Australia's imports from Japan-Value in 2020,Australia's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",299806,451718,286932,304106,255559,229481,229674,112941,70722,100777,,3565938,4523492,5177993,4851998,4284584,3182419,1803428,1236701,524288,380005,,2753722,2499632,1841353,1627544,2006416,2261018,1700563,1266688,961949,1220860
842951,Self-propelled front-end shovel loaders,52951,39259,33012,38320,43677,65265,64895,53423,55650,99641,,1214684,1151026,1273866,1031418,1307373,1393017,1533813,1448294,1443112,1909591,,804816,390739,322915,278919,288083,468809,565864,471690,511144,775655
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",14719,17605,21926,14954,22015,29707,59024,58151,72490,87174,,271034,308468,277395,239410,236378,257303,319951,313137,298504,317258,,171850,235544,257563,259728,259796,287425,318134,275914,306811,344997
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",140030,93864,84447,61861,64936,68676,70475,60176,63827,80836,,1969246,1561710,1492776,1183827,996829,1050072,1007519,1059841,824855,1060445,,845648,702805,642296,516959,503949,526658,557445,521879,524494,634117
840721,Spark-ignition outboard motors for marine propulsion,89730,84854,81504,63279,64597,65192,74326,62085,48633,75217,,1603660,1558361,1620153,1482722,1685061,1750063,2032320,2059990,1660078,2352533,,131416,131663,128126,101386,96200,101996,112574,99039,85060,114222
847989,"Machines and mechanical appliances, n.e.s.",88786,61506,76934,32280,41740,56612,63196,40557,59569,74060,,6500233,4594694,4824130,4142174,4539473,5446369,5564167,5269198,4823279,5400940,,1122572,770085,824049,1294588,734904,684131,660518,695531,605930,859405
842911,"Self-propelled bulldozers and angledozers, track laying",61562,19372,31351,26969,31549,55181,63877,43539,48296,71993,,1067181,842324,833700,649647,500393,709585,845630,823916,500430,1036618,,706292,132257,89033,107405,79225,157690,251976,307852,232694,311521
841911,Instantaneous gas water heaters (excluding boilers or water heaters for central heating),72461,74543,68507,73215,66891,65801,68740,69035,76558,63830,,264783,283048,293850,302341,319708,363339,398047,383103,427771,516971,,84905,87049,81681,85076,78011,85443,86965,86334,90905,84093
252310,Cement clinkers,48035,36516,52928,58840,50769,56739,51166,55980,53853,62063,,162502,134782,147064,159925,171477,150693,134501,150535,194730,178479,,74583,92372,124775,130234,121452,113867,138212,144011,126907,145401
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",1914,1471,2037,1588,1568,1859,2976,34696,46781,59320,,100632,85693,108978,124025,129407,127707,127699,130435,146431,171279,,366731,403229,419196,360043,448908,498987,448422,285853,547755,786727
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",178910,140989,121016,90352,81269,69321,55739,51384,46676,59223,,3315846,2931950,2731860,2326533,2091920,1920482,1972977,1890080,1499539,1876580,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",102291,79376,68919,63927,68216,64644,67273,61915,46254,57120,,3889022,3551892,3261016,2926364,3159898,3378746,3522078,3314352,2564690,2932719,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",55364,68526,60223,58451,58845,56863,67607,52082,48136,56156,,1230358,1229205,1169294,1157825,1148026,1167403,1276358,1300457,1362315,1457168,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",54219,60686,65287,79079,78135,78885,72198,60092,36381,47660,,1913724,1746010,1570909,1370836,1301618,1322710,1350612,1069275,811851,1185481,,106132,95960,107243,127179,121835,135325,136261,130733,83026,109191
870120,Road tractors for semi-trailers,0,0,0,4099,10858,17973,29829,35448,9899,43663,,292268,198787,258513,331180,285539,196442,248600,218631,185568,182662,,0,0,0,114873,202922,315736,337333,308088,214576,364977
852580,"Television cameras, digital cameras and video camera recorders",214974,128595,104452,96324,90829,113418,109366,87027,48904,42163,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,731592,588100,576238,537141,501631,605791,726219,688206,630793,803323
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",87544,72478,61764,57451,70014,59375,46556,44583,37159,40073,,6733424,5642854,4629663,3630672,3480082,3690265,3753397,3516414,2845503,3460819,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,92,762,226,64,37273,,0,0,0,0,0,575071,643971,682523,1665821,1641918,,0,0,0,0,0,911014,1113101,1075950,1192741,1719665
840681,"Steam and other vapour turbines, of an output > 40 MW (excluding those for marine propulsion)",0,10327,0,0,0,1089,0,18136,9634,35265,,351608,351398,278362,116134,107548,303307,217946,102628,176651,169344,,10418,18273,7068,0,6049,16155,2443,22587,11623,38341
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,30024,23676,14085,18978,34897,,0,0,0,0,0,705691,767422,855445,752926,1003212,,0,0,0,0,0,111819,112750,75037,94741,162990
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",118317,89012,81841,60694,64047,62234,70613,44219,35137,33583,,1789735,1482786,1419222,1079961,1136668,1147645,1230727,1096496,883936,1010781,,531038,509428,471769,469849,474386,532403,641726,566853,640427,850578
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,13895,12564,12655,13094,16782,18843,22550,20150,22496,31672,,270409,244030,240830,241166,280519,293548,326636,343912,378403,437267,,260401,274297,273665,263140,271150,288362,315512,315532,348018,357483
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",35518,30082,28266,26526,30990,30221,32331,31672,23771,31590,,429090,415155,405203,360836,383520,384976,400468,396389,304394,366583,,104108,103044,108624,108086,114443,129583,140218,140034,120998,182230
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",0,0,0,0,0,335,422,2181,6839,30966,,0,0,0,0,0,141746,186492,206121,234968,263518,,0,0,0,0,0,32973,33124,38269,54652,101166
870210,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...""",149229,92417,115750,98676,89427,96954,97198,55765,28333,30476,,2241506,2018568,1981699,1823694,1846985,1749013,1800405,2090392,1452758,1301704,,293581,200600,215662,182938,165917,181019,187970,149607,107844,106577
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",49159,37575,34844,30028,23414,23135,25491,17593,18772,29999,,405833,371691,396751,340280,323334,321831,352391,303234,283047,367816,,126166,95269,96537,87636,73519,75014,77858,65755,61827,128584
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",52153,41469,43774,44507,47886,41393,32824,24574,23852,29370,,1378136,1254760,1363998,1139419,1222540,1362544,1641240,1142389,964896,1323932,,292913,274426,254647,233669,253568,236142,192050,169036,144521,245073
850760,Lithium-ion accumulators (excluding spent),10685,11325,17417,12222,11943,18439,16073,10558,8193,27293,,2293524,2053191,2032530,2032883,2617327,2571627,2577621,2053783,2480619,3372165,,85045,102352,118151,119896,156551,264456,308046,386732,340112,736260
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,0,0,0,0,0,0,26926,,160672,186027,122951,201089,197247,309086,330809,257949,231092,335851,,1010988,733633,662723,613448,637964,990721,107801,0,0,155813
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,43778,44367,41604,34705,35466,34207,30354,25605,22755,26810,,835045,874688,912856,802384,808684,912496,950771,945738,848540,982988,,56210,56386,53753,46916,47446,48092,48469,49009,46133,52522
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",22428,19556,17445,13214,15679,18160,19265,22882,22353,26380,,2663463,2226729,1790278,1505854,1465354,1812839,2044114,1933217,1637909,2078857,,249074,246107,257258,260900,238450,281389,296784,264586,268958,312668
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",75426,52906,40078,32778,35946,25797,52798,40512,32934,24942,,1420010,1364645,1333085,1868063,2221532,2483862,3323493,4209092,4223491,3815356,,7022961,6092237,5517512,4450570,4706668,4337316,4291148,4342930,4624241,4680409
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,27345,21516,19344,18282,21033,20822,22971,22871,18297,24257,,672118,637423,609347,613445,800398,975239,986973,804725,640910,770093,,201484,186848,187133,175613,174791,184017,194655,185467,177082,228653
871130,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",50789,40684,39602,25504,20591,27383,24455,17002,14269,23024,,272070,245444,264920,189182,191289,239219,242871,184684,187264,227641,,110852,120897,103243,84710,88334,105937,111461,85635,70354,131220
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",137,285,141,138,97,452,640,346,2370,22980,,779938,749473,748654,765476,709057,614535,513999,714903,719469,866790,,64890,49093,46994,50837,50401,48252,63434,56106,65662,82644
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",9926,4586,7484,6322,5323,7025,12462,8338,10574,22837,,999376,1111608,1350398,1385300,1409286,1479377,1539316,1648180,1698748,2001338,,140067,140633,166822,165836,172251,191272,203357,179761,237681,234930
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",0,5,2,104,8693,10952,11853,18774,16376,22692,,145338,140830,129962,112445,73924,60820,77665,45595,29262,86579,,2537,2922,3253,2960,11632,13340,15189,24730,20979,31245
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",36756,31160,26780,22415,25197,25532,23666,24823,21487,21773,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,1137469,1159139,1235749,1257267,930580,909625,998002,872768,886825,1146437
210690,"Food preparations, n.e.s.",11289,11785,16013,16252,23516,20480,29676,38853,35094,20988,,358200,330414,340994,415253,482199,518955,738042,829158,1202292,1192338,,1210138,1265084,1224440,1193919,1206955,915116,1122181,1459633,1397965,1556710
300640,Dental cements and other dental fillings; bone reconstruction cements,15121,12802,15058,11179,17574,16855,15364,14969,15097,20851,,160163,156147,137748,123851,148850,164255,189809,197786,163595,237653,,52979,42975,42895,45257,54477,49938,52215,49300,44434,54747
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",34400,36420,27792,23936,24534,24412,19570,19597,17268,20759,,2122377,1806264,1580917,1343001,1477026,1618298,1707286,1668870,1500359,1792014,,238167,218290,215448,201230,201460,219053,218565,223409,214775,255547
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",15178,14315,12643,9763,12365,14465,13901,12755,13072,20612,,327153,297551,272729,243819,255629,295919,312236,303132,267856,383596,,200949,205557,223256,220764,235359,284310,310169,292117,369588,483499
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",5973,7201,8373,10185,12283,16116,22381,23218,15690,20541,,1029267,917389,909272,1096436,1586677,2164437,3301627,3870775,4803433,5660184,,392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,6625,8227,10065,6557,20066,,0,0,0,0,0,142128,143501,156944,148069,295504,,0,0,0,0,0,207140,188323,166099,215285,319050
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",18584,13417,12502,10765,12062,13551,15101,21061,15329,19678,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,348908,304014,275719,231905,223706,191986,167917,151404,132040,187067
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,1460,310,739,202,19635,,0,0,0,0,0,703,1215,1036,1006,509,,0,0,0,0,0,13749,11751,6713,6446,35328
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",22636,11981,11915,9922,6579,8838,10757,13609,15884,19194,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,217296,124632,142959,141885,100215,162270,167075,158866,151771,160321
730424,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",11063,3488,21680,42364,11745,36200,25304,29653,72084,19050,,1325660,1134777,1071025,937111,573022,645319,737462,1216972,1131634,789119,,12395,6846,25153,43155,12221,36713,25803,31879,74131,19658
842710,"Self-propelled trucks fitted with lifting or handling equipment, powered by an electric motor",19256,10542,8861,9233,7837,13143,12967,10851,15226,18978,,265245,216950,234873,235136,263066,266898,303357,273703,255687,319017,,168652,147363,139901,140915,133784,157710,186017,180108,143744,205977
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,52065,55570,42092,39907,40893,32579,21779,23218,16304,18732,,6096273,5544151,5111633,4342886,4507919,4752871,4904977,4669664,3866279,4704867,,203924,235244,203753,195095,181526,129632,103279,99391,100415,121383
321519,"Printing ink, whether or not concentrated or solid (excluding black ink)",28978,26240,20922,19696,17242,16573,17562,15183,15217,18449,,449601,523704,521184,443667,445620,472629,492501,414695,376764,485350,,135750,126053,126696,138953,177127,188124,176524,166025,147039,176905
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",17594,13745,9293,7893,11384,11108,9932,16600,9652,18375,,2039157,1712779,1751569,1528625,1330606,1489161,1711430,1675040,1021468,1251784,,39258,23810,20032,24185,20529,24214,21369,27136,21981,34868
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",26304,24042,15333,18966,16594,15649,23836,13388,14626,18234,,1505443,1338402,1311576,1355502,1259881,1254378,1159466,1113115,967188,913676,,2184258,2480088,2337434,2512110,2806665,2975447,3501969,3481121,3392145,3411434
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",49918,41950,29157,27982,23456,23840,24053,21458,15166,17860,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,85346,68566,51985,43804,34516,32965,32886,27668,21195,27935
842121,Machinery and apparatus for filtering or purifying water,14620,2898,2853,5466,5889,6869,12830,13166,12545,17839,,175461,147547,125474,110702,134889,128596,156083,154159,159748,156979,,175213,165424,146383,139243,117802,123443,149944,158531,186665,171685
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",4991,6859,11147,13077,13875,13196,11294,18254,18523,17732,,517351,492151,493353,466962,564146,566371,637695,736285,729873,887484,,344077,349175,337007,336682,363437,388821,383844,396728,530759,807792
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",16364,21073,14560,15629,13998,20548,16148,14610,13784,17535,,355528,295649,312445,256985,320292,267218,286061,282369,285747,336687,,349316,362691,273150,256041,229409,286603,297477,310506,312074,341137
721012,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,16872,33414,33558,19864,20943,17387,,634210,619901,573070,562221,484418,504697,568961,444301,439615,494050,,114049,95373,88710,76708,72155,80385,89137,83736,72144,97228
730210,"Rails of iron or steel, for railway or tramway track (excluding check-rails)",45432,22481,97290,9140,44468,33789,29492,65380,54078,16719,,627112,643957,543207,488032,423559,334683,337140,432822,255879,268248,,81925,33396,114876,28974,64086,45692,38673,82138,75148,32718
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,12297,11690,12234,11636,9530,10967,9263,8947,21355,16693,,563584,497626,431855,357144,395482,457596,515283,482689,501694,691433,,288257,624817,782802,489886,316352,212049,222121,258045,309833,343668
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",22463,15380,36477,11690,11311,13841,15402,15523,12955,16255,,1287307,1196862,1302337,1115863,1134352,750793,766850,879532,982571,771766,,831788,817137,731025,460515,494084,251071,273465,300333,241978,319897
321410,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",19780,15149,15339,19518,16859,16432,10561,14205,13977,15955,,246287,187511,197462,179920,209963,240171,250707,260538,262260,323642,,88101,88834,91836,100238,105276,109925,122826,118163,126642,141800
871140,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",30327,32337,24461,23972,21582,17897,17222,13706,9847,15269,,953586,872550,864716,679578,588602,836221,724169,732401,584279,797245,,90792,97815,88266,80884,66492,63450,49499,62152,50091,62510
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",39532,28897,20057,18858,19858,18983,17118,22160,17422,15263,,486461,416745,374041,323908,324666,368701,395022,364000,318425,426104,,211136,156238,162031,154022,140691,160935,182517,194763,194975,210703
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,8,0,8398,12640,15209,,0,0,0,0,0,1724118,2765223,2588951,2188795,3623523,,0,0,0,0,0,9532,18376,31691,48439,68750
902212,Computer tomography apparatus,15753,16925,26013,30042,17013,17040,21690,13242,10958,15023,,513376,460138,444159,413337,446147,440578,464860,515202,608495,586665,,93698,75669,61845,76557,67247,63452,78997,74595,77842,107825
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",13087,13834,10353,9212,11035,12620,12324,11784,11373,14723,,1319418,1226278,1181614,1027344,1136723,1170870,1150130,1045668,851262,1076245,,131254,140137,132254,128372,123615,144293,139398,142884,148685,209289
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",28307,21595,13870,15466,13570,16601,16579,19887,9690,14713,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,349950,246845,261246,216087,188372,235223,269604,301012,298007,301452
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,7767,7500,6890,7109,7604,10150,11099,12434,12204,14532,,739589,658315,665862,587650,661889,681534,725789,726630,783582,845716,,214245,227649,407105,206828,184131,186614,204694,206086,225665,215334
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",15851,12122,12424,13401,11472,8425,10924,11251,8060,14352,,983270,801660,786271,759995,779170,689703,744085,722393,541396,653027,,186745,158750,164268,162044,142528,147990,155007,126528,100636,140084
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",16937,15356,13992,11690,14345,14428,15497,13571,13133,14326,,922946,913315,876139,791304,790676,803223,829445,834862,736044,955422,,61463,64718,62444,61959,59129,64505,71919,62409,62350,75159
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",20039,17623,16163,15005,13775,13776,14177,15949,11440,14319,,900159,805238,790649,665510,756285,732245,813511,817180,778914,885385,,165663,168525,226762,134446,125342,132910,150770,150554,161986,178769
842123,Oil or petrol-filters for internal combustion engines,19517,13585,12105,10486,10589,12420,13254,11840,12147,13806,,339752,302108,275757,211731,204200,215969,223153,211334,179551,225690,,127073,125819,132877,132603,125156,137292,144756,154518,162713,177696
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",6077,6999,6098,6743,7524,7467,8187,10238,9783,13470,,619166,591606,613398,644402,754267,890582,975634,1066728,921053,938664,,234088,237304,254166,278917,291337,262758,309813,275842,281137,344631
901850,"Ophthalmic instruments and appliances, n.e.s.",10602,8892,8912,8323,8151,9372,8806,12269,8305,13237,,316839,307174,297016,259534,267043,285392,315025,306893,256263,315193,,90524,82715,88476,83906,78928,76546,86767,91896,82894,98305
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",24644,13193,10702,11252,13846,11909,12295,17566,13843,13228,,532314,451756,363857,320972,349090,353204,393343,337873,273963,343880,,222836,190443,152177,148741,158264,158244,152103,149215,157898,197153
850211,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",19465,10408,9037,5511,6790,5688,7990,9318,7718,13132,,137245,103269,113622,124609,92522,99477,117431,110407,84076,106024,,89660,52371,46305,37554,34620,47257,60351,54939,60272,91474
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",12361,10285,11278,11408,14123,12207,14132,11963,12364,13118,,1880549,1744325,1793243,1703795,1923727,2007127,2254335,2410488,2298719,2856208,,189057,206072,205000,180775,144935,147345,159292,142213,139532,183501
220300,Beer made from malt,2841,3793,3869,4268,5983,7820,8370,7861,10758,12945,,56064,55833,62170,70653,87468,114783,116626,84095,54085,67106,,253769,311264,327600,326480,325005,288830,316275,331750,259308,228562
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,59,652,1771,3292,12933,,0,0,0,0,0,597792,386449,431470,759605,1018937,,0,0,0,0,0,104050,67204,221581,207546,735396
845710,Machining centres for working metal,22538,6143,4751,4563,7606,13529,14238,8226,10141,12910,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,37356,20507,16045,15128,21715,29162,29846,31403,30004,43510
