Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
TOTAL,All products,5125704,5720071,6171506,5884729,4932353,5131997,5684926,6489007,6367017,8042079,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",120,38719,35802,60,27280,1173,1414,24484,252801,1034250,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",741603,994244,1387216,1142336,640645,718209,983025,1040307,1027292,783733,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
290220,Benzene,211315,225631,183823,247075,278779,451707,437790,371580,367702,523403,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,744619,626096,735701,403004,344235,515448,522455,481741,388155,529791
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",31307,49688,36681,54896,91093,28026,107956,438463,303832,272501,,2634205,3540087,3236803,2948191,3395703,3476198,3261097,3178158,1947229,2914608,,1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",365890,325402,104268,6003,4485,15885,13921,276183,162173,263468,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1680,1351,3424,10621,3487,33888,101933,137515,241374,213019,,1135018,1162354,1199772,1225010,1244843,1137311,1539481,1554910,1118158,1430577,,259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",30819,19564,24376,30308,36965,99292,51943,85936,60109,176613,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,539833,477774,344294,434997,597073,818852,781010,1028825,583550,1408225
170113,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",1338,984,98,264,1029,300,33,117,17907,122477,,0,115406,99264,33325,34095,24724,36041,74186,25055,33851,,33463,57238,117451,18964,2824,286974,348034,331114,388724,462716
890520,Floating or submersible drilling or production platforms,0,0,4852,0,0,0,106941,0,131327,114040,,622045,281352,1092921,1029422,450427,1154709,816582,748810,327575,376228,,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",561,6624,18207,24974,32176,28862,66432,66373,294522,112854,,3884,10855,32663,53771,70863,48348,0,0,0,0,,55746,68144,88826,112242,100876,108539,205275,134986,634721,344292
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",27552,18772,13986,19825,28849,82380,79382,90449,73083,95551,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,104378,92242,122047,148457,196701,256916,275093,296959,244864,305294
20230,"Frozen, boneless meat of bovine animals",196482,163141,178262,165252,110195,59768,62611,70576,57866,85589,,2961134,4410700,4719043,4029377,3680161,3936898,3339386,3062579,2762444,2936398,,328785,277886,294771,289403,193628,172035,173590,211739,186316,282298
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",941,587,1423,3708,2941,13512,21176,41695,54527,70372,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",8202,18985,3581,4471,0,27208,37768,22759,24264,60470,,212935,366953,303679,128595,339193,1263700,826915,1476157,2024034,2761309,,355030,334353,356231,310810,211318,319709,339310,284434,348004,465166
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",11588,22616,28711,45643,41480,37124,39729,37257,46363,56468,,447808,545549,583756,590149,655472,631597,646901,708922,624402,790976,,90176,141178,171417,198988,171784,136718,136022,118388,103116,113182
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,51147,,0,0,0,0,0,269251,529049,803311,981909,1239851,,0,0,0,0,0,0,0,0,0,134525
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",32772,65045,53615,46317,56777,68287,42440,30794,29222,47006,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",63210,68184,53925,31429,39853,38878,22825,32870,31084,43241,,980226,671346,693280,1008717,1322619,885248,866079,1238285,1816969,2341936,,261414,392617,275553,273608,254561,307727,156256,86935,83754,79740
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",261,773,287,86,0,200,95,3393,655,43147,,757,2504,3908,3343,4662,10523,72172,76073,154755,320899,,6833,25768,29162,14073,7779,11903,14793,31202,37606,80271
621490,"Shawls, scarves, mufflers, mantillas, veils and similar articles of textile materials (excluding ...",3035,1780,1712,1605,1429,1449,3558,3982,2337,41744,,406649,579950,471812,505108,479161,371801,250412,237167,155680,147436,,8381,7643,6665,5353,7595,6380,9053,9504,5059,91368
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",1775,5898,392,2834,5159,13901,6874,9476,25283,41629,,325633,293545,271136,298168,303656,220875,279707,219291,178682,382152,,1098685,1309005,1196919,1376406,755953,242218,169739,201843,279871,267097
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,56,0,532,267,47,528,2248,20474,41443,,40865,26406,21061,25480,18902,37411,60994,107235,192193,311495,,176590,133815,107011,216350,129868,109605,93982,87849,148064,151670
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",16023,37478,26041,20950,18316,11906,11959,46520,27202,40959,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,215396,266082,321968,274817,312767,294031,236853,315425,253993,311004
251110,"Natural barium sulphate """"barytes""""""""",47760,51461,28927,37578,69762,39357,89348,59241,63699,39804,,185312,188277,99236,72053,122041,122636,184538,154840,121986,114234,,77430,78988,92843,150676,134482,80727,102415,66641,68143,41087
170112,Raw beet sugar (excluding added flavouring or colouring),1260,2425,898,299,894,320,156,2576,0,39793,,2297,3819,270,581,5053,12868,94,57,899,7591,,248420,445989,262504,28146,82337,8494,1388,5226,15927,153025
680223,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excluding with ...",424,451,1313,1027,1297,1551,3823,9894,32662,39688,,793180,918407,919812,848173,839602,801259,804826,778962,774496,898176,,2172,4671,5303,4794,4973,9802,11226,17645,50554,48738
90831,"Cardamoms, neither crushed nor ground",43396,35183,40687,48395,33178,54965,17134,1470,13788,37831,,0,32142,58007,70389,65149,94959,71805,55332,114637,193499,,127159,126660,114286,122416,88644,121864,85992,117727,248634,210349
80132,"Fresh or dried cashew nuts, shelled",28304,26333,29246,33267,37207,32016,46175,46103,34860,37420,,765635,917488,861026,804318,730899,942411,666431,564571,404228,432499,,31691,29260,31032,37308,42176,34467,52344,54481,47184,64704
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",7573,7641,10073,11844,10650,9334,8441,10200,21798,32900,,224318,313294,359353,331081,318734,348671,322287,363674,321511,461475,,63693,62143,71109,72775,57254,48347,60335,81627,86980,95911
200989,"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...",25442,48854,59472,59772,43093,32824,32409,18342,24377,32301,,0,3546,2741,3513,3575,7771,6115,6414,5666,6005,,44865,76165,86175,89233,72002,64301,52857,34937,42554,72776
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,120,115,1056,691,31875,,100,529,1559,1907,737,6312,26801,19375,26421,98416,,5831,6545,9648,16893,9146,14248,21803,48024,59743,66500
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",10371,2610,4846,3414,3194,6902,28240,17865,19533,30849,,158960,115718,276398,352318,97824,275484,254501,136212,254210,506968,,290109,136527,196199,229651,185784,232026,287767,273150,181515,175178
271312,"Petroleum coke, calcined",9135,33546,19325,16401,26725,19097,52474,29921,10887,30426,,135975,139142,95631,79132,89664,113891,135003,72843,43068,65977,,49114,126242,134686,120939,76844,100111,166281,136124,119262,185386
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",0,0,0,0,53770,26885,38885,0,3900,30168,,227140,514064,66043,504295,143466,306553,416731,333600,147410,175491,,18464,12310,26331,4900,309722,742433,875904,618168,612277,1305481
300220,Vaccines for human medicine,0,52,200,598,353,549,13424,17967,8380,29342,,358686,525909,577969,632468,677135,611532,669086,772487,744933,1107042,,136743,206694,277120,236926,203506,189636,315665,280845,213469,1310957
610831,"Women's or girls' nightdresses and pyjamas of cotton, knitted or crocheted (excluding T-shirts, ...",774,2577,6186,9067,7844,7711,11960,13982,19996,28551,,189356,245140,248213,225290,232849,241310,265127,264001,236237,273015,,7625,4549,12730,14946,14777,18910,19631,17812,25690,48422
720230,Ferro-silico-manganese,8879,6355,21131,12134,2870,4183,6832,16885,13521,28128,,936024,978195,867805,599197,461991,800995,814433,658667,603374,1276572,,24871,16614,41718,17991,10405,20283,26130,28133,24149,34730
842951,Self-propelled front-end shovel loaders,2773,845,5277,25499,4458,16582,14648,19842,30548,27919,,17025,38214,37755,80916,36318,59210,75883,63657,66539,95320,,580329,494804,482797,467192,142122,104319,94159,147543,151022,136449
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",29556,17920,13971,13926,10159,8334,12464,30251,29738,26857,,663788,670874,575422,434240,410559,444817,470922,524625,435017,696781,,744441,681326,686841,676096,533741,456993,441962,565651,532728,496676
690723,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,26045,,0,0,0,0,0,213355,327446,362595,426390,368517,,0,0,0,0,0,0,0,0,0,76908
100620,Husked or brown rice,3623,8145,11990,15288,17461,27921,43542,56421,64738,26028,,45627,13263,25854,8723,8045,8387,7202,3522,10903,15269,,6644,9229,14058,21389,23948,46825,71321,75552,79682,32277
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",31902,51862,50907,65006,14443,26914,17120,13579,20064,24465,,1,67,49,80,0,1,0,16,0,139,,51508,79851,82306,103960,28824,75588,58466,49594,63403,66737
20210,Frozen bovine carcases and half-carcases,96,719,114,0,3443,748,3360,3889,11509,23749,,1428,188,0,198,58,25,22,0,0,0,,506,2503,299,179,21616,29555,36832,14770,37464,52201
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,0,3903,0,0,1879,7,5567,23740,,1083,1523,79,3790,135,7961,1759,3310,19915,70971,,503,2956,387,9379,945,9572,6201,8567,10398,76113
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",5014,2899,9345,17940,29029,17341,21596,6626,2013,22344,,41559,62409,71158,114636,115282,101594,117036,117390,88423,104916,,105046,116382,114730,136879,162520,118515,130059,98219,74264,139371
20130,"Fresh or chilled bovine meat, boneless",8900,15931,24492,23228,18890,27414,23116,23569,17090,21357,,32818,75588,80959,68884,55121,55421,50362,46680,32890,64923,,59630,67155,92297,103640,93907,110840,106869,178023,243361,220532
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",62,370,861,854,789,4506,2691,4488,15243,21027,,69716,74260,88412,134778,129382,122532,123672,141917,123438,187877,,1177,2067,3653,14551,10340,14385,12475,25524,41129,72708
847290,"Office machines, n.e.s.",1820,1196,458,6571,9525,3667,6610,19101,36911,20948,,53988,41120,45578,79814,114423,93252,119277,193762,136134,203829,,48532,59198,78924,104774,78047,81672,56146,102475,76364,52171
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",5046,3644,5290,4421,1615,2236,2853,3445,7169,20704,,164102,184820,213057,198110,186770,206527,191076,217675,215794,301284,,160114,125856,98373,96389,80934,100501,111812,120923,219437,199661
730820,"Towers and lattice masts, of iron or steel",8863,5566,24726,59261,44563,16103,1044,7294,18964,20182,,285367,277231,274310,354009,247473,319234,260384,344992,351194,294213,,34295,46025,58938,85585,85516,29718,15194,23106,23101,32160
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),4966,3926,3276,4401,3394,5778,6701,13416,8303,19930,,710583,646363,666260,596972,518380,524761,490350,574204,461810,623947,,27431,24795,21592,23004,24623,31113,116485,215773,200289,483235
100640,Broken rice,971,2275,5032,2302,13360,12295,4130,1353,1864,19907,,286401,318620,279817,320960,202845,370257,422117,90600,348671,1037236,,1899,3926,10924,4254,15328,13353,4586,1826,2802,20585
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",14954,15715,32359,17988,18137,1145,828,3010,1836,19396,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,39112,33235,64553,57455,50956,45959,46702,53015,62023,41924
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",2481,3452,3378,3586,3521,2775,3756,5670,9063,17741,,165341,223035,201544,187682,202980,219232,264940,295998,266948,376945,,130255,134842,132635,83781,59916,75365,104624,94772,97412,130709
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",94,17070,16292,2805,694,3076,2165,7910,5274,17580,,95694,93595,112511,76639,103383,337313,193463,287475,249757,541766,,105319,86557,82702,78455,43587,26921,15015,34310,40001,30339
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",9360,10606,15454,12397,13405,14132,12358,15689,17471,17457,,208937,193125,185954,202708,214324,207515,265634,282226,266045,271873,,88944,84050,97883,87093,88145,88965,95025,123156,126032,117865
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",991,3032,3708,2929,773,262,5161,7447,9925,17360,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,1112,3390,3969,3510,1367,1379,5241,8666,10695,18891
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",19874,13281,10250,13551,10037,20519,20356,8785,3978,16967,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,121563,134574,144260,141478,114193,151209,151958,108963,103089,120796
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",307,137,115,259,139,2429,5443,9472,9610,16630,,35559,51221,71924,65975,85691,96308,137495,167423,159883,218592,,88791,123765,138172,208515,204783,184942,189195,217520,172473,198718
90111,Coffee (excluding roasted and decaffeinated),11664,8611,10319,11782,9150,10436,9512,8107,6395,16447,,610280,562895,534476,535314,546068,635131,512358,499454,461426,622910,,168630,128121,155927,161645,134890,183278,163029,140284,163551,228954
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",123,477,718,182,73,407,164,6636,17000,16166,,195212,230438,247086,218427,186475,256594,355138,327053,318617,385710,,6809,10863,9784,15135,17601,29532,55323,59767,62677,34724
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",2906,4022,6748,8845,10638,16246,13171,24098,13032,16071,,25369,33807,37948,33596,34376,36308,35193,39027,23515,31257,,12032,12053,17464,17178,22795,27570,23093,35749,22875,28180
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",33164,23482,16646,15888,19133,23045,23111,24528,16557,15900,,824845,948870,942454,915170,887773,843125,789502,829724,508480,570906,,135003,95925,76898,57677,80386,78773,75659,84469,40260,47311
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",851,2806,252,304,2135,3256,126,3391,5941,15747,,101,5026,3944,4902,2214,4972,7451,7334,3851,12846,,1368411,1540257,1311081,1279916,1015575,756460,521795,562338,342794,318776
847989,"Machines and mechanical appliances, n.e.s.",3405,1954,1195,2408,179,3905,4400,8549,15074,15706,,202966,234999,344141,305051,284646,367260,347547,376967,376694,560697,,68358,103650,88395,98997,100242,111585,172682,257199,245326,159530
620443,Women's or girls' dresses of synthetic fibres (excluding knitted or crocheted and petticoats),1900,2314,3201,4259,6473,6019,5140,4652,9633,15552,,350290,490076,483787,563964,516860,599852,566844,664626,484286,558154,,22407,23708,43365,48480,49828,69157,76842,72129,64258,124389
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",1484,181,777,56,0,0,16,4350,7,14909,,15921,13317,13169,4304,2700,2473,2369,2327,3458,6030,,45108,58744,47251,41721,60868,135692,99439,120232,125835,150438
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",0,0,82,0,0,251,0,0,2365,14705,,46707,75366,145767,153308,146787,198881,219478,119769,139393,340793,,5111,6454,11572,6046,11015,4501,8045,21843,62376,178467
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",1153,1113,4376,2225,1513,2951,4131,5691,1253,14468,,203074,183421,170404,151427,148856,132314,172356,185144,133360,153196,,763273,753503,1080059,871226,639281,615730,751344,772633,322220,376479
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",12440,12746,9461,12912,9572,8607,10976,13031,10733,14361,,254431,319839,325582,309083,258114,256261,294110,305924,240433,379525,,153420,194799,148355,151554,119617,112038,128385,123294,129977,143282
80610,Fresh grapes,10180,10931,8277,8739,11373,14879,14483,14751,16376,14288,,131287,193526,223731,122391,219449,275964,275656,307972,286118,323519,,43897,54509,50991,68485,68708,66945,67558,69623,84464,79777
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",27,426,544,356,891,2196,13580,12740,9917,14236,,51432,64997,58878,61575,70194,81080,84800,101572,102189,117892,,15723,19703,26931,29687,35544,51644,188028,180388,270481,235917
610462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton, knitted ...",679,1948,4733,3057,2197,4591,3874,4232,9142,14213,,104331,116283,108288,130263,133213,131191,108143,99781,90336,147656,,5188,7734,12507,19800,17859,22241,18977,16586,28063,53709
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",7626,7113,9124,11436,9337,8714,9930,14718,10077,14047,,180516,266356,296006,338480,370163,389811,443564,465642,477819,734270,,95776,100554,114773,140439,112974,104757,107058,152851,134354,165216
200799,"Jams, jellies, marmalades, pur?es or pastes of fruit, obtained by cooking, whether or not containing ...",222,399,1592,415,331,581,674,1550,2230,13862,,81695,113298,112872,132276,131600,146003,153240,161021,136695,200983,,16003,22678,20239,25076,25906,25925,32101,34911,34016,46856
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",12781,16586,20630,14841,8131,9362,8798,8527,8449,12990,,489952,530086,454654,581223,619762,740627,764425,771431,658417,956540,,192291,251897,266912,259673,219973,204800,217377,179267,215519,191672
392190,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",4693,4317,4805,6353,4205,4176,7309,6978,4529,12884,,211178,184004,152607,185557,205087,249299,303136,333878,292076,328190,,76779,79340,72261,84108,82321,73458,77316,67855,65384,103357
611490,"Special garments for professional, sporting or other purposes, n.e.s., of textile materials, ...",783,1900,1205,3330,2508,3611,3669,11241,14800,12775,,49248,125254,199393,208826,184864,169628,238304,135681,98570,145101,,74978,114945,202693,85200,53667,61084,79305,127185,94561,85999
720852,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",3554,5004,6484,1149,207,516,4003,8890,3880,12739,,29688,53818,44800,23478,22902,47519,60284,53090,52108,102731,,130944,56607,87843,76991,45204,54279,40244,105780,52455,68230
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",3515,4473,4541,5485,5831,6844,7173,9313,11869,12717,,619924,726273,577850,597092,578975,674258,683436,720547,580745,565531,,19438,24014,33609,31883,29928,37549,57416,73729,98513,76628
841430,Compressors for refrigerating equipment,60249,56654,39321,45360,20407,12236,7393,13417,15846,12014,,25439,28566,32893,30057,28476,24614,25332,26196,37082,67963,,311355,327086,261330,314589,185543,190938,127180,124429,121926,113151
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",1996,1625,2478,2729,5572,3800,4859,6795,8341,11868,,468859,528028,524253,457378,413456,428785,441780,502909,373614,454360,,11797,25406,14953,22265,40082,40465,42372,43241,55182,95534
610832,"Women's or girls' nightdresses and pyjamas of man-made fibres, knitted or crocheted (excluding ...",165,87,188,669,3139,2867,1413,7800,5616,11733,,8683,9362,9863,8228,23693,19654,15684,15470,15650,14126,,2089,2538,3384,7337,15158,16599,15168,21465,80921,125728
850490,"Parts of electrical transformers and inductors, n.e.s.",6328,7381,8469,3737,6434,6757,8000,6871,5742,11675,,155113,189289,171385,186608,185915,205872,231356,281882,268490,354034,,97979,166911,164325,165403,142974,94656,74675,84274,70052,77950
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",794,1592,2287,2676,2358,3951,7824,3955,10084,11495,,93130,125587,124953,115777,118654,132787,174322,196278,140208,202604,,21482,25809,20548,29256,47402,52055,46023,23749,48049,78692
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",4111,5318,6063,10402,9953,12695,16066,17154,15192,11434,,59534,66080,70280,74734,81263,109477,98482,114529,89878,95807,,53098,49020,40471,52190,47994,49036,111227,152921,188301,125384
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",1211,2331,4445,11843,7349,3794,4803,6260,7061,11344,,377420,268935,311924,282147,352137,384319,619851,616411,554729,723054,,94756,92476,75119,74536,61434,37593,58587,78683,83004,76369
392410,"Tableware and kitchenware, of plastics",6266,6632,8762,8866,7595,7837,8380,11827,8301,11209,,117039,133013,147694,143063,130404,126906,131805,154268,134170,170367,,116362,148448,170098,193509,160741,149894,152603,173350,151619,202243
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",290,100,81,226,1124,401,539,1201,5491,11048,,224569,258378,307292,355611,344151,404324,362980,356086,248216,331723,,761,265,403,851,10976,1775,3270,8656,42370,67214
282759,"Bromides and bromide oxides (excluding of sodium, potassium and mercury)",309,432,305,228,232,728,612,26349,15124,10986,,3611,4227,5391,8568,12233,13924,18043,34077,23532,18992,,31904,49894,54065,3811,21967,24257,15209,43187,46955,24747
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",18745,34897,36565,45690,21235,22199,15239,14301,4490,10853,,394209,384015,418025,403307,373271,413000,483891,489349,475355,723458,,927188,1196982,957671,978919,436575,415040,416922,398896,247046,285232
280700,Sulphuric acid; oleum,0,0,0,0,0,0,10,0,5,10830,,12251,4294,5562,5066,4987,13058,12517,8254,5402,47500,,1015,391,1151,613,285,968,403,774,1307,55725
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",3291,2647,4147,4676,3945,4885,5006,7786,9369,10805,,0,55603,70151,74288,68539,70919,80312,90733,90646,125386,,60215,60449,73433,85217,67912,74960,74935,107152,106318,119338
291735,Phthalic anhydride,11127,14365,31026,18695,12486,22813,11396,4874,3918,10787,,22080,30025,51333,33275,32250,46222,25170,26500,17876,33837,,66321,60207,53954,39966,22999,34696,32839,25467,21702,39516
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,1971,2710,5723,8451,7986,8285,10166,18022,11529,10720,,39667,76052,95323,122131,143719,117716,100257,149664,82757,91367,,74800,93882,112651,91881,115169,124455,154078,270958,167243,124707
730300,"Tubes, pipes and hollow profiles, of cast iron",8171,6045,45454,6670,2522,5581,7129,13919,6649,10699,,225239,190060,150981,125173,96481,110760,161914,183852,133412,157415,,296325,154236,256958,252883,95265,102237,65469,89285,78208,84462
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",180,1037,282,1093,956,1250,1679,2849,5758,10639,,26688,53145,72651,88469,96909,113483,110108,137518,153200,281672,,76848,97023,119735,138864,114804,123944,126891,157238,165583,234049
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",2882,1377,2146,1756,1216,3285,3270,2972,2303,10610,,270631,143578,132877,94378,79122,114752,132758,157362,110181,261941,,23049,26950,17938,19241,20834,23960,44923,33618,23854,47724
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",20250,18124,20510,19361,20762,20940,23773,29637,11480,10168,,119453,148802,139140,141357,141458,178945,143559,168962,114119,134285,,430433,442317,476934,440777,391930,340832,385669,461067,348169,400607
290371,Chlorodifluoromethane,9131,7850,11239,10893,9433,12307,13348,12105,11874,10151,,0,27781,41761,45926,38206,51904,69980,68951,48098,46887,,35193,27850,30785,24977,17018,20733,18684,18542,18447,16237
630291,"Toilet linen and kitchen linen of cotton (excluding of terry fabrics, floorcloths, polishing ...",8135,9364,9444,8546,7779,7427,6849,9074,5570,9943,,43102,52725,69125,39266,34365,22626,35284,42023,31791,38974,,45255,38851,36742,41269,34433,35877,30420,44359,21449,26091
870210,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...""",24468,38208,44136,26401,30771,21509,1875,3456,4358,9938,,231663,159468,259522,259462,205291,262549,169365,197366,70265,104534,,382626,363378,371750,273788,238148,251724,377751,657391,528968,88849
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",8942,5346,4093,7345,20282,22188,12630,12631,8254,9709,,822359,887863,742463,672950,592520,615216,566054,489479,355108,435928,,31805,16881,11651,22567,42553,42513,37366,53222,36195,38926
854790,"Insulating fittings for electrical purposes, of materials other than ceramics or plastics; ...",1634,2069,4621,21441,6200,9389,4619,7305,4870,9510,,103759,89351,56431,44336,34735,34724,30480,33444,32242,39114,,28466,39854,23889,54346,25073,38381,23237,24678,28819,31923
