Product code,Product label,Singapore's imports from China-Value in 2012,Singapore's imports from China-Value in 2013,Singapore's imports from China-Value in 2014,Singapore's imports from China-Value in 2015,Singapore's imports from China-Value in 2016,Singapore's imports from China-Value in 2017,Singapore's imports from China-Value in 2018,Singapore's imports from China-Value in 2019,Singapore's imports from China-Value in 2020,Singapore's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
845410,Converters of a kind used in metallurgy or in metal foundries,665,901,4372,10579,5489,10384,13797,145322,4523,6923,,27136,34338,16062,17302,11737,7989,14322,19506,12544,20052,,14861,8279,11198,15148,11896,17998,28309,151755,7121,9801
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",99,104,216,165,102,225,587,967,1466,6922,,11364,15468,13378,14066,11978,10258,13425,14261,16990,15196,,14008,21010,20064,19538,20220,25181,36634,40654,49825,52201
70970,"Fresh or chilled spinach, New Zealand spinach and orache spinach",4241,4300,4193,4345,4368,4750,5120,5129,6179,6920,,4859,5303,5623,6463,5388,5924,6254,7339,130366,238429,,10115,10098,10584,10827,12081,12685,13556,13855,16614,16671
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",3580,1695,3339,2836,3309,4446,6403,7410,6956,6892,,213806,227944,250765,317430,382446,417632,470609,493878,526169,522057,,69506,60177,67636,63373,57380,61611,72073,70034,70904,78453
442199,"Articles of wood, n.e.s.",0,0,0,0,0,0,7569,5279,4243,6881,,0,0,0,0,0,1920952,2226099,2164436,2477104,3122762,,0,0,0,0,0,0,15707,10787,9381,15499
620469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials ...",9448,14966,15893,8361,8898,7585,6712,10141,8735,6853,,693951,700938,848084,941764,857078,781632,868632,849536,586473,634715,,16253,23806,25696,19503,23109,50845,48492,52300,22623,22535
30743,"Cuttle fish and squid, frozen, with or without shell",0,0,0,0,0,0,5728,7634,5657,6842,,0,0,0,0,0,2170990,2129264,2007189,1885031,1869551,,0,0,0,0,0,0,17419,14220,13702,16362
841830,"Freezers of the chest type, of a capacity <= 800 l",3002,3444,3205,2009,2620,2407,2912,3698,5395,6842,,824341,869752,947953,867654,875565,941671,1053519,1053197,1525748,1528093,,4058,4888,4273,3185,4896,4048,5366,6116,7749,10358
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",12904,14885,12070,13840,14665,16332,14594,8807,6707,6841,,841006,785323,792679,708197,736487,720282,693030,754747,392497,319036,,53375,39676,35272,36411,34695,36232,35229,26851,16413,16470
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",16669,24898,12481,12386,10697,10925,9749,8915,6444,6840,,361738,345639,352353,329636,298681,272795,274253,255760,188765,195494,,146938,153828,149022,119477,124296,143577,145079,133203,118334,125290
851610,Electric instantaneous or storage water heaters and immersion heaters,3539,3054,3061,3487,1947,2454,3362,2625,3723,6784,,301667,398956,441558,317909,350135,345951,395492,404134,409696,466047,,18889,16603,18389,22637,15907,15984,23263,22388,21508,31835
761520,"Sanitary ware and parts thereof, of aluminium (excluding cans, boxes and similar containers ...",632,5207,5360,5358,4759,4576,4312,3734,4264,6771,,63324,66210,61900,53949,56764,59067,62568,58178,80081,90234,,2343,6504,6459,6186,5421,5057,4731,4321,4932,7676
847710,Injection-moulding machines for working rubber or plastics,4909,6599,4151,3098,3377,2894,1971,1703,4155,6757,,919673,950265,1037435,1017405,1049174,1202931,1196282,1230552,1270506,1614315,,47294,38840,23218,25815,29297,29015,29794,20459,17347,33989
570320,"Carpets and other floor coverings, of nylon or other polyamides, tufted """"needle punched"""", ...""",4401,3905,3818,4865,3769,4180,6399,9222,5159,6748,,146309,167161,202921,214104,203056,210283,226466,198860,150318,186895,,10286,9356,12511,12446,9653,10680,11284,15338,10744,14319
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",3408,1474,1489,8109,1285,3664,8812,2120,3391,6743,,836098,712763,601228,611069,544729,523483,517158,560254,883505,862558,,396949,301373,301770,304806,305893,274298,57141,39873,162079,653897
731010,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, ...",3519,1606,4982,2605,2941,2501,1534,1469,996,6733,,58303,63649,64009,72318,54218,57883,74446,82576,73965,94264,,33801,24153,25284,19572,21377,26633,32721,26374,22724,36731
732510,"Articles of non-malleable cast iron, n.e.s.",3976,5082,7038,10179,6965,7896,4871,4286,3857,6732,,502561,490725,563251,502911,450021,435101,471444,481582,464399,589326,,7031,7526,10496,12218,9473,9856,8411,6756,5725,8353
30389,"Frozen fish, n.e.s.",4842,3828,4181,3114,3619,3134,3823,4310,5084,6731,,1112173,1049412,1164665,1122187,1168802,1068649,1098613,1034439,834346,845253,,33174,21861,20895,21050,20935,23063,19143,14717,16863,17656
848140,Safety or relief valves,2968,3838,6677,4688,7665,3374,3388,9720,5267,6699,,86350,111646,161617,150929,128460,152776,174239,179457,170490,184900,,59605,85471,101539,146679,122307,158849,172827,117639,163322,252339
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",17302,11863,14171,8806,7002,7684,7401,6111,4549,6669,,1141269,1299820,1419285,1381417,1314450,1363665,1612423,1554154,1450558,1935447,,31004,25459,34768,21687,20451,17889,17563,13659,13611,14380
853223,"Fixed electrical capacitors, ceramic dielectric, single layer (excluding power capacitors)",7917,7137,3474,4243,6733,5793,9566,5693,4778,6633,,54571,66269,124485,93159,56469,60847,69331,61340,106930,77588,,146572,149468,180563,38893,37865,51605,31302,17261,12541,22327
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",7975,6695,5639,7595,10799,10550,12620,7749,5304,6629,,9975364,10463319,11241038,10849559,9671340,9586244,10289138,10464396,8574587,10209982,,21545,28372,39338,57334,47224,45090,44560,37369,30818,33786
854720,"Insulating fittings for electrical purposes, of plastics",3134,1034,1602,5393,3868,2788,2135,10130,4979,6625,,175863,210342,145098,135600,177714,194211,183651,147645,147111,177795,,10169,10756,13583,15087,15228,19009,21193,24181,19718,34694
848350,"Flywheels and pulleys, incl. pulley blocks",3513,10773,5771,6795,6897,6272,5804,7094,7008,6619,,289083,289647,289989,275715,260256,260374,307074,297451,287983,376157,,20161,29950,25016,21438,21939,22463,25999,27816,27457,33481
848079,Moulds for rubber or plastics (other than injection or compression types),4909,2670,4845,5689,2772,3368,4450,3886,4439,6606,,435777,437686,417510,470265,445763,436428,470439,470437,465607,405730,,37913,28047,24588,18613,13432,10584,12707,13791,13576,18601
730721,Flanges of stainless steel (excluding cast products),11604,7515,6172,3281,2971,2742,5613,4776,5607,6588,,448703,363110,385146,312839,263502,281711,367113,370631,321400,327763,,39254,33538,25684,22093,18297,16421,26360,27054,29837,27267
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",7645,5495,6579,5445,5898,5158,8650,9609,6223,6583,,796480,828691,910191,890232,912999,984202,1082074,1127712,1090740,1291504,,37785,38548,48773,42950,46852,39226,44622,38424,28938,33379
70310,Fresh or chilled onions and shallots,2539,5741,4226,5615,3757,4724,4373,6740,7705,6580,,293148,371502,394099,476712,456661,507206,509517,604387,495414,396357,,26020,39453,33351,36201,34391,35537,36727,42975,53366,53363
841360,"Rotary positive displacement pumps for liquids, power-driven (excluding those of subheading ...",5637,4553,2554,1986,3447,4310,8571,7753,8211,6573,,807235,863976,1033744,926493,797296,853741,934836,975193,967001,1158312,,74787,42745,40295,41736,47974,54770,77819,77407,68530,64403
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",201,174,25,131,541,172,328,866,292,6572,,23250,50019,122280,109188,111852,122944,145139,139477,188323,240768,,11976,16342,15621,21832,23360,27574,40462,48773,46513,84854
842310,"Personal weighing machines, incl. baby scales; household scales",4056,4602,2544,3461,3659,3746,4206,4151,5682,6569,,447106,472547,525863,553573,551399,563094,614823,671769,1132994,1227205,,6145,7295,5721,5161,4609,5362,5758,5120,6320,9386
850590,"Electromagnets and electromagnetic lifting heads, and their parts (excluding magnets for medical ...",12847,13070,6885,7920,5450,5553,7208,3638,3915,6537,,314811,339491,357781,350669,348851,375604,422752,406570,385272,493859,,79455,46278,30320,32251,33622,31467,31516,31769,24948,20219
741999,"Articles of copper, n.e.s.",8669,10630,9669,6225,4203,4925,4141,3476,3316,6537,,202581,185740,215176,190946,181045,186624,195734,186453,195880,271208,,45994,51393,53393,42731,41086,39525,35153,37059,29986,37605
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, ...",7360,4337,6343,4934,6544,7051,5528,5485,11418,6536,,140418,166329,161919,149542,139698,191128,231763,337107,254166,320396,,32858,25291,28195,25031,21744,23697,22558,21347,32141,31034
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",20790,18460,22228,18171,14048,12991,11029,9473,5695,6511,,2776944,2865203,2922782,2697951,2321928,2097392,1980717,1575223,941990,860467,,53592,56851,65378,55864,48145,55333,52325,50514,37967,38819
731600,"Anchors, grapnels and parts thereof, of iron or steel",16668,14425,15314,23538,7512,14085,8472,5310,5257,6510,,79420,71751,82341,76248,75539,77997,78991,80404,71923,84458,,25194,20307,30396,31098,15788,18069,16126,12270,10302,9882
902830,"Electricity supply or production meters, incl. calibrating meters therefor",3517,1481,2922,1672,6020,4897,5822,9048,4436,6508,,554467,454403,477260,612334,626154,843639,791085,960896,1356975,1011972,,45800,69451,91878,80317,103332,44885,104408,110607,77725,58006
940330,Wooden furniture for offices (excluding seats),7768,7228,10580,10378,9575,4381,4610,5521,3312,6497,,853788,892441,1030991,1220836,1145262,1169866,1200598,971516,1141552,1237901,,31866,31252,34808,35180,28487,17106,17114,18414,10709,15963
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square ...",4827,3386,3497,6374,5605,2712,3344,2731,3290,6491,,100000,112819,123856,158283,144430,170883,204379,199126,164695,259594,,133348,75985,75519,69188,40942,40330,28856,10622,16036,23270
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",3439,4553,5268,1328,2539,7596,9216,7506,5216,6484,,333707,465398,536608,657972,599733,666971,752206,706346,805310,1025016,,66161,27074,28701,23850,17782,24022,31430,29554,30286,31903
610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",2202,1384,1364,3501,3980,5984,4613,3809,5617,6454,,2388564,3132286,3157221,3180071,2806107,2722946,2889903,3018557,3090539,4118277,,15301,18692,18243,27737,30111,36913,34015,42061,36628,47598
291815,Salts and esters of citric acid (excluding inorganic or organic compounds of mercury),2060,872,1335,1252,1352,2102,7417,4073,3879,6451,,138055,138442,136177,118457,124569,160370,180862,170409,171754,248929,,5163,4122,4438,3931,3826,4998,12963,11225,10077,12784
846691,"Parts and accessories for machine tools for working stone, ceramics, concrete, asbestos-cement ...",2126,2471,3690,4019,2888,4815,4104,2934,4658,6426,,59184,51066,54800,48634,66556,99031,52390,61071,76144,81248,,59982,44207,97873,85323,112239,45185,40602,31582,29390,30134
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",11936,10059,9670,3496,4818,7113,8795,10786,6746,6421,,9562,9475,5590,5215,6294,5155,4398,5052,7051,9383,,27098,24823,20852,11772,11132,11079,18795,24175,13955,11155
853810,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not ...",2756,4943,5009,3855,5129,11278,16208,18242,7324,6414,,233758,260083,273077,277141,269054,305310,320481,287589,254663,306813,,24960,33609,39291,37960,40048,45584,52391,51393,36788,44825
848320,"Bearing housings, incorporating ball or roller bearings, for machinery",4526,2910,5169,10093,4762,2759,5558,6656,4285,6409,,162703,150521,164133,166383,182598,176256,218819,190988,181742,231623,,29432,26747,25402,26706,26573,26246,28106,33733,17068,20234
841381,"Pumps for liquids, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",9195,6232,10073,6769,10897,13136,9425,3492,5220,6379,,462684,400422,387332,306004,261201,258688,228323,224970,218756,147079,,86685,65440,64274,60139,56869,51354,48053,44693,41573,41277
381090,"Fluxes and other auxiliary preparations for soldering, brazing or welding; preparations of ...",1424,1122,2352,3957,2731,3646,2337,2069,3247,6366,,26456,24899,29999,26129,30850,32898,38445,40766,38088,42575,,44168,60063,49463,35954,30043,22465,23023,18233,22745,29405
870490,"Motor vehicles for the transport of goods, with engines other than internal combustion piston ...",0,55,70,0,14,0,18,977,1872,6359,,1950,18586,19760,6969,1718,15188,23144,62646,93828,214692,,1140,1550,14356,16801,22557,26574,24694,38996,22794,64736
441820,"Doors and their frames and thresholds, of wood",3760,13433,14394,9109,12731,10967,6849,4938,2555,6349,,618641,660380,727089,723894,664274,667052,675536,639298,589116,654212,,27359,45662,42019,33711,37413,29379,21483,17974,10563,14724
853110,Burglar or fire alarms and similar apparatus,4308,7350,6746,6762,9264,10106,10838,8287,5194,6344,,693831,798721,938411,1143469,1087449,1007549,1055301,1028356,866919,933089,,38803,49794,49739,53362,56388,58064,52336,59996,54630,75971
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",6785,2917,5196,1837,1821,7149,3178,2751,3859,6335,,24001,15709,17689,16310,18222,35705,44382,33216,26758,36000,,246639,251976,253334,237538,237793,213122,226328,195619,216106,247385
850434,Transformers having a power handling capacity > 500 kVA (excluding liquid dielectric transformers),3467,5463,4955,21774,5086,5368,2587,3322,4734,6327,,152214,127985,155280,190749,180030,194290,200737,202730,191832,211763,,45694,46402,37622,63323,27351,21999,19709,15381,15425,18385
291439,"Ketones, aromatic, without other oxygen function (excluding phenylacetone [phenylpropan-2-one])",1557,2159,2621,2514,2627,3416,4700,5975,4376,6315,,162223,148734,164894,128936,99913,108445,131936,119304,102024,123032,,7748,7801,9768,8603,8159,8313,7494,9362,7706,8934
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",9944,4484,5765,2913,1888,3546,4689,5948,5509,6296,,678811,893436,1007764,821286,816729,932268,1031792,983035,925476,1128694,,59591,45597,31391,48474,121351,42158,84420,84619,67934,82159
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",4714,8526,10199,11180,7087,14535,11729,5633,6735,6256,,435899,517135,747461,882961,938333,1194139,1211088,1159383,1096530,1214079,,147116,100318,75535,68742,50221,62749,68999,55594,56447,116550
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",6546,6268,5355,5580,7436,7904,10697,14451,7236,6256,,364279,472746,522691,381276,361434,351148,312251,313555,272432,240152,,222321,396868,386321,329238,368151,562451,476869,464175,409390,396558
690490,"Ceramic flooring blocks, support or filler tiles and the like (excluding those of siliceous ...",4265,3918,7933,4470,4599,3966,6028,5564,4199,6255,,299682,521067,722372,892234,553133,658452,502252,618677,825635,1154369,,6057,9404,12776,9296,6946,5421,7997,8288,5730,9296
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",2639,3324,4038,3280,2518,3034,3135,3334,5169,6223,,162663,183824,178888,296366,167986,126473,160001,244837,252802,243391,,26046,27763,29661,28774,29021,30824,35801,31797,37560,38534
291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, ...",1442,2013,3223,4135,4199,5593,6436,9103,6059,6211,,248375,214636,233462,214423,236191,272130,327155,324804,251842,295183,,6322,6408,7551,9692,6182,8831,12512,24594,21924,25886
190219,"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs",4452,4659,4285,4540,3918,3639,4740,5515,6376,6190,,27852,27513,30420,31100,39036,43527,41033,38181,43343,33510,,30275,31577,31355,30719,31524,33191,33453,33293,38719,38218
940370,"Furniture of plastics (excluding medical, dental, surgical or veterinary, and seats)",4830,5280,6040,5469,5892,12154,6370,5420,5978,6173,,736258,791538,781380,880208,802682,865333,993516,1088371,1343149,1431578,,13901,14475,12331,9795,11879,18822,14605,10741,10367,11926
850690,"Parts of primary cells and primary batteries, n.e.s.",3573,6504,8156,6746,3624,2331,7801,5384,5791,6165,,47043,62008,70725,61831,82882,83080,96436,81054,70971,80503,,48205,51630,37903,27834,26344,20110,38047,44136,53306,61927
291531,Ethyl acetate,4125,10997,12527,2268,2007,1808,2909,2216,1226,6164,,381144,365428,389163,318639,287625,335696,449581,315284,267650,451508,,9005,16103,16787,3654,3569,4802,5712,7483,6013,13082
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",2555,2113,2534,2558,2371,2753,2683,3278,3157,6149,,176073,169317,224185,245109,214070,273660,336919,295527,224511,314110,,11945,9290,13329,6658,7165,10056,9117,7408,7412,13333
900311,"Frames and mountings for spectacles, goggles or the like, of plastics",6479,6777,6722,6506,5578,3532,3916,5549,2787,6147,,333949,455147,563253,595920,642883,646392,716853,649451,600395,752039,,17489,16314,17088,19036,15033,8525,8462,12158,8600,12471
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",1029,965,6404,3098,7584,3820,3312,5020,6059,6140,,582031,651988,744470,720097,706778,841256,990820,945862,1061220,1299298,,16872,10882,19293,27538,107929,15867,17181,19425,24144,18118
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,24,0,0,0,14,381,4846,6139,,2210824,2083681,1547389,1181562,1248714,2331269,2961803,3292704,3260786,6693807,,95082,64318,116043,337688,706184,501369,467241,397706,248551,287970
721923,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",12,377,94,492,305,37,30,820,10340,6135,,13704,15145,25876,28140,22110,31698,53864,45085,59747,97481,,1862,2233,6043,7158,5433,1121,2015,2471,11605,38285
721590,"Bars or rods, of iron or non-alloy steel, cold-formed or cold-finished and further worked or ...",24025,42991,32504,18306,11287,4148,62558,34074,25299,6123,,4716,5496,5299,4675,3719,3183,9818,22188,27591,53385,,49164,60671,47313,29726,17087,11642,106296,233105,110545,146797
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of ...",1935,2252,3397,3561,3330,3288,3731,3327,4081,6110,,85410,93546,225079,447159,404400,610218,644072,791762,899994,1096259,,5837,6889,8620,57496,50088,42679,40909,39895,33556,34534
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",3599,2868,1857,2693,3610,8533,5942,3076,5426,6105,,903390,785024,748620,645444,560348,627850,629409,554294,539742,721606,,18608,20929,31405,31817,32407,43126,44514,42334,45255,50779
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",6386,10837,9788,7494,6149,6713,7158,3494,2972,6097,,51596,49442,53461,52427,47477,56284,66948,73243,58704,81373,,47980,65052,62391,58465,44666,39868,38705,39630,33449,49265
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",3935,3275,3495,3896,6865,6612,6167,3884,2739,6086,,15718,29648,67157,125729,62118,50949,31864,39127,41826,54088,,11432,8911,9464,12833,14587,12890,12514,10294,7494,12244
902131,Artificial joints for orthopaedic purposes,0,103,277,1265,6193,7546,6812,7291,5365,6080,,96306,91245,96587,85589,103084,148190,188340,216451,170419,190631,,1884,3597,8813,40086,101513,109138,170168,169629,89621,99587
960720,Parts of slide fasteners,905,869,887,590,608,821,1069,627,1736,6070,,187309,225097,247726,255104,241349,253082,292794,312446,266949,336868,,5358,5677,4432,4192,4322,3783,4365,2201,3343,7121
842833,"Continuous-action elevators and conveyors for goods or materials, belt type (excluding those ...",924,1777,3615,2174,3708,5312,2242,4110,5219,6059,,482224,468112,617152,492827,515847,481527,593943,704339,558811,668216,,8573,11934,19340,9367,26755,15860,18541,30303,18817,23457
840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,7803,5898,4263,4378,5571,4226,4598,4589,4062,6057,,1852311,2309082,2709390,2600520,2713616,3172288,3471296,3317351,3122192,3989731,,148435,123595,120714,109369,102845,105093,102362,105140,87802,93988
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",4482,2840,3341,3523,2463,2419,3049,3048,4793,6047,,288379,289265,309725,291577,290506,341919,383333,416498,2139421,4352737,,22713,21653,21473,22160,21300,23442,26853,28881,88627,111659
900410,Sunglasses,14445,15131,14396,15143,10951,9428,11252,15165,6169,6008,,1128477,1349490,1458104,1515606,1579626,1662340,1590758,1537018,1160774,1538873,,71510,80306,69891,58865,50749,44209,49364,52704,31269,34093
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",1106,1642,2338,1607,2327,3036,1894,3675,3606,6000,,101322,121359,140868,114700,102514,92979,101240,107368,94325,111773,,52744,75536,175163,210339,193653,166479,174729,170313,163848,189061
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",18119,16062,16751,14469,12759,8913,10919,12972,7660,5992,,1202096,1373790,1122333,834282,701756,596072,599574,532345,360774,397326,,45915,42618,41984,35051,33841,35713,38676,44085,29569,31706
842290,"Parts of dishwashing machines, packing or wrapping machinery and other machinery and apparatus ...",5111,2065,2460,2052,2979,2966,2718,3720,4350,5990,,181817,198527,268288,269158,319124,447839,320823,317320,336667,391220,,39586,39256,46533,40818,52872,40644,48097,46023,38218,39041
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",185,412,1104,5302,8187,8540,5560,2247,3250,5981,,35467,35080,47679,52317,51157,45496,55082,59928,47701,69709,,24367,17488,23437,32855,38455,40300,44224,36305,41496,49582
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",4513,3649,4583,4195,4106,5156,4858,4265,5328,5906,,458139,492130,528932,556550,539757,588329,664384,685340,705911,855474,,55552,50058,48506,44575,40083,41905,47019,38669,40615,62985
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",5917,6021,5834,6413,5047,5211,5462,5320,7864,5903,,223542,384325,571992,784309,631545,715599,776320,967551,762564,526715,,82250,83822,80798,80192,75726,74774,84424,83713,82490,80108
293625,"Vitamin B6 and its derivatives, used primarily as vitamins",3598,2523,2144,1150,3970,5524,11434,9711,8380,5900,,116547,99847,109583,110302,147084,195410,237047,170446,168688,169273,,12978,11978,9342,7564,14335,17057,21109,14461,12464,8855
480255,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",3193,2396,3283,2510,1802,3241,5083,4521,5211,5886,,190761,204678,174958,196863,275320,218364,242688,273618,201156,257735,,280195,21179,25213,18837,20494,31000,21344,25197,35507,35770
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",10376,11461,10136,8896,9431,10588,14901,8207,5198,5882,,615357,647960,681182,667042,578724,613176,705560,787468,798439,1045906,,46379,50292,47822,47399,43888,47762,55185,41403,40643,54001
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",16561,22883,28576,29090,11094,9262,18189,11136,6363,5871,,381233,475955,555464,574185,584519,628067,657909,724346,1094345,1466479,,85317,111478,106718,113058,26478,24002,32325,20870,16108,15230
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",66342,38111,35036,17334,27104,11993,9752,6868,4378,5871,,6362689,5335708,4862970,5121459,3802575,3775723,3942381,3450729,3212272,2668450,,132551,78624,66986,67698,106986,71251,39922,22713,18726,22028
292242,Glutamic acid and its salts,7005,5181,4851,4556,4600,4208,4109,5089,4551,5871,,447947,491881,462206,368473,417850,398039,412746,693107,667293,692189,,20407,19525,23048,12420,11498,10933,9699,10712,11656,13728
291560,"Butanoic acids, pentanoic acids, their salts and esters",3070,2479,2838,6940,8277,2613,3865,8867,4298,5864,,36714,39474,47366,56611,58465,76859,91600,86125,89322,118009,,7284,6486,6990,11395,12893,6965,9297,16834,11979,44011
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",3595,2753,5967,4094,5386,5491,5152,7612,5730,5853,,498302,576065,649390,777389,814222,968817,1072177,1178583,1508456,1660042,,25815,29468,33188,34241,32463,48256,29285,40215,32166,28521
711620,"Articles of precious or semi-precious stones """"natural, synthetic or reconstructed"""", n.e.s.""""",2755,2468,738,971,1311,863,12355,1780,1605,5846,,406281,905999,667424,588633,253749,72938,69281,83252,84145,212398,,11029,15880,34754,11423,18002,5801,21599,19733,111938,50952
390220,"Polyisobutylene, in primary forms",3567,3993,4047,8999,2228,3649,1965,1615,4755,5834,,10419,14790,18553,30815,17993,16565,16572,19516,19869,19615,,132513,139028,169548,129361,109597,136966,142870,133220,103509,143250
40790,"Birds' eggs, in shell, preserved or cooked",5351,5897,5557,5549,6650,6096,5578,6485,5692,5769,,43569,49338,50542,53331,50176,48525,56233,55569,54091,51696,,8204,9181,9120,9220,9855,12388,16385,15507,9691,9959
721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",2586,3062,4769,3828,5683,6993,2750,2512,768,5755,,498958,630123,950579,620558,589709,720850,837981,776504,801397,1669255,,27071,25768,24275,13575,13107,19987,19850,9042,4844,12476
820551,"Household hand tools, non-mechanical, with working parts of base metal, n.e.s.",8692,11067,12988,5873,2996,3698,3074,2458,3857,5747,,491895,569678,589306,647869,583926,635522,753902,991206,932570,1217622,,13955,15305,19500,9467,5734,6394,5424,4805,5773,7602
900691,"Parts and accessories for photographic cameras, n.e.s.",20474,31174,31583,18051,18746,12609,15595,17078,7097,5741,,314740,281771,242414,242195,227825,145360,113883,127380,135727,191141,,93851,95306,103661,62653,56707,61209,71372,41883,24672,29793
850164,"AC generators """"alternators"""", of an output > 750 kVA (excl. photovoltaic generators)""""",7964,9090,9220,9721,7789,6234,6241,7021,5561,5738,,329037,428347,507588,315178,566231,394921,609791,448368,592561,908861,,83776,54161,44117,32679,28795,30924,24177,24228,23966,45305
380893,"Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...",11638,16647,13856,6932,5544,7632,9063,5878,6005,5736,,1706703,2410262,2600030,2144834,2148622,2891776,3119063,2765475,3124854,4227717,,21896,42442,35507,29698,13532,13874,20536,14803,13387,10937
160232,"Meat or offal of fowls of the species """"Gallus domesticus"""", prepared or preserved (excluding ...""",1494,2430,3037,3159,2948,2763,3063,4718,4933,5681,,1205225,1177872,1139016,910819,864257,1007967,1111322,1069894,913831,970714,,74881,79683,82255,85785,84772,91706,101080,110350,114502,119004
80610,Fresh grapes,147,58,17,271,549,361,356,1265,3701,5666,,262135,268561,358824,771546,663606,735177,689599,987242,1212702,690478,,47118,57212,56035,50538,51080,50509,48678,49853,52141,57457
851310,Portable electrical lamps designed to function by their own source of energy,9674,10479,9282,8810,6602,7440,7429,6770,5401,5646,,2768805,2894154,2989492,3098781,3005289,2627449,2402917,2286549,2314705,2560732,,15962,14431,14242,13855,10336,11028,11306,10294,8808,9736
854330,"Machines and apparatus for electroplating, electrolysis or electrophoresis",329,957,1287,1536,1555,374,2323,2446,1624,5631,,227613,126204,141958,196140,147826,199228,238718,245872,208166,255648,,9157,8357,6611,4180,5219,9544,10660,11230,5947,11909
