Product code,Product label,Singapore's imports from Viet Nam-Value in 2012,Singapore's imports from Viet Nam-Value in 2013,Singapore's imports from Viet Nam-Value in 2014,Singapore's imports from Viet Nam-Value in 2015,Singapore's imports from Viet Nam-Value in 2016,Singapore's imports from Viet Nam-Value in 2017,Singapore's imports from Viet Nam-Value in 2018,Singapore's imports from Viet Nam-Value in 2019,Singapore's imports from Viet Nam-Value in 2020,Singapore's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",6,19,19,31,4,8,3,0,32,129,,1591,1352,2353,5871,3819,6256,5479,5863,13022,27070,,25815,29468,33188,34241,32463,48256,29285,40215,32166,28521
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,7,11,0,0,0,1,0,2711,21,129,,315,4,146,136,1888,211,360,7,95,1006,,113655,149405,114214,120836,187188,142976,240407,156601,162510,186990
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,334,513,315,131,115,327,297,329,49,128,,891,1360,6922,36487,73577,49145,28836,32576,25176,10117,,96755,119415,149257,202329,148714,119745,88619,51223,35697,38480
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),0,1,31,40,6,74,290,193,86,128,,4533,6627,5167,6044,4927,5269,1489,916,884,7014,,21638,23465,21047,20483,20929,23284,22030,21478,15766,21862
721030,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",210,179,295,19,73,113,9,0,12,127,,11036,5653,4098,9464,4990,4007,6328,9629,2256,3573,,64703,50760,60321,40001,31851,31503,31367,23927,22906,41583
283340,"Peroxosulphates """"persulphates""""""""",0,0,0,91,90,131,123,91,134,127,,0,0,27,126,328,525,420,487,273,135,,1333,1117,1578,1666,1668,1771,1867,2152,1282,2193
871160,"Motorcycles, incl. mopeds, and cycles fitted with an auxiliary motor, with electric motor for ...",0,0,0,0,0,0,21,256,331,126,,0,0,0,0,0,0,39995,100228,115767,177867,,0,0,0,0,0,0,6496,12254,7362,4221
920790,"Accordions and musical instruments without keyboards, the sound of which is produced, or must ...",6,3,44,53,40,9,0,50,3,126,,4291,2730,11393,6351,3051,3220,3301,3449,5326,8914,,6821,9626,5877,10618,6543,9521,14017,16749,12607,16294
691410,"Ceramic articles of porcelain or china, n.e.s.",15,29,41,41,18,0,23,28,4,126,,2125,1803,1274,1091,614,493,821,656,847,5689,,7108,7769,15224,13957,10454,7552,6646,10570,4247,6644
950662,Inflatable balls,84,136,288,183,256,133,234,188,118,126,,30932,43407,60321,63483,68867,85204,90765,113012,102831,117520,,5273,5763,6845,5957,6287,3860,3183,2519,1304,3626
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",38,0,39,2,0,29,64,27,29,126,,22,29,205,1075,1921,1475,1642,1642,1029,2448,,39152,29796,35481,28123,31764,35109,36820,35261,32726,33931
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""",0,45,0,4,4,12,28,269,31,124,,36049,33298,38666,36436,22364,19007,18571,22100,24074,30909,,9383,11469,11148,7835,6794,10075,9539,11013,7389,10344
382450,Non-refractory mortars and concretes,3,0,0,0,0,3,14,3,30,124,,258,1351,1207,1076,1973,3792,4491,6492,6985,6263,,9279,15688,19696,18929,16935,8975,8667,7238,5781,9301
610333,"Men's or boys' jackets and blazers of synthetic fibres, knitted or crocheted (excluding wind-jackets ...",30,6,12,166,77,107,212,231,66,124,,14329,20596,16049,36434,74248,66890,54681,79728,64986,21923,,4490,1996,2671,3021,2194,2729,1009,1421,1010,692
30549,"Smoked fish, incl. fillets (excluding offal, Pacific salmon, Atlantic salmon, Danube salmon, ...",0,0,37,59,41,0,0,0,0,124,,11621,1999,1439,1911,2496,6060,8226,6649,6631,3920,,459,466,566,462,436,640,461,690,400,391
844790,"Machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines ...",0,0,0,36,53,177,208,161,139,124,,1515,946,271,4462,8592,8325,11481,9999,10579,22672,,4868,4497,6357,3145,2636,1412,4112,2698,778,1510
611239,"Men's or boys' swimwear of textile materials, knitted or crocheted (excluding synthetic fibres)",230,119,108,112,88,271,73,16,6,124,,1023,758,394,1401,2385,5173,9883,10786,1190,1677,,752,1178,448,602,562,814,505,268,195,559
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",21,11,3,132,58,111,24,682,79,123,,33016,34807,38266,35649,37610,45919,59117,59791,59604,44627,,142985,135099,120538,116320,116163,126088,133497,147456,160895,220479
902890,"Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.",0,1,46,6,7,36,29,2,1,123,,25505,13583,39593,75198,98521,121762,124296,107326,164064,183326,,14247,26448,38950,31931,42357,39083,28080,25744,18482,19106
80280,"Fresh or dried areca nuts, whether or not shelled or peeled",0,0,31,23,45,46,34,34,133,123,,1017,1362,4850,9209,7855,19704,10206,5165,7578,1008,,28732,18416,23656,18411,13267,13073,11529,23098,30736,29748
844313,"Offset printing machinery (excluding sheet fed offset printing machinery, sheet size <= 22 ...",0,0,1,3,41,8,16,1,9,122,,329,476,732,1438,154,590,1221,1398,182,246,,27812,24242,36668,32001,27626,6932,16936,41314,3437,5978
70993,"Fresh or chilled pumpkins, squash and gourds """"Cucurbita spp.""""""""",274,290,273,207,230,231,185,255,181,121,,626,315,467,1276,1309,1295,1756,2051,1536,243,,16550,17888,19129,18724,19006,20273,20496,19561,20524,21830
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",340,1,434,32,1,10,0,0,66,121,,28289,10448,7573,2277,3349,46912,2903,22574,1025,774,,318998,376752,297286,249400,417522,390775,36209,88961,134903,319368
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,46,204,124,121,,0,0,0,0,0,0,157955,156991,179270,62872,,0,0,0,0,0,0,2158,1052,481,715
90422,"Fruits of the genus Capsicum or of the genus Pimenta, crushed or ground",87,77,119,155,170,181,177,163,130,121,,1518,2564,3350,1566,1795,1888,1375,1015,1266,1565,,4931,5442,6116,5910,6194,5803,5927,6101,7071,7009
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",652,395,520,173,318,554,448,334,778,120,,42487,44006,50601,47658,52002,55136,76689,94243,108693,116642,,290934,287871,909321,241306,238058,245858,267978,292122,237621,293162
630210,"Bedlinen, knitted or crocheted",0,37,0,1,5,6,21,0,305,119,,430,157,719,1112,1641,4243,3643,6228,17419,21738,,4276,5819,5244,6643,7732,4784,4603,4925,4183,4907
621112,Women's or girls' swimwear (excluding knitted or crocheted),5,185,1,5,8,177,223,416,313,119,,46741,38667,26086,25057,34202,37063,40163,19474,9004,16821,,1418,2760,3379,2563,2355,2355,1904,2773,1335,2201
611599,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",2,10,18,59,117,148,193,539,264,118,,9144,13076,14195,15390,11120,13337,11979,6943,8290,3500,,11951,13174,10876,10054,6438,6346,7119,8001,4514,5225
950670,"Ice skates and roller skates, incl. skating boots with skates or rollers attached",105,118,19,43,46,14,57,28,152,118,,11626,12055,13169,26605,22816,24005,23407,23576,32166,64087,,3128,2806,3862,3066,2193,3104,4327,2768,3096,4981
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,1520,2218,1633,2236,1236,2618,1847,935,690,117,,1109,2360,2603,738,871,796,942,2479,13284,16959,,18348,27245,23470,26184,19830,20500,26794,27891,15004,14456
90811,"Nutmeg, neither crushed nor ground",0,0,0,0,0,0,0,0,0,117,,201,487,18,439,335,45,201,322,43,226,,9779,2004,2833,2296,1594,737,1263,885,954,1438
611710,"Shawls, scarves, mufflers, mantillas, veils and the like, knitted or crocheted",61,7,1,3,10,7,31,15,149,117,,3949,3468,7173,3592,5776,4159,4601,6480,13413,8128,,7337,7198,8243,7191,5716,7567,11506,11390,64744,6025
560749,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...",54,69,19,280,223,79,274,359,674,116,,15950,23886,36319,33616,33150,35396,57013,57886,49153,32011,,14107,15727,16966,16139,13095,15133,16964,18033,17524,24711
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,742,2,0,0,1,1,3,0,157,116,,10461,8765,13344,14775,20131,27455,48196,63680,86590,188616,,73528,64546,50546,49598,56230,37516,18250,15147,25489,43704
850132,DC motors and DC generators of an output > 750 W but <= 75 kW (excl. photovoltaic generators),0,0,0,3,10,70,394,158,92,116,,61,129,951,537,680,330,726,926,3919,26441,,27452,28330,20649,7429,8778,12739,22183,23157,24446,14803
60314,"Fresh cut chrysanthemums and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,27,69,75,79,84,65,62,115,,12997,15949,17839,20645,25274,25322,31183,37979,38412,46429,,0,0,47,97,99,104,98,74,71,166
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,213,0,0,1,2,149,0,7,361,114,,44925,43152,62393,43461,42461,57935,81798,105142,84065,35236,,4199,4336,7788,3777,1768,2778,2301,1418,1718,1033
610432,"Women's or girls' jackets and blazers of cotton, knitted or crocheted (excluding wind-jackets ...",115,138,78,199,87,179,660,420,294,114,,19635,27382,21113,19574,20844,11801,18268,14020,12166,7110,,5193,6106,3844,4056,3439,3992,2401,1920,1564,1368
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),1527,804,377,233,87,319,226,136,244,112,,30761,38841,46505,54680,49382,52382,59365,67037,65264,117454,,37372,34046,28120,23345,24347,27266,31887,29585,18350,21705
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",20,0,4,30,0,7,37,38,2,112,,0,0,106,361,5367,4838,2638,4430,1497,1244,,40091,32229,26859,20474,16940,14340,13051,8840,6113,11166
732620,"Articles of iron or steel wire, n.e.s.",20,106,36,44,19,40,58,568,28,112,,18531,7720,10098,4604,8774,11304,17175,13119,13614,31711,,36916,33404,72724,43107,36233,31230,34260,44845,35843,50347
830110,Padlocks of base metal,0,0,0,14,38,3,32,185,100,111,,310,143,30,466,591,738,630,420,387,4725,,8517,7972,7836,7539,7957,5701,5300,5016,3421,9563
820820,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for w ...",0,0,0,0,0,2,68,71,56,111,,30,144,16,7,1179,5153,8523,5082,5838,9449,,1662,1154,2077,14817,8084,3039,1261,1044,592,988
620461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",31,7,2,37,1,4,11,25,4,110,,3209,6671,6030,7686,8945,8353,8801,9703,5180,4892,,1452,1294,1175,1124,1470,2346,2281,2323,1818,2218
630492,"Articles for interior furnishing, of cotton (excluding knitted or crocheted, blankets and travelling ...",267,408,0,0,0,79,83,41,56,110,,416,315,188,308,1252,659,2355,2961,2095,9846,,2631,2892,2052,2380,2180,3659,3241,5012,6736,4322
30484,"Frozen fillets of swordfish """"Xiphias gladius""""""""",17,85,21,10,0,0,29,0,3,110,,2277,4617,6968,7259,8450,7391,7658,4758,5344,5313,,1019,813,1336,2768,1006,860,128,795,488,853
940190,"Parts of seats, n.e.s.",145,14,379,1019,1570,1412,696,517,245,110,,130869,143016,165359,231403,204172,215179,300198,410920,408611,713865,,33606,33606,28058,35197,25801,25991,51226,51918,48209,43610
940520,"Electric table, desk, bedside or floor-standing lamps",17,9,79,52,29,61,46,106,105,109,,8091,7116,9838,10473,16409,17807,19037,27775,32761,51953,,10679,11199,10552,12261,11866,13524,9484,10606,9001,10753
730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excluding products ...",5,182,165,35,54067,0,15,7,1134,109,,5899,2482,8396,2749,2295,2376,4427,4032,919,676,,231473,229767,185332,132745,128314,62764,141151,94591,145982,70835
848360,"Clutches and shaft couplings, incl. universal joints, for machinery",94,2,12,68,249,24,9,4,3,108,,157,1034,1978,1086,561,681,1016,2456,2533,5684,,42832,61195,44421,39855,35010,34151,45940,47111,37015,32825
830260,Automatic door closers of base metal,0,9,1,0,0,23,11,0,0,108,,32,35,430,69,103,256,435,432,144,485,,17996,26726,31021,25216,22653,24024,19649,18366,12762,14966
851850,Electric sound amplifier sets,310,21,57,106,703,359,235,92,219,107,,76,1725,5236,3623,3603,14897,19163,22102,22598,22426,,24683,29997,22811,20425,18399,15775,18368,19741,12927,14435
750300,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted ...",4,7,2,6,7,6,0,0,60,107,,13,17,19,13,3,13,63,264,33,921,,7790,12235,14467,11299,20163,21184,16726,20458,7923,10536
902720,Chromatographs and electrophoresis instruments,0,5,0,0,16,7,4,5,0,105,,79,935,1033,854,920,200,70,297,121,130,,55362,52597,44714,48520,74493,112094,130796,202953,156655,218757
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,265,389,328,269,333,133,313,199,104,,31499,27454,23450,35039,19940,23180,29385,17509,13452,2411,,4045,1546,2792,2710,3083,2041,2684,2898,1755,1058
960350,"Brushes constituting parts of machines, appliances or vehicles",1,226,254,428,16,123,997,560,423,104,,8130,10826,12612,19038,15398,16423,18377,18598,17634,13208,,7474,7042,6361,5371,5552,8215,9185,8791,7847,8950
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",0,11,10,3,2,43,16,541,47,103,,22966,17812,21427,17392,20618,19330,17232,7191,9430,3735,,318228,320903,320050,323502,275326,282549,314920,304433,212926,285942
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",2,0,8,1,0,1,132,283,216,103,,214,286,466,1011,1741,3785,10947,14718,13081,23560,,6117,5861,5781,6373,5915,6657,8230,8217,5995,7288
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",302,464,850,74,48,38,5,177,100,101,,3506,549,191,577,516323,3053276,3024161,1445286,2726,836763,,185186,178522,184623,130737,104765,103628,116536,116062,97851,122305
570330,"Carpets and other floor coverings, of man-made textile materials, tufted """"needle punched"""", ...""",1,2,0,0,0,2,19,63,29,101,,292,271,10554,15069,21583,29092,58376,142027,240077,265252,,8174,7260,7434,6197,5367,5307,7662,7286,4907,5489
700490,"Sheets of glass, drawn or blown, but not otherwise worked (excluding glass coloured throughout ...""",13,0,0,0,0,0,0,3,7,100,,75,29,707,516,664,49,65,62,142,166,,105,231,68,68,60,56,102,187,245,269
60312,"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,0,1,0,0,0,2,53,100,,3226,3540,3639,3222,3409,3215,3335,2480,2139,1315,,303,338,355,321,343,316,350,361,260,317
190532,Waffles and wafers,232,162,159,188,103,50,235,166,129,100,,2855,2452,3608,5367,5387,2376,2695,2974,6354,4468,,18731,20072,27193,28511,25188,26160,29970,29522,27616,30154
820730,"Interchangeable tools for pressing, stamping or punching",1,0,81,12,31,120,176,60,75,100,,193,827,12010,17509,16002,25479,24856,20648,20442,23323,,14046,16714,13706,14547,14453,18630,26705,22550,19799,23950
640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",61,173,128,353,124,199,178,271,65,99,,33523,54820,57250,92296,102202,140338,229278,295138,246127,234339,,14289,14873,16819,14558,14075,9226,5625,4581,4723,4395
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",0,0,0,44,0,0,1,5,10,99,,3748,3207,2980,2811,1945,2161,1924,1805,2899,4800,,203269,238802,212460,277717,320162,368974,396076,356299,395458,556330
841199,"Parts of gas turbines, n.e.s.",1109,2,1,2,38,43,16,460,340,99,,765,960,2974,3298,9869,5016,14043,6821,14463,24415,,881875,852924,1007686,904508,956842,1672789,1295120,1474097,1421896,1708025
903020,Oscilloscopes and oscillographs,32,0,41,5,32,34,6,43,5,99,,593,402,166,697,90,34,107,41,82,228,,14200,16575,15155,13192,15178,19535,21693,22174,18238,38321
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excluding grinding ...",38,333,15,670,1729,1287,1943,1890,2053,98,,5649,7590,7370,5547,4537,13650,5264,8010,8290,7525,,146682,110085,141424,83880,69264,58489,73084,94842,75017,78311
848079,Moulds for rubber or plastics (other than injection or compression types),1276,1499,970,314,86,25,46,82,170,98,,18349,27269,28710,33831,34290,37877,33037,39889,30453,15186,,37913,28047,24588,18613,13432,10584,12707,13791,13576,18601
611249,"Women's or girls' swimwear of textile materials, knitted or crocheted (excluding synthetic ...",417,164,151,135,110,312,221,24,17,98,,5945,6649,4517,2529,4279,18534,23893,36238,30720,1028,,2869,2149,2609,2665,2755,3012,2556,2586,1091,1609
848420,Mechanical seals,752,159,1005,657,486,884,613,567,832,97,,99,247,1484,516,817,792,785,1045,2035,6178,,90111,82949,72964,62083,61672,51978,74180,64369,60306,71810
120241,"Groundnuts, in shell (excluding seed for sowing, roasted or otherwise cooked)",0,0,0,0,28,0,0,0,0,97,,735,3033,2289,1840,3162,4915,6804,9057,9091,3207,,2591,1203,1209,924,1382,762,1015,712,545,1150
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",132,51,169,147,241,437,390,485,308,97,,79229,94536,110542,94482,97436,117509,136371,155859,170430,122834,,13602,14688,16377,14280,12881,14363,17680,15485,12773,20947
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",8,15,66,11,290,79,133,158,361,97,,28455,30876,43576,39732,39782,35296,32297,32349,35482,96699,,964,683,1116,2575,2941,3002,3889,4225,3024,3734
681011,"Building blocks and bricks of cement, concrete or artificial stone, whether or not reinforced",920,1633,2563,1481,1313,620,243,165,137,96,,7351,10153,14320,13642,14625,15938,16055,15835,14858,14454,,14375,17187,17479,29954,15301,15629,3356,3081,1900,2846
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,2,4,96,,0,0,0,0,0,0,42992,24784,16174,88370,,0,0,0,0,0,0,4199,4335,7542,9582
611212,"Track-suits of synthetic fibres, knitted or crocheted",77,70,69,141,81,12,19,5,52,95,,35274,32523,50367,49775,64441,42454,35494,51235,46288,81265,,722,923,691,718,823,1232,820,1256,1226,1600
660110,Garden or similar umbrellas (excluding beach tents),4,6,0,21,81,66,141,126,91,95,,920,1555,673,1503,1251,1602,3604,1908,1672,3946,,862,841,953,689,643,721,1119,821,654,973
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,1,1,36,93,41,72,48,40,5,95,,11328,17610,23267,31020,32527,39448,43494,53692,61617,89862,,14086,17401,21183,16020,15374,15118,18431,21679,17320,23925
800200,"Tin waste and scrap (excluding ash and residues from the manufacture of tin of heading 2620, ...",10,289,123,102,38,67,81,175,32,94,,22,16,130,71,411,522,952,1456,1047,1889,,702,571,15174,141,479,801,673,818,282,108
843050,"Self-propelled earth-moving machinery, n.e.s.",0,0,0,0,0,0,0,0,0,94,,0,106,851,212,23,0,87,0,0,263,,17635,11570,12106,12082,4499,6898,10245,11502,2586,3787
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,0,123,40,19,94,,0,0,0,0,0,0,12886,10937,11682,15762,,0,0,0,0,0,0,36810,30330,24216,29885
391000,Silicones in primary forms,5,0,25,41,54,32,224,6,57,94,,772,955,306,520,1791,5710,19170,19936,23076,48485,,109004,101506,120306,89045,87539,91223,100294,99187,77255,99416
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",122,0,0,0,0,0,0,0,72,93,,4511,1648,2032,1754,736,3792,3564,4381,6882,454,,493456,595970,432844,161731,119661,88100,245236,219491,130858,147361
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",115,23,0,5,0,0,10,0,11,93,,2579,365,1300,3456,1945,9576,28491,31798,23636,42875,,25488,24793,24922,18628,19746,46046,75966,76650,56366,60477
722619,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",0,0,0,0,0,0,0,0,355,93,,597,142,221,112,202,215,733,13274,556,2439,,267,513,244,137,169,254,268,52,392,133
401511,"Surgical gloves, of vulcanised rubber (excluding fingerstalls)",0,0,0,6,22,122,0,0,92,91,,438,65,433,4340,6439,6155,2484,3065,5533,65524,,1537,1653,3295,4889,2225,2472,1320,1995,15996,8785
80262,"Fresh or dried macadamia nuts, shelled",0,40,0,0,0,8,4,92,278,91,,11827,10847,14787,15090,9709,12594,15339,15215,14782,4124,,3593,2633,3660,4517,4540,2676,2680,2153,1937,2462
90230,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",0,45,3,4,2,3,47,7,17,91,,7071,4967,3425,3244,2834,2642,632,940,1155,2268,,7581,7787,10377,10368,9120,10053,9347,13988,12434,14929
41000,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",13,744,2048,1488,1127,1252,734,317,19,90,,2284,5715,7297,9206,7774,8961,9940,9189,6819,4007,,182657,148835,97194,91571,93664,91408,114352,84713,53942,77277
900319,"Frames and mountings for spectacles, goggles or the like (excluding of plastics)",29,36,40,16,44,0,0,13,7,90,,3417,4579,2346,1365,1513,2446,2497,1621,1577,3296,,33700,34185,25613,22734,23036,21258,16894,14237,10387,13021
70610,Fresh or chilled carrots and turnips,176,154,252,161,115,101,75,3,35,90,,444,236,4682,3949,4800,4707,8194,7451,9162,14243,,18819,20372,18937,18175,18517,18246,18338,16573,18491,19940
846694,"Parts and accessories for machine tools for working metal without removing material, n.e.s.",181,139,156,111,58,66,47,109,249,89,,34133,31768,46510,48030,7163,7559,11051,12352,6620,7985,,142243,103497,84544,92634,87687,133240,146908,119705,113990,173571
40120,"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ...",774,989,1011,846,863,877,530,389,242,89,,978,693,735,502,242,87,50,152,398,12816,,70440,76631,76276,73790,74965,80265,87901,93957,104074,112581
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,73,62,22,89,,0,0,0,0,0,0,80341,84425,96157,134263,,0,0,0,0,0,0,27636,48104,36777,66492
440131,Wood pellets,0,0,35,32,20,90,0,0,0,89,,4318,23132,120594,103432,119746,172263,361676,309220,351877,528547,,261,522,563,644,329,514,509,497,470,749
391910,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, in ...",278,123,251,210,139,105,75,84,102,88,,7363,4787,6430,8392,13643,21187,19469,31110,17058,38698,,84559,93570,89791,96873,110428,124307,110131,99613,99636,122553
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",10,0,21,2,2,0,4,5,0,88,,55,526,575,666,804,945,3487,5326,2088,8363,,5140,5073,4875,5789,4256,3917,4194,4879,3564,4589
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",1387,1767,1103,2442,1744,858,877,631,143,87,,5268,3348,6983,7654,7295,11991,14173,14201,11384,108816,,1436204,1399445,1019884,892421,943311,1102710,743680,604928,421621,523517
854011,"Cathode ray television picture tubes, incl. video monitor cathode ray tubes, colour",0,0,0,0,62,4,65,1,28,87,,1746,16,19,10,0,0,2,0,0,88,,1457,2474,725,121,150,187,1488,135,157,552
691390,"Statuettes and other ornamental ceramic articles, n.e.s. (excluding of porcelain or china)",36,21,16,20,41,272,84,30,64,87,,35943,37764,41594,42516,40167,44944,50039,58650,60248,162992,,3614,3047,3952,3073,2841,3487,3667,3243,2088,2659
380610,Rosin and resin acids,486,484,655,310,228,100,131,76,50,87,,27613,38305,55113,52462,52097,51441,48009,47430,61623,126782,,6478,5854,3311,2160,1704,1557,1588,1377,606,1079
720852,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...",0,46,0,0,0,0,0,0,37,86,,11296,4866,2406,2016,6441,4935,10644,14948,18551,131,,165070,102165,63763,28442,26627,34864,65136,58659,56783,93549
690723,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,155,174,63,86,,0,0,0,0,0,0,18085,24451,26527,27269,,0,0,0,0,0,0,19356,13608,7666,14350
200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",43,47,47,68,45,47,43,73,71,86,,21690,25811,34121,24666,19625,20834,23362,23391,20782,16384,,1096,971,937,1049,1074,1121,1145,1044,1125,1254
844391,"Parts and accessories of printing machinery used for printing by means of plates, cylinders ...",100,82,181,63,78,85,194,93,91,86,,317,355,904,7129,19630,22932,27087,22946,17968,10458,,47980,65052,62391,58465,44666,39868,38705,39630,33449,49265
321511,"Black printing ink, whether or not concentrated or solid",9,2,19,1,241,354,325,110,59,85,,478,355,202,607,998,1237,1163,854,1017,2009,,38993,44120,49626,53000,52862,62239,58656,57004,45228,38838
830250,"Hat-racks, hat-pegs, brackets and similar fixtures of base metal",1,12,1,33,122,167,287,179,150,85,,5998,6421,8234,7745,7737,8220,9669,16739,27330,93034,,14302,15499,18462,16453,15983,17010,17089,21792,15565,22375
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",0,0,1,0,1,1,1,15,27,85,,252,6635,12930,199,183,1946,2207,2714,5270,2643,,19718,16520,13676,11397,12824,11623,12322,9538,7494,11531
30722,"Scallops and other molluscs of the family Pectinidae, frozen, even in shell",0,0,0,0,0,0,25,108,146,85,,0,0,0,0,0,0,8449,7550,8986,12664,,0,0,0,0,0,0,13939,23177,16542,25491
830990,"Stoppers, caps and lids, incl. screw caps and pouring stoppers, capsules for bottles, threaded ...",62,1518,3004,1574,1572,55,32,151,90,83,,12967,18445,21602,24450,23215,25970,23897,30901,57938,51002,,34604,25713,28798,33544,30657,32358,35381,34276,26497,31701
722300,"Wire of stainless steel, in coils (excluding bars and rods)",12,52,3,3,47,50,20,80,101,83,,12622,11006,11193,9894,10639,17708,20211,29064,34259,50464,,55189,59248,62787,48823,31104,26790,24844,29091,23789,33233
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",1908,599,564,391,494,284,140,264,108,83,,73603,127888,175814,187522,199282,231170,274661,328634,238031,263492,,5670,2991,5805,10700,6688,3719,4129,4645,4567,4275
580790,"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ...",2,52,0,9,35,4,1,7,1,83,,5707,7519,9158,12250,14399,17326,16351,17669,18600,6194,,1738,1500,1448,1617,1085,612,825,1034,515,779
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",27,19,30,9,15,35,17,22,24,82,,217,4605,3986,3684,3185,1337,1265,752,2642,5673,,4428,4800,4909,4613,4563,4517,4690,4208,3660,5414
902710,Gas or smoke analysis apparatus,29,72,28,45,219,53,27,50,67,82,,1269,30305,30438,38287,56955,67809,85899,93474,82661,128484,,52689,63078,60242,51364,48528,55892,58316,64407,81385,77997
