Product code,Product label,Japan's imports from India-Value in 2012,Japan's imports from India-Value in 2013,Japan's imports from India-Value in 2014,Japan's imports from India-Value in 2015,Japan's imports from India-Value in 2016,Japan's imports from India-Value in 2017,Japan's imports from India-Value in 2018,Japan's imports from India-Value in 2019,Japan's imports from India-Value in 2020,Japan's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
600642,"Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,692,748,324,970,1106,771,417,1810,423,309,,3053,2936,1938,1212,1112,888,697,903,479,512
600320,"Knitted or crocheted fabrics of cotton, of a width of <= 30 cm (excluding those containing ...""",0,0,0,0,0,0,0,0,0,0,,602,1120,848,2238,926,891,537,431,608,705,,315,293,190,276,912,2817,976,67,56,116
600340,"Knitted or crocheted fabrics of artificial fibres, of a width of <= 30 cm (excluding those ...""",0,0,0,0,0,0,0,0,0,0,,2,0,9,8,40,20,17,0,18,1,,407,203,223,108,181,73,60,147,98,91
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",0,0,0,0,0,0,0,0,0,0,,1523,2757,4696,5000,5586,3740,2667,5412,5746,5250,,206,346,325,203,189,30,106,38,22,132
600531,"Unbleached or bleached warp knit fabrics of synthetic fibres """"incl. those made on galloon ...""",0,0,0,0,0,0,0,0,0,0,,34,642,28,235,892,0,0,0,0,0,,16638,13813,11541,7045,7027,0,0,0,0,0
600538,"Warp knit fabrics of synthetic fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,64,100,569,755,2293,,0,0,0,0,0,6857,5737,6403,5496,5601
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",5,0,0,0,0,0,0,0,0,0,,16271,25954,35683,23252,9923,9712,6588,5889,4677,3843,,276,316,256,140,298,193,167,123,140,38
610422,"Women's or girls' ensembles of cotton, knitted or crocheted (excluding ski ensembles and swimwear)",11,9,4,7,0,2,10,8,3,0,,37377,31989,34328,23723,19295,16670,14179,18079,18539,21442,,5085,3949,2731,3361,4094,2628,3585,5145,3264,4870
610429,"Women's or girls' ensembles of textile materials (excluding of cotton or synthetic fibres, ...",0,0,0,0,0,0,0,0,0,0,,15159,20287,17804,20858,22352,13426,12882,11526,7353,9327,,464,873,1622,462,2049,1563,1795,1212,1321,2880
580211,"Terry towelling and similar woven terry fabrics, of cotton, unbleached (excluding narrow woven ...",0,0,0,0,0,0,0,0,0,0,,51,203,163,180,178,184,22,4,2,209,,787,724,727,457,195,299,702,984,764,840
580230,Tufted textile fabrics (excluding carpets and other floor coverings),0,0,0,0,0,0,0,0,0,0,,1,0,14,30,30,10,10,12,3,2,,17783,22867,23110,24475,28564,36848,38927,41827,51619,58090
590410,"Linoleum, whether or not cut to shape",0,0,0,0,0,0,0,0,0,0,,3,72,0,31,0,0,0,4,0,5,,3058,2406,1734,1524,2562,2522,2659,3006,3077,3543
591110,"Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, ...""",0,0,0,0,3,14,0,3,0,0,,1324,2185,2582,2874,1776,2397,5967,7704,5859,7533,,7068,5358,7474,10604,11177,11627,6782,4204,3922,3699
580900,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ...",6,0,0,10,0,0,0,17,6,0,,2484,4157,1641,2323,1211,1473,1399,2064,5918,726,,241,197,228,171,163,447,257,454,346,520
580126,"Chenille fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",0,0,0,0,0,2,0,0,0,0,,2033,1856,2029,1523,1009,943,1391,898,1300,1762,,3082,3468,3866,3255,1849,2790,3136,2839,2438,2771
560394,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing > than ...",0,0,0,2,0,2,2,0,2,0,,1473,2749,2151,5353,2818,3932,4257,4638,4195,7962,,43281,46148,48942,44330,43743,48198,43501,48981,39926,48123
551621,"Woven fabrics containing predominantly, but < 85% artificial staple fibres, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,0,0,25,306,928,1708,1591,583,506,333,,4492,5111,5036,5878,4878,4986,6520,6138,4994,5183
551643,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,8,0,5,0,0,3,9,0,0,,1118,65,3,30,70,514,1394,371,312,2673,,1457,1535,1747,1245,1037,939,1119,937,353,438
560210,"Needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered ...",0,0,0,9,6,64,81,0,0,0,,1401,1064,480,340,1227,1780,2903,3604,3307,5919,,8692,7859,6983,10558,10101,12479,11955,10164,10374,10280
560221,"Felt, not impregnated, coated, covered or laminated, of wool or fine animal hair, n.e.s. (excluding ...",0,0,2,18,20,45,43,30,12,0,,5192,5367,4659,4505,4138,4127,5186,5515,5234,7339,,1755,1169,1676,1356,3140,4825,3828,2774,2127,3336
540249,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, untwisted or ...",0,0,0,0,0,0,0,0,0,0,,510,185,290,425,120,136,622,584,206,353,,2433,2692,3420,3915,3720,4733,4138,2269,2592,2982
540252,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 ...",0,0,0,0,0,0,0,0,0,0,,13948,8317,4167,4450,7803,9798,9502,12819,8576,16294,,906,1142,1328,1061,969,2035,3276,1784,879,1109
530110,"Flax, raw or retted",0,0,0,0,0,0,0,0,0,0,,13,13,2,1,4,3,1,632,943,1426,,0,0,0,0,0,0,0,0,0,0
530290,"True hemp """"Cannabis sativa L."""", processed but not spun; tow and waste of hemp, incl. yarn ...""",0,0,0,0,0,0,0,0,0,0,,31,22,32,9,10,1,2,4,10,4,,337,447,357,607,533,367,365,455,592,513
521019,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,9,9,0,0,4,2,0,,2546,3360,2857,1523,899,2229,2685,2255,2671,4539,,4504,5850,4377,3186,2732,3005,3921,2246,1614,2267
540500,Artificial monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ...,0,0,0,0,0,0,0,0,0,0,,0,7,1,0,2,21,3,7,36,2,,126,46,10,24,109,84,197,40,0,54
540710,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",43,173,36,107,113,9,7,7,7,0,,501934,555012,470852,341233,229617,222712,147348,152830,136195,165812,,5451,7566,10666,10998,11982,15077,13605,14045,10335,12737
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",0,0,2,0,0,2,0,31,0,0,,871,1308,1130,2418,505,797,1946,2991,1445,431,,21163,17034,11764,12954,6049,8217,14725,17029,7756,13785
540744,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,0,0,0,0,0,4,0,0,0,0,,2114,2487,1406,1742,2126,2345,2057,598,957,1503,,333,297,310,241,274,393,486,400,330,348
540754,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",0,0,0,0,0,27,0,0,0,0,,30835,48542,59682,50643,63673,61843,65020,81086,55009,81747,,3329,2792,2783,2580,2554,2561,3254,3145,2731,2692
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,1488,26089,21539,9956,14316,12438,11698,13499,10977,15361,,10961,12995,11687,12476,10832,9677,10158,12462,10485,9905
550520,"Waste of artificial staple fibres, incl. noils, yarn waste and garnetted stock",0,0,0,0,0,0,0,0,0,0,,1071,561,178,123,104,92,89,163,58,133,,36,26,0,8,22,32,18,20,22,10
550959,"Yarn containing predominantly, but < 85% polyester staple fibres by weight, other than that ...",47,0,0,5,0,30,53,44,5,0,,10976,12786,17861,23015,42208,43977,38283,24845,9840,15629,,289,314,192,168,150,343,716,451,172,214
551110,"Yarn containing >= 85% synthetic staple fibres by weight, put up for retail sale (excluding ...",0,0,26,43,10,0,0,10,10,0,,4728,7479,13444,13887,10548,13246,13616,15126,24243,31715,,11894,9991,8892,8915,9322,8270,8502,7178,6882,9022
551130,"Yarn of artificial staple fibres, put up for retail sale (excluding sewing thread)",0,0,0,0,0,0,0,0,0,0,,624,824,6952,2645,2110,3516,380,747,284,116,,136,253,97,55,128,72,42,30,114,107
551299,"Woven fabrics containing >= 85% synthetic staple fibres by weight, dyed, made of yarn of different ...",0,0,0,0,0,0,0,0,6,0,,16624,5095,7777,8840,8054,4400,3297,3315,1392,1460,,1080,1538,1626,1263,1478,1628,1213,2008,1794,1584
551321,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",11,5,0,0,0,0,49,23,29,0,,3215,4751,3817,3415,3298,3101,2970,3797,2151,3769,,3246,3124,2665,2429,2387,1943,2066,1913,1174,1062
551349,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,2654,2949,2202,2845,1294,4382,6460,6323,2992,1943,,48,50,33,5,20,4,17,20,16,0
551411,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,14007,15697,12436,10266,5788,4876,3782,2422,2156,3009,,4594,3956,3895,3986,4178,3613,3278,3351,1906,2230
811213,Beryllium waste and scrap (excluding ashes and residues containing beryllium),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,3,126,0,0,0,0,11,0
811222,Chromium waste and scrap (excluding ash and residues containing chromium and chromium alloys ...,0,0,0,0,0,0,0,0,0,0,,26,0,0,0,4,0,0,0,0,0,,116,59,283,309,520,383,154,133,41,136
811229,"Articles of chromium, n.e.s.",0,0,2,3,0,3,0,0,0,0,,69,77,131,0,1,3,1,1,285,2,,7332,5329,6650,7729,6361,7045,7524,7075,5800,6401
810930,Zirconium waste and scrap (excluding ash and residues containing zirconium),0,0,12,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,,172,667,1147,1483,1640,1003,1182,2282,2399,2335
830510,"Fittings for loose-leaf binders or files, of base metal (excluding drawing pins and clasps ...",3,0,0,2,0,0,0,0,2,0,,8143,12539,14316,15204,13032,15253,15610,11989,9859,10930,,11028,9667,9464,8988,9242,8149,7949,8109,6826,6789
830590,"Office articles such as letter clips, letter corners, paper clips and indexing tags, of base ...",44,0,3,3,5,4,4,4,0,0,,551,675,493,445,529,455,470,501,304,284,,11291,11542,12522,10575,10338,10775,11726,11981,11223,10124
821000,"Hand-operated mechanical devices, of base metal, weighing <= 10 kg, used in the preparation, ...",0,0,0,0,0,0,0,0,0,0,,440,477,514,485,700,993,1818,2390,2919,4164,,11148,10292,11273,11782,10588,8789,8743,8909,12791,16461
821210,Non-electric razors of base metal,0,0,0,0,0,0,2,0,0,0,,37758,34830,35405,31070,31267,29498,31534,30387,20709,27158,,100828,97752,93502,98901,106273,109241,115974,132086,122677,133001
821410,"Paperknives, letter openers, erasing knives, pencil sharpeners and blades therefor, of base ...",0,0,0,0,0,0,0,0,0,0,,1787,1920,2236,1850,1917,1900,1813,1516,951,1144,,2594,3114,3000,2815,3267,2993,3346,2907,2241,2492
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excluding stamping foils of ...",0,0,0,0,0,0,0,0,0,0,,7152,7019,4588,4209,4978,5977,7944,8181,6650,21281,,147726,151832,179865,144658,153574,223657,254017,221110,190664,303686
741022,"Copper alloy foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",0,0,0,0,0,0,0,0,0,0,,512,2788,142,243,143,52,57,31,19,16,,615,500,590,229,199,8212,10783,4725,7912,13553
741110,Tubes and pipes of refined copper,0,0,0,0,0,0,0,0,0,0,,3515,6573,7849,7089,11580,11810,18874,18603,20424,33949,,169959,172473,160345,107726,84091,120716,148905,158816,117450,186238
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",0,0,0,0,0,0,0,0,0,0,,445,259,261,1094,1247,775,290,388,957,1894,,21952,21463,21943,11500,12405,14961,20078,23342,24255,30342
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",0,0,0,0,0,0,0,0,0,0,,1804,1893,1608,1349,1208,1663,2054,1917,1804,3093,,1550,2115,2079,1855,1022,1506,1739,1446,1571,2467
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excluding nickel ...,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,2,30252,3,0,,348832,347502,673776,630735,417982,567082,685985,634908,576454,751075
750712,Tubes and pipes of nickel alloys,0,0,0,0,0,0,0,0,0,0,,1064,1310,2031,2580,1211,2756,9206,15111,13124,11896,,30341,19741,15592,10150,11318,8916,9671,8965,8145,16062
750810,"Cloth, grill, netting and fencing, of nickel wire",0,0,0,0,0,0,0,0,0,0,,87,79,2,8,7,20,3,2,16,51,,2675,3992,3672,3687,3903,3540,4903,4648,4904,4140
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",0,0,0,0,0,0,3,0,3,0,,29475,48677,40120,35329,31101,34607,48807,33700,28357,74406,,109168,128917,117993,142310,146715,111267,140106,166585,126890,67430
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square ...",0,0,0,0,0,0,0,0,0,0,,6241,6928,4438,5037,9934,13843,14090,13969,12584,20368,,26134,21302,3574,3328,3489,4027,2616,2165,1504,2358
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",0,0,0,0,0,0,0,0,0,0,,3656,3320,2137,2378,1337,2183,2425,2236,2123,3411,,43670,45936,45551,41513,40506,46324,43434,44406,39437,45666
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",0,0,17,47,0,0,0,0,0,0,,1327,3845,869,14178,21035,31799,19517,18366,5172,1742,,603,1167,1797,1152,1601,3019,2610,2373,1260,2186
732182,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,,6,90,48,1,0,7,0,19,4,5,,24862,19259,8603,5366,4248,2790,2775,3174,4604,9173
732392,"Table, kitchen or other household articles, and parts thereof, of cast iron, enamelled (excluding ...",8,0,0,3,0,0,0,0,2,0,,802,22679,68888,1858,1076,578,1259,15919,3372,1077,,23304,28186,29955,19882,28832,33047,23642,22698,21963,28809
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",0,0,0,0,0,0,0,0,0,0,,7995,6085,5773,4670,1475,25218,1450,15754,114082,144857,,3260,3232,2098,1258,1006,1205,1468,1376,1020,1812
740710,"Bars, rods and profiles, of refined copper, n.e.s.",0,0,0,0,0,0,0,0,0,0,,29527,21316,18090,19186,14229,16529,16679,16021,12095,15660,,31027,31117,33071,53242,53589,62006,78638,66822,64750,95224
842519,"Pulley tackle and hoists (other than skip hoists or hoists of a kind used for raising vehicles), ...",4,0,17,0,0,0,0,0,0,0,,4582,3124,997,1600,995,4194,11905,12248,10101,15281,,9165,11579,21828,9744,9438,7154,11701,7371,7451,7683
842612,Mobile lifting frames on tyres and straddle carriers,0,0,0,0,0,0,0,0,0,0,,2270,1910,5611,9663,7437,10054,10580,5840,13557,2812,,1225,1932,21,876,2191,1411,521,1531,1455,1303
842619,"Overhead travelling cranes, transporter cranes, gantry cranes, bridge cranes and mobile lifting ...",0,0,0,0,0,0,0,0,0,0,,41756,54354,12224,60727,6144,4005,17070,23438,8514,10881,,3631,10926,16232,4500,37856,11948,15934,5281,5653,4072
842691,Cranes designed for mounting on road vehicles,0,0,0,0,0,0,0,0,0,0,,43,737,308,291,126,192,207,444,337,357,,18993,10654,21349,17517,14283,14142,15897,21052,16881,16248
842790,"Works trucks fitted with lifting or handling equipment, not self-propelled",0,0,0,0,0,0,0,0,0,0,,4422,6175,3008,1858,2361,2826,3154,4964,6254,12277,,2559,2831,2987,3454,7891,9316,11846,11178,10131,10834
842839,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",6,0,0,179,0,449,86,33,109,0,,7639,5851,9414,9708,7992,13861,22179,35680,10901,11243,,62564,36094,51883,42201,57754,44764,65975,90899,100957,71406
843039,"Coal or rock cutters and tunnelling machinery, not self-propelled (excluding hand-operated ...",0,0,0,0,0,0,0,0,0,0,,690,942,86,1007,178,845,764,1445,820,254,,113,148,1157,0,0,72,28901,119,290,4440
843221,"Disc harrows for use in agriculture, horticulture or forestry",0,0,0,0,0,0,0,0,0,0,,8210,8171,8550,7364,7681,8098,5944,7415,5939,13221,,1497,2075,2265,3257,3460,3314,5062,4577,7307,8311
843621,Poultry incubators and brooders,0,0,0,0,0,0,0,0,0,0,,532,1796,1616,1251,1285,1073,1700,1246,566,1544,,254,1402,2768,1536,3934,1252,1022,1402,1469,400
844090,"Parts of bookbinding machinery, n.e.s.",9,0,0,0,8,0,0,0,0,0,,288,406,424,466,655,407,293,359,368,397,,6225,9202,5270,5429,5078,5994,4910,4048,3496,3503
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",0,0,22,0,0,0,0,0,27,0,,4675,4610,5191,3856,2032,3438,4040,3864,2663,3143,,16005,21856,28432,34433,20125,19550,49585,30948,36148,33129
844230,"Machinery, apparatus and equipment for preparing or making printing blocks, plates, cylinders ...",0,2,0,0,0,0,0,0,0,0,,1063,1120,1908,849,1071,1039,2041,1548,761,1186,,10713,13300,20222,14756,18045,22423,18824,18145,16031,19222
844315,Letterpress printing machinery (excluding flexographic printing and reel fed machinery),0,0,0,0,0,0,0,0,0,0,,2,0,132,97,75,114,190,76,94,22,,22,747,18,2005,0,31,3,3,13,20
844319,"Printing machinery used for printing by means of plates, cylinders and other printing components ...",0,0,0,0,0,0,220,0,0,0,,7450,10496,9325,10687,11474,12391,11590,13218,8364,13948,,53473,71351,67901,55299,22697,22692,30046,23205,15437,17593
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",0,15,0,0,0,0,0,0,0,0,,541,479,488,1016,1231,2875,2396,12557,4076,6644,,2123383,1785553,1732634,1617918,1460115,1378741,1378152,1361830,1353510,1256813
844511,Carding machines for preparing textile fibres,0,0,0,0,0,0,0,0,0,0,,3519,8990,10505,6998,9820,10836,13233,9555,6079,11942,,168,514,514,78,1359,598,3892,2058,194,483
840212,Watertube boilers with a steam production <= 45 t/hour (excluding central heating hot water ...,0,0,0,0,0,0,0,0,0,0,,35587,66419,33114,33823,33202,38738,28966,26596,21890,36421,,16101,7458,14597,29314,11395,23667,15106,10759,12844,21726
840590,Parts of producer gas or water gas generators and acetylene gas generators or similar water ...,0,0,0,0,426,0,0,0,0,0,,4855,2730,6638,4848,6382,6904,6005,9013,4102,2813,,651,1565,1084,562,2907,1757,4834,5305,3274,2078
840721,Spark-ignition outboard motors for marine propulsion,0,0,0,0,3,0,0,0,0,0,,6,26,148,0,2,1,0,36,30,5,,5220,4249,4725,4089,4023,4865,4492,5344,6767,6343
841090,Parts of hydraulic turbines and water wheels incl. regulators,139,0,177,874,528,0,14,0,0,0,,23420,38888,49364,58078,47687,39277,41077,41471,48555,30440,,23367,12883,9541,14065,12293,10441,10583,7206,12802,15834
842099,"Parts for calendering or rolling machines, n.e.s. (other than for metals or glass and excluding ...",0,0,0,0,0,0,0,13,0,0,,4034,3304,2757,2102,6204,11034,12444,10257,2033,1440,,3686,7658,3909,4255,3630,11041,9135,8832,8888,8688
842112,Centrifugal clothes-dryers,0,0,0,0,0,0,0,0,0,0,,26,23,64,25,78,236,77,88,129,52,,347,201,147,303,458,584,349,553,517,326
841620,"Furnace burners for pulverised solid fuel or gas, incl. combination burners",0,0,0,0,0,115,0,0,0,0,,2366,1540,1939,1904,2674,7525,4240,4999,6181,5443,,4906,6925,6675,4890,5885,9701,7063,9676,9067,7559
841630,"Mechanical stokers, incl. their mechanical grates, mechanical ash dischargers and similar appliances ...",0,0,0,0,0,0,0,0,0,0,,596,664,1250,979,378,981,385,1313,1278,803,,943,233,649,1028,65,829,954,1699,711,3050
841840,"Freezers of the upright type, of a capacity <= 900 l",0,0,0,0,0,0,0,0,0,0,,1694,759,509,519,741,765,733,1346,706,1159,,57605,56633,53003,41340,45582,47914,47752,50872,83931,87938
844629,"Hand looms for weaving fabrics of a width > 30 cm, shuttle type",0,0,0,0,0,0,0,0,0,0,,3875,18757,21140,19004,24884,25392,32459,30230,24919,31051,,387,366,429,476,198,207,368,251,172,180
844720,Flat knitting machines; stitch-bonding machines,0,0,0,0,0,0,0,0,0,0,,2632,790,256,1106,1102,2721,1011,640,2075,10091,,2488,1353,1604,1027,2194,3934,3599,3956,1043,2276
