"﻿Code	Product label	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exported value in 2021"
"851712	""""Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""	247504	314963	348177	362750	319031	431587	440484	625809	569068	594944"
"071340	""Dried, shelled lentils, whether or not skinned or split""	212196	201278	198109	188421	220287	526415	174484	211295	372895	536150"
"121490	""""Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""	566372	380077	284586	327143	307621	343665	339362	366254	389166	522731"
"071320	""""Dried, shelled chickpeas """"garbanzos"""", whether or not skinned or split""""	599444	315249	306855	775953	948664	1386581	303164	243618	236608	505204"
"100790	""Grain sorghum (excluding for sowing)""	51827	270432	106114	419236	157298	60111	111736	28484	52435	499808"
"740400	""Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...""	353695	400515	299278	235445	178289	247728	286184	252749	267791	494266"
"330499	""Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...""	199015	228651	225310	219951	283126	371090	421873	485240	477092	492473"
"780199	""Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...""	504010	391273	177165	359985	359484	360649	300621	301196	348223	487695"
"150210	""Tallow of bovine animals, sheep or goats (excluding oil and oleostearin)""	340995	367211	364394	264399	299871	288035	262754	234277	296713	473978"
"020629	""Frozen edible bovine offal (excluding tongues and livers)""	317058	343897	400898	335838	296298	321085	363842	392964	372827	471322"
"020443	""Frozen boneless cuts of sheep""	242409	277985	384186	339963	323058	440236	454425	403083	403969	470575"
"901890	""Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.""	312866	353942	348822	335180	350065	378095	369064	367162	399294	447866"
"260400	""Nickel ores and concentrates""	1224786	903328	684773	523934	210358	212803	193955	307498	300458	445174"
"851762	""Machines for the reception, conversion and transmission or regeneration of voice, images or ...""	201524	243869	277718	284598	333847	400731	361114	384360	373396	439784"
"711319	""Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...""	416585	363886	286796	246780	265096	382068	320912	388161	351075	437939"
"110710	""Malt (excluding roasted)""	354825	359553	328812	288312	221457	253605	278440	350149	315106	420464"
"020220	""Frozen bovine cuts, with bone in (excluding carcases and half-carcases)""	167050	248705	352822	286477	216745	255374	298897	453852	356865	415507"
"847130	""Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...""	93373	132293	171979	178962	198729	279223	328394	362216	367818	405712"
"040610	""""Fresh cheese """"unripened or uncured cheese"""", incl. whey cheese, and curd""""	312046	274646	274728	276877	243993	314637	343796	327227	343306	398003"
"220429	""Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...""	427988	388820	378505	325475	314065	314370	405729	340933	404265	389387"
"790120	""Unwrought zinc alloys""	139587	1779	2373	24	558	635	4	0	61862	387500"
"080610	""Fresh grapes""	107444	188314	212977	188041	325701	299432	295920	406353	457188	374168"
"870899	""Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...""	317140	277918	292655	272426	262815	300882	274587	275049	262931	347506"
"271012	""""Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""	885002	635569	593699	245048	243764	354622	435127	372167	260424	344664"
"190110	""Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...""	36608	59855	40945	135336	296782	371862	574547	664689	423931	334455"
"190190	""Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...""	402831	460470	307190	246069	288024	329678	284461	350395	363141	299466"
"293629	""Vitamins and their derivatives, used primarily as vitamins, unmixed (excluding vitamins A, ...""	10350	10035	13096	13049	83594	30633	485529	485598	325845	292674"
"030214	""""Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""	21119	15243	14414	64010	27869	107811	86356	85310	191106	283497"
"310530	""""Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""	245657	156458	142673	203820	212570	135660	165688	112813	134123	283053"
"080212	""Fresh or dried almonds, shelled""	96838	224162	297070	406034	245901	206331	212259	297251	277849	275805"
"040221	""Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened""	362325	435966	363182	203697	231521	231219	242972	196323	161106	272799"
"780110	""Unwrought lead, refined""	419894	476089	495781	419131	436966	503799	436709	231150	258377	263785"
"020423	""Fresh or chilled boneless cuts of sheep""	120423	128532	152387	143987	155891	166082	170645	173861	178265	262809"
"040690	""""Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""	333296	353312	304985	274850	256941	278475	275422	237273	205845	255431"
"260900	""Tin ores and concentrates""	112239	126681	144123	99660	96625	134843	125021	130708	121349	249154"
"300450	""""Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""	80344	68248	83885	81713	92269	87099	124214	193357	231388	248698"
"040120	""Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ...""	79530	86056	123098	126383	131109	150152	163984	179840	198570	244015"
"030631	""""Rock lobster and other sea crawfish """"Palinurus spp., Panulirus spp. and Jasus spp."""", whether ...""	0	0	0	0	0	527473	570364	526907	327021	239748"
"410210	""Raw skins of sheep or lambs, with wool on, fresh or salted, dried, limed, pickled or otherwise ...""	406274	428832	348113	307247	287030	287140	278094	213819	168370	239702"
"262030	""Slag, ash and residues containing mainly copper""	266327	187767	164285	131363	158330	156036	183627	193248	224941	235806"
"710692	""Silver, incl. silver plated with gold or platinum, semi-manufactured""	258241	370801	91031	113516	23753	282693	141523	70197	147883	220342"
"010221	""Pure-bred cattle for breeding""	247835	238688	213492	151646	116293	122957	148692	204286	202818	220242"
"080211	""Fresh or dried almonds in shell""	59815	104986	104716	160529	98269	143183	200327	247456	111081	218734"
"110900	""Wheat gluten, whether or not dried""	176584	228109	217564	186954	183057	185722	205198	198270	184507	217097"
"071350	""""Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""	160749	177012	185203	158948	120425	146850	132402	179470	213076	215798"
"230910	""Dog or cat food, put up for retail sale""	188639	167862	143846	125236	137219	138814	139009	136745	118288	213469"
"843149	""Parts of machinery of heading 8426, 8429 and 8430, n.e.s.""	421652	346215	248220	199992	174760	177433	192254	238045	210034	210759"
"720410	""Waste and scrap, of cast iron (excluding radioactive)""	74235	48201	67815	76336	76511	112994	205902	155179	148652	208729"
"080510	""Fresh or dried oranges""	139087	137669	134643	148969	169599	223826	235256	221624	214542	204974"
"020450	""Fresh, chilled or frozen meat of goats""	141159	159217	221822	186193	150395	200787	138855	166188	102847	191590"
"382200	""Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...""	83794	64507	57651	53584	64568	63616	64113	67519	100388	189448"
"847490	""Parts of machinery for working mineral substances of heading 8474, n.e.s.""	232401	238165	150416	142787	132656	169730	169709	176805	138096	180596"
"890392	""Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)""	69055	74132	101443	95679	102138	170191	133635	233826	176720	175156"
"710239	""Diamonds, worked, but not mounted or set (excluding industrial diamonds)""	133746	174311	212792	208074	238895	215364	226552	265614	177536	174193"
"410150	""""Whole raw hides and skins of bovine """"incl. buffalo"""" or equine animals, whether or not dehaired ...""	301550	397794	424588	353910	233391	232666	182324	128835	109325	172640"
"271112	""Propane, liquefied""	429620	429145	469344	186935	172934	244379	299734	522886	539698	169406"
"050400	""Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...""	89964	85597	110423	162742	141389	170110	226517	172620	133770	168264"
"281410	""Anhydrous ammonia""	244902	344051	265625	215785	98258	85347	70622	74023	45627	165116"
"080262	""Fresh or dried macadamia nuts, shelled""	59783	75926	81123	90239	96601	106979	145085	167529	166986	163495"
"851810	""Microphones and stands therefor (excluding cordless microphones with built-in transmitter)""	23096	25989	27616	38643	47527	47236	56085	77576	108081	163119"
"230110	""Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves""	211873	256399	252714	209840	151112	165444	213922	175569	151467	161363"
"847989	""Machines and mechanical appliances, n.e.s.""	144110	177681	175136	137115	139231	130954	211316	160718	165550	158777"
"847330	""Parts and accessories of automatic data-processing machines or for other machines of heading ...""	546765	544257	538940	553898	472393	168240	153457	121920	127681	152430"
"100119	""Durum wheat (excluding seed for sowing)""	89403	85156	85103	49695	60865	113614	48936	39	1929	148724"
"151419	""""Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""" and ...""	36643	70428	75028	65669	75491	75370	99459	69618	80035	145899"
"080521	""Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines)""	0	0	0	0	0	107633	93505	145288	101829	143685"
"870829	""""Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""	76440	80434	92767	89018	68167	84413	100648	130104	118182	142297"
"853710	""Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...""	143414	90125	99486	76119	75861	87068	92260	126219	96606	140347"
"851770	""Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...""	130510	107391	98373	119375	93852	102302	108556	76049	87244	140343"
"350400	""Peptones and their derivatives; other albuminous substances and their derivatives, n.e.s.; ...""	113869	121115	134178	78529	67419	57361	50410	49605	123921	138142"
"902790	""Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...""	110535	100138	96419	69215	80039	116605	126853	125493	116585	135593"
"870810	""Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...""	44589	41899	41916	39464	42631	57118	57740	65306	73584	133898"
"470790	""""Recovered """"waste and scrap"""" paper or paperboard, incl. unsorted waste and scrap (excluding ...""	52758	49925	46696	56010	58699	57842	51603	56863	74693	131150"
"480451	""Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...""	81239	96815	100703	103909	100468	96804	108375	101066	87454	131029"
"850440	""Static converters""	51035	52395	55166	55873	61085	76680	94447	90208	97039	130716"
"848180	""""Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""	117382	136808	127267	130416	105893	100764	123663	117945	104405	130243"
"071331	""""Dried, shelled beans of species """"Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"""", ...""	83049	65192	34645	132286	158453	101456	94629	27107	65509	129735"
"810520	""Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...""	147270	135657	147118	156855	81951	169773	212955	116208	152079	129220"
"440121	""Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...""	93912	80953	83354	90669	17299	48045	99455	85294	79671	128976"
"853690	""Electrical apparatus for switching electrical circuits, or for making connections to or in ...""	75789	70455	74466	73080	72098	81372	103727	87976	90570	127188"
"100490	""Oats (excluding seed for sowing)""	45356	3411	3866	3711	2609	4221	4075	4267	43851	126678"
"300220	""Vaccines for human medicine""	184472	153494	114423	120344	114640	124942	99920	98872	80526	125784"
"180690	""Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...""	77861	68363	69276	75848	81316	79175	78460	82162	114924	125515"
"261510	""Zirconium ores and concentrates""	105739	81296	76850	69289	52527	52748	86145	58350	76834	120152"
"151411	""""Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""	91380	97009	78774	63316	47933	70261	43576	68166	91997	119948"
"020621	""Frozen edible bovine tongues""	43228	42477	46708	65145	83965	76000	66401	85946	72016	119530"
"732690	""Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)""	153862	122881	120521	96470	104035	86226	105620	95236	104333	119450"
"010121	""Pure-bred breeding horses""	138816	87642	104601	118318	132950	119825	124917	111960	108470	118496"
"902190	""Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...""	308650	339415	394874	377320	499821	595197	640390	147240	85064	117972"
"841391	""Parts of pumps for liquids, n.e.s.""	194517	148822	120334	104002	104615	127657	136590	139352	105350	117400"
"230990	""Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...""	117322	129659	112933	100182	118974	116714	141640	121142	129982	116266"
"480441	""Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or ...""	138899	150628	139721	136298	132110	145317	168801	140758	96757	116038"
"020410	""Fresh or chilled lamb carcases and half-carcases""	121426	192885	210356	192371	193754	245568	319732	287839	220955	113566"
"392690	""Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...""	85977	71541	74102	59618	75113	69075	88821	100027	86092	113033"
"250100	""Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...""	3935	3313	3839	3315	4115	3264	179136	5352	4685	111124"
"210390	""Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...""	96193	93398	104859	97311	98821	103260	96959	85224	86311	111089"
"720918	""""Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...""	0	0	0	0	46927	169407	133986	143007	138166	109801"
"300432	""""Medicaments containing corticosteroid hormones, their derivatives or structural analogues ...""	6951	6274	2865	2007	10459	97885	117152	94466	111524	109527"
"020690	""Frozen edible offal of sheep, goats, horses, asses, mules and hinnies""	126869	141257	141665	86041	64178	75983	83256	84957	79312	108146"
"051199	""Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, ...""	9447	12655	20884	22329	35291	54422	58566	63668	69477	107353"
"020610	""Fresh or chilled edible offal of bovine animals""	58679	47320	46110	62752	75526	81577	90891	102235	89344	106949"
"281830	""Aluminium hydroxide""	173225	150814	169372	142670	139828	155505	247373	164761	116546	106210"
"261710	""Antimony ores and concentrates""	56694	64503	58742	69821	51133	43883	35464	29234	51296	104676"
"120729	""Cotton seeds (excluding for sowing)""	186516	158516	114254	33130	74602	97083	43458	1426	1073	103446"
"880240	""Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters, ...""	192408	148737	206243	37581	173291	8401	58068	59149	84371	102420"
"280469	""Silicon containing < 99,99% by weight of silicon""	90500	117337	124153	123558	93528	93519	102678	93368	84353	100336"
"890190	""Vessels for the transport of goods and vessels for the transport of both persons and goods ...""	46392	59943	265459	48662	14432	5920	8593	19117	6509	99361"
"721049	""""Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""	0	0	0	0	23491	100739	114418	167769	123709	99082"
"470710	""""Recovered """"waste and scrap"""" paper or paperboard of unbleached kraft paper, corrugated paper ...""	117686	102612	94818	73083	78828	130701	109340	67141	54991	96807"
"020120	""Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)""	44755	62651	60245	55743	61996	65241	68304	72033	72931	96162"
"040510	""Butter (excluding dehydrated butter and ghee)""	151159	169190	157692	87241	74235	59229	61884	61521	54619	93671"
"847990	""Parts of machines and mechanical appliances, n.e.s.""	99038	107637	140759	92866	118015	182923	88063	90164	70183	93607"
"080261	""Fresh or dried macadamia nuts, in shell""	27907	39265	0	93884	113514	100893	80573	62642	77264	92927"
"480524	""""Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""	71124	54835	78992	72908	87538	88193	107341	106974	89261	92205"
"190590	""Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...""	84278	85644	76669	68120	70047	84209	90199	88326	93993	91830"
"390210	""Polypropylene, in primary forms""	59160	64887	74793	76291	41675	71909	48393	76668	31004	90992"
"300290	""Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses""	23691	39038	66706	66106	63285	57326	67786	79521	97994	90898"
"110412	""Rolled or flaked grains of oats""	55219	52530	58823	52597	54946	51447	54456	63041	78333	90380"
"160250	""Prepared or preserved meat or offal of bovine animals (excluding sausages and similar products, ...""	41822	38654	45600	48749	57686	63422	67372	61161	68929	90104"
"902139	""Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...""	78182	88510	90043	87192	88651	95630	92447	89915	78202	89243"
"870323	""Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""	1133876	1210678	1026908	1116783	1054214	524534	59182	112665	66480	86819"
"510130	""Carbonised wool, neither carded nor combed""	97274	108098	108702	137430	138592	129835	153160	104617	62969	86684"
"847150	""Processing units for automatic data-processing machines, whether or not containing in the same ...""	69186	80206	129563	99964	64751	68715	84106	66818	47704	86208"
"020430	""Frozen lamb carcases and half-carcases""	62070	56618	43919	36536	28764	36388	33816	47150	30969	85551"
"720712	""""Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""	0	0	0	13212	46	5847	52290	29516	55	84803"
"220210	""Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...""	48699	33879	26958	35630	48113	39213	37273	42149	53601	83003"
"852580	""Television cameras, digital cameras and video camera recorders""	78778	65146	92695	90795	100592	115855	136825	156142	89207	82424"
"950430	""Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...""	103977	97188	86960	109298	127985	124804	113120	137412	85581	82159"
"720421	""Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...""	89067	52018	66427	58053	40475	51199	63649	81149	69474	80671"
"040630	""Processed cheese, not grated or powdered""	121450	112154	95686	82575	90713	95861	104811	90624	82499	80634"
"340130	""Organic surface-active products and preparations for washing the skin, in the form of liquid ...""	11906	11560	7899	16775	27956	41739	66968	76478	53801	80625"
"841191	""Parts of turbojets or turbopropellers, n.e.s.""	15360	22850	22593	20214	26646	24039	25965	31572	60275	79597"
"040291	""Milk and cream, concentrated but unsweetened (excluding in solid forms)""	9945	12498	17299	24790	38378	45799	46051	64319	73508	78103"
"711510	""Catalysts in the form of wire cloth or grill, of platinum""	46198	52525	32410	30910	19813	23644	40138	44188	52584	77677"
"410411	""""Full grains, unsplit and grain splits, in the wet state """"incl. wet-blue"""", of hides and skins ...""	79729	81281	87267	61497	43848	59911	78043	59467	40156	76614"
"330300	""Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)""	15706	20289	16894	15807	24370	27495	33169	36090	46954	76233"
"440322	""""Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is <15 cm, ...""	0	0	0	0	0	118120	84833	133267	177256	75287"
"870324	""Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""	562945	615114	436025	354789	197838	128970	65002	73720	57577	73846"
"950450	""Video game consoles and machines (excluding operated by any means of payment)""	33275	14437	44637	45724	42975	42544	55915	57296	52672	73737"
"840710	""Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft""	52153	53851	84939	114654	110341	60135	118569	85005	96798	72892"
"282550	""Copper oxides and hydroxides""	49718	56453	52932	39067	35703	45380	51661	43025	38382	72620"
"010410	""Live sheep""	283874	164865	213849	186158	163343	190133	118847	99357	89285	72320"
"070610	""Fresh or chilled carrots and turnips""	54301	52077	53103	54688	65624	71769	73794	66302	70795	71921"
"847190	""Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...""	52587	36572	27994	39455	40057	56786	59837	56748	57251	71005"
"100630	""Semi-milled or wholly milled rice, whether or not polished or glazed""	336757	328781	309127	284451	132443	150104	213825	132078	49774	70999"
"330590	""Preparations for use on the hair (excluding shampoos, preparations for permanent waving or ...""	52774	45367	47847	44445	43881	53789	45278	48339	50876	70076"
"180620	""Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...""	7247	23062	34826	30869	29536	38359	50036	44920	53575	69863"
"854370	""Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85""	78002	89867	77526	64230	71781	48950	60633	59538	77217	69814"
"720429	""Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...""	366626	401736	411030	176008	36680	45382	48154	56717	38408	69266"
"480519	""Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...""	12836	46468	46351	54413	46527	43710	64494	62231	61910	69067"
"251320	""Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated""	67126	68250	71308	62349	74724	76111	71742	69050	48630	68886"
"903180	""Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...""	129564	84693	77128	65030	60306	61799	59463	63533	67960	68805"
"380893	""Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings ...""	72309	71276	63635	50930	51532	52538	45845	34895	50971	68522"
"901590	""Parts and accessories for instruments and appliances used in geodesy, topography, photogrammetrical ...""	44566	31991	36822	55341	41500	41928	49863	59514	44908	67979"
"030346	""""Frozen Southern bluefin tunas """"Thunnus maccoyii""""""""	130220	101891	115017	78973	83979	84071	90315	95141	55379	67535"
"040410	""Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...""	100330	84472	76129	52574	44060	52416	51185	44113	62715	67356"
"711299	""Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...""	44329	32307	38610	24865	32982	45900	49717	77881	63421	67337"
"841370	""Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...""	29440	25826	24327	29944	41593	45138	39005	43815	38637	66835"
"220710	""Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%""	3135	2735	2039	6436	28685	55800	20367	35505	53388	66565"
"848190	""Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.""	52314	56730	54145	47392	47835	60417	58332	60577	80915	66429"
"711292	""Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...""	15131	15875	24219	23296	32971	27795	19484	21139	41571	66392"
"020714	""Frozen cuts and edible offal of fowls of the species Gallus domesticus""	39722	36760	45720	30000	31343	42842	40590	44183	44794	66074"
